number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
110,0.7336666666666667,0.7,2025-05-17 03:10:38.892792,2025-05-17 03:11:03.575522,0 days 00:00:24.682730,cwd,True,1.25,2,COMPLETE,0.7,0.8,0.8,5.2869897308109324e-05,0.033657228370000215,5.0,2.0,0.0,False,,0.0
41,0.733,0.7,2025-05-17 02:41:54.256860,2025-05-17 02:42:19.439283,0 days 00:00:25.182423,cwd,True,1.0,0,COMPLETE,0.7,0.995,0.995,0.000880731361169193,0.09638105143173037,3.25,3.25,0.1,True,30.0,0.25
64,0.7286666666666667,0.5,2025-05-17 02:51:26.104263,2025-05-17 02:51:49.926812,0 days 00:00:23.822549,mse,True,,1,COMPLETE,0.5,0.8,0.8,0.0004734567124203067,0.002953336537485907,4.25,5.0,0.15,True,150.0,0.0
106,0.7279999999999999,0.7,2025-05-17 03:09:01.343549,2025-05-17 03:09:25.870205,0 days 00:00:24.526656,cwd,True,3.0,2,COMPLETE,0.7,0.8,0.8,6.417060922214524e-05,0.01178534549898418,1.75,0.5,0.15,False,,0.0
36,0.7276666666666666,0.5,2025-05-17 02:39:46.302538,2025-05-17 02:40:11.084381,0 days 00:00:24.781843,mse,True,,0,COMPLETE,0.5,0.99,0.99,0.00122846737269266,0.017513046963079454,5.0,2.0,0.0,True,150.0,0.1
27,0.727,0.5,2025-05-17 02:36:06.509259,2025-05-17 02:36:31.174042,0 days 00:00:24.664783,mse,False,,0,COMPLETE,0.5,0.995,0.995,6.648435929499337e-05,0.04359538399767564,4.75,4.25,0.05,True,90.0,0.25
62,0.7266666666666667,0.5,2025-05-17 02:50:35.228366,2025-05-17 02:50:59.908011,0 days 00:00:24.679645,mse,True,,1,COMPLETE,0.5,0.8,0.8,0.00028397674310717835,0.00140978164143242,3.5,1.0,0.05,False,,0.15000000000000002
97,0.7266666666666666,0.7,2025-05-17 03:05:14.382022,2025-05-17 03:05:39.673154,0 days 00:00:25.291132,cwd,True,2.75,1,COMPLETE,0.7,0.99,0.99,6.417060922214524e-05,0.01178534549898418,1.75,0.75,0.0,False,,0.25
63,0.7266666666666666,0.5,2025-05-17 02:50:59.933489,2025-05-17 02:51:26.081302,0 days 00:00:26.147813,cwd,False,4.25,1,COMPLETE,0.5,0.995,0.995,0.0006596035745363727,0.00013345377322182618,1.25,4.75,0.1,True,150.0,0.15000000000000002
39,0.7263333333333334,0.5,2025-05-17 02:41:02.945556,2025-05-17 02:41:27.694147,0 days 00:00:24.748591,mse,True,,0,COMPLETE,0.5,0.9,0.9,0.001025779129233089,0.005391535230279433,5.0,1.0,0.0,True,120.0,0.1
