number,value,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
111,0.9323882224645583,2025-05-18 03:34:52.577424,2025-05-18 03:35:45.359955,0 days 00:00:52.782531,mse,False,,COMPLETE,0.7,0.9,0.9,0.0010447944007962442,3.1238174457598603e-05,0.0,3.25,0.0,True,30.0,0.25
115,0.9297225251423725,2025-05-18 03:37:52.546476,2025-05-18 03:38:38.687110,0 days 00:00:46.140634,mse,False,,COMPLETE,0.7,0.995,0.995,0.0009981675502930883,1.2643627103370342e-05,0.0,3.25,0.0,True,30.0,0.25
117,0.9294801890221738,2025-05-18 03:39:30.037667,2025-05-18 03:40:21.165583,0 days 00:00:51.127916,mse,False,,COMPLETE,0.7,0.995,0.995,0.0006269165149535953,1.3093424605175735e-05,0.5,3.25,0.0,True,30.0,0.25
68,0.9293590209620745,2025-05-18 03:09:12.493525,2025-05-18 03:10:02.672777,0 days 00:00:50.179252,mse,False,,COMPLETE,0.7,0.99,0.99,0.0023070387022474225,1.3374902943528941e-05,0.0,3.5,0.0,False,,0.25
97,0.9293590209620745,2025-05-18 03:26:46.766431,2025-05-18 03:27:38.049024,0 days 00:00:51.282593,mse,False,,COMPLETE,0.7,0.995,0.995,0.0011181482713402491,4.357363953541643e-05,0.25,3.25,0.0,True,30.0,0.2
114,0.9287531806615776,2025-05-18 03:37:06.795181,2025-05-18 03:37:52.507469,0 days 00:00:45.712288,mse,False,,COMPLETE,0.7,0.9,0.9,0.0010607311062943536,1.2923273196493144e-05,0.0,3.25,0.0,True,30.0,0.25
121,0.9287531806615776,2025-05-18 03:42:49.990034,2025-05-18 03:43:41.346791,0 days 00:00:51.356757,mse,False,,COMPLETE,0.7,0.995,0.995,0.0008327470583213179,1.2756336886196595e-05,0.75,3.75,0.0,True,150.0,0.3
116,0.9286320126014783,2025-05-18 03:38:38.726073,2025-05-18 03:39:29.997453,0 days 00:00:51.271380,mse,False,,COMPLETE,0.7,0.995,0.995,0.0010194881657826682,1.2615710353635953e-05,0.0,3.25,0.0,True,30.0,0.2
119,0.9282685084211802,2025-05-18 03:41:11.300236,2025-05-18 03:41:58.649999,0 days 00:00:47.349763,mse,False,,COMPLETE,0.7,0.995,0.995,0.0010075900684862892,1.2934139489675485e-05,0.5,3.75,0.0,True,150.0,0.25
118,0.9281473403610808,2025-05-18 03:40:21.207223,2025-05-18 03:41:11.261946,0 days 00:00:50.054723,mse,False,,COMPLETE,0.7,0.995,0.995,0.0010543664948510908,1.3608524171349652e-05,0.5,3.5,0.0,True,120.0,0.25
120,0.9281473403610808,2025-05-18 03:41:58.687762,2025-05-18 03:42:49.948861,0 days 00:00:51.261099,mse,False,,COMPLETE,0.7,0.995,0.995,0.0010525181313349537,1.2765966052825487e-05,0.75,3.75,0.0,True,150.0,0.3
124,0.9272991639403854,2025-05-18 03:45:23.473767,2025-05-18 03:46:14.513769,0 days 00:00:51.040002,mse,False,,COMPLETE,0.7,0.995,0.995,0.0005921050721055485,1.2939596405901198e-05,0.75,3.75,0.0,True,150.0,0.3
91,0.9265721555797892,2025-05-18 03:23:10.224047,2025-05-18 03:23:45.513702,0 days 00:00:35.289655,mse,False,,COMPLETE,0.7,0.9,0.9,0.004189837690364896,2.968067612460364e-05,0.0,2.75,0.0,True,30.0,0.25
72,0.9265721555797892,2025-05-18 03:12:07.616487,2025-05-18 03:12:41.695485,0 days 00:00:34.078998,mse,False,,COMPLETE,0.7,0.9,0.9,0.002275671099449177,5.5869447823333866e-05,0.0,3.0,0.0,True,60.0,0.25
70,0.9264509875196899,2025-05-18 03:10:53.831475,2025-05-18 03:11:33.692168,0 days 00:00:39.860693,mse,False,,COMPLETE,0.7,0.9,0.9,0.0022314993564653057,5.254345290528466e-05,0.25,3.25,0.0,True,60.0,0.25
106,0.9263298194595905,2025-05-18 03:31:48.302549,2025-05-18 03:32:33.070624,0 days 00:00:44.768075,mse,False,,COMPLETE,0.7,0.995,0.995,0.0026013274274598393,5.5451359097466994e-05,0.25,3.25,0.0,True,90.0,0.25
88,0.9259663152792924,2025-05-18 03:21:28.505529,2025-05-18 03:22:03.882603,0 days 00:00:35.377074,mse,False,,COMPLETE,0.7,0.9,0.9,0.003968532042930292,3.503295240306118e-05,0.0,3.25,0.0,True,30.0,0.25
102,0.9259663152792924,2025-05-18 03:29:22.271976,2025-05-18 03:29:57.268938,0 days 00:00:34.996962,mse,False,,COMPLETE,0.7,0.995,0.995,0.0025570820701944137,3.3625400875671665e-05,0.0,3.25,0.0,True,30.0,0.2
95,0.9259663152792924,2025-05-18 03:25:24.688728,2025-05-18 03:26:05.796707,0 days 00:00:41.107979,mse,False,,COMPLETE,0.7,0.995,0.995,0.0020141189353799684,4.9405863652499125e-05,0.25,3.25,0.0,True,30.0,0.2
83,0.9258451472191931,2025-05-18 03:18:30.213065,2025-05-18 03:19:05.701923,0 days 00:00:35.488858,mse,False,,COMPLETE,0.7,0.9,0.9,0.004370021185840652,3.09008834824776e-05,0.0,3.0,0.0,True,60.0,0.25
69,0.9257239791590938,2025-05-18 03:10:02.712910,2025-05-18 03:10:53.793800,0 days 00:00:51.080890,mse,False,,COMPLETE,0.7,0.9,0.9,0.002422243034690061,3.304883566384522e-05,0.25,3.5,0.0,False,,0.25
112,0.9257239791590938,2025-05-18 03:35:45.397018,2025-05-18 03:36:25.494333,0 days 00:00:40.097315,mse,False,,COMPLETE,0.7,0.995,0.995,0.0012929600780427488,7.82606821363464e-05,0.0,3.5,0.0,True,30.0,0.25
122,0.925481643038895,2025-05-18 03:43:41.385197,2025-05-18 03:44:32.456784,0 days 00:00:51.071587,mse,False,,COMPLETE,0.7,0.995,0.995,0.0008270411679527364,1.2683798139491488e-05,1.0,3.75,0.0,True,150.0,0.3
71,0.9253604749787957,2025-05-18 03:11:33.731886,2025-05-18 03:12:07.575028,0 days 00:00:33.843142,mse,False,,COMPLETE,0.7,0.9,0.9,0.0022292619540340993,3.20098952460883e-05,0.0,3.25,0.0,True,60.0,0.25
94,0.9253604749787957,2025-05-18 03:24:44.247759,2025-05-18 03:25:24.647587,0 days 00:00:40.399828,mse,False,,COMPLETE,0.7,0.995,0.995,0.0020886316404814496,4.253719065333844e-05,0.0,3.0,0.0,True,30.0,0.2
73,0.9252393069186963,2025-05-18 03:12:41.734545,2025-05-18 03:13:17.040270,0 days 00:00:35.305725,mse,False,,COMPLETE,0.7,0.9,0.9,0.0023339948975116052,5.942184584887729e-05,0.0,3.0,0.0,True,60.0,0.25
109,0.9252393069186963,2025-05-18 03:33:53.349279,2025-05-18 03:34:39.099598,0 days 00:00:45.750319,mse,False,,COMPLETE,0.7,0.995,0.995,0.0018850498077098293,2.3629988975545626e-05,0.5,2.75,0.0,True,30.0,0.2
123,0.9239064582576032,2025-05-18 03:44:32.495822,2025-05-18 03:45:23.433749,0 days 00:00:50.937927,mse,False,,COMPLETE,0.7,0.995,0.995,0.001039023199038157,1.2152545529625149e-05,1.25,3.75,0.0,True,150.0,0.3
107,0.923785290197504,2025-05-18 03:32:33.112466,2025-05-18 03:33:18.789220,0 days 00:00:45.676754,mse,False,,COMPLETE,0.7,0.995,0.995,0.0025924437470305687,5.683295201653459e-05,1.0,3.5,0.0,True,90.0,0.25
103,0.9236641221374047,2025-05-18 03:29:57.308155,2025-05-18 03:30:33.061473,0 days 00:00:35.753318,mse,False,,COMPLETE,0.7,0.995,0.995,0.0025563082300156213,3.0867042308684335e-05,0.25,3.25,0.0,True,30.0,0.2
104,0.9235429540773054,2025-05-18 03:30:33.100768,2025-05-18 03:31:13.472450,0 days 00:00:40.371682,mse,False,,COMPLETE,0.7,0.995,0.995,0.0038325520873740346,2.1026187894419064e-05,0.5,3.5,0.0,True,30.0,0.25
84,0.9231794498970071,2025-05-18 03:19:05.740909,2025-05-18 03:19:39.604916,0 days 00:00:33.864007,mse,False,,COMPLETE,0.7,0.9,0.9,0.004979847290201464,3.485091355876656e-05,0.0,3.0,0.0,True,60.0,0.25
105,0.9229371137768084,2025-05-18 03:31:13.511157,2025-05-18 03:31:48.265061,0 days 00:00:34.753904,mse,False,,COMPLETE,0.7,0.995,0.995,0.0029729263975566645,8.740284566607497e-05,0.0,3.75,0.0,True,30.0,0.2
79,0.9226947776566097,2025-05-18 03:16:21.916111,2025-05-18 03:16:57.064736,0 days 00:00:35.148625,mse,False,,COMPLETE,0.7,0.9,0.9,0.004596325210714864,6.867531085520146e-05,0.0,2.5,0.0,True,60.0,0.25
101,0.9223312734763117,2025-05-18 03:28:41.972202,2025-05-18 03:29:22.233538,0 days 00:00:40.261336,mse,False,,COMPLETE,0.7,0.995,0.995,0.002013032487609813,4.514070823260809e-05,0.25,2.75,0.0,True,30.0,0.2
74,0.9216042651157155,2025-05-18 03:13:17.078637,2025-05-18 03:13:51.967812,0 days 00:00:34.889175,mse,False,,COMPLETE,0.7,0.9,0.9,0.0022523012481893124,0.00020897572575728266,0.0,3.0,0.0,True,60.0,0.25
92,0.9211195928753181,2025-05-18 03:23:45.551066,2025-05-18 03:24:20.064674,0 days 00:00:34.513608,mse,False,,COMPLETE,0.7,0.9,0.9,0.006111334438557488,2.9640738447594377e-05,0.0,2.75,0.0,True,30.0,0.25
113,0.9209984248152187,2025-05-18 03:36:25.533335,2025-05-18 03:37:06.756470,0 days 00:00:41.223135,mse,False,,COMPLETE,0.7,0.9,0.9,0.007774354558661068,2.5856950873844823e-05,0.25,3.0,0.0,True,30.0,0.25
99,0.9195444080940264,2025-05-18 03:27:51.287430,2025-05-18 03:28:25.264699,0 days 00:00:33.977269,mse,False,,COMPLETE,0.7,0.995,0.995,0.003095147121784144,2.354991374890741e-05,0.5,3.25,0.0,True,30.0,0.2
85,0.9194232400339271,2025-05-18 03:19:39.642347,2025-05-18 03:20:14.111781,0 days 00:00:34.469434,mse,False,,COMPLETE,0.7,0.9,0.9,0.004763789598771279,2.9016285872800348e-05,0.5,2.75,0.0,True,60.0,0.25
96,0.9180903913728341,2025-05-18 03:26:05.834509,2025-05-18 03:26:46.728905,0 days 00:00:40.894396,mse,False,,COMPLETE,0.7,0.995,0.995,0.0019585680228283923,0.00011180063998415029,0.75,3.5,0.0,True,30.0,0.2
81,0.9169998788319399,2025-05-18 03:17:31.490710,2025-05-18 03:18:06.260519,0 days 00:00:34.769809,mse,False,,COMPLETE,0.7,0.9,0.9,0.0023291745720495126,0.00018475899259369052,0.25,2.5,0.0,True,60.0,0.25
57,0.9169998788319399,2025-05-18 02:59:57.722342,2025-05-18 03:00:48.696012,0 days 00:00:50.973670,mse,False,,COMPLETE,0.7,0.9,0.9,0.0014342680800374281,1.0001845789572637e-05,4.0,3.5,0.0,False,,0.3
64,0.9160305343511451,2025-05-18 03:05:48.238187,2025-05-18 03:06:39.385387,0 days 00:00:51.147200,mse,False,,COMPLETE,0.7,0.99,0.99,0.0014971663995255763,1.3229852404880518e-05,4.25,4.0,0.0,False,,0.3
87,0.9159093662910456,2025-05-18 03:20:54.237499,2025-05-18 03:21:28.466460,0 days 00:00:34.228961,mse,False,,COMPLETE,0.7,0.9,0.9,0.005651408363999723,6.720965227397444e-05,0.25,3.0,0.0,True,60.0,0.25
55,0.9155458621107476,2025-05-18 02:58:17.740687,2025-05-18 02:59:08.939803,0 days 00:00:51.199116,mse,False,,COMPLETE,0.7,0.99,0.99,0.0014399862648637842,1.8229379447313767e-05,4.0,3.25,0.0,False,,0.25
48,0.9151823579304496,2025-05-18 02:52:58.619444,2025-05-18 02:53:49.705762,0 days 00:00:51.086318,mse,False,,COMPLETE,0.7,0.99,0.99,0.001631206750331316,1.7961982763859976e-05,4.25,4.0,0.0,False,,0.2
78,0.9148188537501515,2025-05-18 03:15:36.863375,2025-05-18 03:16:21.871280,0 days 00:00:45.007905,mse,False,,COMPLETE,0.7,0.9,0.9,0.0035366237243441615,0.00010408844151411896,0.5,2.5,0.0,True,90.0,0.25
46,0.9144553495698533,2025-05-18 02:51:16.263119,2025-05-18 02:52:07.531701,0 days 00:00:51.268582,mse,False,,COMPLETE,0.7,0.99,0.99,0.0016681191918607903,2.1405909162086435e-05,4.25,3.25,0.0,False,,0.15000000000000002
77,0.9143341815097541,2025-05-18 03:15:02.067591,2025-05-18 03:15:36.824073,0 days 00:00:34.756482,mse,False,,COMPLETE,0.7,0.9,0.9,0.007053300181378945,5.533988844386727e-05,0.25,3.0,0.0,True,60.0,0.25
51,0.9140918453895553,2025-05-18 02:54:53.925059,2025-05-18 02:55:44.987966,0 days 00:00:51.062907,mse,False,,COMPLETE,0.7,0.99,0.99,0.0008470077544471514,1.8411319000904495e-05,4.0,3.5,0.0,False,,0.2
