number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
68,0.8553333333333333,0.6,2025-05-17 02:02:39.977917,2025-05-17 02:03:00.819996,0 days 00:00:20.842079,mse,False,,1,COMPLETE,0.6,0.8,0.8,0.0004776180130227928,0.008588029703818405,1.5,2.25,0.0,True,90.0,0.0
123,0.8506666666666667,0.6,2025-05-17 02:23:19.675576,2025-05-17 02:23:42.932081,0 days 00:00:23.256505,cwd,False,4.75,2,COMPLETE,0.6,0.9,0.9,0.004864362851117392,4.6113785250271576e-05,4.0,0.75,0.05,False,,0.1
124,0.8503333333333333,0.6,2025-05-17 02:23:42.957427,2025-05-17 02:24:06.475118,0 days 00:00:23.517691,cwd,False,3.5,2,COMPLETE,0.6,0.995,0.995,0.0015620161778354936,0.12117993879661465,2.75,1.5,0.0,False,,0.25
101,0.85,0.6,2025-05-17 02:15:01.703746,2025-05-17 02:15:22.973022,0 days 00:00:21.269276,mse,False,,2,COMPLETE,0.6,0.995,0.995,0.0015620161778354936,0.005627484356927279,2.75,1.25,0.0,True,90.0,0.25
56,0.85,0.6,2025-05-17 01:58:05.890701,2025-05-17 01:58:27.779322,0 days 00:00:21.888621,mse,False,,1,COMPLETE,0.6,0.995,0.995,3.4117257087774536e-05,0.005434794107117768,4.75,2.75,0.05,False,,0.15000000000000002
31,0.8496666666666667,0.5,2025-05-17 01:48:39.151432,2025-05-17 01:49:00.653472,0 days 00:00:21.502040,mse,True,,0,COMPLETE,0.5,0.995,0.995,0.003173488314516945,0.00046077469211260286,1.0,2.5,0.05,True,60.0,0.1
24,0.8496666666666667,0.5,2025-05-17 01:46:05.766979,2025-05-17 01:46:27.520343,0 days 00:00:21.753364,mse,True,,0,COMPLETE,0.5,0.9,0.9,6.473971755499523e-05,0.00420874953223412,2.0,5.0,0.1,False,,0.2
88,0.8496666666666667,0.6,2025-05-17 02:10:12.519066,2025-05-17 02:10:35.516277,0 days 00:00:22.997211,cwd,False,2.25,1,COMPLETE,0.6,0.9,0.9,0.0027697872609054233,0.00905547054465084,4.25,1.5,0.0,False,,0.3
3,0.8490000000000001,0.6,2025-05-17 01:38:02.627719,2025-05-17 01:38:25.853314,0 days 00:00:23.225595,cwd,False,2.5,0,COMPLETE,0.6,0.995,0.995,0.0011983546780216837,0.005627484356927279,1.25,1.5,0.0,True,120.0,0.05
38,0.8490000000000001,0.6,2025-05-17 01:51:14.593810,2025-05-17 01:51:37.567552,0 days 00:00:22.973742,cwd,False,4.75,0,COMPLETE,0.6,0.9,0.9,0.0027697872609054233,0.0009289182367036474,4.25,1.5,0.0,True,150.0,0.3
