number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
56,0.8383333333333334,0.5,2025-05-17 01:09:35.980478,2025-05-17 01:09:58.568535,0 days 00:00:22.588057,mse,True,,1,COMPLETE,0.5,0.9,0.9,0.0001680816494056181,0.009973587270637064,3.75,1.0,0.05,False,,0.3
43,0.8380000000000001,0.5,2025-05-17 01:04:31.930814,2025-05-17 01:04:56.385527,0 days 00:00:24.454713,cwd,True,3.0,0,COMPLETE,0.5,0.8,0.8,8.227094784710878e-05,1.9712598152943653e-05,3.75,1.25,0.05,False,,0.3
52,0.8373333333333334,0.5,2025-05-17 01:08:03.453626,2025-05-17 01:08:27.426997,0 days 00:00:23.973371,cwd,True,2.5,1,COMPLETE,0.5,0.8,0.8,0.00011950965968917815,5.6744281406801017e-05,2.5,1.25,0.1,False,,0.1
98,0.836,0.5,2025-05-17 01:25:47.566172,2025-05-17 01:26:11.930383,0 days 00:00:24.364211,cwd,True,2.5,1,COMPLETE,0.5,0.8,0.8,0.0006164108964519087,0.009973587270637064,2.75,1.0,0.05,True,90.0,0.1
66,0.8356666666666667,0.5,2025-05-17 01:13:23.571344,2025-05-17 01:13:45.724842,0 days 00:00:22.153498,mse,False,,1,COMPLETE,0.5,0.8,0.8,0.0006164108964519087,8.231765807086466e-05,3.5,1.0,0.0,False,,0.1
25,0.8356666666666666,0.5,2025-05-17 00:57:26.265111,2025-05-17 00:57:50.635404,0 days 00:00:24.370293,cwd,True,3.75,0,COMPLETE,0.5,0.8,0.8,0.0001680816494056181,0.009973587270637064,2.75,1.0,0.05,True,30.0,0.3
108,0.835,0.5,2025-05-17 01:29:43.990627,2025-05-17 01:30:08.000299,0 days 00:00:24.009672,cwd,False,4.75,2,COMPLETE,0.5,0.9,0.9,0.0006922036552834677,8.231765807086466e-05,3.5,1.0,0.0,False,,0.1
102,0.8290000000000001,0.5,2025-05-17 01:27:23.180623,2025-05-17 01:27:47.551135,0 days 00:00:24.370512,cwd,False,2.5,2,COMPLETE,0.5,0.995,0.995,0.00022612361024290967,0.0016118259130987649,3.25,3.0,0.1,True,120.0,0.25
26,0.8243333333333333,0.6,2025-05-17 00:57:50.658061,2025-05-17 00:58:13.025949,0 days 00:00:22.367888,mse,True,,0,COMPLETE,0.6,0.995,0.995,0.00031220355897593937,0.0016118259130987649,2.25,0.0,0.0,True,120.0,0.25
104,0.8216666666666667,0.7,2025-05-17 01:28:09.946354,2025-05-17 01:28:34.592428,0 days 00:00:24.646074,cwd,False,3.5,2,COMPLETE,0.7,0.8,0.8,0.0007850173930048476,1.6311303222945532e-05,4.25,0.0,0.15,True,120.0,0.2
