number,value,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
99,0.9640130861504908,2025-05-18 07:41:39.998708,2025-05-18 07:42:34.871120,0 days 00:00:54.872412,mse,False,,COMPLETE,0.6,0.99,0.99,1.2636108560345787e-05,3.3146563533288e-05,1.5,0.25,0.05,False,,0.1
111,0.9637404580152672,2025-05-18 07:53:35.355291,2025-05-18 07:54:24.321689,0 days 00:00:48.966398,mse,False,,COMPLETE,0.6,0.99,0.99,1.8269436237171153e-05,4.437317061544316e-05,1.5,0.25,0.05,False,,0.1
121,0.9636495819701927,2025-05-18 08:02:37.918430,2025-05-18 08:03:32.459965,0 days 00:00:54.541535,mse,False,,COMPLETE,0.6,0.99,0.99,1.4331851693502161e-05,5.732950513850949e-05,1.25,0.25,0.05,False,,0.15000000000000002
115,0.9636495819701927,2025-05-18 07:57:10.364798,2025-05-18 07:57:56.149710,0 days 00:00:45.784912,mse,False,,COMPLETE,0.6,0.99,0.99,2.389030670590255e-05,9.150066324245643e-05,1.5,0.25,0.05,False,,0.15000000000000002
124,0.9635587059251183,2025-05-18 08:05:21.936649,2025-05-18 08:06:11.638754,0 days 00:00:49.702105,mse,False,,COMPLETE,0.6,0.99,0.99,1.740226017164543e-05,0.00019375450578903937,1.5,0.25,0.05,False,,0.15000000000000002
53,0.9635587059251182,2025-05-18 06:57:45.047266,2025-05-18 06:58:25.046079,0 days 00:00:39.998813,mse,False,,COMPLETE,0.6,0.9,0.9,4.238342473552403e-05,0.00019285249837938716,4.0,0.25,0.05,False,,0.2
103,0.9635587059251182,2025-05-18 07:45:42.839137,2025-05-18 07:46:41.379635,0 days 00:00:58.540498,mse,False,,COMPLETE,0.6,0.99,0.99,1.0320253748305253e-05,9.853294710746286e-05,1.75,0.25,0.05,False,,0.1
95,0.9635587059251182,2025-05-18 07:38:02.933150,2025-05-18 07:39:01.434610,0 days 00:00:58.501460,mse,False,,COMPLETE,0.6,0.99,0.99,1.2350594622495697e-05,9.962318241310358e-05,1.25,0.25,0.05,False,,0.1
13,0.9635587059251182,2025-05-18 06:24:43.119035,2025-05-18 06:25:20.379673,0 days 00:00:37.260638,mse,False,,COMPLETE,0.6,0.99,0.99,8.333511836014128e-05,0.0004505465042148851,1.5,0.0,0.0,True,90.0,0.05
94,0.9634678298800438,2025-05-18 07:37:05.589389,2025-05-18 07:38:02.894156,0 days 00:00:57.304767,mse,False,,COMPLETE,0.6,0.9,0.9,1.2634717384337316e-05,9.74300330904145e-05,1.25,0.25,0.05,False,,0.1
