number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
117,0.9623093681917211,0.5,2025-05-17 08:16:03.920342,2025-05-17 08:17:15.923762,0 days 00:01:12.003420,cwd,False,4.75,2,COMPLETE,0.5,0.8,0.8,0.0006637627741079424,3.7660250340377356e-05,0.5,5.0,0.1,True,90.0,0.05
44,0.9616557734204793,0.5,2025-05-17 06:53:34.928853,2025-05-17 06:54:40.560857,0 days 00:01:05.632004,mse,True,,0,COMPLETE,0.5,0.995,0.995,0.0010747595842816248,9.601842453564529e-05,2.75,4.75,0.05,False,,0.3
83,0.9596949891067538,0.5,2025-05-17 07:37:45.369353,2025-05-17 07:38:51.049098,0 days 00:01:05.679745,mse,False,,1,COMPLETE,0.5,0.99,0.99,0.0003165459626809577,9.481934365284815e-05,1.25,2.25,0.05,False,,0.05
69,0.9594771241830066,0.5,2025-05-17 07:21:40.414551,2025-05-17 07:22:48.695084,0 days 00:01:08.280533,mse,True,,1,COMPLETE,0.5,0.995,0.995,0.0010747595842816248,9.601842453564529e-05,2.75,1.75,0.1,False,,0.3
84,0.9588235294117647,0.5,2025-05-17 07:38:51.071931,2025-05-17 07:40:03.659243,0 days 00:01:12.587312,cwd,False,5.0,1,COMPLETE,0.5,0.995,0.995,0.0006229969815476679,3.7660250340377356e-05,0.5,1.25,0.0,True,150.0,0.05
77,0.9586056644880174,0.6,2025-05-17 07:30:48.714158,2025-05-17 07:32:00.609037,0 days 00:01:11.894879,cwd,True,1.75,1,COMPLETE,0.6,0.995,0.995,0.0010475142604965755,3.348733027382839e-05,1.75,3.0,0.05,False,,0.2
66,0.956644880174292,0.6,2025-05-17 07:18:18.902657,2025-05-17 07:19:24.102368,0 days 00:01:05.199711,mse,True,,1,COMPLETE,0.6,0.8,0.8,0.0016245544439050738,9.481934365284815e-05,1.25,2.75,0.05,True,150.0,0.05
25,0.9529411764705883,0.6,2025-05-17 06:32:06.295499,2025-05-17 06:33:18.179968,0 days 00:01:11.884469,cwd,True,2.5,0,COMPLETE,0.6,0.99,0.99,0.0010475142604965755,0.00017081734248064064,1.75,3.0,0.05,False,,0.15000000000000002
22,0.9494553376906318,0.5,2025-05-17 06:28:34.599340,2025-05-17 06:29:46.668676,0 days 00:01:12.069336,cwd,True,3.0,0,COMPLETE,0.5,0.995,0.995,0.0006229969815476679,3.7660250340377356e-05,2.0,5.0,0.05,True,90.0,0.05
14,0.9461873638344227,0.7,2025-05-17 06:19:15.364711,2025-05-17 06:20:27.167095,0 days 00:01:11.802384,cwd,False,1.25,0,COMPLETE,0.7,0.995,0.995,0.0046700092481188685,1.5315335231041133e-05,3.0,2.75,0.0,False,,0.25
45,0.9416122004357298,0.5,2025-05-17 06:54:40.583364,2025-05-17 06:55:52.655592,0 days 00:01:12.072228,cwd,False,3.5,0,COMPLETE,0.5,0.99,0.99,0.00011077644927529004,6.261950262743797e-05,2.0,0.25,0.0,True,60.0,0.25
75,0.9376906318082788,0.5,2025-05-17 07:28:23.531999,2025-05-17 07:29:36.267581,0 days 00:01:12.735582,cwd,True,4.25,1,COMPLETE,0.5,0.8,0.8,0.0003876189495570865,3.348733027382839e-05,4.0,1.0,0.1,False,,0.1
29,0.935511982570806,0.5,2025-05-17 06:36:44.947790,2025-05-17 06:37:51.246481,0 days 00:01:06.298691,mse,True,,0,COMPLETE,0.5,0.8,0.8,0.0003165459626809577,9.481934365284815e-05,1.25,2.25,0.05,True,90.0,0.05
121,0.9348583877995642,0.6,2025-05-17 08:20:38.332849,2025-05-17 08:21:50.158643,0 days 00:01:11.825794,cwd,True,0.25,2,COMPLETE,0.6,0.995,0.995,0.0010747595842816248,9.601842453564529e-05,2.75,1.5,0.1,True,90.0,0.05
88,0.9344226579520697,0.6,2025-05-17 07:43:19.951030,2025-05-17 07:44:25.134157,0 days 00:01:05.183127,mse,False,,1,COMPLETE,0.6,0.9,0.9,0.009110104547421947,0.00012676940398079943,2.25,5.0,0.05,False,,0.3
100,0.9344226579520697,0.6,2025-05-17 07:56:49.485013,2025-05-17 07:57:54.193761,0 days 00:01:04.708748,mse,False,,2,COMPLETE,0.6,0.9,0.9,0.009110104547421947,0.00012676940398079943,2.25,5.0,0.05,False,,0.3
81,0.9298474945533769,0.5,2025-05-17 07:35:28.882819,2025-05-17 07:36:40.981950,0 days 00:01:12.099131,cwd,False,3.75,1,COMPLETE,0.5,0.9,0.9,8.230487123048992e-05,0.0002860264110745126,2.0,0.25,0.0,True,60.0,0.25
89,0.918954248366013,0.5,2025-05-17 07:44:25.157871,2025-05-17 07:45:37.466662,0 days 00:01:12.308791,cwd,False,3.0,1,COMPLETE,0.5,0.9,0.9,0.0017724958613676628,0.0015565667698896981,5.0,0.75,0.15,True,120.0,0.2
87,0.9167755991285403,0.5,2025-05-17 07:42:14.357021,2025-05-17 07:43:19.927740,0 days 00:01:05.570719,mse,False,,1,COMPLETE,0.5,0.8,0.8,0.00011077644927529004,0.013356107922183051,2.0,0.5,0.15,False,,0.25
119,0.9093681917211329,0.5,2025-05-17 08:18:26.609569,2025-05-17 08:19:31.970866,0 days 00:01:05.361297,mse,False,,2,COMPLETE,0.5,0.9,0.9,8.230487123048992e-05,0.0015565667698896981,0.25,1.75,0.1,False,,0.2
76,0.907843137254902,0.6,2025-05-17 07:29:36.291597,2025-05-17 07:30:48.690525,0 days 00:01:12.398928,cwd,True,5.0,1,COMPLETE,0.6,0.99,0.99,0.0010475142604965755,0.00017081734248064064,1.75,3.0,0.0,False,,0.15000000000000002
