number,value,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
0,0.9692270531400965,2025-05-18 08:06:11.897528,2025-05-18 08:16:57.742220,0 days 00:10:45.844692,cwd,True,1.25,COMPLETE,0.5,0.9,0.9,0.0002476837512027795,0.0003332635435409067,0.5,0.0,0.05,True,90.0,0.1
117,0.9681159420289855,2025-05-18 11:13:55.794459,2025-05-18 11:15:06.736067,0 days 00:01:10.941608,mse,False,,COMPLETE,0.5,0.99,0.99,0.0007106113469098061,0.0006345095048790255,0.5,0.0,0.15,False,,0.25
112,0.9679710144927537,2025-05-18 11:06:57.630079,2025-05-18 11:08:00.886518,0 days 00:01:03.256439,mse,False,,COMPLETE,0.5,0.99,0.99,0.0012806199529808023,0.0003072150218513557,0.75,0.0,0.15,False,,0.25
115,0.9678260869565217,2025-05-18 11:10:04.826613,2025-05-18 11:11:12.938362,0 days 00:01:08.111749,mse,False,,COMPLETE,0.5,0.99,0.99,0.0010409914192060958,0.0003757802073107721,0.75,0.0,0.15,False,,0.25
119,0.9678260869565217,2025-05-18 11:17:21.917872,2025-05-18 11:18:35.138540,0 days 00:01:13.220668,mse,False,,COMPLETE,0.5,0.99,0.99,0.0005972554921843742,0.0006423515622307247,1.0,0.0,0.15,False,,0.25
113,0.967584541062802,2025-05-18 11:08:00.928005,2025-05-18 11:09:03.037691,0 days 00:01:02.109686,mse,False,,COMPLETE,0.5,0.99,0.99,0.0013556075092196235,0.0003229781875845163,0.5,0.0,0.15,False,,0.25
124,0.96743961352657,2025-05-18 11:24:20.072623,2025-05-18 11:25:35.316493,0 days 00:01:15.243870,mse,True,,COMPLETE,0.5,0.99,0.99,0.0004954715296285818,0.0009006268281215525,1.0,0.0,0.05,False,,0.2
71,0.9673429951690822,2025-05-18 10:09:29.703051,2025-05-18 10:10:34.263687,0 days 00:01:04.560636,mse,False,,COMPLETE,0.5,0.995,0.995,0.0016712456519752806,0.0001528267576172633,3.0,0.0,0.15,False,,0.25
120,0.9671980676328502,2025-05-18 11:18:35.178355,2025-05-18 11:19:51.147803,0 days 00:01:15.969448,mse,True,,COMPLETE,0.5,0.99,0.99,0.00047490495890825424,0.000649756097613756,1.0,0.0,0.05,False,,0.2
81,0.9671497584541062,2025-05-18 10:23:50.326526,2025-05-18 10:24:56.186871,0 days 00:01:05.860345,mse,False,,COMPLETE,0.5,0.995,0.995,0.0014426648463459041,0.00017175518455556546,3.0,0.0,0.15,False,,0.25
122,0.9671497584541062,2025-05-18 11:21:05.809076,2025-05-18 11:22:21.353382,0 days 00:01:15.544306,mse,True,,COMPLETE,0.5,0.99,0.99,0.0004927370580296935,0.0009703783580965322,1.0,0.0,0.05,False,,0.2
82,0.9671014492753623,2025-05-18 10:24:56.227482,2025-05-18 10:26:01.954458,0 days 00:01:05.726976,mse,False,,COMPLETE,0.5,0.995,0.995,0.0015284397550171245,0.0002731354729849674,3.0,0.0,0.15,False,,0.25
101,0.9668599033816424,2025-05-18 10:49:18.383456,2025-05-18 10:50:25.445512,0 days 00:01:07.062056,mse,False,,COMPLETE,0.5,0.995,0.995,0.0009593330708172811,0.0002039555243279918,1.5,0.0,0.15,False,,0.3
121,0.9665217391304348,2025-05-18 11:19:51.186328,2025-05-18 11:21:05.768930,0 days 00:01:14.582602,mse,True,,COMPLETE,0.5,0.99,0.99,0.0006099129612629698,0.0009168404433790816,1.0,0.0,0.05,False,,0.2
62,0.9664734299516908,2025-05-18 09:57:17.121104,2025-05-18 09:58:26.827164,0 days 00:01:09.706060,mse,False,,COMPLETE,0.5,0.995,0.995,0.0011051798488167306,3.130850813807406e-05,3.25,0.0,0.15,False,,0.25
92,0.9663768115942029,2025-05-18 10:37:18.928369,2025-05-18 10:38:31.193579,0 days 00:01:12.265210,mse,False,,COMPLETE,0.5,0.995,0.995,0.0008649677973609582,0.0022459489268826264,3.0,0.0,0.15,False,,0.3
61,0.9663768115942029,2025-05-18 09:56:18.665137,2025-05-18 09:57:17.082458,0 days 00:00:58.417321,mse,False,,COMPLETE,0.5,0.995,0.995,0.002289024498922682,3.521327974440069e-05,3.0,0.0,0.15,False,,0.25
64,0.9660386473429953,2025-05-18 10:00:00.654123,2025-05-18 10:01:13.326051,0 days 00:01:12.671928,mse,False,,COMPLETE,0.5,0.995,0.995,0.0010445651603940651,3.0659255372021685e-05,3.75,0.0,0.15,False,,0.25
85,0.966038647342995,2025-05-18 10:29:26.680042,2025-05-18 10:30:31.447734,0 days 00:01:04.767692,mse,False,,COMPLETE,0.5,0.995,0.995,0.0016492941230144985,0.00045216364775212164,2.5,0.0,0.15,False,,0.3
51,0.9659420289855073,2025-05-18 09:45:13.295586,2025-05-18 09:46:27.795035,0 days 00:01:14.499449,mse,False,,COMPLETE,0.5,0.995,0.995,0.0022425571954582625,3.6716555948954427e-05,3.0,0.25,0.15,False,,0.3
107,0.9659420289855073,2025-05-18 10:58:37.418095,2025-05-18 11:00:20.093523,0 days 00:01:42.675428,mse,False,,COMPLETE,0.5,0.99,0.99,0.0012195984585477353,0.00014544872062781657,0.75,0.75,0.15,False,,0.25
114,0.9659420289855073,2025-05-18 11:09:03.077251,2025-05-18 11:10:04.787293,0 days 00:01:01.710042,mse,False,,COMPLETE,0.5,0.99,0.99,0.0013274634619307444,0.00030910490792955303,0.25,0.0,0.15,False,,0.25
49,0.9658937198067633,2025-05-18 09:43:14.389727,2025-05-18 09:44:26.529802,0 days 00:01:12.140075,mse,False,,COMPLETE,0.5,0.995,0.995,0.0010056063135333376,1.8311948004368438e-05,2.0,0.0,0.15,False,,0.3
106,0.9658937198067633,2025-05-18 10:57:36.876542,2025-05-18 10:58:37.377259,0 days 00:01:00.500717,mse,False,,COMPLETE,0.5,0.995,0.995,0.0019969826322663773,7.935754620379475e-05,2.5,0.0,0.15,True,30.0,0.3
