number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
117,0.8376666666666667,0.6,2025-05-17 05:58:17.149527,2025-05-17 05:58:38.284576,0 days 00:00:21.135049,cwd,False,3.25,2,COMPLETE,0.6,0.9,0.9,0.0008593360523996027,0.022708255867397505,2.5,2.75,0.15,False,,0.15000000000000002
67,0.836,0.6,2025-05-17 05:41:00.909674,2025-05-17 05:41:21.853438,0 days 00:00:20.943764,cwd,True,2.25,1,COMPLETE,0.6,0.995,0.995,0.00020365896392438005,0.03757225093876984,2.0,2.75,0.1,True,30.0,0.15000000000000002
8,0.8356666666666667,0.5,2025-05-17 05:20:37.144095,2025-05-17 05:20:56.943402,0 days 00:00:19.799307,mse,False,,0,COMPLETE,0.5,0.995,0.995,0.0008593360523996027,0.0011003146520550252,0.75,1.0,0.15,True,60.0,0.15000000000000002
51,0.8353333333333333,0.6,2025-05-17 05:35:28.686064,2025-05-17 05:35:49.669389,0 days 00:00:20.983325,cwd,False,1.75,1,COMPLETE,0.6,0.9,0.9,0.0034414242999870888,0.0007498486197120746,4.5,4.5,0.0,False,,0.25
41,0.8346666666666666,0.5,2025-05-17 05:32:04.398005,2025-05-17 05:32:23.330906,0 days 00:00:18.932901,mse,True,,0,COMPLETE,0.5,0.9,0.9,0.00042322536044373134,0.05292335809336619,3.25,3.0,0.1,True,90.0,0.0
34,0.834,0.5,2025-05-17 05:29:39.673628,2025-05-17 05:30:01.143790,0 days 00:00:21.470162,cwd,True,1.25,0,COMPLETE,0.5,0.9,0.9,0.00027279742165415834,0.022708255867397505,2.5,3.5,0.15,False,,0.25
11,0.8336666666666667,0.6,2025-05-17 05:21:37.526547,2025-05-17 05:21:58.590863,0 days 00:00:21.064316,cwd,True,5.0,0,COMPLETE,0.6,0.99,0.99,0.003276226977650566,0.14910964581822087,3.75,1.0,0.15,True,150.0,0.2
60,0.8336666666666667,0.5,2025-05-17 05:38:37.327184,2025-05-17 05:38:57.263532,0 days 00:00:19.936348,mse,True,,1,COMPLETE,0.5,0.9,0.9,0.00027279742165415834,0.022708255867397505,2.75,2.0,0.15,True,120.0,0.25
6,0.8333333333333334,0.6,2025-05-17 05:19:54.537687,2025-05-17 05:20:15.609626,0 days 00:00:21.071939,cwd,False,3.75,0,COMPLETE,0.6,0.9,0.9,0.0034414242999870888,0.001773934123997322,3.25,4.5,0.15,False,,0.25
35,0.8333333333333334,0.6,2025-05-17 05:30:01.166775,2025-05-17 05:30:20.963518,0 days 00:00:19.796743,mse,True,,0,COMPLETE,0.6,0.8,0.8,0.006509736571892151,0.01298776416260821,4.5,5.0,0.1,False,,0.3
110,0.8333333333333334,0.6,2025-05-17 05:55:55.271689,2025-05-17 05:56:15.412300,0 days 00:00:20.140611,cwd,True,4.25,2,COMPLETE,0.6,0.8,0.8,0.003276226977650566,0.14910964581822087,3.75,0.0,0.1,True,150.0,0.0
87,0.8329999999999999,0.6,2025-05-17 05:48:00.006258,2025-05-17 05:48:19.843519,0 days 00:00:19.837261,mse,True,,1,COMPLETE,0.6,0.8,0.8,0.006509736571892151,0.01298776416260821,4.5,5.0,0.1,False,,0.3
105,0.8326666666666666,0.6,2025-05-17 05:54:11.078810,2025-05-17 05:54:31.227235,0 days 00:00:20.148425,mse,False,,2,COMPLETE,0.6,0.9,0.9,0.0005125880746640288,2.3636193868731417e-05,3.5,2.0,0.15,True,150.0,0.25
52,0.8323333333333333,0.5,2025-05-17 05:35:49.690981,2025-05-17 05:36:11.198191,0 days 00:00:21.507210,cwd,False,0.25,1,COMPLETE,0.5,0.9,0.9,0.0008593360523996027,0.022708255867397505,2.5,1.0,0.15,False,,0.15000000000000002
109,0.832,0.6,2025-05-17 05:55:35.038402,2025-05-17 05:55:55.246966,0 days 00:00:20.208564,cwd,False,1.0,2,COMPLETE,0.6,0.8,0.8,0.0003317624662247362,3.496498515563082e-05,4.0,5.0,0.15,False,,0.0
83,0.832,0.5,2025-05-17 05:46:34.363740,2025-05-17 05:46:55.716683,0 days 00:00:21.352943,cwd,False,5.0,1,COMPLETE,0.5,0.9,0.9,0.00027279742165415834,0.022708255867397505,1.0,3.5,0.05,False,,0.25
112,0.8319999999999999,0.5,2025-05-17 05:56:35.577777,2025-05-17 05:56:54.582181,0 days 00:00:19.004404,mse,True,,2,COMPLETE,0.5,0.99,0.99,0.003360844259940501,0.0011003146520550252,3.5,1.0,0.15,True,60.0,0.0
32,0.8316666666666667,0.5,2025-05-17 05:28:57.778543,2025-05-17 05:29:18.150184,0 days 00:00:20.371641,cwd,False,3.75,0,COMPLETE,0.5,0.995,0.995,0.008904787789131912,0.0007498486197120746,4.5,1.75,0.0,True,30.0,0.0
113,0.831,0.5,2025-05-17 05:56:54.604361,2025-05-17 05:57:16.030470,0 days 00:00:21.426109,cwd,True,2.75,2,COMPLETE,0.5,0.995,0.995,0.0003317624662247362,0.0001864676655124149,2.0,2.75,0.0,True,150.0,0.1
70,0.831,0.5,2025-05-17 05:42:03.128766,2025-05-17 05:42:24.722587,0 days 00:00:21.593821,cwd,False,1.0,1,COMPLETE,0.5,0.8,0.8,0.00027279742165415834,0.022708255867397505,2.5,3.5,0.15,False,,0.3
108,0.8306666666666667,0.6,2025-05-17 05:55:14.069134,2025-05-17 05:55:35.016674,0 days 00:00:20.947540,cwd,False,2.5,2,COMPLETE,0.6,0.9,0.9,0.003276226977650566,0.001773934123997322,3.75,4.5,0.15,False,,0.2
49,0.8306666666666667,0.5,2025-05-17 05:34:47.123160,2025-05-17 05:35:08.507277,0 days 00:00:21.384117,cwd,True,0.25,0,COMPLETE,0.5,0.8,0.8,0.0003317624662247362,0.0001864676655124149,3.75,0.75,0.15,True,150.0,0.15000000000000002
80,0.8303333333333334,0.6,2025-05-17 05:45:31.718197,2025-05-17 05:45:52.579815,0 days 00:00:20.861618,cwd,False,2.25,1,COMPLETE,0.6,0.9,0.9,0.0034414242999870888,0.001773934123997322,3.25,3.25,0.0,True,90.0,0.25
75,0.8303333333333333,0.5,2025-05-17 05:43:45.691385,2025-05-17 05:44:07.393483,0 days 00:00:21.702098,cwd,True,2.5,1,COMPLETE,0.5,0.9,0.9,0.00027279742165415834,4.549518208838439e-05,2.5,3.5,0.15,False,,0.15000000000000002
100,0.8296666666666667,0.5,2025-05-17 05:52:27.984032,2025-05-17 05:52:47.815458,0 days 00:00:19.831426,mse,True,,2,COMPLETE,0.5,0.8,0.8,0.0008593360523996027,0.0011003146520550252,0.75,1.0,0.15,True,90.0,0.3
53,0.8296666666666667,0.5,2025-05-17 05:36:11.221565,2025-05-17 05:36:32.682748,0 days 00:00:21.461183,cwd,True,0.25,1,COMPLETE,0.5,0.8,0.8,0.0003317624662247362,0.0001864676655124149,3.75,0.75,0.1,True,60.0,0.15000000000000002
73,0.8296666666666667,0.5,2025-05-17 05:43:05.142375,2025-05-17 05:43:25.447448,0 days 00:00:20.305073,cwd,True,4.25,1,COMPLETE,0.5,0.995,0.995,0.008904787789131912,0.0007498486197120746,2.5,1.75,0.0,True,90.0,0.0
91,0.8293333333333334,0.6,2025-05-17 05:49:23.162374,2025-05-17 05:49:44.252520,0 days 00:00:21.090146,cwd,False,3.75,1,COMPLETE,0.6,0.8,0.8,0.0005125880746640288,3.5621527882196116e-05,3.5,4.5,0.05,True,150.0,0.2
37,0.8283333333333333,0.5,2025-05-17 05:30:41.982864,2025-05-17 05:31:03.219034,0 days 00:00:21.236170,mse,False,,0,COMPLETE,0.5,0.8,0.8,0.0008116136215497599,0.0009327587572162889,2.75,2.0,0.05,True,150.0,0.0
103,0.8283333333333333,0.6,2025-05-17 05:53:30.748314,2025-05-17 05:53:50.837289,0 days 00:00:20.088975,mse,False,,2,COMPLETE,0.6,0.8,0.8,7.839688297767999e-05,0.01298776416260821,4.5,5.0,0.15,False,,0.25
89,0.828,0.5,2025-05-17 05:48:41.077286,2025-05-17 05:49:01.625110,0 days 00:00:20.547824,cwd,True,3.0,1,COMPLETE,0.5,0.8,0.8,0.0003317624662247362,0.0001864676655124149,4.0,0.0,0.15,False,,0.0
5,0.8273333333333334,0.5,2025-05-17 05:19:34.065088,2025-05-17 05:19:54.512228,0 days 00:00:20.447140,mse,True,,0,COMPLETE,0.5,0.995,0.995,0.000896774264835365,4.715503195737079e-05,3.25,2.5,0.0,True,30.0,0.2
58,0.8273333333333334,0.5,2025-05-17 05:37:55.824386,2025-05-17 05:38:17.243568,0 days 00:00:21.419182,cwd,False,5.0,1,COMPLETE,0.5,0.995,0.995,0.00020930581275735238,2.278462659104514e-05,4.75,3.25,0.0,True,30.0,0.2
46,0.8273333333333333,0.5,2025-05-17 05:33:47.546379,2025-05-17 05:34:07.449493,0 days 00:00:19.903114,mse,False,,0,COMPLETE,0.5,0.99,0.99,0.00023043663188531844,0.0007397528824894905,1.0,0.75,0.1,False,,0.15000000000000002
90,0.827,0.5,2025-05-17 05:49:01.650203,2025-05-17 05:49:23.137059,0 days 00:00:21.486856,cwd,False,3.25,1,COMPLETE,0.5,0.9,0.9,0.00024213773224463192,0.22760943547797097,3.75,2.75,0.15,True,120.0,0.05
64,0.827,0.6,2025-05-17 05:39:59.448586,2025-05-17 05:40:20.634304,0 days 00:00:21.185718,cwd,False,2.0,1,COMPLETE,0.6,0.995,0.995,0.003276226977650566,2.278462659104514e-05,2.0,3.25,0.05,True,90.0,0.2
59,0.8266666666666667,0.5,2025-05-17 05:38:17.266043,2025-05-17 05:38:37.304668,0 days 00:00:20.038625,mse,True,,1,COMPLETE,0.5,0.995,0.995,0.006509736571892151,0.0011003146520550252,0.75,1.0,0.15,True,90.0,0.3
101,0.8263333333333333,0.5,2025-05-17 05:52:47.839280,2025-05-17 05:53:09.247447,0 days 00:00:21.408167,cwd,True,2.0,2,COMPLETE,0.5,0.9,0.9,0.00012219964644540564,0.0025411641522835268,2.0,1.0,0.1,False,,0.25
42,0.826,0.5,2025-05-17 05:32:23.353333,2025-05-17 05:32:44.619976,0 days 00:00:21.266643,cwd,False,0.25,0,COMPLETE,0.5,0.995,0.995,0.00020930581275735238,2.278462659104514e-05,4.75,3.25,0.0,True,60.0,0.25
77,0.826,0.5,2025-05-17 05:44:28.981867,2025-05-17 05:44:50.314097,0 days 00:00:21.332230,cwd,False,0.5,1,COMPLETE,0.5,0.995,0.995,0.007194362324686879,0.03836493641922187,2.0,1.75,0.0,False,,0.3
38,0.826,0.6,2025-05-17 05:31:03.243304,2025-05-17 05:31:23.064375,0 days 00:00:19.821071,mse,False,,0,COMPLETE,0.6,0.995,0.995,0.008729015264022935,0.00028844075679703156,1.0,5.0,0.0,True,90.0,0.05
111,0.8256666666666667,0.5,2025-05-17 05:56:15.434634,2025-05-17 05:56:35.555165,0 days 00:00:20.120531,mse,False,,2,COMPLETE,0.5,0.995,0.995,0.0008116136215497599,0.000284950959817275,2.5,2.0,0.1,False,,0.2
