number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
5,0.8206666666666665,0.6,2025-05-17 04:05:38.466966,2025-05-17 04:06:15.782571,0 days 00:00:37.315605,cwd,False,1.0,0,COMPLETE,0.6,0.8,0.8,0.0009618717084605934,0.003891255968269372,3.0,0.75,0.0,True,30.0,0.15000000000000002
116,0.8156666666666667,0.6,2025-05-17 05:11:42.523801,2025-05-17 05:12:19.880368,0 days 00:00:37.356567,cwd,True,4.75,2,COMPLETE,0.6,0.9,0.9,0.0006079615974535468,2.3828723325382595e-05,1.5,2.0,0.05,False,,0.3
67,0.8156666666666667,0.6,2025-05-17 04:43:04.146104,2025-05-17 04:43:38.384772,0 days 00:00:34.238668,mse,False,,1,COMPLETE,0.6,0.8,0.8,0.0009481812381108525,2.558700108890345e-05,2.25,0.75,0.15,True,90.0,0.15000000000000002
9,0.8140000000000001,0.6,2025-05-17 04:08:14.440928,2025-05-17 04:08:51.559228,0 days 00:00:37.118300,cwd,True,1.25,0,COMPLETE,0.6,0.9,0.9,0.0006079615974535468,2.3828723325382595e-05,1.5,2.0,0.05,False,,0.3
83,0.8133333333333334,0.6,2025-05-17 04:52:29.189519,2025-05-17 04:53:06.529581,0 days 00:00:37.340062,cwd,True,0.5,1,COMPLETE,0.6,0.9,0.9,0.0006079615974535468,2.3828723325382595e-05,1.5,2.0,0.05,False,,0.3
99,0.8126666666666665,0.6,2025-05-17 05:02:09.431854,2025-05-17 05:02:45.813415,0 days 00:00:36.381561,cwd,False,2.25,1,COMPLETE,0.6,0.8,0.8,0.00072369602148381,1.791482303789075e-05,3.75,4.5,0.1,True,150.0,0.0
110,0.8106666666666666,0.6,2025-05-17 05:08:19.671813,2025-05-17 05:08:53.824338,0 days 00:00:34.152525,mse,True,,2,COMPLETE,0.6,0.8,0.8,0.0009481812381108525,2.558700108890345e-05,3.75,0.0,0.05,True,30.0,0.15000000000000002
108,0.809,0.6,2025-05-17 05:07:11.851973,2025-05-17 05:07:46.174584,0 days 00:00:34.322611,mse,True,,2,COMPLETE,0.6,0.9,0.9,0.0009481812381108525,2.558700108890345e-05,3.75,0.5,0.05,True,90.0,0.15000000000000002
66,0.809,0.6,2025-05-17 04:42:26.487111,2025-05-17 04:43:04.123788,0 days 00:00:37.636677,cwd,True,3.5,1,COMPLETE,0.6,0.995,0.995,0.00014629085300811123,0.0015006090012249953,4.5,1.5,0.1,True,60.0,0.2
1,0.8083333333333332,0.6,2025-05-17 04:02:29.035924,2025-05-17 04:03:06.375678,0 days 00:00:37.339754,cwd,True,0.75,0,COMPLETE,0.6,0.995,0.995,0.00014629085300811123,0.0015006090012249953,4.5,4.25,0.1,True,120.0,0.25
51,0.8076666666666666,0.6,2025-05-17 04:34:02.725199,2025-05-17 04:34:36.841857,0 days 00:00:34.116658,mse,True,,1,COMPLETE,0.6,0.8,0.8,0.0009481812381108525,2.558700108890345e-05,3.75,4.75,0.1,True,30.0,0.15000000000000002
