number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
121,0.8112422324838949,0.5,2025-05-17 18:22:34.458080,2025-05-17 18:23:26.775175,0 days 00:00:52.317095,cwd,True,2.75,2,COMPLETE,0.5,0.9,0.9,0.008090282960787804,2.9016603206837705e-05,1.25,3.0,0.0,False,,0.25
24,0.8087908329057636,0.5,2025-05-17 17:04:19.805945,2025-05-17 17:05:08.901808,0 days 00:00:49.095863,cwd,False,2.5,0,COMPLETE,0.5,0.99,0.99,0.0017166656638802282,0.00010131327479069901,2.25,4.75,0.05,False,,0.05
106,0.8071945727153526,0.5,2025-05-17 18:10:05.486536,2025-05-17 18:10:57.138174,0 days 00:00:51.651638,cwd,True,1.25,2,COMPLETE,0.5,0.9,0.9,0.0010202045056443006,0.002291934401934247,4.5,1.0,0.15,False,,0.1
36,0.804800182429736,0.7,2025-05-17 17:13:38.370527,2025-05-17 17:14:27.177478,0 days 00:00:48.806951,cwd,True,3.25,0,COMPLETE,0.7,0.9,0.9,0.0037687330865655735,0.0001239394983487942,3.75,5.0,0.05,False,,0.15000000000000002
92,0.8032609315318396,0.5,2025-05-17 17:58:35.495496,2025-05-17 17:59:23.073245,0 days 00:00:47.577749,mse,False,,1,COMPLETE,0.5,0.99,0.99,0.008344444482842203,9.300697353876894e-05,2.25,0.75,0.05,False,,0.05
108,0.8029758850692663,0.6,2025-05-17 18:11:48.784496,2025-05-17 18:12:37.453259,0 days 00:00:48.668763,mse,True,,2,COMPLETE,0.6,0.99,0.99,0.0012414466649034051,1.138673068899949e-05,3.25,2.5,0.1,True,150.0,0.25
55,0.8026908386066928,0.6,2025-05-17 17:28:33.234041,2025-05-17 17:29:19.152360,0 days 00:00:45.918319,mse,True,,1,COMPLETE,0.6,0.99,0.99,0.0012414466649034051,1.138673068899949e-05,3.25,2.5,0.1,True,150.0,0.15000000000000002
107,0.8020067270965167,0.7,2025-05-17 18:10:57.161175,2025-05-17 18:11:48.761050,0 days 00:00:51.599875,cwd,False,3.5,2,COMPLETE,0.7,0.8,0.8,0.0016191568853648772,4.6256043193775344e-05,1.25,2.5,0.0,False,,0.25
63,0.801949717804002,0.7,2025-05-17 17:34:47.539936,2025-05-17 17:35:34.580253,0 days 00:00:47.040317,mse,False,,1,COMPLETE,0.7,0.8,0.8,0.0016191568853648772,4.6256043193775344e-05,4.0,2.5,0.0,False,,0.3
51,0.801949717804002,0.6,2025-05-17 17:25:25.859761,2025-05-17 17:26:14.836785,0 days 00:00:48.977024,cwd,True,4.25,1,COMPLETE,0.6,0.9,0.9,0.0010202045056443006,0.002291934401934247,4.5,1.0,0.15,True,60.0,0.1
27,0.8014936434638846,0.6,2025-05-17 17:06:42.095624,2025-05-17 17:07:31.479592,0 days 00:00:49.383968,cwd,True,1.5,0,COMPLETE,0.6,0.995,0.995,0.0007531173420656131,0.001514201373025333,2.0,1.5,0.15,False,,0.3
37,0.8010375691237671,0.7,2025-05-17 17:14:27.200569,2025-05-17 17:15:15.987291,0 days 00:00:48.786722,cwd,False,0.5,0,COMPLETE,0.7,0.8,0.8,0.0016191568853648772,4.6256043193775344e-05,0.75,2.5,0.0,True,60.0,0.25
44,0.8001254204435323,0.7,2025-05-17 17:20:06.013629,2025-05-17 17:20:54.681401,0 days 00:00:48.667772,cwd,True,0.5,0,COMPLETE,0.7,0.995,0.995,0.007394766217901976,7.871196998430181e-05,3.75,3.0,0.05,False,,0.15000000000000002
33,0.7992132717632975,0.5,2025-05-17 17:11:22.105518,2025-05-17 17:12:06.573331,0 days 00:00:44.467813,mse,True,,0,COMPLETE,0.5,0.99,0.99,0.0005989009536741537,0.0002175137682790737,4.5,3.75,0.0,False,,0.25
