number,value,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
72,0.7596666666666666,2025-05-20 23:07:21.263600,2025-05-20 23:07:34.490483,0 days 00:00:13.226883,mse,False,,COMPLETE,0.5,0.8,0.8,0.0005202004592278867,0.0027236199771689187,3.5,0.25,0.1,False,,0.0
68,0.759,2025-05-20 23:06:26.212211,2025-05-20 23:06:40.733104,0 days 00:00:14.520893,cwd,False,1.25,COMPLETE,0.5,0.8,0.8,0.00048245963476230063,0.0029102168403059903,3.0,0.25,0.1,False,,0.0
70,0.7583333333333333,2025-05-20 23:06:54.608100,2025-05-20 23:07:07.762199,0 days 00:00:13.154099,mse,False,,COMPLETE,0.5,0.8,0.8,0.0006798574399694599,0.0031049649042126782,3.5,0.25,0.1,False,,0.0
78,0.7583333333333333,2025-05-20 23:08:43.561851,2025-05-20 23:08:56.666764,0 days 00:00:13.104913,mse,False,,COMPLETE,0.5,0.8,0.8,0.00074538090508794,0.0089213641665097,3.25,0.25,0.1,False,,0.0
48,0.758,2025-05-20 22:59:17.948583,2025-05-20 22:59:33.555918,0 days 00:00:15.607335,cwd,False,0.5,COMPLETE,0.5,0.9,0.9,0.00013661099259314077,0.004899013678834603,4.5,0.0,0.15,False,,0.05
96,0.758,2025-05-20 23:13:03.758776,2025-05-20 23:13:18.421936,0 days 00:00:14.663160,mse,False,,COMPLETE,0.5,0.8,0.8,0.0005964998825009467,0.0021733429783199736,2.75,0.25,0.1,False,,0.0
92,0.758,2025-05-20 23:12:06.816135,2025-05-20 23:12:20.820742,0 days 00:00:14.004607,mse,False,,COMPLETE,0.5,0.8,0.8,0.0004813149051280152,0.0015985460125255509,3.25,0.25,0.1,False,,0.0
65,0.758,2025-05-20 23:05:42.220322,2025-05-20 23:05:56.486029,0 days 00:00:14.265707,cwd,False,1.5,COMPLETE,0.5,0.99,0.99,0.0004975842611654634,0.0027318844864409656,3.5,0.25,0.1,False,,0.0
71,0.758,2025-05-20 23:07:07.803144,2025-05-20 23:07:21.223421,0 days 00:00:13.420277,mse,False,,COMPLETE,0.5,0.8,0.8,0.0005501791140402835,0.0029406863098317346,3.5,0.25,0.1,False,,0.0
22,0.7576666666666667,2025-05-20 22:49:13.603852,2025-05-20 22:49:36.267284,0 days 00:00:22.663432,cwd,False,4.5,COMPLETE,0.5,0.99,0.99,1.2043283578610634e-05,0.002806906022023567,4.0,0.25,0.1,False,,0.0
