number,value,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
89,0.7403333333333334,2025-05-20 22:30:33.801980,2025-05-20 22:30:50.905227,0 days 00:00:17.103247,mse,True,,COMPLETE,0.7,0.995,0.995,0.00025009030401487503,0.07029486028425105,4.25,0.0,0.0,False,,0.15000000000000002
115,0.7403333333333334,2025-05-20 22:39:09.176098,2025-05-20 22:39:32.978874,0 days 00:00:23.802776,mse,True,,COMPLETE,0.7,0.995,0.995,2.8987461461641162e-05,0.02658359016522503,4.25,0.0,0.0,True,120.0,0.15000000000000002
103,0.7400000000000001,2025-05-20 22:34:51.293205,2025-05-20 22:35:13.126212,0 days 00:00:21.833007,mse,True,,COMPLETE,0.7,0.995,0.995,4.378694939475103e-05,0.01874512126621599,4.75,0.0,0.0,True,120.0,0.15000000000000002
61,0.7393333333333333,2025-05-20 22:20:36.243527,2025-05-20 22:21:00.181288,0 days 00:00:23.937761,mse,True,,COMPLETE,0.7,0.995,0.995,2.6641804611903293e-05,0.04649865988323592,4.75,0.0,0.0,True,120.0,0.15000000000000002
73,0.7393333333333333,2025-05-20 22:25:05.822132,2025-05-20 22:25:29.328072,0 days 00:00:23.505940,mse,True,,COMPLETE,0.7,0.995,0.995,3.8976835115883145e-05,0.041220791630701116,4.0,0.0,0.0,True,120.0,0.15000000000000002
124,0.739,2025-05-20 22:42:36.983354,2025-05-20 22:43:00.692079,0 days 00:00:23.708725,mse,True,,COMPLETE,0.7,0.995,0.995,1.956180557091337e-05,0.024403660532499732,4.75,0.0,0.0,True,120.0,0.15000000000000002
101,0.739,2025-05-20 22:34:04.792300,2025-05-20 22:34:27.668265,0 days 00:00:22.875965,mse,True,,COMPLETE,0.7,0.995,0.995,4.5397163952613346e-05,0.035352049462142106,5.0,0.0,0.05,True,120.0,0.15000000000000002
111,0.739,2025-05-20 22:37:35.793174,2025-05-20 22:37:59.405877,0 days 00:00:23.612703,mse,True,,COMPLETE,0.7,0.995,0.995,2.222317412239274e-05,0.02006996097883225,4.75,0.0,0.0,True,120.0,0.15000000000000002
118,0.7386666666666667,2025-05-20 22:40:15.299404,2025-05-20 22:40:38.897679,0 days 00:00:23.598275,mse,True,,COMPLETE,0.7,0.995,0.995,4.93116006945131e-05,0.017344791467324126,4.0,0.0,0.0,False,,0.15000000000000002
51,0.7383333333333333,2025-05-20 22:17:02.091817,2025-05-20 22:17:25.684533,0 days 00:00:23.592716,mse,True,,COMPLETE,0.7,0.995,0.995,2.9573914894920402e-05,0.038514129995697116,4.75,0.0,0.0,True,120.0,0.15000000000000002
104,0.7383333333333333,2025-05-20 22:35:13.168414,2025-05-20 22:35:35.485779,0 days 00:00:22.317365,mse,True,,COMPLETE,0.7,0.995,0.995,4.0164379423282585e-05,0.018980071708433358,4.5,0.0,0.0,True,120.0,0.15000000000000002
105,0.7383333333333333,2025-05-20 22:35:35.530201,2025-05-20 22:35:57.487443,0 days 00:00:21.957242,mse,True,,COMPLETE,0.7,0.995,0.995,4.342477128424606e-05,0.01747582802093785,4.75,0.0,0.0,True,120.0,0.15000000000000002
43,0.7383333333333333,2025-05-20 22:13:53.464417,2025-05-20 22:14:17.134247,0 days 00:00:23.669830,mse,True,,COMPLETE,0.7,0.8,0.8,3.2239144857598194e-05,0.05114512382392048,4.25,0.25,0.0,True,150.0,0.15000000000000002
84,0.738,2025-05-20 22:29:02.601213,2025-05-20 22:29:17.942221,0 days 00:00:15.341008,mse,True,,COMPLETE,0.7,0.995,0.995,0.00020090573606184358,0.04617450659159473,4.75,0.0,0.0,True,120.0,0.15000000000000002
50,0.738,2025-05-20 22:16:38.506709,2025-05-20 22:17:02.053375,0 days 00:00:23.546666,mse,True,,COMPLETE,0.7,0.995,0.995,2.805879419646162e-05,0.03627040808308466,4.75,0.0,0.0,True,120.0,0.15000000000000002
81,0.738,2025-05-20 22:27:56.022124,2025-05-20 22:28:19.606098,0 days 00:00:23.583974,mse,True,,COMPLETE,0.7,0.995,0.995,2.9499034303193095e-05,0.039929949810111685,4.5,0.0,0.0,True,120.0,0.15000000000000002
86,0.7376666666666667,2025-05-20 22:29:33.637705,2025-05-20 22:29:56.118354,0 days 00:00:22.480649,mse,True,,COMPLETE,0.7,0.995,0.995,4.638812518920032e-05,0.039776294793979074,5.0,0.0,0.05,True,120.0,0.15000000000000002
46,0.7376666666666667,2025-05-20 22:15:04.467632,2025-05-20 22:15:28.314343,0 days 00:00:23.846711,mse,True,,COMPLETE,0.7,0.8,0.8,3.5760130116699374e-05,0.030744601277044762,4.25,0.25,0.0,True,150.0,0.15000000000000002
106,0.7376666666666667,2025-05-20 22:35:57.529705,2025-05-20 22:36:15.463706,0 days 00:00:17.934001,mse,True,,COMPLETE,0.7,0.995,0.995,6.880576915585134e-05,0.013660414385196967,4.5,0.0,0.05,True,120.0,0.15000000000000002
48,0.7376666666666667,2025-05-20 22:15:52.095639,2025-05-20 22:16:15.757263,0 days 00:00:23.661624,mse,True,,COMPLETE,0.7,0.995,0.995,3.136052505944394e-05,0.03552861818994952,4.75,0.25,0.0,True,150.0,0.15000000000000002
39,0.7373333333333334,2025-05-20 22:12:18.313223,2025-05-20 22:12:42.045583,0 days 00:00:23.732360,mse,True,,COMPLETE,0.7,0.8,0.8,1.8003887081477637e-05,0.017841494332313322,4.0,0.25,0.0,True,150.0,0.2
53,0.7373333333333333,2025-05-20 22:17:49.380846,2025-05-20 22:18:13.083371,0 days 00:00:23.702525,mse,True,,COMPLETE,0.7,0.995,0.995,2.7093263869934105e-05,0.03619193001109304,4.75,0.0,0.0,True,120.0,0.15000000000000002
56,0.7370000000000001,2025-05-20 22:18:47.158647,2025-05-20 22:19:11.054209,0 days 00:00:23.895562,mse,True,,COMPLETE,0.7,0.995,0.995,4.198910415807932e-05,0.06810175186132009,4.75,0.0,0.0,True,90.0,0.1
107,0.737,2025-05-20 22:36:15.509661,2025-05-20 22:36:37.412991,0 days 00:00:21.903330,mse,True,,COMPLETE,0.7,0.995,0.995,4.492778155106239e-05,0.016160081519426318,4.75,0.0,0.0,True,120.0,0.15000000000000002
44,0.737,2025-05-20 22:14:17.172018,2025-05-20 22:14:40.812073,0 days 00:00:23.640055,mse,True,,COMPLETE,0.7,0.8,0.8,3.5154725515584014e-05,0.02565041451198626,4.5,0.25,0.0,True,150.0,0.15000000000000002
42,0.737,2025-05-20 22:13:29.781752,2025-05-20 22:13:53.423429,0 days 00:00:23.641677,mse,True,,COMPLETE,0.7,0.8,0.8,3.1032561407490134e-05,0.0186342363241601,4.0,0.25,0.0,True,150.0,0.2
117,0.737,2025-05-20 22:39:51.735916,2025-05-20 22:40:15.258864,0 days 00:00:23.522948,mse,True,,COMPLETE,0.7,0.995,0.995,2.326288667669164e-05,0.03136116262225915,1.5,0.0,0.0,True,120.0,0.15000000000000002
100,0.7366666666666667,2025-05-20 22:33:50.263490,2025-05-20 22:34:04.752264,0 days 00:00:14.488774,mse,True,,COMPLETE,0.7,0.995,0.995,0.0002701846690231446,0.05027821230794232,5.0,0.0,0.0,True,60.0,0.2
41,0.7366666666666667,2025-05-20 22:13:05.823219,2025-05-20 22:13:29.743073,0 days 00:00:23.919854,mse,True,,COMPLETE,0.7,0.8,0.8,2.021776253131324e-05,0.01549945734467609,3.75,0.25,0.0,True,150.0,0.2
64,0.7366666666666667,2025-05-20 22:21:47.128207,2025-05-20 22:22:10.606183,0 days 00:00:23.477976,mse,True,,COMPLETE,0.7,0.995,0.995,2.6930170497815645e-05,0.04887418027631986,4.25,0.25,0.0,True,150.0,0.15000000000000002
114,0.7363333333333334,2025-05-20 22:38:46.820679,2025-05-20 22:39:09.137405,0 days 00:00:22.316726,mse,True,,COMPLETE,0.7,0.995,0.995,3.4630847156843264e-05,0.012447842478741129,4.75,0.0,0.0,True,120.0,0.15000000000000002
70,0.7363333333333334,2025-05-20 22:23:55.646480,2025-05-20 22:24:18.703871,0 days 00:00:23.057391,mse,True,,COMPLETE,0.7,0.995,0.995,2.1038859038065282e-05,0.0017125998372596342,4.75,0.0,0.0,True,120.0,0.05
79,0.7363333333333334,2025-05-20 22:27:15.788372,2025-05-20 22:27:32.435764,0 days 00:00:16.647392,mse,True,,COMPLETE,0.7,0.995,0.995,0.00010234005698875802,0.022038301444022686,4.0,0.25,0.0,True,120.0,0.1
65,0.7360000000000001,2025-05-20 22:22:10.645123,2025-05-20 22:22:26.740684,0 days 00:00:16.095561,mse,True,,COMPLETE,0.7,0.995,0.995,0.00012323100255231707,0.02751581733420969,4.75,0.0,0.0,True,90.0,0.15000000000000002
108,0.7360000000000001,2025-05-20 22:36:37.453124,2025-05-20 22:36:57.589233,0 days 00:00:20.136109,mse,True,,COMPLETE,0.7,0.995,0.995,5.5988329950653266e-05,0.02612882427579997,5.0,0.0,0.1,True,120.0,0.1
