number,value,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
117,0.9162728704713438,2025-05-18 02:08:16.220192,2025-05-18 02:09:12.798329,0 days 00:00:56.578137,cwd,False,5.0,COMPLETE,0.5,0.99,0.99,0.008559988970941155,1.2280526280169557e-05,0.0,4.0,0.1,False,,0.25
115,0.9159093662910456,2025-05-18 02:06:19.799863,2025-05-18 02:07:18.130019,0 days 00:00:58.330156,cwd,False,5.0,COMPLETE,0.5,0.99,0.99,0.006808552792081459,1.3053335985317318e-05,0.0,4.25,0.1,False,,0.25
112,0.9157881982309464,2025-05-18 02:03:29.787119,2025-05-18 02:04:28.000711,0 days 00:00:58.213592,cwd,False,5.0,COMPLETE,0.5,0.99,0.99,0.0035378735720288995,2.0916010020345808e-05,0.0,4.5,0.1,False,,0.25
94,0.9156670301708468,2025-05-18 01:48:10.201528,2025-05-18 01:49:08.533255,0 days 00:00:58.331727,cwd,False,4.5,COMPLETE,0.5,0.99,0.99,0.006147148091715269,1.9495327996634873e-05,0.0,4.75,0.1,False,,0.2
92,0.9151823579304494,2025-05-18 01:46:14.097481,2025-05-18 01:47:12.002247,0 days 00:00:57.904766,cwd,False,4.25,COMPLETE,0.5,0.99,0.99,0.004283770141813488,2.0649368641665078e-05,0.0,4.75,0.1,False,,0.2
97,0.9151823579304494,2025-05-18 01:51:04.099760,2025-05-18 01:52:02.015609,0 days 00:00:57.915849,cwd,False,4.75,COMPLETE,0.5,0.99,0.99,0.006274097689775391,3.222598537639632e-05,0.0,4.75,0.1,False,,0.25
96,0.9138495092693565,2025-05-18 01:50:05.892369,2025-05-18 01:51:04.061340,0 days 00:00:58.168971,cwd,False,4.5,COMPLETE,0.5,0.99,0.99,0.003381358361999326,3.4332978917238485e-05,0.0,4.75,0.1,False,,0.25
111,0.9132436689688598,2025-05-18 02:02:31.640322,2025-05-18 02:03:29.747713,0 days 00:00:58.107391,cwd,False,4.75,COMPLETE,0.5,0.99,0.99,0.0033242515419793514,1.8486117848693486e-05,0.0,4.75,0.1,False,,0.25
98,0.9131225009087603,2025-05-18 01:52:02.055141,2025-05-18 01:52:59.818521,0 days 00:00:57.763380,cwd,False,4.75,COMPLETE,0.5,0.99,0.99,0.0033383052437194532,3.321358622882615e-05,0.25,4.75,0.1,False,,0.25
80,0.9131225009087603,2025-05-18 01:36:25.406399,2025-05-18 01:37:15.411109,0 days 00:00:50.004710,mse,False,,COMPLETE,0.5,0.99,0.99,0.004893944871420659,1.1030460677753061e-05,0.25,3.75,0.1,True,150.0,0.2
121,0.9131225009087603,2025-05-18 02:12:01.276508,2025-05-18 02:12:50.787152,0 days 00:00:49.510644,cwd,False,5.0,COMPLETE,0.5,0.99,0.99,0.007032038348906498,1.3098040059060004e-05,0.0,4.25,0.1,False,,0.25
113,0.9123954925481642,2025-05-18 02:04:28.043651,2025-05-18 02:05:21.633853,0 days 00:00:53.590202,cwd,False,5.0,COMPLETE,0.5,0.99,0.99,0.004221528416915171,1.821517943562126e-05,0.25,4.5,0.1,False,,0.25
114,0.9123954925481642,2025-05-18 02:05:21.674152,2025-05-18 02:06:19.760369,0 days 00:00:58.086217,cwd,False,5.0,COMPLETE,0.5,0.99,0.99,0.006691056539769685,1.2715991698589205e-05,0.0,4.25,0.1,False,,0.25
124,0.9123954925481642,2025-05-18 02:14:46.688496,2025-05-18 02:15:41.108277,0 days 00:00:54.419781,cwd,False,4.5,COMPLETE,0.5,0.99,0.99,0.005805791420766903,1.0387615546043113e-05,0.25,4.5,0.1,False,,0.3
93,0.9123954925481642,2025-05-18 01:47:12.043079,2025-05-18 01:48:10.163010,0 days 00:00:58.119931,cwd,False,4.75,COMPLETE,0.5,0.99,0.99,0.00612262398993869,3.0644655843385425e-05,0.0,4.75,0.1,False,,0.2
84,0.9117896522476675,2025-05-18 01:39:39.339871,2025-05-18 01:40:30.362106,0 days 00:00:51.022235,mse,False,,COMPLETE,0.5,0.99,0.99,0.004564232970996017,2.029360531731896e-05,0.0,5.0,0.1,True,150.0,0.2
106,0.9116684841875681,2025-05-18 01:58:25.079938,2025-05-18 01:59:22.988746,0 days 00:00:57.908808,cwd,False,4.25,COMPLETE,0.5,0.99,0.99,0.0035863298594056396,2.0720191101711737e-05,0.5,4.5,0.1,False,,0.25
103,0.9114261480673694,2025-05-18 01:55:30.865717,2025-05-18 01:56:28.837236,0 days 00:00:57.971519,cwd,False,4.0,COMPLETE,0.5,0.99,0.99,0.0023741880104993164,2.032281419307387e-05,0.25,4.5,0.1,False,,0.25
116,0.9114261480673694,2025-05-18 02:07:18.169850,2025-05-18 02:08:16.181618,0 days 00:00:58.011768,cwd,False,5.0,COMPLETE,0.5,0.99,0.99,0.006903785204802807,1.3641524259911743e-05,0.25,4.25,0.1,False,,0.25
90,0.91130498000727,2025-05-18 01:44:25.131123,2025-05-18 01:45:20.085447,0 days 00:00:54.954324,cwd,False,4.25,COMPLETE,0.5,0.99,0.99,0.0033571948452007635,3.0064049568902204e-05,0.0,4.75,0.1,False,,0.2
102,0.91130498000727,2025-05-18 01:54:32.870304,2025-05-18 01:55:30.825314,0 days 00:00:57.955010,cwd,False,4.75,COMPLETE,0.5,0.99,0.99,0.0033801969889012025,1.9277610005335346e-05,0.0,4.75,0.1,False,,0.25
85,0.9109414758269719,2025-05-18 01:40:30.401161,2025-05-18 01:41:20.630535,0 days 00:00:50.229374,mse,False,,COMPLETE,0.5,0.99,0.99,0.00399581481393029,1.8306447285840365e-05,0.0,5.0,0.1,True,150.0,0.2
95,0.9105779716466739,2025-05-18 01:49:08.573244,2025-05-18 01:50:05.853817,0 days 00:00:57.280573,cwd,False,4.5,COMPLETE,0.5,0.99,0.99,0.005856572657663984,3.177288961686595e-05,0.0,4.75,0.1,False,,0.25
107,0.9104568035865745,2025-05-18 01:59:23.027658,2025-05-18 02:00:21.101265,0 days 00:00:58.073607,cwd,False,4.0,COMPLETE,0.5,0.99,0.99,0.0024185604680147755,1.2292732921957808e-05,0.5,4.5,0.1,False,,0.3
86,0.9102144674663758,2025-05-18 01:41:20.668991,2025-05-18 01:42:10.634579,0 days 00:00:49.965588,mse,False,,COMPLETE,0.5,0.99,0.99,0.004369622400729063,2.7851870387744485e-05,0.0,5.0,0.1,True,150.0,0.2
120,0.9100932994062765,2025-05-18 02:11:06.570415,2025-05-18 02:12:01.236249,0 days 00:00:54.665834,cwd,False,4.75,COMPLETE,0.5,0.99,0.99,0.005651100464406135,1.7273881395649353e-05,0.0,4.25,0.1,False,,0.25
