number,value,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
115,0.8556666666666666,2025-05-20 21:53:52.892646,2025-05-20 21:54:10.338274,0 days 00:00:17.445628,cwd,False,2.0,COMPLETE,0.6,0.995,0.995,0.0003178648157677066,0.07502215957395289,1.25,0.25,0.05,False,,0.25
124,0.8553333333333333,2025-05-20 21:56:38.517544,2025-05-20 21:57:00.178326,0 days 00:00:21.660782,cwd,False,2.75,COMPLETE,0.6,0.995,0.995,0.0003664764668267209,0.07742398243329122,0.75,0.25,0.05,False,,0.25
122,0.855,2025-05-20 21:56:01.982538,2025-05-20 21:56:22.614138,0 days 00:00:20.631600,cwd,False,2.5,COMPLETE,0.6,0.995,0.995,0.00034353547911533785,0.07701187303567165,1.0,0.25,0.05,False,,0.25
111,0.855,2025-05-20 21:52:33.546574,2025-05-20 21:52:52.341673,0 days 00:00:18.795099,cwd,False,2.25,COMPLETE,0.6,0.995,0.995,0.0003168298708354193,0.06300549600963092,1.25,0.25,0.05,False,,0.25
123,0.8546666666666667,2025-05-20 21:56:22.653792,2025-05-20 21:56:38.475849,0 days 00:00:15.822057,cwd,False,2.5,COMPLETE,0.6,0.995,0.995,0.000402603501535889,0.07647151066692706,1.25,0.25,0.05,False,,0.25
96,0.8543333333333333,2025-05-20 21:47:49.776680,2025-05-20 21:48:07.095811,0 days 00:00:17.319131,cwd,False,2.5,COMPLETE,0.6,0.99,0.99,0.00047377508061859986,0.04620860660538341,1.0,0.25,0.1,False,,0.2
109,0.8543333333333333,2025-05-20 21:51:50.538129,2025-05-20 21:52:10.336259,0 days 00:00:19.798130,cwd,False,2.25,COMPLETE,0.6,0.995,0.995,0.0003022339448285478,0.16104042713324196,1.25,0.25,0.05,False,,0.25
23,0.8543333333333333,2025-05-20 21:27:17.722526,2025-05-20 21:27:30.245456,0 days 00:00:12.522930,mse,False,,COMPLETE,0.6,0.995,0.995,0.0026570836630826528,0.012246761315393222,0.75,0.25,0.05,True,120.0,0.05
89,0.854,2025-05-20 21:45:20.862656,2025-05-20 21:45:41.689367,0 days 00:00:20.826711,cwd,False,2.0,COMPLETE,0.6,0.99,0.99,0.00032708048969355734,0.07753638667819085,1.0,0.25,0.1,False,,0.2
22,0.854,2025-05-20 21:27:01.897508,2025-05-20 21:27:17.682104,0 days 00:00:15.784596,mse,False,,COMPLETE,0.6,0.995,0.995,0.0018649651041404984,0.022025723702891086,1.0,0.25,0.05,True,150.0,0.05
