number,value,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
120,0.8506666666666667,2025-05-20 21:18:39.446898,2025-05-20 21:19:01.830034,0 days 00:00:22.383136,mse,True,,COMPLETE,0.5,0.8,0.8,0.0002828990602834687,6.651166536674991e-05,4.5,0.0,0.15,False,,0.1
104,0.8496666666666667,2025-05-20 21:13:18.769061,2025-05-20 21:13:41.047971,0 days 00:00:22.278910,mse,True,,COMPLETE,0.5,0.8,0.8,0.0003652822500488714,3.049820705592317e-05,5.0,0.0,0.15,False,,0.1
45,0.8490000000000001,2025-05-20 20:49:34.410201,2025-05-20 20:49:57.740393,0 days 00:00:23.330192,mse,True,,COMPLETE,0.5,0.8,0.8,0.00016368529540940996,0.00011506360210961677,4.5,0.0,0.15,False,,0.0
90,0.8486666666666666,2025-05-20 21:08:26.751715,2025-05-20 21:08:50.474097,0 days 00:00:23.722382,mse,True,,COMPLETE,0.5,0.8,0.8,0.00023047928252744012,6.404386180298307e-05,4.75,0.0,0.15,False,,0.1
67,0.8486666666666666,2025-05-20 20:58:33.191787,2025-05-20 20:58:59.329136,0 days 00:00:26.137349,mse,True,,COMPLETE,0.5,0.99,0.99,0.00011570937195478093,0.0028575035361869407,4.25,0.0,0.15,False,,0.2
99,0.8486666666666666,2025-05-20 21:11:42.820245,2025-05-20 21:12:01.013293,0 days 00:00:18.193048,mse,True,,COMPLETE,0.5,0.8,0.8,0.0005664610631430566,0.00013749434057232037,4.5,0.0,0.15,False,,0.1
95,0.8486666666666666,2025-05-20 21:10:21.979591,2025-05-20 21:10:41.479250,0 days 00:00:19.499659,mse,True,,COMPLETE,0.5,0.8,0.8,0.0004618177976345026,6.180521143914859e-05,4.75,0.0,0.15,False,,0.1
71,0.8483333333333333,2025-05-20 21:00:18.949150,2025-05-20 21:00:45.302052,0 days 00:00:26.352902,mse,True,,COMPLETE,0.5,0.99,0.99,0.00017838371845583096,0.0010654280977620615,4.25,0.0,0.15,False,,0.15000000000000002
92,0.8483333333333333,2025-05-20 21:09:14.885440,2025-05-20 21:09:38.139870,0 days 00:00:23.254430,mse,True,,COMPLETE,0.5,0.8,0.8,0.00022217612584216507,3.6319510455975146e-05,4.75,0.0,0.15,False,,0.1
56,0.8476666666666667,2025-05-20 20:53:50.606176,2025-05-20 20:54:14.985368,0 days 00:00:24.379192,mse,True,,COMPLETE,0.5,0.99,0.99,0.00014929012122339043,0.00437561589431902,4.25,0.0,0.15,False,,0.1
113,0.8476666666666667,2025-05-20 21:16:33.444655,2025-05-20 21:16:51.791076,0 days 00:00:18.346421,mse,True,,COMPLETE,0.5,0.8,0.8,0.0004767824348841792,0.00020563459012227402,4.75,0.0,0.15,False,,0.05
110,0.8476666666666667,2025-05-20 21:15:37.998459,2025-05-20 21:15:59.059189,0 days 00:00:21.060730,mse,True,,COMPLETE,0.5,0.8,0.8,0.000350988637224822,0.00011836372647107425,5.0,0.0,0.15,False,,0.05
88,0.8476666666666667,2025-05-20 21:07:42.554704,2025-05-20 21:08:06.673919,0 days 00:00:24.119215,mse,True,,COMPLETE,0.5,0.99,0.99,0.00020222284826807392,6.373245691462123e-05,4.75,0.0,0.15,False,,0.1
111,0.8476666666666667,2025-05-20 21:15:59.099144,2025-05-20 21:16:16.596894,0 days 00:00:17.497750,mse,True,,COMPLETE,0.5,0.8,0.8,0.000714727563331447,0.0001241251429547825,5.0,0.0,0.15,False,,0.05
72,0.8476666666666666,2025-05-20 21:00:45.343549,2025-05-20 21:01:11.708990,0 days 00:00:26.365441,mse,True,,COMPLETE,0.5,0.99,0.99,0.00017523525439391634,0.0004828897601683959,3.75,0.0,0.15,False,,0.15000000000000002
97,0.8473333333333333,2025-05-20 21:11:00.719880,2025-05-20 21:11:23.436683,0 days 00:00:22.716803,mse,True,,COMPLETE,0.5,0.8,0.8,0.0002318524545217032,9.691518487393776e-05,4.75,0.0,0.15,False,,0.1
43,0.847,2025-05-20 20:48:46.793517,2025-05-20 20:49:11.143905,0 days 00:00:24.350388,mse,True,,COMPLETE,0.5,0.8,0.8,0.0002243162329541899,4.264632237675603e-05,5.0,0.0,0.15,False,,0.05
66,0.8466666666666667,2025-05-20 20:58:06.861711,2025-05-20 20:58:33.152476,0 days 00:00:26.290765,mse,True,,COMPLETE,0.5,0.99,0.99,0.00013186476585269965,0.001060868876257863,4.25,0.0,0.15,False,,0.15000000000000002
91,0.8466666666666667,2025-05-20 21:08:50.523735,2025-05-20 21:09:14.845328,0 days 00:00:24.321593,mse,True,,COMPLETE,0.5,0.8,0.8,0.00021592109198372253,3.784581068030216e-05,4.75,0.0,0.15,False,,0.1
121,0.8466666666666667,2025-05-20 21:19:01.869717,2025-05-20 21:19:21.620202,0 days 00:00:19.750485,mse,True,,COMPLETE,0.5,0.8,0.8,0.0004203183638140724,5.6339302327836265e-05,4.5,0.0,0.15,False,,0.1
53,0.8463333333333334,2025-05-20 20:52:41.358546,2025-05-20 20:53:05.548673,0 days 00:00:24.190127,mse,True,,COMPLETE,0.5,0.8,0.8,0.00017435205502979597,0.0015894053051014622,4.75,0.0,0.15,False,,0.1
62,0.8463333333333334,2025-05-20 20:56:29.353376,2025-05-20 20:56:54.049412,0 days 00:00:24.696036,mse,True,,COMPLETE,0.5,0.99,0.99,0.0001521602021397692,0.000259083473257635,4.25,0.0,0.15,False,,0.15000000000000002
81,0.8463333333333333,2025-05-20 21:04:41.688343,2025-05-20 21:05:08.263064,0 days 00:00:26.574721,mse,True,,COMPLETE,0.5,0.99,0.99,0.00016519352179479406,0.0008990574879737674,4.25,0.0,0.15,False,,0.15000000000000002
76,0.8463333333333333,2025-05-20 21:02:28.854683,2025-05-20 21:02:55.038553,0 days 00:00:26.183870,mse,True,,COMPLETE,0.5,0.99,0.99,0.00016900089252272536,0.0031619329666057105,4.5,0.0,0.15,False,,0.1
61,0.8460000000000001,2025-05-20 20:56:01.943603,2025-05-20 20:56:29.313674,0 days 00:00:27.370071,mse,True,,COMPLETE,0.5,0.99,0.99,0.00020741560035975154,0.001264378782522908,5.0,0.0,0.15,False,,0.15000000000000002
82,0.8460000000000001,2025-05-20 21:05:08.305497,2025-05-20 21:05:34.757154,0 days 00:00:26.451657,mse,True,,COMPLETE,0.5,0.99,0.99,0.00012960279970702788,0.000522978193444656,4.0,0.0,0.15,False,,0.15000000000000002
102,0.846,2025-05-20 21:12:34.981176,2025-05-20 21:12:59.083566,0 days 00:00:24.102390,mse,True,,COMPLETE,0.5,0.8,0.8,0.00025004397317150343,9.512646533503903e-05,4.75,0.0,0.15,False,,0.1
85,0.846,2025-05-20 21:06:26.120959,2025-05-20 21:06:52.262656,0 days 00:00:26.141697,mse,True,,COMPLETE,0.5,0.99,0.99,0.00017847989595646795,0.0007776225688070374,4.25,0.0,0.15,False,,0.1
46,0.8456666666666667,2025-05-20 20:49:57.782317,2025-05-20 20:50:21.254330,0 days 00:00:23.472013,mse,True,,COMPLETE,0.5,0.8,0.8,0.00014525787633709082,0.0002803035495744779,4.0,0.0,0.15,False,,0.0
59,0.8456666666666667,2025-05-20 20:55:03.730696,2025-05-20 20:55:27.808198,0 days 00:00:24.077502,mse,True,,COMPLETE,0.5,0.99,0.99,0.0002206227165314479,0.0013057997865366284,5.0,0.0,0.15,False,,0.15000000000000002
54,0.8456666666666667,2025-05-20 20:53:05.592643,2025-05-20 20:53:29.866429,0 days 00:00:24.273786,mse,True,,COMPLETE,0.5,0.8,0.8,0.00014345918197795129,0.0019494710822838483,4.75,0.0,0.15,False,,0.1
64,0.8456666666666667,2025-05-20 20:57:15.581012,2025-05-20 20:57:40.154836,0 days 00:00:24.573824,mse,True,,COMPLETE,0.5,0.99,0.99,0.0001809510646333368,0.0002071845258610947,4.5,0.0,0.15,False,,0.2
70,0.8456666666666667,2025-05-20 20:59:52.285754,2025-05-20 21:00:18.905325,0 days 00:00:26.619571,mse,True,,COMPLETE,0.5,0.9,0.9,0.00012087297500020384,0.0033220065767085825,4.5,0.0,0.15,False,,0.25
98,0.8456666666666667,2025-05-20 21:11:23.474890,2025-05-20 21:11:42.779182,0 days 00:00:19.304292,mse,True,,COMPLETE,0.5,0.8,0.8,0.00045439082484647416,5.743682040706714e-05,4.5,0.0,0.15,False,,0.1
93,0.8456666666666667,2025-05-20 21:09:38.179048,2025-05-20 21:09:58.962354,0 days 00:00:20.783306,mse,True,,COMPLETE,0.5,0.8,0.8,0.0002965550866284045,6.155388372834393e-05,4.5,0.0,0.15,False,,0.05
124,0.8456666666666667,2025-05-20 21:20:01.746132,2025-05-20 21:20:23.947242,0 days 00:00:22.201110,mse,True,,COMPLETE,0.5,0.8,0.8,0.0002620343006190058,0.00011310890664981112,4.5,0.0,0.15,False,,0.1
117,0.8456666666666667,2025-05-20 21:17:46.864113,2025-05-20 21:18:04.696753,0 days 00:00:17.832640,mse,True,,COMPLETE,0.5,0.8,0.8,0.0006869493809047663,4.819096224260424e-05,4.75,0.0,0.15,False,,0.05
89,0.8453333333333334,2025-05-20 21:08:06.714482,2025-05-20 21:08:26.706778,0 days 00:00:19.992296,cwd,True,5.0,COMPLETE,0.5,0.99,0.99,0.0006127774757227518,2.6638904379114398e-05,5.0,0.0,0.05,False,,0.1
65,0.8453333333333334,2025-05-20 20:57:40.199039,2025-05-20 20:58:06.820218,0 days 00:00:26.621179,mse,True,,COMPLETE,0.5,0.99,0.99,0.00022065453114468456,0.019918520130280348,5.0,0.0,0.15,False,,0.15000000000000002
50,0.8453333333333334,2025-05-20 20:51:34.213200,2025-05-20 20:51:55.793848,0 days 00:00:21.580648,mse,True,,COMPLETE,0.5,0.8,0.8,0.0004089573977367522,0.0006082313091562483,4.5,0.0,0.15,False,,0.05
106,0.8450000000000001,2025-05-20 21:14:05.629109,2025-05-20 21:14:30.912250,0 days 00:00:25.283141,mse,True,,COMPLETE,0.5,0.8,0.8,0.000459236089683317,4.530881211436501e-05,4.5,0.0,0.15,False,,0.1
108,0.8450000000000001,2025-05-20 21:14:52.690893,2025-05-20 21:15:15.362102,0 days 00:00:22.671209,cwd,True,1.5,COMPLETE,0.5,0.8,0.8,0.0003769279486987217,3.131223487133853e-05,1.75,0.0,0.15,False,,0.1
118,0.8446666666666666,2025-05-20 21:18:04.736445,2025-05-20 21:18:20.446189,0 days 00:00:15.709744,mse,True,,COMPLETE,0.5,0.8,0.8,0.001021483540886161,1.5362218368877593e-05,5.0,0.0,0.15,False,,0.1
122,0.8446666666666666,2025-05-20 21:19:21.660473,2025-05-20 21:19:43.485868,0 days 00:00:21.825395,mse,True,,COMPLETE,0.5,0.8,0.8,0.00030694127053576976,7.362597221607657e-05,4.25,0.0,0.15,False,,0.1
52,0.8446666666666666,2025-05-20 20:52:17.125762,2025-05-20 20:52:41.318680,0 days 00:00:24.192918,mse,True,,COMPLETE,0.5,0.8,0.8,0.00011747168273855069,0.0019448777993036558,4.75,0.0,0.15,False,,0.1
103,0.8446666666666666,2025-05-20 21:12:59.123318,2025-05-20 21:13:18.722601,0 days 00:00:19.599283,mse,True,,COMPLETE,0.5,0.8,0.8,0.0008632900245085981,6.63129691332527e-05,4.75,0.0,0.15,False,,0.1
86,0.8443333333333333,2025-05-20 21:06:52.302741,2025-05-20 21:07:18.819478,0 days 00:00:26.516737,mse,True,,COMPLETE,0.5,0.99,0.99,8.700712584058242e-05,0.0017017076424069137,4.5,0.0,0.15,False,,0.15000000000000002
112,0.844,2025-05-20 21:16:16.636321,2025-05-20 21:16:33.404055,0 days 00:00:16.767734,mse,True,,COMPLETE,0.5,0.8,0.8,0.0008341573510017239,2.2671899658680016e-05,5.0,0.0,0.15,False,,0.05
114,0.844,2025-05-20 21:16:51.829813,2025-05-20 21:17:11.238453,0 days 00:00:19.408640,mse,True,,COMPLETE,0.5,0.8,0.8,0.0003554837595416154,0.0001116285951155989,5.0,0.5,0.15,False,,0.05
96,0.844,2025-05-20 21:10:41.521204,2025-05-20 21:11:00.681266,0 days 00:00:19.160062,mse,True,,COMPLETE,0.5,0.8,0.8,0.0004072218738784997,7.354949779759448e-05,4.75,0.0,0.15,False,,0.1
