number,value,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
111,0.965467102871683,2025-05-18 05:48:11.781363,2025-05-18 05:49:19.341787,0 days 00:01:07.560424,mse,False,,COMPLETE,0.5,0.9,0.9,1.1561686114423748e-05,0.00010395784224061004,2.0,0.0,0.0,True,90.0,0.25
123,0.9653762268266085,2025-05-18 06:01:18.815865,2025-05-18 06:02:25.422973,0 days 00:01:06.607108,mse,False,,COMPLETE,0.5,0.9,0.9,1.3391272425662757e-05,0.0004610189349492124,1.75,0.0,0.0,True,90.0,0.25
119,0.9653762268266085,2025-05-18 05:56:53.908032,2025-05-18 05:58:00.472503,0 days 00:01:06.564471,mse,False,,COMPLETE,0.5,0.9,0.9,1.2764980742740312e-05,0.0003516730185510214,2.0,0.0,0.0,True,90.0,0.25
122,0.9653762268266085,2025-05-18 06:00:12.831009,2025-05-18 06:01:18.774436,0 days 00:01:05.943427,mse,False,,COMPLETE,0.5,0.9,0.9,1.4211632731441619e-05,0.0003215605068914813,1.75,0.0,0.0,True,90.0,0.25
124,0.9651944747364595,2025-05-18 06:02:25.464093,2025-05-18 06:03:29.459042,0 days 00:01:03.994949,mse,False,,COMPLETE,0.5,0.9,0.9,1.6575806188826447e-05,0.0005702589530747177,1.75,0.0,0.0,True,90.0,0.25
93,0.965103598691385,2025-05-18 05:30:23.806043,2025-05-18 05:31:15.502584,0 days 00:00:51.696541,mse,False,,COMPLETE,0.5,0.9,0.9,5.7611373821055593e-05,2.7495958812248568e-05,1.0,0.25,0.0,True,90.0,0.25
99,0.9650127226463104,2025-05-18 05:35:45.038871,2025-05-18 05:36:35.732222,0 days 00:00:50.693351,mse,False,,COMPLETE,0.5,0.9,0.9,6.133779989143245e-05,4.5967933698465646e-05,1.25,0.25,0.0,True,90.0,0.2
114,0.9650127226463104,2025-05-18 05:51:26.384854,2025-05-18 05:52:30.976821,0 days 00:01:04.591967,mse,False,,COMPLETE,0.5,0.9,0.9,1.384055134343535e-05,0.00015867515847951688,2.25,0.0,0.0,True,90.0,0.25
120,0.9650127226463104,2025-05-18 05:58:00.812438,2025-05-18 05:59:07.510444,0 days 00:01:06.698006,mse,False,,COMPLETE,0.5,0.9,0.9,1.4414291608274428e-05,0.0004560581152432942,1.75,0.0,0.0,True,90.0,0.25
88,0.964921846601236,2025-05-18 05:25:59.561738,2025-05-18 05:26:49.737490,0 days 00:00:50.175752,mse,False,,COMPLETE,0.5,0.8,0.8,6.634679193970176e-05,4.745134391486005e-05,2.0,0.25,0.0,True,90.0,0.25
113,0.964921846601236,2025-05-18 05:50:22.549583,2025-05-18 05:51:26.343882,0 days 00:01:03.794299,mse,False,,COMPLETE,0.5,0.9,0.9,1.0292011752076274e-05,0.00011550043356365937,2.25,0.0,0.0,True,90.0,0.25
89,0.9648309705561614,2025-05-18 05:26:49.779254,2025-05-18 05:27:40.518847,0 days 00:00:50.739593,mse,False,,COMPLETE,0.5,0.9,0.9,5.7206235420359206e-05,4.683748805409896e-05,2.0,0.5,0.0,True,90.0,0.25
116,0.9647400945110869,2025-05-18 05:53:41.449752,2025-05-18 05:54:45.601651,0 days 00:01:04.151899,mse,False,,COMPLETE,0.5,0.9,0.9,1.0230462308989305e-05,0.00029292205011996654,2.25,0.0,0.0,True,90.0,0.25
121,0.9647400945110869,2025-05-18 05:59:07.548963,2025-05-18 06:00:12.791442,0 days 00:01:05.242479,mse,False,,COMPLETE,0.5,0.9,0.9,1.5047372319787907e-05,0.0002926141848620913,1.75,0.0,0.0,True,90.0,0.25
117,0.9647400945110869,2025-05-18 05:54:45.640874,2025-05-18 05:55:49.444134,0 days 00:01:03.803260,mse,False,,COMPLETE,0.5,0.9,0.9,1.443423267043322e-05,0.00030213096126810153,2.25,0.0,0.0,True,90.0,0.25
118,0.9647400945110869,2025-05-18 05:55:49.487372,2025-05-18 05:56:53.868614,0 days 00:01:04.381242,mse,False,,COMPLETE,0.5,0.9,0.9,1.425434121274103e-05,0.0003390288650438996,2.25,0.0,0.0,True,90.0,0.25
109,0.9646492184660124,2025-05-18 05:45:55.888102,2025-05-18 05:47:06.564253,0 days 00:01:10.676151,mse,False,,COMPLETE,0.5,0.9,0.9,1.0413063621411536e-05,0.0001026260992497544,2.0,0.0,0.0,True,90.0,0.25
105,0.9646492184660124,2025-05-18 05:41:28.642009,2025-05-18 05:42:19.871098,0 days 00:00:51.229089,mse,False,,COMPLETE,0.5,0.9,0.9,4.5637322450700266e-05,0.00010310987274793274,1.5,0.25,0.0,True,90.0,0.2
115,0.9645583424209377,2025-05-18 05:52:31.016564,2025-05-18 05:53:41.410115,0 days 00:01:10.393551,mse,False,,COMPLETE,0.5,0.9,0.9,1.00376616379174e-05,0.0002536483949559635,2.25,0.0,0.0,True,90.0,0.25
101,0.9644674663758633,2025-05-18 05:37:37.097704,2025-05-18 05:38:44.350561,0 days 00:01:07.252857,mse,False,,COMPLETE,0.5,0.9,0.9,1.0237179523771197e-05,1.6216144414636813e-05,2.25,0.25,0.0,True,90.0,0.15000000000000002
71,0.9643765903307888,2025-05-18 05:08:58.566656,2025-05-18 05:09:53.039843,0 days 00:00:54.473187,mse,True,,COMPLETE,0.5,0.8,0.8,0.00014266013130213154,7.022029265500967e-05,3.25,0.0,0.0,False,,0.3
80,0.9641948382406399,2025-05-18 05:17:08.494052,2025-05-18 05:18:02.799236,0 days 00:00:54.305184,mse,True,,COMPLETE,0.5,0.8,0.8,7.604472959354123e-05,0.00012412334788944538,2.25,0.5,0.0,True,90.0,0.25
37,0.9641948382406399,2025-05-18 04:36:20.964934,2025-05-18 04:37:14.288854,0 days 00:00:53.323920,mse,True,,COMPLETE,0.5,0.8,0.8,0.00018196671847718035,6.472789112107177e-05,3.5,0.25,0.0,False,,0.3
61,0.9641039621955653,2025-05-18 04:59:14.414820,2025-05-18 05:00:08.114233,0 days 00:00:53.699413,mse,True,,COMPLETE,0.5,0.8,0.8,0.00018152882410325924,7.84561018762009e-05,3.25,0.0,0.0,False,,0.3
92,0.9641039621955653,2025-05-18 05:29:36.187805,2025-05-18 05:30:23.766281,0 days 00:00:47.578476,mse,False,,COMPLETE,0.5,0.9,0.9,8.196171284275055e-05,2.87017947510963e-05,1.5,0.25,0.0,True,90.0,0.2
41,0.9641039621955653,2025-05-18 04:40:13.953496,2025-05-18 04:41:07.382017,0 days 00:00:53.428521,mse,True,,COMPLETE,0.5,0.8,0.8,0.0001770964324548792,3.9123205014630846e-05,3.25,0.25,0.0,False,,0.3
102,0.9641039621955653,2025-05-18 05:38:44.392358,2025-05-18 05:39:47.026453,0 days 00:01:02.634095,mse,False,,COMPLETE,0.5,0.9,0.9,1.4476169947468595e-05,1.6322435538559808e-05,2.25,0.25,0.0,True,90.0,0.15000000000000002
112,0.9641039621955653,2025-05-18 05:49:19.382638,2025-05-18 05:50:22.506805,0 days 00:01:03.124167,mse,False,,COMPLETE,0.5,0.9,0.9,1.2018911733036749e-05,9.397163368753735e-05,2.0,0.25,0.0,True,90.0,0.25
17,0.9640130861504908,2025-05-18 04:11:24.210920,2025-05-18 04:12:47.617148,0 days 00:01:23.406228,mse,True,,COMPLETE,0.5,0.995,0.995,2.3242823645556796e-05,0.0045002805435316725,4.0,0.25,0.05,True,120.0,0.05
104,0.9639222101054162,2025-05-18 05:40:38.938646,2025-05-18 05:41:28.602346,0 days 00:00:49.663700,mse,False,,COMPLETE,0.5,0.9,0.9,7.462081297740453e-05,2.1986286812098986e-05,2.25,0.0,0.0,True,90.0,0.2
82,0.9639222101054162,2025-05-18 05:18:56.783553,2025-05-18 05:20:02.044390,0 days 00:01:05.260837,mse,True,,COMPLETE,0.5,0.8,0.8,4.064493499437989e-05,7.271868597329899e-05,2.0,0.75,0.0,True,60.0,0.2
34,0.9639222101054162,2025-05-18 04:33:41.586236,2025-05-18 04:34:34.428475,0 days 00:00:52.842239,cwd,True,2.0,COMPLETE,0.5,0.8,0.8,0.0002263920239401183,0.0012865343867485947,3.5,0.25,0.0,False,,0.25
77,0.9638313340603418,2025-05-18 05:14:22.153770,2025-05-18 05:15:20.186810,0 days 00:00:58.033040,mse,True,,COMPLETE,0.5,0.8,0.8,0.0001337608368307644,1.8812805885528092e-05,2.0,0.5,0.0,False,,0.25
51,0.9638313340603418,2025-05-18 04:49:57.845088,2025-05-18 04:50:51.762791,0 days 00:00:53.917703,mse,True,,COMPLETE,0.5,0.8,0.8,0.00017029826630467044,7.386071397424922e-05,3.25,0.0,0.0,False,,0.3
42,0.9638313340603416,2025-05-18 04:41:07.422610,2025-05-18 04:42:00.555604,0 days 00:00:53.132994,mse,True,,COMPLETE,0.5,0.8,0.8,0.00018038452315660033,2.0305819386318995e-05,3.25,0.25,0.0,False,,0.3
