number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
36,0.966230936819172,0.5,2025-05-17 09:08:39.974660,2025-05-17 09:09:44.279423,0 days 00:01:04.304763,mse,True,,0,COMPLETE,0.5,0.99,0.99,0.0005602724819797751,6.866988331999372e-05,1.25,1.75,0.05,False,,0.15000000000000002
13,0.963834422657952,0.5,2025-05-17 08:42:57.809130,2025-05-17 08:44:00.755032,0 days 00:01:02.945902,mse,False,,0,COMPLETE,0.5,0.9,0.9,0.00039756577506784975,0.0005295716337640532,2.0,3.25,0.15,True,30.0,0.05
99,0.963834422657952,0.5,2025-05-17 10:18:11.648983,2025-05-17 10:19:15.754025,0 days 00:01:04.105042,mse,False,,1,COMPLETE,0.5,0.8,0.8,0.0027597069582725583,3.7286023392361936e-05,0.75,1.75,0.0,False,,0.1
0,0.9612200435729847,0.5,2025-05-17 08:25:10.591915,2025-05-17 08:27:27.924809,0 days 00:02:17.332894,cwd,True,1.75,0,COMPLETE,0.5,0.995,0.995,0.0020051293765717257,1.3680687531519279e-05,0.75,3.5,0.1,False,,0.25
107,0.9605664488017429,0.5,2025-05-17 10:26:46.348658,2025-05-17 10:27:57.091200,0 days 00:01:10.742542,cwd,False,1.5,2,COMPLETE,0.5,0.995,0.995,0.0002104435945969178,0.00023821657350675242,4.75,2.5,0.05,False,,0.1
90,0.9603485838779956,0.5,2025-05-17 10:08:13.349753,2025-05-17 10:09:16.830468,0 days 00:01:03.480715,mse,True,,1,COMPLETE,0.5,0.8,0.8,0.00039756577506784975,0.0004009312144861163,1.0,3.75,0.05,True,150.0,0.05
88,0.9603485838779956,0.7,2025-05-17 10:05:55.814538,2025-05-17 10:07:03.881924,0 days 00:01:08.067386,cwd,False,4.0,1,COMPLETE,0.7,0.8,0.8,0.004803424820539065,5.868256828917582e-05,1.25,3.0,0.1,True,150.0,0.0
11,0.9603485838779956,0.5,2025-05-17 08:40:38.315671,2025-05-17 08:41:48.389594,0 days 00:01:10.073923,cwd,False,4.0,0,COMPLETE,0.5,0.8,0.8,0.002437042304609396,7.510345524372309e-05,4.0,4.75,0.05,True,60.0,0.05
55,0.9599128540305011,0.5,2025-05-17 09:29:46.518926,2025-05-17 09:30:49.527314,0 days 00:01:03.008388,mse,False,,1,COMPLETE,0.5,0.8,0.8,0.00021890207147570796,0.0005295716337640532,2.75,3.25,0.05,True,120.0,0.05
112,0.9592592592592593,0.5,2025-05-17 10:32:10.948367,2025-05-17 10:33:19.985182,0 days 00:01:09.036815,cwd,False,0.5,2,COMPLETE,0.5,0.9,0.9,0.00026422698823278727,7.855421865454092e-05,1.0,0.5,0.15,False,,0.0
82,0.9586056644880174,0.5,2025-05-17 09:59:17.416836,2025-05-17 10:00:27.960332,0 days 00:01:10.543496,cwd,False,5.0,1,COMPLETE,0.5,0.99,0.99,0.0031025987776354927,7.855421865454092e-05,1.0,1.75,0.15,True,120.0,0.1
51,0.9577342047930283,0.6,2025-05-17 09:25:09.013529,2025-05-17 09:26:19.740322,0 days 00:01:10.726793,cwd,False,0.25,1,COMPLETE,0.6,0.8,0.8,0.001332879902342965,1.1873628406676831e-05,1.0,2.0,0.1,True,60.0,0.1
40,0.9575163398692811,0.6,2025-05-17 09:13:02.557777,2025-05-17 09:14:05.709789,0 days 00:01:03.152012,mse,False,,0,COMPLETE,0.6,0.8,0.8,0.004177810867746892,1.4199664620590573e-05,2.25,4.25,0.05,True,150.0,0.25
17,0.9575163398692811,0.5,2025-05-17 08:47:18.713569,2025-05-17 08:48:21.614759,0 days 00:01:02.901190,mse,True,,0,COMPLETE,0.5,0.8,0.8,0.0014311102130585784,0.00012769514645342,2.5,1.5,0.05,False,,0.05
120,0.9553376906318083,0.5,2025-05-17 10:41:16.851123,2025-05-17 10:42:27.658208,0 days 00:01:10.807085,cwd,True,4.25,2,COMPLETE,0.5,0.9,0.9,0.0016670818693548725,6.143287544965688e-05,3.0,0.0,0.05,False,,0.05
97,0.954248366013072,0.6,2025-05-17 10:15:58.766752,2025-05-17 10:17:09.155435,0 days 00:01:10.388683,cwd,True,2.25,1,COMPLETE,0.6,0.995,0.995,0.001897412040324078,3.82011425604325e-05,1.25,2.5,0.15,True,90.0,0.1
5,0.9507625272331154,0.5,2025-05-17 08:34:03.952343,2025-05-17 08:35:07.356146,0 days 00:01:03.403803,mse,False,,0,COMPLETE,0.5,0.8,0.8,0.0005479688829856511,0.0008318042663696453,2.75,1.5,0.05,False,,0.15000000000000002
33,0.9453159041394336,0.6,2025-05-17 09:05:16.955259,2025-05-17 09:06:22.710292,0 days 00:01:05.755033,mse,True,,0,COMPLETE,0.6,0.8,0.8,0.000966914866757697,0.0005506639699545212,1.5,2.0,0.0,False,,0.05
45,0.9420479302832244,0.6,2025-05-17 09:18:33.691021,2025-05-17 09:19:44.721034,0 days 00:01:11.030013,cwd,True,1.25,0,COMPLETE,0.6,0.995,0.995,0.0005856310766880774,0.00012298293846603153,1.25,1.0,0.1,False,,0.25
89,0.9407407407407407,0.7,2025-05-17 10:07:03.904501,2025-05-17 10:08:13.328127,0 days 00:01:09.423626,cwd,True,2.25,1,COMPLETE,0.7,0.995,0.995,0.0005435516973289669,7.855421865454092e-05,1.0,5.0,0.1,True,150.0,0.25
113,0.9368191721132897,0.7,2025-05-17 10:33:20.008352,2025-05-17 10:34:29.137895,0 days 00:01:09.129543,cwd,True,4.5,2,COMPLETE,0.7,0.9,0.9,0.0005435516973289669,7.855421865454092e-05,2.5,5.0,0.1,False,,0.05
116,0.931372549019608,0.6,2025-05-17 10:36:45.491298,2025-05-17 10:37:55.826980,0 days 00:01:10.335682,cwd,False,2.0,2,COMPLETE,0.6,0.99,0.99,0.001332879902342965,7.855421865454092e-05,1.0,1.75,0.1,True,30.0,0.1
122,0.9274509803921568,0.7,2025-05-17 10:43:29.991980,2025-05-17 10:44:32.567546,0 days 00:01:02.575566,mse,False,,2,COMPLETE,0.7,0.9,0.9,0.0027597069582725583,0.0005361514389306127,0.75,4.75,0.0,False,,0.1
15,0.9270152505446623,0.7,2025-05-17 08:45:09.285126,2025-05-17 08:46:11.810537,0 days 00:01:02.525411,mse,True,,0,COMPLETE,0.7,0.8,0.8,0.0006543032183278663,0.0004009312144861163,4.75,3.75,0.05,True,120.0,0.1
111,0.926797385620915,0.7,2025-05-17 10:31:08.083398,2025-05-17 10:32:10.926646,0 days 00:01:02.843248,mse,False,,2,COMPLETE,0.7,0.99,0.99,0.0005856310766880774,0.000991069100054562,3.25,3.25,0.1,False,,0.25
81,0.9263616557734204,0.6,2025-05-17 09:58:14.481746,2025-05-17 09:59:17.392997,0 days 00:01:02.911251,mse,True,,1,COMPLETE,0.6,0.995,0.995,0.0006543032183278663,0.00023821657350675242,4.75,3.75,0.05,True,150.0,0.25
7,0.9263616557734204,0.7,2025-05-17 08:36:16.148957,2025-05-17 08:37:17.307344,0 days 00:01:01.158387,mse,False,,0,COMPLETE,0.7,0.99,0.99,0.00015247432027356403,0.000991069100054562,0.75,3.75,0.1,False,,0.0
1,0.9261437908496731,0.7,2025-05-17 08:27:27.950737,2025-05-17 08:29:30.124334,0 days 00:02:02.173597,mse,False,,0,COMPLETE,0.7,0.99,0.99,0.00013951020485869243,0.0006814938977134742,0.5,1.75,0.15,False,,0.25
100,0.9257080610021786,0.6,2025-05-17 10:19:15.776761,2025-05-17 10:20:19.196659,0 days 00:01:03.419898,mse,True,,2,COMPLETE,0.6,0.9,0.9,0.0006543032183278663,0.0005295716337640532,2.0,3.75,0.15,True,30.0,0.25
119,0.9252723311546841,0.5,2025-05-17 10:40:06.733159,2025-05-17 10:41:16.825147,0 days 00:01:10.091988,cwd,False,3.5,2,COMPLETE,0.5,0.9,0.9,6.128604936018793e-05,0.0027028299984371827,2.75,0.5,0.05,True,30.0,0.2
94,0.9239651416122004,0.6,2025-05-17 10:12:36.189221,2025-05-17 10:13:46.668961,0 days 00:01:10.479740,cwd,False,2.25,1,COMPLETE,0.6,0.8,0.8,0.00048792248512091496,7.510345524372309e-05,4.75,4.75,0.05,True,150.0,0.25
103,0.922004357298475,0.7,2025-05-17 10:22:31.296839,2025-05-17 10:23:33.989132,0 days 00:01:02.692293,mse,False,,2,COMPLETE,0.7,0.995,0.995,0.0005435516973289669,0.0016479204851377268,4.0,4.75,0.05,False,,0.2
32,0.9193899782135077,0.7,2025-05-17 09:04:03.659032,2025-05-17 09:05:16.930413,0 days 00:01:13.271381,cwd,False,4.5,0,COMPLETE,0.7,0.995,0.995,0.0005435516973289669,0.0024570242985235955,0.0,1.0,0.1,True,150.0,0.15000000000000002
4,0.9163398692810457,0.6,2025-05-17 08:32:55.143007,2025-05-17 08:34:03.930673,0 days 00:01:08.787666,cwd,True,4.25,0,COMPLETE,0.6,0.9,0.9,0.0016670818693548725,6.143287544965688e-05,3.0,0.0,0.05,False,,0.0
48,0.914161220043573,0.6,2025-05-17 09:21:53.638915,2025-05-17 09:23:03.971681,0 days 00:01:10.332766,cwd,False,2.0,0,COMPLETE,0.6,0.9,0.9,0.001332879902342965,1.1873628406676831e-05,2.0,0.5,0.1,True,60.0,0.2
3,0.9132897603485839,0.7,2025-05-17 08:31:46.555493,2025-05-17 08:32:55.117904,0 days 00:01:08.562411,cwd,True,0.75,0,COMPLETE,0.7,0.99,0.99,0.0008135980711164458,0.002714569733577474,5.0,4.5,0.1,True,30.0,0.05
83,0.9122004357298475,0.7,2025-05-17 10:00:27.984862,2025-05-17 10:01:30.575516,0 days 00:01:02.590654,mse,False,,1,COMPLETE,0.7,0.995,0.995,0.0005435516973289669,0.0024570242985235955,0.0,1.0,0.15,True,90.0,0.2
