number,value,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
104,0.9754106280193237,2025-05-18 14:33:26.534665,2025-05-18 14:35:42.317587,0 days 00:02:15.782922,mse,False,,COMPLETE,0.6,0.8,0.8,0.00015118460954045837,2.5513020600458867e-05,0.0,0.75,0.1,False,,0.3
91,0.9753140096618358,2025-05-18 14:09:30.282662,2025-05-18 14:11:23.536615,0 days 00:01:53.253953,mse,False,,COMPLETE,0.6,0.8,0.8,0.00026651512833595573,0.00011731018233899853,0.0,1.0,0.1,False,,0.25
123,0.9753140096618358,2025-05-18 15:14:21.070983,2025-05-18 15:16:57.931551,0 days 00:02:36.860568,mse,False,,COMPLETE,0.6,0.8,0.8,0.0002173857057821944,5.5590480488612387e-05,0.0,1.0,0.1,False,,0.15000000000000002
62,0.9752657004830918,2025-05-18 13:16:02.148445,2025-05-18 13:18:12.101476,0 days 00:02:09.953031,mse,False,,COMPLETE,0.6,0.8,0.8,0.00024778236693535156,5.189654426096037e-05,0.0,1.0,0.1,False,,0.25
121,0.9752657004830917,2025-05-18 15:09:07.973215,2025-05-18 15:11:46.074751,0 days 00:02:38.101536,mse,False,,COMPLETE,0.6,0.8,0.8,0.00022543043993583322,5.354069133798405e-05,0.25,1.0,0.1,False,,0.15000000000000002
54,0.9752173913043478,2025-05-18 12:58:00.516469,2025-05-18 13:00:15.465539,0 days 00:02:14.949070,mse,False,,COMPLETE,0.6,0.8,0.8,0.0002968021298724299,4.920087626449554e-05,0.0,0.5,0.1,False,,0.25
57,0.9751690821256039,2025-05-18 13:04:40.061327,2025-05-18 13:06:54.781359,0 days 00:02:14.720032,mse,False,,COMPLETE,0.6,0.8,0.8,0.00018119398189080365,1.1838133494907256e-05,0.0,0.5,0.1,False,,0.3
113,0.9751690821256038,2025-05-18 14:53:10.876930,2025-05-18 14:55:26.805607,0 days 00:02:15.928677,mse,False,,COMPLETE,0.6,0.8,0.8,0.0003246276758192181,4.166733321731986e-05,0.0,0.5,0.1,False,,0.25
82,0.9751690821256038,2025-05-18 13:52:40.848163,2025-05-18 13:54:57.543082,0 days 00:02:16.694919,mse,False,,COMPLETE,0.6,0.8,0.8,0.00022388581598458427,0.00015192589243086022,0.25,1.0,0.1,False,,0.25
63,0.9751690821256038,2025-05-18 13:18:12.142219,2025-05-18 13:20:29.126232,0 days 00:02:16.984013,mse,False,,COMPLETE,0.6,0.8,0.8,0.00018937244977844202,2.0174852047533694e-05,0.0,1.0,0.1,False,,0.2
51,0.9751690821256038,2025-05-18 12:51:43.072993,2025-05-18 12:53:55.061853,0 days 00:02:11.988860,mse,False,,COMPLETE,0.6,0.8,0.8,0.00028550256652900484,0.00012141206446035099,0.25,1.0,0.1,False,,0.15000000000000002
41,0.9751207729468598,2025-05-18 12:33:31.079483,2025-05-18 12:35:32.017471,0 days 00:02:00.937988,mse,False,,COMPLETE,0.6,0.995,0.995,0.0003874125315155145,0.0004631104846584752,0.25,1.5,0.1,False,,0.15000000000000002
108,0.9751207729468598,2025-05-18 14:42:24.358918,2025-05-18 14:44:36.950536,0 days 00:02:12.591618,mse,False,,COMPLETE,0.6,0.8,0.8,0.00024654446740060565,2.9042160561963675e-05,0.25,0.75,0.1,False,,0.3
85,0.975072463768116,2025-05-18 13:59:11.224721,2025-05-18 14:01:14.305047,0 days 00:02:03.080326,mse,False,,COMPLETE,0.6,0.8,0.8,0.00040194412896368766,0.0001198145858877781,0.25,1.0,0.1,False,,0.2
97,0.975072463768116,2025-05-18 14:20:06.860940,2025-05-18 14:21:35.281094,0 days 00:01:28.420154,mse,False,,COMPLETE,0.6,0.8,0.8,0.00037795748684897287,0.00013203804781944877,0.0,1.25,0.1,False,,0.3
71,0.975072463768116,2025-05-18 13:34:03.394058,2025-05-18 13:36:17.976652,0 days 00:02:14.582594,mse,False,,COMPLETE,0.6,0.8,0.8,0.0002082928900822899,8.597907202700728e-05,0.0,0.5,0.1,False,,0.25
