number,value,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
71,0.8410000000000001,2025-05-21 01:46:47.892701,2025-05-21 01:47:25.100265,0 days 00:00:37.207564,mse,True,,COMPLETE,0.6,0.99,0.99,0.00015926448459143358,0.016382941842053165,1.5,0.0,0.05,False,,0.2
103,0.8396666666666666,2025-05-21 02:10:05.736106,2025-05-21 02:10:56.034755,0 days 00:00:50.298649,mse,True,,COMPLETE,0.6,0.99,0.99,0.0002725028841080081,0.006772558500043556,1.5,0.0,0.1,False,,0.25
72,0.839,2025-05-21 01:47:25.151049,2025-05-21 01:48:09.987539,0 days 00:00:44.836490,mse,True,,COMPLETE,0.6,0.99,0.99,0.00015548424618576001,0.023642513547877844,1.5,0.0,0.05,False,,0.2
61,0.8383333333333334,2025-05-21 01:39:17.849306,2025-05-21 01:39:57.794080,0 days 00:00:39.944774,mse,True,,COMPLETE,0.6,0.99,0.99,0.00017882043524968845,0.014508348745212415,2.25,0.0,0.05,False,,0.2
82,0.8383333333333334,2025-05-21 01:55:09.529120,2025-05-21 01:55:52.902819,0 days 00:00:43.373699,mse,True,,COMPLETE,0.6,0.99,0.99,0.00013633840021086703,0.014384073245816018,1.5,0.0,0.05,False,,0.2
53,0.8383333333333333,2025-05-21 01:33:41.317378,2025-05-21 01:34:27.569235,0 days 00:00:46.251857,cwd,True,3.5,COMPLETE,0.6,0.99,0.99,0.00018204938630876933,0.0032100974521385803,1.5,0.0,0.1,False,,0.25
109,0.838,2025-05-21 02:14:36.671209,2025-05-21 02:15:13.829191,0 days 00:00:37.157982,mse,True,,COMPLETE,0.6,0.99,0.99,0.00017381701789201368,0.016337246921720065,1.75,0.0,0.1,False,,0.15000000000000002
110,0.8376666666666667,2025-05-21 02:15:13.879165,2025-05-21 02:15:51.703410,0 days 00:00:37.824245,mse,True,,COMPLETE,0.6,0.99,0.99,0.0001713873732768417,0.009005004876601478,1.75,0.0,0.1,False,,0.1
118,0.8376666666666667,2025-05-21 02:20:17.458757,2025-05-21 02:20:59.012604,0 days 00:00:41.553847,mse,True,,COMPLETE,0.6,0.99,0.99,0.00024518987479653094,0.008993982318051295,2.5,0.25,0.1,False,,0.05
119,0.8373333333333334,2025-05-21 02:20:59.061071,2025-05-21 02:21:33.060622,0 days 00:00:33.999551,mse,True,,COMPLETE,0.6,0.995,0.995,0.0002497385871671763,0.008114735750288088,2.5,0.25,0.1,False,,0.05
81,0.8370000000000001,2025-05-21 01:54:22.327143,2025-05-21 01:55:09.482783,0 days 00:00:47.155640,mse,True,,COMPLETE,0.6,0.99,0.99,0.00016418174752475223,0.014562360168837399,2.0,0.0,0.05,False,,0.2
