number,value,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
124,0.824,2025-05-21 01:01:32.898810,2025-05-21 01:02:32.562887,0 days 00:00:59.664077,cwd,False,4.25,COMPLETE,0.6,0.99,0.99,0.0005813376788537783,0.006393111472613248,4.75,0.25,0.1,True,60.0,0.3
43,0.8236666666666667,2025-05-20 23:51:52.881996,2025-05-20 23:52:36.937437,0 days 00:00:44.055441,mse,True,,COMPLETE,0.6,0.9,0.9,0.0006301483386759298,0.01934572787968465,5.0,0.25,0.05,True,120.0,0.1
86,0.823,2025-05-21 00:27:30.544034,2025-05-21 00:28:22.057295,0 days 00:00:51.513261,mse,False,,COMPLETE,0.6,0.99,0.99,0.00029464482826298526,0.005114159902844527,4.5,0.25,0.1,True,60.0,0.3
91,0.823,2025-05-21 00:32:12.786541,2025-05-21 00:33:04.439923,0 days 00:00:51.653382,mse,False,,COMPLETE,0.6,0.99,0.99,0.0008512691282501948,0.004424000032555971,4.75,0.25,0.1,True,60.0,0.3
47,0.8226666666666667,2025-05-20 23:55:04.092022,2025-05-20 23:56:00.309041,0 days 00:00:56.217019,mse,True,,COMPLETE,0.6,0.99,0.99,0.0005895557590461836,0.018167060209966,4.75,0.25,0.05,True,150.0,0.15000000000000002
76,0.8226666666666667,2025-05-21 00:18:59.880904,2025-05-21 00:19:55.146770,0 days 00:00:55.265866,mse,True,,COMPLETE,0.6,0.8,0.8,0.0002949009725800242,0.005032002599471886,4.0,0.25,0.1,True,60.0,0.25
121,0.8226666666666667,2025-05-21 00:58:54.802931,2025-05-21 00:59:52.049179,0 days 00:00:57.246248,cwd,False,3.5,COMPLETE,0.6,0.99,0.99,0.00033026676915583376,0.005837786511275258,4.75,0.25,0.1,True,60.0,0.3
114,0.8210000000000001,2025-05-21 00:53:21.593959,2025-05-21 00:54:16.990191,0 days 00:00:55.396232,cwd,False,4.0,COMPLETE,0.6,0.99,0.99,0.0005988229339491722,0.003476772016818947,5.0,0.25,0.1,True,60.0,0.3
33,0.8210000000000001,2025-05-20 23:44:43.378307,2025-05-20 23:45:29.047945,0 days 00:00:45.669638,mse,True,,COMPLETE,0.6,0.9,0.9,0.00215475323479473,0.001202913898816008,4.75,0.25,0.05,True,60.0,0.05
112,0.8206666666666665,2025-05-21 00:51:44.842493,2025-05-21 00:52:35.603178,0 days 00:00:50.760685,cwd,False,4.75,COMPLETE,0.6,0.99,0.99,0.0005541030075256877,0.00923933420215096,5.0,0.25,0.1,True,60.0,0.3
109,0.8206666666666665,2025-05-21 00:49:08.479524,2025-05-21 00:49:58.802967,0 days 00:00:50.323443,cwd,False,4.5,COMPLETE,0.6,0.99,0.99,0.0005066313331385226,0.008639022761339462,4.75,0.25,0.1,True,60.0,0.3
105,0.8203333333333332,2025-05-21 00:45:35.759496,2025-05-21 00:46:38.152975,0 days 00:01:02.393479,mse,False,,COMPLETE,0.6,0.99,0.99,0.0004069538775406389,0.00467219052136374,4.75,0.25,0.1,True,60.0,0.3
94,0.8203333333333332,2025-05-21 00:34:50.974223,2025-05-21 00:35:50.682491,0 days 00:00:59.708268,mse,False,,COMPLETE,0.6,0.99,0.99,0.00025344316116648565,0.0024025828993781144,4.75,0.25,0.1,True,60.0,0.3
82,0.82,2025-05-21 00:24:06.415933,2025-05-21 00:24:55.170960,0 days 00:00:48.755027,mse,True,,COMPLETE,0.6,0.8,0.8,0.00033259932457287616,0.004902475955191327,4.75,0.25,0.1,True,60.0,0.3
81,0.82,2025-05-21 00:23:16.730192,2025-05-21 00:24:06.367979,0 days 00:00:49.637787,mse,True,,COMPLETE,0.6,0.8,0.8,0.00034150236471868064,0.00503689573543487,4.5,0.25,0.1,True,60.0,0.3
108,0.8193333333333334,2025-05-21 00:48:21.585907,2025-05-21 00:49:08.432232,0 days 00:00:46.846325,cwd,False,4.5,COMPLETE,0.6,0.99,0.99,0.0005029151948955113,0.009087049256523755,4.5,0.25,0.1,True,60.0,0.3
78,0.8193333333333332,2025-05-21 00:20:45.254466,2025-05-21 00:21:36.561639,0 days 00:00:51.307173,mse,True,,COMPLETE,0.6,0.8,0.8,0.0002827994824459984,0.004680557239546185,4.5,0.25,0.1,True,60.0,0.25
100,0.8186666666666667,2025-05-21 00:40:13.529930,2025-05-21 00:41:16.926513,0 days 00:01:03.396583,mse,False,,COMPLETE,0.6,0.99,0.99,0.00027869869527990377,0.003953056791821438,4.25,0.25,0.1,True,60.0,0.3
106,0.8186666666666667,2025-05-21 00:46:38.202878,2025-05-21 00:47:33.356660,0 days 00:00:55.153782,mse,False,,COMPLETE,0.6,0.99,0.99,0.00042115442209003363,0.00549405244011702,5.0,0.25,0.1,True,60.0,0.3
93,0.8186666666666667,2025-05-21 00:33:55.076281,2025-05-21 00:34:50.921824,0 days 00:00:55.845543,mse,False,,COMPLETE,0.6,0.99,0.99,0.0002468546356583584,0.0027197278388131903,4.75,0.25,0.1,True,60.0,0.3
110,0.8186666666666665,2025-05-21 00:49:58.849508,2025-05-21 00:50:45.811118,0 days 00:00:46.961610,cwd,False,4.5,COMPLETE,0.6,0.99,0.99,0.0006312155215756665,0.011301359304718596,4.75,0.25,0.1,True,60.0,0.3
62,0.818,2025-05-21 00:07:12.940905,2025-05-21 00:07:58.798544,0 days 00:00:45.857639,mse,True,,COMPLETE,0.6,0.8,0.8,0.0005275721991901121,0.021751995013977322,4.5,0.25,0.05,True,90.0,0.1
41,0.8176666666666667,2025-05-20 23:50:29.283949,2025-05-20 23:51:13.335393,0 days 00:00:44.051444,mse,True,,COMPLETE,0.6,0.9,0.9,0.0005554750789870849,0.004558357083472462,4.0,0.25,0.05,True,120.0,0.05
68,0.8173333333333334,2025-05-21 00:11:57.350732,2025-05-21 00:12:51.835480,0 days 00:00:54.484748,mse,True,,COMPLETE,0.6,0.8,0.8,0.00016507730679234984,0.007642448570917667,3.75,0.25,0.1,True,90.0,0.2
59,0.8173333333333334,2025-05-21 00:04:44.488818,2025-05-21 00:05:35.719741,0 days 00:00:51.230923,mse,True,,COMPLETE,0.6,0.8,0.8,0.0004572684695254306,0.05128394625066063,4.25,0.25,0.05,True,60.0,0.15000000000000002
101,0.8170000000000001,2025-05-21 00:41:16.970907,2025-05-21 00:42:24.444883,0 days 00:01:07.473976,mse,False,,COMPLETE,0.6,0.99,0.99,0.0002427999393435454,0.0024937535596195903,4.75,0.25,0.1,True,60.0,0.3
123,0.8170000000000001,2025-05-21 01:00:44.094856,2025-05-21 01:01:32.849207,0 days 00:00:48.754351,cwd,False,0.25,COMPLETE,0.6,0.99,0.99,0.0003635151518530544,0.013483646095772465,5.0,0.25,0.1,True,60.0,0.3
67,0.8170000000000001,2025-05-21 00:11:04.945796,2025-05-21 00:11:57.300526,0 days 00:00:52.354730,mse,True,,COMPLETE,0.6,0.8,0.8,0.00016992015831931997,0.007187452366126834,3.75,0.25,0.1,True,90.0,0.2
71,0.8169999999999998,2025-05-21 00:14:37.945815,2025-05-21 00:15:30.220022,0 days 00:00:52.274207,mse,True,,COMPLETE,0.6,0.8,0.8,0.00018033111395076166,0.00726802580713442,3.5,0.25,0.1,True,90.0,0.2
44,0.8166666666666665,2025-05-20 23:52:36.983011,2025-05-20 23:53:27.090869,0 days 00:00:50.107858,mse,True,,COMPLETE,0.6,0.9,0.9,0.0005970631973984876,0.018223058378624632,5.0,0.25,0.05,True,120.0,0.1
107,0.8163333333333332,2025-05-21 00:47:33.415547,2025-05-21 00:48:21.538284,0 days 00:00:48.122737,mse,False,,COMPLETE,0.6,0.995,0.995,0.0010036464611705993,0.004293213649820956,4.25,0.25,0.15,True,30.0,0.25
48,0.8153333333333334,2025-05-20 23:56:00.360770,2025-05-20 23:56:48.369372,0 days 00:00:48.008602,mse,True,,COMPLETE,0.6,0.99,0.99,0.0005459155937777972,0.016279573613954504,4.75,0.25,0.0,True,150.0,0.15000000000000002
34,0.8153333333333334,2025-05-20 23:45:29.094992,2025-05-20 23:46:12.494872,0 days 00:00:43.399880,mse,True,,COMPLETE,0.6,0.9,0.9,0.001842452507083675,0.0006442450324380526,4.75,0.25,0.05,True,90.0,0.05
117,0.8153333333333334,2025-05-21 00:55:58.469596,2025-05-21 00:56:43.490760,0 days 00:00:45.021164,cwd,False,4.0,COMPLETE,0.6,0.99,0.99,0.0006396385190522792,0.0013664434739781876,5.0,0.25,0.1,True,60.0,0.3
