number,values_0,values_1,datetime_start,datetime_complete,duration,params_feat_loss,params_reset,params_temperature,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_momentum,params_momentum,params_kd_lr,params_kd_weight_decay,params_lamb,params_alpha,params_kd_warmup,params_kd_scheduler,params_kd_T_0,params_label_smoothing
103,0.7980160766204891,0.5,2025-05-17 16:26:56.414130,2025-05-17 16:27:41.852883,0 days 00:00:45.438753,mse,False,,2,COMPLETE,0.5,0.8,0.8,0.009410959349798851,2.4844799561922152e-05,3.5,0.25,0.0,False,,0.3
75,0.7979590673279745,0.5,2025-05-17 16:06:07.890331,2025-05-17 16:06:52.203789,0 days 00:00:44.313458,cwd,False,4.25,1,COMPLETE,0.5,0.99,0.99,0.009410959349798851,2.4844799561922152e-05,3.5,0.25,0.0,False,,0.3
124,0.7971039279402543,0.5,2025-05-17 16:42:42.429143,2025-05-17 16:43:27.998426,0 days 00:00:45.569283,cwd,False,3.25,2,COMPLETE,0.5,0.99,0.99,0.009410959349798851,2.4844799561922152e-05,3.5,0.25,0.0,False,,0.3
74,0.7970469186477396,0.5,2025-05-17 16:05:20.332234,2025-05-17 16:06:07.867164,0 days 00:00:47.534930,cwd,False,1.0,1,COMPLETE,0.5,0.9,0.9,0.00032811525130476777,2.4844799561922152e-05,4.5,0.0,0.1,False,,0.15000000000000002
14,0.795735704919902,0.5,2025-05-17 14:59:01.126105,2025-05-17 14:59:58.129082,0 days 00:00:57.002977,mse,True,,0,COMPLETE,0.5,0.9,0.9,0.0017311613432839834,8.793543737814071e-05,2.0,4.75,0.1,True,60.0,0.3
79,0.7952796305797846,0.5,2025-05-17 16:09:01.115147,2025-05-17 16:09:43.114353,0 days 00:00:41.999206,mse,False,,1,COMPLETE,0.5,0.995,0.995,0.0019240934612781298,0.0001123534652829479,4.5,2.75,0.05,True,120.0,0.05
30,0.7948235562396672,0.5,2025-05-17 15:14:20.030237,2025-05-17 15:15:45.714660,0 days 00:01:25.684423,cwd,False,3.75,0,COMPLETE,0.5,0.9,0.9,0.00020970869859904647,2.7005827260703177e-05,4.25,1.0,0.0,True,150.0,0.25
114,0.7946525283621231,0.5,2025-05-17 16:35:30.862685,2025-05-17 16:36:16.000884,0 days 00:00:45.138199,cwd,True,2.75,2,COMPLETE,0.5,0.9,0.9,0.0009411264036092151,2.4844799561922152e-05,1.5,4.75,0.05,False,,0.3
85,0.7946525283621231,0.5,2025-05-17 16:13:18.207108,2025-05-17 16:14:00.730237,0 days 00:00:42.523129,mse,True,,1,COMPLETE,0.5,0.9,0.9,0.0017311613432839834,8.793543737814071e-05,2.0,4.75,0.1,True,60.0,0.3
80,0.7932272960492561,0.5,2025-05-17 16:09:43.136696,2025-05-17 16:10:27.681366,0 days 00:00:44.544670,cwd,False,1.0,1,COMPLETE,0.5,0.9,0.9,0.00020970869859904647,2.7005827260703177e-05,4.25,0.5,0.15,True,120.0,0.25
