number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
74,0.7279999999999999,0.6,2025-05-15 01:39:47.635142,2025-05-15 01:39:57.645198,0 days 00:00:10.010056,1,COMPLETE,0.6,0.003644929366124566,0.013520676942453541,0.1,True,120.0,0.00010839573782187523,7.587071945965669e-05,3,False,,0.15,bnscale,fpgm,False
52,0.7243333333333334,0.5,2025-05-15 01:35:40.199699,2025-05-15 01:35:52.159028,0 days 00:00:11.959329,1,COMPLETE,0.5,0.002847899250094182,0.0077369157996692445,0.0,True,60.0,0.00011918133146537325,0.00016308960349393646,1,False,,0.05,base,group,True
11,0.7213333333333333,0.6,2025-05-15 01:28:01.897404,2025-05-15 01:28:13.873969,0 days 00:00:11.976565,0,COMPLETE,0.6,0.003644929366124566,0.013520676942453541,0.0,False,,0.00010839573782187523,0.008620075785303926,1,True,90.0,0.05,bnscale,fpgm,False
79,0.7203333333333334,0.5,2025-05-15 01:40:41.536483,2025-05-15 01:40:51.738203,0 days 00:00:10.201720,1,COMPLETE,0.5,0.006471449109421206,0.016857928087522893,0.0,True,30.0,8.108790166687134e-05,9.445160842833718e-05,3,True,60.0,0.15,bnscale,group,False
59,0.7186666666666666,0.6,2025-05-15 01:36:57.393210,2025-05-15 01:37:09.954348,0 days 00:00:12.561138,1,COMPLETE,0.6,0.001274007587524181,0.014798588968855362,0.1,True,30.0,0.0002132595551945528,0.008767976490913267,1,False,,0.15,base,group,False
27,0.7183333333333334,0.6,2025-05-15 01:30:58.953771,2025-05-15 01:31:11.106211,0 days 00:00:12.152440,0,COMPLETE,0.6,0.002847899250094182,0.0077369157996692445,0.0,True,120.0,0.00011918133146537325,0.050788777526879214,1,False,,0.15,base,fpgm,True
67,0.718,0.6,2025-05-15 01:38:28.195946,2025-05-15 01:38:40.737272,0 days 00:00:12.541326,1,COMPLETE,0.6,0.0002827005199049898,0.02214630967017982,0.05,True,90.0,4.151704605909151e-05,0.019812557612847122,1,True,120.0,0.0,bnscale,group,True
51,0.718,0.7,2025-05-15 01:35:29.164106,2025-05-15 01:35:40.181704,0 days 00:00:11.017598,1,COMPLETE,0.7,0.0041361662211186956,0.0013942560897338304,0.15,True,30.0,0.006103959952966738,0.0006769166586025365,2,False,,0.15,base,fpgm,True
8,0.7163333333333334,0.7,2025-05-15 01:27:32.608180,2025-05-15 01:27:42.146971,0 days 00:00:09.538791,0,COMPLETE,0.7,0.001274007587524181,0.014798588968855362,0.1,True,150.0,3.334964467417269e-05,0.17487253006002243,3,False,,0.1,base,group,False
4,0.7160000000000001,0.6,2025-05-15 01:26:48.853753,2025-05-15 01:27:01.935984,0 days 00:00:13.082231,0,COMPLETE,0.6,0.0008098737879259102,0.016711524716124075,0.15,False,,0.0003652776184772968,0.017013797407026465,1,False,,0.0,group,group,True
85,0.7159999999999999,0.5,2025-05-15 01:41:49.885261,2025-05-15 01:41:59.739078,0 days 00:00:09.853817,1,COMPLETE,0.5,0.00517433781885439,0.0050747879453070886,0.0,True,30.0,0.0033358685258954913,0.013455221114399805,3,True,120.0,0.05,group,lamp,False
9,0.7156666666666668,0.5,2025-05-15 01:27:42.164964,2025-05-15 01:27:52.066270,0 days 00:00:09.901306,0,COMPLETE,0.5,0.0013497837405521765,0.016857928087522893,0.0,False,,8.108790166687134e-05,9.445160842833718e-05,3,True,60.0,0.05,bnscale,group,False
57,0.7153333333333333,0.6,2025-05-15 01:36:34.814459,2025-05-15 01:36:47.214170,0 days 00:00:12.399711,1,COMPLETE,0.6,0.0010439361515745724,0.041218466325469,0.05,True,150.0,0.007461572579822934,0.00046063664558179245,1,True,150.0,0.05,bnscale,fpgm,False
32,0.7143333333333333,0.5,2025-05-15 01:31:54.605848,2025-05-15 01:32:04.619019,0 days 00:00:10.013171,0,COMPLETE,0.5,0.002376824915929838,0.0023440067510719985,0.15,False,,2.5577956033390267e-05,0.0001000446989992127,3,False,,0.1,bnscale,fpgm,True
56,0.7143333333333333,0.7,2025-05-15 01:36:24.394877,2025-05-15 01:36:34.795350,0 days 00:00:10.400473,1,COMPLETE,0.7,0.0005214312264891789,0.004888817207263208,0.0,True,90.0,4.728738747193535e-05,0.01617469377589518,2,False,,0.05,group,fpgm,True
17,0.714,0.7,2025-05-15 01:29:13.122284,2025-05-15 01:29:23.123505,0 days 00:00:10.001221,0,COMPLETE,0.7,0.0041361662211186956,0.0013942560897338304,0.0,True,150.0,0.006103959952966738,0.0006769166586025365,2,False,,0.15,base,fpgm,True
26,0.7133333333333334,0.6,2025-05-15 01:30:46.896432,2025-05-15 01:30:58.931008,0 days 00:00:12.034576,0,COMPLETE,0.6,0.0010439361515745724,0.041218466325469,0.05,True,30.0,0.007461572579822934,0.00046063664558179245,1,False,,0.15,bnscale,lamp,False
99,0.7120000000000001,0.6,2025-05-15 01:44:15.537885,2025-05-15 01:44:28.085618,0 days 00:00:12.547733,1,COMPLETE,0.6,0.00040024787817009703,0.0041767316051475835,0.15,True,30.0,1.684790969113452e-05,0.0010849648507823052,1,True,60.0,0.15,group,lamp,False
70,0.7116666666666666,0.7,2025-05-15 01:39:01.155591,2025-05-15 01:39:11.845847,0 days 00:00:10.690256,1,COMPLETE,0.7,0.0004725416147890371,0.002694674437643953,0.0,True,150.0,0.0015425031344543047,0.00016308960349393646,2,True,60.0,0.05,bnscale,lamp,True
44,0.711,0.5,2025-05-15 01:34:07.905647,2025-05-15 01:34:19.641301,0 days 00:00:11.735654,0,COMPLETE,0.5,0.00517433781885439,0.0050747879453070886,0.0,True,150.0,0.0033358685258954913,0.043860789234520046,3,True,90.0,0.15,group,lamp,False
80,0.7106666666666666,0.7,2025-05-15 01:40:51.757232,2025-05-15 01:41:02.285468,0 days 00:00:10.528236,1,COMPLETE,0.7,0.0045846585576106375,0.00027244753246809104,0.05,True,120.0,0.002773994991296253,0.00016308960349393646,2,True,90.0,0.05,bnscale,lamp,True
21,0.7103333333333334,0.6,2025-05-15 01:29:54.479002,2025-05-15 01:30:04.090152,0 days 00:00:09.611150,0,COMPLETE,0.6,0.0005214312264891789,0.004888817207263208,0.0,True,150.0,4.728738747193535e-05,0.00010066116432732157,3,False,,0.1,group,lamp,True
