number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
55,0.9390524657700231,0.7,2025-05-15 08:41:07.230778,2025-05-15 08:42:17.175826,0 days 00:01:09.945048,1,COMPLETE,0.7,0.00046153249808888,5.446696555050623e-05,0.15,True,90.0,0.0030741822236564605,0.09601054646558335,1,True,60.0,0.1,base,fpgm,True
53,0.938325457409427,0.5,2025-05-15 08:37:54.778191,2025-05-15 08:39:31.391915,0 days 00:01:36.613724,1,COMPLETE,0.5,0.00039521259816032665,5.446696555050623e-05,0.0,True,90.0,0.002681744192930742,0.00060345966324281,3,True,120.0,0.1,base,group,True
74,0.9378407851690295,0.6,2025-05-15 09:04:35.303530,2025-05-15 09:06:04.153168,0 days 00:01:28.849638,1,COMPLETE,0.6,0.0005116050972369868,0.0002055442945073975,0.0,True,30.0,0.0012818162906763925,0.0004458732051987388,3,False,,0.0,group,group,False
68,0.936023264267539,0.7,2025-05-15 08:57:08.226294,2025-05-15 08:58:15.068088,0 days 00:01:06.841794,1,COMPLETE,0.7,0.00017074819403395882,4.709707555814216e-05,0.15,False,,0.000447433819652626,3.231921800913101e-05,2,False,,0.15,bnscale,lamp,True
96,0.9357809281473403,0.5,2025-05-15 09:33:21.968685,2025-05-15 09:34:57.623713,0 days 00:01:35.655028,1,COMPLETE,0.5,0.0002592144098777932,4.800426407676343e-05,0.0,True,150.0,0.0004076916307232185,0.2304612996710073,3,True,30.0,0.05,bnscale,lamp,True
43,0.935659760087241,0.7,2025-05-15 08:23:34.350152,2025-05-15 08:24:46.894679,0 days 00:01:12.544527,0,COMPLETE,0.7,0.00046153249808888,2.327793997588444e-05,0.0,True,150.0,0.0030741822236564605,0.09601054646558335,3,False,,0.15,base,group,False
75,0.9356597600872409,0.5,2025-05-15 09:06:04.175559,2025-05-15 09:07:49.962113,0 days 00:01:45.786554,1,COMPLETE,0.5,0.00017074819403395882,3.134516274427495e-05,0.1,False,,0.0022712407430747266,0.08023760831053571,2,False,,0.1,group,lamp,True
80,0.9354174239670422,0.7,2025-05-15 09:12:54.841164,2025-05-15 09:14:08.731919,0 days 00:01:13.890755,1,COMPLETE,0.7,0.00046153249808888,3.134516274427495e-05,0.0,True,150.0,0.0030741822236564605,3.231921800913101e-05,2,False,,0.1,base,lamp,False
83,0.9350539197867441,0.6,2025-05-15 09:16:39.064434,2025-05-15 09:18:04.534761,0 days 00:01:25.470327,1,COMPLETE,0.6,0.00017074819403395882,0.0004316369081932016,0.05,False,,6.915256857288432e-05,4.202407267520491e-05,2,True,90.0,0.15,base,group,False
17,0.9349327517266448,0.5,2025-05-15 07:46:02.028510,2025-05-15 07:47:43.296458,0 days 00:01:41.267948,0,COMPLETE,0.5,0.0002592144098777932,0.00096388652544867,0.15,True,30.0,3.311164610362306e-05,0.0008862060469888695,3,False,,0.0,base,lamp,True
11,0.9348115836665455,0.6,2025-05-15 07:36:25.522872,2025-05-15 07:37:51.973154,0 days 00:01:26.450282,0,COMPLETE,0.6,0.0005116050972369868,0.0002055442945073975,0.15,False,,0.0012818162906763925,0.0004458732051987388,3,False,,0.0,group,lamp,False
25,0.9346904156064461,0.7,2025-05-15 07:58:12.575833,2025-05-15 07:59:19.165112,0 days 00:01:06.589279,0,COMPLETE,0.7,0.0016797719856876698,6.789661089772656e-05,0.05,False,,2.4673091611648022e-05,0.01473401202444297,3,True,60.0,0.0,bnscale,lamp,False
30,0.9346904156064461,0.7,2025-05-15 08:05:21.573411,2025-05-15 08:06:35.119065,0 days 00:01:13.545654,0,COMPLETE,0.7,0.00017074819403395882,3.134516274427495e-05,0.05,False,,0.0026881023991796593,3.231921800913101e-05,2,True,60.0,0.1,base,lamp,True
