number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
64,0.9325093905246576,0.5,2025-05-15 06:46:09.151538,2025-05-15 06:47:05.819269,0 days 00:00:56.667731,1,COMPLETE,0.5,0.0006057516415842402,5.396734243713412e-05,0.05,False,,0.00022581019902752643,0.0012970616685260654,2,True,60.0,0.15,group,group,False
20,0.9270568278201866,0.5,2025-05-15 06:04:23.864684,2025-05-15 06:05:21.200020,0 days 00:00:57.335336,0,COMPLETE,0.5,0.0004364549083056753,0.00010549229453982874,0.1,True,60.0,1.7668030324071973e-05,0.10070074074190903,2,True,60.0,0.0,bnscale,fpgm,False
56,0.9270568278201866,0.5,2025-05-15 06:38:35.744494,2025-05-15 06:39:32.205940,0 days 00:00:56.461446,1,COMPLETE,0.5,0.0004364549083056753,0.00010549229453982874,0.1,True,30.0,0.0006484918908653943,0.10070074074190903,2,False,,0.1,bnscale,lamp,False
94,0.9263298194595905,0.6,2025-05-15 07:14:25.656087,2025-05-15 07:15:22.104167,0 days 00:00:56.448080,1,COMPLETE,0.6,0.0033673638748571507,0.00022002493888543647,0.1,False,,0.0013636406173609186,0.0005201221732515947,2,True,60.0,0.05,group,lamp,True
84,0.926208651399491,0.6,2025-05-15 07:04:53.685777,2025-05-15 07:05:48.680800,0 days 00:00:54.995023,1,COMPLETE,0.6,0.0013125164475291254,7.510822769730524e-05,0.15,True,150.0,3.194939881688745e-05,0.013877163009807885,3,False,,0.05,base,fpgm,False
32,0.9258451472191931,0.5,2025-05-15 06:15:37.936573,2025-05-15 06:16:35.044831,0 days 00:00:57.108258,0,COMPLETE,0.5,0.0033673638748571507,2.7054673740696366e-05,0.1,False,,0.0013636406173609186,0.0002161054729310518,2,True,150.0,0.05,group,fpgm,False
19,0.925845147219193,0.5,2025-05-15 06:03:27.494676,2025-05-15 06:04:23.841359,0 days 00:00:56.346683,0,COMPLETE,0.5,0.00555804179103023,0.00012015903146951601,0.1,True,90.0,0.0007277337668022851,2.0487867676493235e-05,3,False,,0.0,base,fpgm,False
40,0.9245122985581001,0.7,2025-05-15 06:23:20.880390,2025-05-15 06:24:16.221623,0 days 00:00:55.341233,0,COMPLETE,0.7,0.00321386119634746,0.00011209261010586792,0.1,False,,0.0005455174797744438,0.001080097791176753,2,True,150.0,0.15,bnscale,group,True
97,0.9235429540773051,0.6,2025-05-15 07:17:20.640532,2025-05-15 07:18:17.764447,0 days 00:00:57.123915,1,COMPLETE,0.6,0.0033673638748571507,2.7054673740696366e-05,0.1,False,,2.696992830283304e-05,0.0002161054729310518,2,True,150.0,0.05,group,fpgm,False
15,0.9209984248152187,0.7,2025-05-15 05:59:38.461770,2025-05-15 06:00:33.160293,0 days 00:00:54.698523,0,COMPLETE,0.7,0.0017327585331401076,5.396734243713412e-05,0.1,False,,0.0009576235100077977,0.0012970616685260654,3,True,120.0,0.05,group,group,False
62,0.920392584514722,0.7,2025-05-15 06:44:14.835986,2025-05-15 06:45:13.178377,0 days 00:00:58.342391,1,COMPLETE,0.7,0.0013125164475291254,5.6975039542149146e-05,0.0,False,,0.001981378999145378,0.011117835000082874,1,False,,0.1,group,fpgm,False
59,0.9197867442142251,0.5,2025-05-15 06:41:24.100801,2025-05-15 06:42:20.638974,0 days 00:00:56.538173,1,COMPLETE,0.5,0.00036309897231375714,8.691241991530722e-05,0.0,False,,0.004710491649448627,0.04821628881968747,3,False,,0.0,group,fpgm,True
29,0.9195444080940264,0.7,2025-05-15 06:12:49.292900,2025-05-15 06:13:47.240448,0 days 00:00:57.947548,0,COMPLETE,0.7,0.0013125164475291254,7.510822769730524e-05,0.15,True,120.0,0.001981378999145378,0.013877163009807885,1,False,,0.1,bnscale,fpgm,False
91,0.9195444080940264,0.7,2025-05-15 07:11:36.550959,2025-05-15 07:12:34.524358,0 days 00:00:57.973399,1,COMPLETE,0.7,0.0005364950066658544,4.49387351036044e-05,0.1,False,,0.002922868191660872,0.003282032087436403,2,False,,0.05,base,fpgm,True
