number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
97,0.8473333333333333,0.6,2025-05-15 00:50:40.610309,2025-05-15 00:50:52.439081,0 days 00:00:11.828772,1,COMPLETE,0.6,0.0038008881122931337,8.195638258062281e-05,0.05,True,60.0,0.0005496605845761995,2.3688176843529943e-05,2.0,True,30.0,0.1,group,group,False
25,0.847,0.6,2025-05-15 00:34:11.485968,2025-05-15 00:34:25.388565,0 days 00:00:13.902597,0,COMPLETE,0.6,0.0004707863747861142,5.0332589362935115e-05,0.05,True,150.0,0.007784940786633544,2.5609246412067266e-05,1.0,False,,0.05,base,group,True
48,0.8453333333333334,0.5,2025-05-15 00:40:05.444911,2025-05-15 00:40:17.259148,0 days 00:00:11.814237,0,COMPLETE,0.5,0.0035277650671921715,0.0006217002331258073,0.0,True,150.0,1.2453840659500458e-05,0.0016529037893600685,2.0,True,150.0,0.1,group,fpgm,False
12,0.8443333333333333,0.6,2025-05-15 00:31:30.566257,2025-05-15 00:31:41.530739,0 days 00:00:10.964482,0,COMPLETE,0.6,0.0013663971529283346,0.0001188687900118211,0.05,True,30.0,0.0006646126646848886,0.7421224615896781,3.0,True,120.0,0.05,group,group,False
64,0.8443333333333333,0.6,2025-05-15 00:43:33.863849,2025-05-15 00:43:46.099178,0 days 00:00:12.235329,1,COMPLETE,0.6,0.0038008881122931337,0.00022487298321969586,0.05,True,30.0,0.001880126874111142,0.012904674837113128,2.0,False,,0.15,base,fpgm,False
75,0.8443333333333333,0.6,2025-05-15 00:45:58.417446,2025-05-15 00:46:12.455876,0 days 00:00:14.038430,1,COMPLETE,0.6,0.0019291724919603655,1.0574836228622979e-05,0.0,False,,0.0011622384502260792,0.016841217743853196,1.0,False,,0.05,bnscale,lamp,False
67,0.8433333333333333,0.5,2025-05-15 00:44:12.989404,2025-05-15 00:44:26.737074,0 days 00:00:13.747670,1,COMPLETE,0.5,0.004143105094642414,0.00020777053980479526,0.1,False,,0.0002993148129549608,0.0011870011535440122,1.0,True,90.0,0.05,bnscale,fpgm,False
93,0.843,0.6,2025-05-15 00:49:50.021512,2025-05-15 00:50:04.347843,0 days 00:00:14.326331,1,COMPLETE,0.6,0.0004707863747861142,2.3117759656407832e-05,0.1,True,150.0,0.0005496605845761995,2.5609246412067266e-05,1.0,False,,0.05,base,group,True
33,0.843,0.5,2025-05-15 00:36:03.559932,2025-05-15 00:36:15.021146,0 days 00:00:11.461214,0,COMPLETE,0.5,0.004585088947913619,8.195638258062281e-05,0.1,True,150.0,0.0005496605845761995,0.0005850823597185194,3.0,True,120.0,0.1,group,lamp,True
59,0.843,0.5,2025-05-15 00:42:27.970409,2025-05-15 00:42:39.562965,0 days 00:00:11.592556,1,COMPLETE,0.5,0.004585088947913619,8.195638258062281e-05,0.1,True,150.0,1.3090406541706608e-05,0.0005850823597185194,2.0,True,30.0,0.05,group,lamp,True
72,0.8426666666666666,0.5,2025-05-15 00:45:18.623933,2025-05-15 00:45:31.064327,0 days 00:00:12.440394,1,COMPLETE,0.5,0.0004761019916796658,0.0006217002331258073,0.05,True,120.0,5.9501497484056715e-05,0.0016529037893600685,2.0,True,60.0,0.1,bnscale,lamp,False
101,0.8416666666666667,0.7,2025-05-15 00:51:32.862054,2025-05-15 00:51:44.834625,0 days 00:00:11.972571,1,COMPLETE,0.7,0.00026293029774406164,0.002595478471999525,0.15,False,,2.2305659909602163e-05,0.5274191214601055,3.0,True,30.0,0.0,bnscale,fpgm,False
