number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
46,0.8376666666666667,0.6,2025-05-15 00:12:18.041337,2025-05-15 00:12:31.058654,0 days 00:00:13.017317,0,COMPLETE,0.6,0.0026654859037524917,0.0011469426517680132,0.05,False,,1.0022770161858546e-05,0.11354967560844666,1,False,,0.0,bnscale,fpgm,False
83,0.8346666666666667,0.5,2025-05-15 00:19:35.301194,2025-05-15 00:19:44.899694,0 days 00:00:09.598500,1,COMPLETE,0.5,0.0017971683049551202,0.0067427711505998866,0.1,True,120.0,0.00014589983311100583,0.2771325520899418,3,True,60.0,0.15,bnscale,group,True
43,0.8346666666666666,0.5,2025-05-15 00:11:42.635024,2025-05-15 00:11:55.836636,0 days 00:00:13.201612,0,COMPLETE,0.5,0.005486320587452025,1.789676062619034e-05,0.0,True,120.0,2.0957482812291167e-05,0.11531283967900406,1,True,30.0,0.1,bnscale,lamp,True
99,0.8323333333333333,0.6,2025-05-15 00:22:36.103727,2025-05-15 00:22:46.118124,0 days 00:00:10.014397,1,COMPLETE,0.6,0.0026654859037524917,0.014116461350010196,0.1,False,,5.1764455924559304e-05,0.0005803702125714039,3,False,,0.0,bnscale,fpgm,False
27,0.831,0.5,2025-05-15 00:08:24.719776,2025-05-15 00:08:34.383571,0 days 00:00:09.663795,0,COMPLETE,0.5,0.00030342601435576157,0.014116461350010196,0.1,True,90.0,5.1764455924559304e-05,0.0005803702125714039,3,True,150.0,0.15,bnscale,lamp,False
91,0.8293333333333331,0.5,2025-05-15 00:21:07.690896,2025-05-15 00:21:18.097893,0 days 00:00:10.406997,1,COMPLETE,0.5,0.005486320587452025,0.00029622248194594833,0.0,True,60.0,2.0957482812291167e-05,0.11531283967900406,2,True,150.0,0.1,bnscale,lamp,False
7,0.8286666666666666,0.5,2025-05-15 00:04:35.732758,2025-05-15 00:04:46.333164,0 days 00:00:10.600406,0,COMPLETE,0.5,0.0017971683049551202,0.0067427711505998866,0.0,True,120.0,2.9633346655554328e-05,0.2771325520899418,2,True,150.0,0.15,bnscale,group,True
69,0.8283333333333333,0.7,2025-05-15 00:16:53.158582,2025-05-15 00:17:04.336685,0 days 00:00:11.178103,1,COMPLETE,0.7,0.0036970502260057947,0.018993169404344905,0.05,True,90.0,0.0009167154201169956,0.12164158441729868,2,True,120.0,0.15,group,lamp,False
25,0.8283333333333333,0.6,2025-05-15 00:08:05.060725,2025-05-15 00:08:14.613712,0 days 00:00:09.552987,0,COMPLETE,0.6,0.003892427020915716,0.0004767663142196646,0.15,False,,0.0003425434010445779,0.0006860632187497262,3,True,30.0,0.15,base,lamp,False
45,0.8276666666666666,0.5,2025-05-15 00:12:08.493224,2025-05-15 00:12:18.023349,0 days 00:00:09.530125,0,COMPLETE,0.5,0.0010008247844255278,0.04332790261292383,0.05,True,150.0,0.0003004773449933778,0.0031344956746227498,3,True,90.0,0.1,group,group,True
1,0.8273333333333334,0.6,2025-05-15 00:03:26.154663,2025-05-15 00:03:36.774582,0 days 00:00:10.619919,0,COMPLETE,0.6,0.001633214557582399,0.00029622248194594833,0.1,True,120.0,1.9166713398224744e-05,0.12164158441729868,2,False,,0.1,bnscale,lamp,False
74,0.8273333333333333,0.5,2025-05-15 00:17:51.106519,2025-05-15 00:18:01.424473,0 days 00:00:10.317954,1,COMPLETE,0.5,0.001986264760402454,0.059487669132160505,0.1,True,150.0,4.1023896181906825e-05,0.0005803702125714039,3,False,,0.15,bnscale,lamp,False
60,0.8266666666666667,0.7,2025-05-15 00:15:01.706413,2025-05-15 00:15:11.726565,0 days 00:00:10.020152,1,COMPLETE,0.7,0.000634520428873766,0.014767159217489395,0.15,True,150.0,4.286102294674443e-05,0.005164113434989262,3,False,,0.0,base,fpgm,False
66,0.8256666666666667,0.5,2025-05-15 00:16:16.026919,2025-05-15 00:16:26.548361,0 days 00:00:10.521442,1,COMPLETE,0.5,0.0006364070614280685,0.0067427711505998866,0.15,False,,2.7844302007808545e-05,0.2771325520899418,2,True,30.0,0.15,group,lamp,True
89,0.8256666666666667,0.6,2025-05-15 00:20:43.940869,2025-05-15 00:20:56.836843,0 days 00:00:12.895974,1,COMPLETE,0.6,0.0026654859037524917,0.0011469426517680132,0.0,False,,1.0597677672445857e-05,0.11354967560844666,1,False,,0.05,bnscale,fpgm,False
67,0.8246666666666668,0.5,2025-05-15 00:16:26.567570,2025-05-15 00:16:39.816012,0 days 00:00:13.248442,1,COMPLETE,0.5,0.00030342601435576157,0.0011469426517680132,0.1,False,,1.0022770161858546e-05,0.11354967560844666,1,False,,0.0,bnscale,fpgm,False
3,0.8243333333333333,0.6,2025-05-15 00:03:50.183599,2025-05-15 00:04:01.724927,0 days 00:00:11.541328,0,COMPLETE,0.6,0.0004732335018353623,0.0057515727211281086,0.0,True,90.0,0.0016681229636448887,0.07751101936574259,2,False,,0.0,base,fpgm,False
77,0.824,0.7,2025-05-15 00:18:26.764745,2025-05-15 00:18:39.436357,0 days 00:00:12.671612,1,COMPLETE,0.7,0.0007077653483169797,1.789676062619034e-05,0.0,True,30.0,2.0957482812291167e-05,0.004154307996503577,1,True,150.0,0.1,group,fpgm,False
61,0.8236666666666667,0.7,2025-05-15 00:15:11.744933,2025-05-15 00:15:24.439465,0 days 00:00:12.694532,1,COMPLETE,0.7,0.00163051003258991,0.00016181289060760825,0.15,False,,9.891271167047917e-05,0.003648838170753293,1,True,120.0,0.0,base,fpgm,False
26,0.823,0.5,2025-05-15 00:08:14.631731,2025-05-15 00:08:24.701073,0 days 00:00:10.069342,0,COMPLETE,0.5,0.005510941156620695,0.0009951693762399881,0.1,True,120.0,0.0007884129904066294,0.008800345287012254,2,True,30.0,0.05,bnscale,group,True
94,0.823,0.7,2025-05-15 00:21:39.780239,2025-05-15 00:21:52.337685,0 days 00:00:12.557446,1,COMPLETE,0.7,0.0036970502260057947,0.018993169404344905,0.05,False,,1.6850132591618226e-05,0.4382823826903377,1,False,,0.15,group,group,False
92,0.823,0.5,2025-05-15 00:21:18.116671,2025-05-15 00:21:29.261858,0 days 00:00:11.145187,1,COMPLETE,0.5,0.002494363168920505,0.01300650319896815,0.05,True,60.0,1.6850132591618226e-05,0.4382823826903377,3,False,,0.1,group,group,True
48,0.8226666666666667,0.5,2025-05-15 00:12:42.149332,2025-05-15 00:12:52.081984,0 days 00:00:09.932652,0,COMPLETE,0.5,0.0032687734794006836,0.014767159217489395,0.05,True,120.0,6.94477542195225e-05,0.1386577575845281,3,False,,0.0,base,lamp,False
50,0.8223333333333332,0.5,2025-05-15 00:13:02.182401,2025-05-15 00:13:12.124464,0 days 00:00:09.942063,1,COMPLETE,0.5,0.001477787237574354,0.059487669132160505,0.1,False,,0.00014589983311100583,1.019910631025731e-05,3,False,,0.05,group,group,False
2,0.8220000000000001,0.7,2025-05-15 00:03:36.794862,2025-05-15 00:03:50.162200,0 days 00:00:13.367338,0,COMPLETE,0.7,0.0036970502260057947,0.018993169404344905,0.05,False,,0.0009167154201169956,2.2897153845895873e-05,1,True,30.0,0.15,group,fpgm,False
31,0.822,0.5,2025-05-15 00:09:12.245467,2025-05-15 00:09:23.723037,0 days 00:00:11.477570,0,COMPLETE,0.5,0.0007270974394732411,0.0031802798303184054,0.0,False,,0.0007678598642331603,0.00043945188160695486,2,True,120.0,0.05,group,fpgm,True
5,0.822,0.7,2025-05-15 00:04:12.045177,2025-05-15 00:04:25.230768,0 days 00:00:13.185591,0,COMPLETE,0.7,0.002494363168920505,0.01300650319896815,0.05,True,150.0,1.6850132591618226e-05,0.4382823826903377,1,False,,0.1,group,group,False
