number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
68,0.9611959287531807,0.7,2025-05-15 21:36:44.941698,2025-05-15 21:38:46.475839,0 days 00:02:01.534141,1,COMPLETE,0.7,0.0036406262324946564,0.00046217727401188233,0.15,True,90.0,0.00014128263728129813,0.8629197205113213,2.0,True,120.0,0.0,base,group,True
40,0.960741548527808,0.6,2025-05-15 19:56:57.044348,2025-05-15 19:58:59.252693,0 days 00:02:02.208345,0,COMPLETE,0.6,0.005450708968144661,0.0003718607955153158,0.0,False,,0.0020919381955867965,0.0003333913764589801,2.0,True,90.0,0.0,base,fpgm,False
36,0.9606506724827334,0.6,2025-05-15 19:48:30.113157,2025-05-15 19:50:30.428853,0 days 00:02:00.315696,0,COMPLETE,0.6,0.006529963248415603,1.3923236296139907e-05,0.05,False,,0.008751380768957984,0.00015951132431747984,3.0,False,,0.1,group,lamp,True
69,0.9601962922573609,0.5,2025-05-15 21:38:46.499773,2025-05-15 21:41:48.552033,0 days 00:03:02.052260,1,COMPLETE,0.5,0.0006317673934041999,0.0008242273993770112,0.15,True,30.0,1.8733061198087588e-05,0.0058695355506884475,1.0,True,120.0,0.0,group,group,False
53,0.9600145401672119,0.7,2025-05-15 21:07:03.874375,2025-05-15 21:09:01.041750,0 days 00:01:57.167375,0,COMPLETE,0.7,0.0028000178173888165,0.0010499286037284744,0.15,True,60.0,0.0001447578995599857,0.00020207727861715669,1.0,False,,0.15,bnscale,fpgm,False
34,0.9599236641221375,0.7,2025-05-15 19:44:16.483774,2025-05-15 19:46:14.531430,0 days 00:01:58.047656,0,COMPLETE,0.7,0.0036406262324946564,0.00014136148194618354,0.15,True,60.0,6.1555479148621e-05,0.8629197205113213,2.0,False,,0.1,base,lamp,False
72,0.9599236641221373,0.7,2025-05-15 21:46:35.976850,2025-05-15 21:48:36.808115,0 days 00:02:00.831265,1,COMPLETE,0.7,0.005450708968144661,0.0003718607955153158,0.0,False,,0.0020919381955867965,0.0003333913764589801,2.0,True,30.0,0.0,base,lamp,False
33,0.9597419120319883,0.7,2025-05-15 19:42:25.650281,2025-05-15 19:44:16.458152,0 days 00:01:50.807871,0,COMPLETE,0.7,0.0012998324239575868,0.00046217727401188233,0.0,True,30.0,0.00014128263728129813,0.0018195147102103289,2.0,True,30.0,0.0,base,group,True
10,0.9596510359869138,0.5,2025-05-15 18:55:46.864127,2025-05-15 18:58:08.902993,0 days 00:02:22.038866,0,COMPLETE,0.5,0.007500036881444071,0.00015172242434211624,0.1,False,,0.0017120769013155893,0.6792656003374112,1.0,False,,0.1,bnscale,lamp,True
22,0.9593784078516903,0.5,2025-05-15 19:19:26.409464,2025-05-15 19:21:37.202348,0 days 00:02:10.792884,0,COMPLETE,0.5,0.001793591180412571,0.0003036480017348176,0.1,False,,0.0031557408161693307,0.37693429268887324,2.0,False,,0.05,base,lamp,True
103,0.9591966557615413,0.5,2025-05-15 22:48:03.783155,2025-05-15 22:50:10.907821,0 days 00:02:07.124666,1,COMPLETE,0.5,0.0036281448545305477,7.534515156974797e-05,0.0,True,60.0,3.1258431004588896e-05,1.816594844793394e-05,2.0,False,,0.05,bnscale,group,True
96,0.9591966557615411,0.5,2025-05-15 22:34:12.353557,2025-05-15 22:36:20.041844,0 days 00:02:07.688287,1,COMPLETE,0.5,0.001793591180412571,0.0003036480017348176,0.15,False,,6.1555479148621e-05,0.8629197205113213,2.0,False,,0.05,base,lamp,True
111,0.9591966557615411,0.6,2025-05-15 23:04:06.576352,2025-05-15 23:06:07.291644,0 days 00:02:00.715292,1,COMPLETE,0.6,0.0036406262324946564,2.069553354259831e-05,0.15,False,,2.8656069981171443e-05,0.8629197205113213,1.0,True,120.0,0.1,base,lamp,True
94,0.9585605234460196,0.7,2025-05-15 22:30:52.209294,2025-05-15 22:32:43.929932,0 days 00:01:51.720638,1,COMPLETE,0.7,0.0036406262324946564,0.0010506613265635742,0.05,False,,6.1555479148621e-05,0.8629197205113213,2.0,False,,0.1,base,lamp,False
30,0.9585605234460196,0.7,2025-05-15 19:36:08.887481,2025-05-15 19:38:19.515663,0 days 00:02:10.628182,0,COMPLETE,0.7,0.0002125152897745902,1.93509474674168e-05,0.05,True,150.0,3.659806015493932e-05,0.34172211450535306,1.0,False,,0.0,base,fpgm,True
105,0.9585605234460196,0.7,2025-05-15 22:51:39.671378,2025-05-15 22:53:39.321529,0 days 00:01:59.650151,1,COMPLETE,0.7,0.0002125152897745902,0.0013213309517224332,0.05,True,30.0,0.00011410482746394745,0.0013661558271398932,1.0,False,,0.0,base,fpgm,False
64,0.9583787713558706,0.5,2025-05-15 21:28:40.230765,2025-05-15 21:30:42.187154,0 days 00:02:01.956389,1,COMPLETE,0.5,0.006004780658860121,4.5044217032358005e-05,0.1,False,,0.0017199633786513387,0.48481695008251674,2.0,True,60.0,0.15,bnscale,lamp,True
27,0.9580152671755725,0.7,2025-05-15 19:30:12.067468,2025-05-15 19:32:13.541540,0 days 00:02:01.474072,0,COMPLETE,0.7,7.66552479133007e-05,0.0012098993976958532,0.1,False,,3.6930775285673083e-05,0.1641502974208579,1.0,True,150.0,0.15,bnscale,lamp,True
101,0.9577426390403488,0.6,2025-05-15 22:43:42.322231,2025-05-15 22:45:37.478501,0 days 00:01:55.156270,1,COMPLETE,0.6,0.0005492793783083319,7.534515156974797e-05,0.05,True,60.0,1.167273590125637e-05,0.14270987701433108,2.0,False,,0.15,base,lamp,True
97,0.9577426390403488,0.7,2025-05-15 22:36:20.069404,2025-05-15 22:38:08.041552,0 days 00:01:47.972148,1,COMPLETE,0.7,0.0003879319796667522,0.0013213309517224332,0.15,False,,0.00011410482746394745,4.121655160727095e-05,3.0,True,60.0,0.15,base,fpgm,True
38,0.9576517629952744,0.6,2025-05-15 19:52:41.363017,2025-05-15 19:54:44.033027,0 days 00:02:02.670010,0,COMPLETE,0.6,0.00026728259684021633,7.251126184476893e-05,0.15,True,60.0,0.0031630268849747664,8.049237619520089e-05,2.0,False,,0.0,base,group,False
37,0.9576517629952744,0.5,2025-05-15 19:50:30.460252,2025-05-15 19:52:41.329096,0 days 00:02:10.868844,0,COMPLETE,0.5,0.0010047335327369668,0.002799509921313041,0.05,False,,0.001412642851261491,0.0027016505150309167,3.0,False,,0.15,group,group,False
58,0.9576517629952744,0.7,2025-05-15 21:16:39.614467,2025-05-15 21:18:26.907179,0 days 00:01:47.292712,0,COMPLETE,0.7,0.0005492793783083319,0.00018880645762637112,0.15,True,150.0,0.0031680941488806858,0.14270987701433108,2.0,False,,0.15,base,lamp,False
86,0.9576517629952744,0.7,2025-05-15 22:14:34.029991,2025-05-15 22:16:36.023279,0 days 00:02:01.993288,1,COMPLETE,0.7,0.0002125152897745902,1.93509474674168e-05,0.1,True,120.0,3.659806015493932e-05,0.34172211450535306,1.0,False,,0.0,base,fpgm,True
54,0.9573791348600508,0.5,2025-05-15 21:09:01.091647,2025-05-15 21:11:04.827840,0 days 00:02:03.736193,0,COMPLETE,0.5,0.002720960786492154,0.0010506613265635742,0.05,False,,0.0007037965324063995,0.0015051118504422183,2.0,True,150.0,0.05,base,group,False
1,0.9571973827699018,0.5,2025-05-15 18:45:35.521961,2025-05-15 18:47:45.857674,0 days 00:02:10.335713,0,COMPLETE,0.5,0.00019138332714208845,0.0002840496873752163,0.05,False,,1.5281651612360757e-05,0.0001071708909196452,2.0,False,,0.1,group,lamp,True
39,0.9570156306797527,0.5,2025-05-15 19:54:44.056562,2025-05-15 19:56:57.020034,0 days 00:02:12.963472,0,COMPLETE,0.5,2.6753047885598264e-05,0.003084178097121143,0.15,False,,1.895832113595442e-05,0.06498166889547584,3.0,False,,0.15,base,lamp,False
19,0.9569247546346783,0.7,2025-05-15 19:12:57.213501,2025-05-15 19:14:44.063731,0 days 00:01:46.850230,0,COMPLETE,0.7,0.0032577392635717447,5.561049598565666e-05,0.15,False,,0.00026190318192971496,0.0014620696682220234,3.0,False,,0.1,group,lamp,True
93,0.9566521264994549,0.5,2025-05-15 22:28:36.437992,2025-05-15 22:30:52.181264,0 days 00:02:15.743272,1,COMPLETE,0.5,5.81164110102923e-05,0.0012098993976958532,0.15,True,150.0,1.8733061198087588e-05,0.1641502974208579,1.0,True,90.0,0.15,group,group,True
45,0.9564703744093057,0.7,2025-05-15 20:07:05.333225,2025-05-15 20:09:12.867830,0 days 00:02:07.534605,0,COMPLETE,0.7,0.00026785202662473124,0.0004490862024905902,0.15,False,,6.151154593582635e-05,0.016099001328925267,2.0,True,150.0,0.15,bnscale,group,False
91,0.9559251181388587,0.7,2025-05-15 22:24:26.085168,2025-05-15 22:26:18.278745,0 days 00:01:52.193577,1,COMPLETE,0.7,0.00026785202662473124,0.0004490862024905902,0.15,True,90.0,4.3463886754342705e-05,0.016099001328925267,3.0,True,60.0,0.0,bnscale,lamp,False
20,0.9557433660487096,0.6,2025-05-15 19:14:44.088895,2025-05-15 19:16:56.648242,0 days 00:02:12.559347,0,COMPLETE,0.6,1.1208534555346614e-05,2.069553354259831e-05,0.15,False,,2.8656069981171443e-05,0.00010032077056852286,1.0,True,150.0,0.1,bnscale,group,True
29,0.9557433660487096,0.6,2025-05-15 19:34:07.218887,2025-05-15 19:36:08.860851,0 days 00:02:01.641964,0,COMPLETE,0.6,2.1672337307723902e-05,0.0013213309517224332,0.15,False,,0.00011410482746394745,0.0013661558271398932,3.0,True,90.0,0.15,base,lamp,True
74,0.9556524900036351,0.7,2025-05-15 21:50:39.643681,2025-05-15 21:52:37.006940,0 days 00:01:57.363259,1,COMPLETE,0.7,0.0010047335327369668,0.002799509921313041,0.15,False,,4.3463886754342705e-05,8.875868136702898e-05,3.0,True,120.0,0.15,group,lamp,False
42,0.9555616139585607,0.6,2025-05-15 20:00:49.501429,2025-05-15 20:02:50.387331,0 days 00:02:00.885902,0,COMPLETE,0.6,1.1287448848120081e-05,7.534515156974797e-05,0.0,True,150.0,1.167273590125637e-05,1.816594844793394e-05,2.0,False,,0.1,bnscale,lamp,True
106,0.9555616139585604,0.5,2025-05-15 22:53:39.350853,2025-05-15 22:55:49.674163,0 days 00:02:10.323310,1,COMPLETE,0.5,2.132323548566781e-05,0.0002840496873752163,0.05,False,,4.409054572135688e-05,0.8629197205113213,2.0,False,,0.1,group,lamp,False
92,0.9555616139585604,0.5,2025-05-15 22:26:18.303761,2025-05-15 22:28:36.411609,0 days 00:02:18.107848,1,COMPLETE,0.5,5.81164110102923e-05,0.009205797959793996,0.15,True,150.0,1.8733061198087588e-05,0.0015640755423012144,1.0,True,90.0,0.15,group,group,True
57,0.955470737913486,0.5,2025-05-15 21:14:28.168949,2025-05-15 21:16:39.590914,0 days 00:02:11.421965,0,COMPLETE,0.5,5.81164110102923e-05,0.009205797959793996,0.15,True,90.0,1.8733061198087588e-05,0.0015640755423012144,1.0,True,120.0,0.15,group,group,True
17,0.9553798618684115,0.6,2025-05-15 19:08:49.227138,2025-05-15 19:10:52.297979,0 days 00:02:03.070841,0,COMPLETE,0.6,1.4908169341420449e-05,1.3191943008345944e-05,0.15,True,150.0,7.11205089932156e-05,0.00045839959920073993,2.0,False,,0.0,bnscale,fpgm,False
16,0.9553798618684115,0.7,2025-05-15 19:06:53.501860,2025-05-15 19:08:49.200127,0 days 00:01:55.698267,0,COMPLETE,0.7,0.000212596134097137,4.5044217032358005e-05,0.1,True,150.0,0.0017199633786513387,0.48481695008251674,2.0,False,,0.1,group,lamp,True
95,0.9550163576881134,0.7,2025-05-15 22:32:43.955457,2025-05-15 22:34:12.328661,0 days 00:01:28.373204,1,COMPLETE,0.7,0.0010047335327369668,0.002799509921313041,0.05,True,60.0,0.001412642851261491,0.0001252902875507627,3.0,True,120.0,0.1,group,group,False
0,0.9550163576881134,0.6,2025-05-15 18:43:32.903049,2025-05-15 18:45:35.498967,0 days 00:02:02.595918,0,COMPLETE,0.6,0.0013010072502997686,0.0052069564265603725,0.05,True,150.0,2.182530200139674e-05,0.0018493077182617022,3.0,False,,0.1,group,group,False
23,0.9547437295528899,0.6,2025-05-15 19:21:37.225807,2025-05-15 19:23:35.779919,0 days 00:01:58.554112,0,COMPLETE,0.6,7.127739848333299e-05,1.3893793028427225e-05,0.1,True,30.0,2.482365328191214e-05,0.0012526258857990262,2.0,True,90.0,0.05,base,fpgm,True
90,0.9546528535078154,0.6,2025-05-15 22:22:34.184718,2025-05-15 22:24:26.058647,0 days 00:01:51.873929,1,COMPLETE,0.6,2.1672337307723902e-05,7.534515156974797e-05,0.1,False,,2.3230141388951216e-05,1.816594844793394e-05,3.0,False,,0.1,base,lamp,True
26,0.9543802253725918,0.5,2025-05-15 19:27:59.811233,2025-05-15 19:30:12.041759,0 days 00:02:12.230526,0,COMPLETE,0.5,0.0036281448545305477,0.0013161994723078026,0.0,True,150.0,3.1258431004588896e-05,0.1465285335481119,2.0,False,,0.05,base,group,True
81,0.9541984732824428,0.5,2025-05-15 22:04:43.359144,2025-05-15 22:06:57.079626,0 days 00:02:13.720482,1,COMPLETE,0.5,0.0002707199184815311,0.009205797959793996,0.15,True,120.0,0.00011410482746394745,0.0013661558271398932,1.0,False,,0.15,base,group,True
13,0.9541984732824428,0.5,2025-05-15 19:00:22.731158,2025-05-15 19:02:39.467597,0 days 00:02:16.736439,0,COMPLETE,0.5,0.0022018824174559297,0.004075371218849596,0.0,True,30.0,1.0415004176666548e-05,0.011951624819141424,2.0,True,90.0,0.15,base,fpgm,True
89,0.9540167211922936,0.6,2025-05-15 22:20:36.367902,2025-05-15 22:22:34.159967,0 days 00:01:57.792065,1,COMPLETE,0.6,1.4908169341420449e-05,0.0002840496873752163,0.15,False,,1.5281651612360757e-05,0.00045839959920073993,2.0,False,,0.1,group,fpgm,False
88,0.9539258451472192,0.5,2025-05-15 22:18:26.235737,2025-05-15 22:20:36.342475,0 days 00:02:10.106738,1,COMPLETE,0.5,0.00019138332714208845,0.014393193184223834,0.05,False,,1.5281651612360757e-05,5.92486694056293e-05,2.0,False,,0.15,group,lamp,False
49,0.9538349691021447,0.5,2025-05-15 20:13:15.003972,2025-05-15 20:15:25.700902,0 days 00:02:10.696930,0,COMPLETE,0.5,4.7914526130384034e-05,0.023363071786706695,0.1,False,,0.0010064184608370543,0.05501811689359037,3.0,True,90.0,0.05,bnscale,lamp,False
71,0.9538349691021447,0.7,2025-05-15 21:44:24.703558,2025-05-15 21:46:35.948986,0 days 00:02:11.245428,1,COMPLETE,0.7,0.0003336598039062844,0.0037623244710575524,0.05,True,150.0,7.426391908139933e-05,1.0639394974048459e-05,1.0,True,150.0,0.05,bnscale,group,True
85,0.9537440930570701,0.7,2025-05-15 22:12:31.255829,2025-05-15 22:14:34.003035,0 days 00:02:02.747206,1,COMPLETE,0.7,1.1208534555346614e-05,2.069553354259831e-05,0.0,False,,0.00014128263728129813,0.0018195147102103289,1.0,False,,0.0,base,group,True
61,0.9536532170119957,0.7,2025-05-15 21:23:03.784600,2025-05-15 21:24:47.272569,0 days 00:01:43.487969,0,COMPLETE,0.7,0.00027626273910215875,0.01148602868732737,0.15,False,,9.291288132586389e-05,0.6785047173508123,3.0,True,90.0,0.1,base,fpgm,False
98,0.9536532170119957,0.5,2025-05-15 22:38:08.067692,2025-05-15 22:40:11.206174,0 days 00:02:03.138482,1,COMPLETE,0.5,0.0010047335327369668,0.002799509921313041,0.0,True,120.0,0.002018431707778551,0.0027016505150309167,3.0,False,,0.15,group,lamp,True
25,0.9536532170119956,0.6,2025-05-15 19:25:47.987379,2025-05-15 19:27:59.787416,0 days 00:02:11.800037,0,COMPLETE,0.6,0.0014546207212368615,0.004994514389253249,0.05,False,,0.0004449216635803221,0.01163924490673649,1.0,False,,0.15,bnscale,lamp,True
75,0.9535623409669212,0.5,2025-05-15 21:52:37.031382,2025-05-15 21:54:59.176809,0 days 00:02:22.145427,1,COMPLETE,0.5,1.8887544787503802e-05,0.0502375582454084,0.1,True,90.0,2.67982780033795e-05,5.92486694056293e-05,1.0,True,30.0,0.05,group,group,False
18,0.9532897128316975,0.7,2025-05-15 19:10:52.321797,2025-05-15 19:12:57.189088,0 days 00:02:04.867291,0,COMPLETE,0.7,0.0003336598039062844,0.0037623244710575524,0.05,False,,7.426391908139933e-05,1.0639394974048459e-05,1.0,True,30.0,0.05,bnscale,group,True
80,0.9532897128316975,0.7,2025-05-15 22:02:43.699118,2025-05-15 22:04:43.334910,0 days 00:01:59.635792,1,COMPLETE,0.7,0.0002125152897745902,0.01148602868732737,0.05,True,30.0,9.291288132586389e-05,0.3725636715742806,1.0,True,120.0,0.0,base,fpgm,True
112,0.9505634314794619,0.7,2025-05-15 23:06:07.318573,2025-05-15 23:08:05.100444,0 days 00:01:57.781871,1,COMPLETE,0.7,0.006004780658860121,0.0037623244710575524,0.05,False,,0.0007337107549251677,0.007545297553870704,1.0,True,120.0,0.05,bnscale,group,False
