number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
81,0.9601962922573609,0.6,2025-05-15 17:10:18.999198,2025-05-15 17:13:59.204158,0 days 00:03:40.204960,1,COMPLETE,0.6,0.0068825772698609365,0.0015801365436574877,0.15,True,150.0,4.889677434461188e-05,0.13307868819207203,2.0,False,,0.0,bnscale,group,True
2,0.9593784078516903,0.5,2025-05-15 12:05:47.376617,2025-05-15 12:09:34.532678,0 days 00:03:47.156061,0,COMPLETE,0.5,0.0030551336172474253,2.9412541715556492e-05,0.1,False,,0.0005415092934344614,0.0005060467199712047,3.0,True,30.0,0.0,group,lamp,False
14,0.9593784078516903,0.5,2025-05-15 12:45:21.437331,2025-05-15 12:49:28.201539,0 days 00:04:06.764208,0,COMPLETE,0.5,0.0010413109150152675,0.0011844507340678474,0.05,False,,0.00012193332423050289,0.02196679608743227,2.0,True,90.0,0.15,group,lamp,False
72,0.9592875318066157,0.5,2025-05-15 16:36:58.468051,2025-05-15 16:40:55.415771,0 days 00:03:56.947720,1,COMPLETE,0.5,0.00044207068396323135,0.0021661710342813206,0.05,False,,0.0004418298688371428,0.003512280862625116,3.0,True,120.0,0.0,group,fpgm,True
43,0.9591966557615411,0.5,2025-05-15 14:38:51.748251,2025-05-15 14:42:46.987330,0 days 00:03:55.239079,0,COMPLETE,0.5,0.00040470942673386136,0.0007623840984743106,0.05,False,,3.5062536552679596e-05,0.00013548624863917046,2.0,False,,0.15,base,group,False
15,0.9589240276263178,0.5,2025-05-15 12:49:28.224000,2025-05-15 12:53:23.197931,0 days 00:03:54.973931,0,COMPLETE,0.5,0.006125226025728804,0.0017619799938260554,0.05,False,,9.761992026386583e-05,0.002448019239033233,3.0,False,,0.1,base,group,False
94,0.9588331515812433,0.5,2025-05-15 18:00:23.796324,2025-05-15 18:04:23.187082,0 days 00:03:59.390758,1,COMPLETE,0.5,0.0018435030757246542,8.044617487800659e-05,0.0,False,,0.000841633152467638,0.003512280862625116,2.0,False,,0.0,base,lamp,False
75,0.9583787713558706,0.6,2025-05-15 16:48:17.178478,2025-05-15 16:51:49.518338,0 days 00:03:32.339860,1,COMPLETE,0.6,0.0030551336172474253,2.9412541715556492e-05,0.1,False,,0.0005415092934344614,0.0005060467199712047,3.0,True,30.0,0.0,group,fpgm,False
50,0.9583787713558706,0.6,2025-05-15 15:06:56.682426,2025-05-15 15:10:49.874888,0 days 00:03:53.192462,0,COMPLETE,0.6,0.0068825772698609365,0.00010874160362764579,0.1,True,30.0,5.45965985345866e-05,1.3273337746765986e-05,2.0,True,150.0,0.0,group,group,True
78,0.9582878953107961,0.5,2025-05-15 16:59:11.109778,2025-05-15 17:02:54.394058,0 days 00:03:43.284280,1,COMPLETE,0.5,0.0015561189607192208,1.018982587092924e-05,0.0,True,120.0,0.001168713020553979,1.6508899725337807e-05,2.0,False,,0.05,bnscale,fpgm,False
