number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
8,0.9586056644880174,0.6,2025-05-15 04:09:04.334636,2025-05-15 04:10:05.540318,0 days 00:01:01.205682,0,COMPLETE,0.6,0.0013447002195833963,0.0005845716008315371,0.15,False,,0.00030465225828809966,0.32500078385556036,3,False,,0.15,base,lamp,False
4,0.9581699346405229,0.5,2025-05-15 04:04:24.667289,2025-05-15 04:05:38.540490,0 days 00:01:13.873201,0,COMPLETE,0.5,0.008356499672706592,0.00014691296753706175,0.0,False,,0.0028381272443786685,6.965809447119613e-05,1,False,,0.0,base,fpgm,True
20,0.9579520697167756,0.6,2025-05-15 04:22:29.961629,2025-05-15 04:23:36.203790,0 days 00:01:06.242161,0,COMPLETE,0.6,0.00036814438696452,0.0017306686926225642,0.15,False,,0.0002219761322293673,0.05057021977802791,1,True,150.0,0.0,base,group,False
90,0.9570806100217865,0.6,2025-05-15 05:35:14.433178,2025-05-15 05:36:15.785023,0 days 00:01:01.351845,1,COMPLETE,0.6,0.0013447002195833963,0.0005845716008315371,0.15,False,,0.00036061150170683986,4.0451450731527686e-05,3,False,,0.15,base,lamp,False
11,0.9562091503267974,0.6,2025-05-15 04:12:10.740460,2025-05-15 04:13:16.673062,0 days 00:01:05.932602,0,COMPLETE,0.6,0.0024342243531856864,0.0003830496739205613,0.15,True,150.0,3.0391191294064872e-05,0.0010319854003437536,1,True,90.0,0.0,group,fpgm,False
51,0.9555555555555556,0.5,2025-05-15 04:54:49.855374,2025-05-15 04:55:59.829698,0 days 00:01:09.974324,1,COMPLETE,0.5,0.0006919478327441083,0.00015299021486265765,0.1,False,,2.9480600650260096e-05,0.6266845217817351,3,False,,0.15,group,fpgm,False
87,0.9546840958605665,0.6,2025-05-15 05:32:27.179084,2025-05-15 05:33:27.700038,0 days 00:01:00.520954,1,COMPLETE,0.6,0.00027654886325126306,1.3421102538981974e-05,0.0,True,90.0,0.0015223686292774837,0.00766328599740367,3,False,,0.05,bnscale,group,False
84,0.9546840958605665,0.5,2025-05-15 05:28:59.819282,2025-05-15 05:30:10.357023,0 days 00:01:10.537741,1,COMPLETE,0.5,0.0013434748439130734,6.556674098862082e-05,0.1,True,150.0,0.0040948406174454105,1.1051428970313196e-05,2,False,,0.1,base,fpgm,True
16,0.9544662309368191,0.5,2025-05-15 04:18:00.331729,2025-05-15 04:19:11.409886,0 days 00:01:11.078157,0,COMPLETE,0.5,0.00037190037721996575,0.0003866362752152746,0.05,False,,2.1324307676753766e-05,1.014958917916292e-05,2,True,90.0,0.05,bnscale,group,True
33,0.9538126361655772,0.5,2025-05-15 04:36:28.804497,2025-05-15 04:37:38.619789,0 days 00:01:09.815292,0,COMPLETE,0.5,0.0006919478327441083,0.00015299021486265765,0.0,True,150.0,2.9480600650260096e-05,0.6266845217817351,3,False,,0.15,base,fpgm,False
31,0.952723311546841,0.5,2025-05-15 04:34:27.505329,2025-05-15 04:35:36.949271,0 days 00:01:09.443942,0,COMPLETE,0.5,0.0013434748439130734,6.556674098862082e-05,0.05,True,30.0,0.0040948406174454105,1.1712488931443862e-05,3,False,,0.0,base,fpgm,True
73,0.952723311546841,0.6,2025-05-15 05:18:16.892976,2025-05-15 05:19:18.037845,0 days 00:01:01.144869,1,COMPLETE,0.6,0.00036814438696452,0.0003175448894749434,0.05,False,,9.062233522569016e-05,0.05057021977802791,3,True,120.0,0.0,base,fpgm,False
0,0.9527233115468409,0.6,2025-05-15 04:00:27.061496,2025-05-15 04:01:27.591868,0 days 00:01:00.530372,0,COMPLETE,0.6,0.00044170112063033246,0.0004658262949552922,0.1,False,,0.007932916126423219,0.25152486460759155,3,False,,0.15,bnscale,fpgm,False
59,0.952069716775599,0.5,2025-05-15 05:03:32.360574,2025-05-15 05:04:41.935223,0 days 00:01:09.574649,1,COMPLETE,0.5,0.00037190037721996575,0.0003866362752152746,0.15,False,,4.216540797493942e-05,0.00011959000331146006,2,True,30.0,0.05,bnscale,lamp,True
68,0.9507625272331154,0.5,2025-05-15 05:12:34.515964,2025-05-15 05:13:42.241753,0 days 00:01:07.725789,1,COMPLETE,0.5,0.0006919478327441083,2.8490042362603917e-05,0.1,True,60.0,2.9480600650260096e-05,0.00032590162948504495,3,True,30.0,0.05,base,lamp,False
97,0.9498910675381262,0.6,2025-05-15 05:42:33.657590,2025-05-15 05:43:36.584644,0 days 00:01:02.927054,1,COMPLETE,0.6,0.00019862092925573084,3.566869441319617e-05,0.15,False,,2.5214231450072462e-05,0.014082208059436902,2,True,90.0,0.1,bnscale,lamp,False
54,0.9494553376906317,0.6,2025-05-15 04:58:16.277665,2025-05-15 04:59:22.967469,0 days 00:01:06.689804,1,COMPLETE,0.6,7.40661787235871e-05,6.556674098862082e-05,0.1,True,90.0,0.00012083010742508449,0.0029522964064911416,1,True,150.0,0.0,base,fpgm,True
23,0.9492374727668844,0.5,2025-05-15 04:25:31.536822,2025-05-15 04:26:41.343630,0 days 00:01:09.806808,0,COMPLETE,0.5,7.228174098872487e-05,5.4188108968406743e-05,0.1,False,,0.000498759692508108,0.00031933105450849175,3,False,,0.0,base,group,False
99,0.9492374727668844,0.7,2025-05-15 05:44:29.543561,2025-05-15 05:45:22.368315,0 days 00:00:52.824754,1,COMPLETE,0.7,0.00027654886325126306,0.0008065740566302082,0.05,True,90.0,2.9480600650260096e-05,0.6266845217817351,3,False,,0.15,base,group,True
91,0.9490196078431371,0.5,2025-05-15 05:36:15.809261,2025-05-15 05:37:25.636269,0 days 00:01:09.827008,1,COMPLETE,0.5,0.0001575919050108369,0.002707232135892287,0.0,True,90.0,2.9480600650260096e-05,0.02395594271800028,3,False,,0.15,base,group,True
25,0.9485838779956426,0.5,2025-05-15 04:27:53.336491,2025-05-15 04:29:02.873862,0 days 00:01:09.537371,0,COMPLETE,0.5,8.125350594390884e-05,9.362541856496215e-05,0.05,False,,0.001936409754528962,0.0004211370275269696,3,False,,0.15,base,lamp,True
50,0.9479302832244008,0.5,2025-05-15 04:53:40.925770,2025-05-15 04:54:49.834403,0 days 00:01:08.908633,1,COMPLETE,0.5,7.228174098872487e-05,5.4188108968406743e-05,0.1,False,,0.0028381272443786685,0.00031933105450849175,3,False,,0.0,base,group,False
21,0.9479302832244008,0.6,2025-05-15 04:23:36.225623,2025-05-15 04:24:38.112100,0 days 00:01:01.886477,0,COMPLETE,0.6,7.40661787235871e-05,0.00122084483193935,0.1,False,,0.00012083010742508449,0.0029522964064911416,3,True,60.0,0.05,base,lamp,True
3,0.9472766884531589,0.6,2025-05-15 04:03:23.102697,2025-05-15 04:04:24.644522,0 days 00:01:01.541825,0,COMPLETE,0.6,0.0001259141703920369,1.3421102538981974e-05,0.0,True,60.0,0.009709554808589135,0.4627256424100439,3,False,,0.05,bnscale,lamp,False
22,0.9470588235294116,0.7,2025-05-15 04:24:38.136026,2025-05-15 04:25:31.512184,0 days 00:00:53.376158,0,COMPLETE,0.7,0.0003133605766854944,2.1566516167880647e-05,0.1,True,30.0,0.0031502543045165664,0.00032590162948504495,2,True,120.0,0.05,base,lamp,True
95,0.9470588235294116,0.5,2025-05-15 05:40:17.829454,2025-05-15 05:41:26.994747,0 days 00:01:09.165293,1,COMPLETE,0.5,7.228174098872487e-05,5.4188108968406743e-05,0.1,False,,0.0028381272443786685,0.00031933105450849175,3,False,,0.0,base,group,False
76,0.9450980392156861,0.5,2025-05-15 05:21:17.938022,2025-05-15 05:22:28.622838,0 days 00:01:10.684816,1,COMPLETE,0.5,6.721562336898714e-05,2.1566516167880647e-05,0.1,True,120.0,0.0031502543045165664,0.00032590162948504495,2,False,,0.15,base,lamp,True
46,0.9446623093681916,0.5,2025-05-15 04:49:32.440022,2025-05-15 04:50:43.252698,0 days 00:01:10.812676,0,COMPLETE,0.5,0.0001575919050108369,0.002707232135892287,0.0,True,90.0,2.6743278672715313e-05,0.02395594271800028,2,False,,0.05,base,group,True
64,0.9446623093681916,0.7,2025-05-15 05:08:25.688424,2025-05-15 05:09:18.689700,0 days 00:00:53.001276,1,COMPLETE,0.7,7.23921915215836e-05,0.0017306686926225642,0.15,False,,0.0002219761322293673,0.0016910660071513509,3,False,,0.0,base,group,False
34,0.9440087145969498,0.5,2025-05-15 04:37:38.645349,2025-05-15 04:38:49.617019,0 days 00:01:10.971670,0,COMPLETE,0.5,5.513338876972884e-05,0.0014720911712700535,0.1,False,,6.232166115402277e-05,0.0001200042815167813,2,False,,0.1,group,group,False
70,0.9437908496732025,0.5,2025-05-15 05:14:53.820612,2025-05-15 05:16:08.957759,0 days 00:01:15.137147,1,COMPLETE,0.5,5.513338876972884e-05,0.0014720911712700535,0.15,False,,6.232166115402277e-05,0.0001200042815167813,1,False,,0.1,bnscale,group,True
58,0.943355119825708,0.7,2025-05-15 05:02:39.760680,2025-05-15 05:03:32.336982,0 days 00:00:52.576302,1,COMPLETE,0.7,7.23921915215836e-05,0.0009146585364559819,0.15,False,,0.00036061150170683986,0.11035378299498298,3,False,,0.1,base,lamp,False
93,0.9431372549019607,0.7,2025-05-15 05:38:18.956376,2025-05-15 05:39:16.445766,0 days 00:00:57.489390,1,COMPLETE,0.7,0.0001575919050108369,0.0005348452769812683,0.05,True,30.0,2.6743278672715313e-05,0.006885172235781732,1,False,,0.05,base,group,True
89,0.9420479302832243,0.7,2025-05-15 05:34:20.304050,2025-05-15 05:35:14.410493,0 days 00:00:54.106443,1,COMPLETE,0.7,0.0001259141703920369,1.3421102538981974e-05,0.15,True,30.0,0.009709554808589135,5.9279071301876336e-05,2,False,,0.05,bnscale,lamp,False
60,0.9420479302832243,0.7,2025-05-15 05:04:41.956227,2025-05-15 05:05:34.133837,0 days 00:00:52.177610,1,COMPLETE,0.7,7.40661787235871e-05,1.0442120732168447e-05,0.15,False,,0.001800312980090347,0.00815057377382173,3,False,,0.05,base,fpgm,True
82,0.9405228758169933,0.7,2025-05-15 05:27:11.780563,2025-05-15 05:28:05.060740,0 days 00:00:53.280177,1,COMPLETE,0.7,7.405357343716325e-05,2.1566516167880647e-05,0.1,False,,2.1324307676753766e-05,0.11961219338576527,2,True,120.0,0.05,base,group,True
56,0.9403050108932461,0.7,2025-05-15 05:00:37.305725,2025-05-15 05:01:30.064036,0 days 00:00:52.758311,1,COMPLETE,0.7,7.23921915215836e-05,0.0009146585364559819,0.15,False,,0.00036061150170683986,4.0451450731527686e-05,3,False,,0.1,base,lamp,False
86,0.9398692810457515,0.5,2025-05-15 05:31:12.552641,2025-05-15 05:32:27.156384,0 days 00:01:14.603743,1,COMPLETE,0.5,3.455367921587724e-05,4.0326680983242655e-05,0.05,False,,0.00012934661546320359,6.965809447119613e-05,1,False,,0.05,base,fpgm,True
36,0.9396514161220043,0.7,2025-05-15 04:39:46.855144,2025-05-15 04:40:39.619696,0 days 00:00:52.764552,0,COMPLETE,0.7,7.23921915215836e-05,0.0009146585364559819,0.15,False,,0.00036061150170683986,4.0451450731527686e-05,3,False,,0.1,base,lamp,False
78,0.9387799564270152,0.7,2025-05-15 05:23:30.785088,2025-05-15 05:24:22.984090,0 days 00:00:52.199002,1,COMPLETE,0.7,7.40661787235871e-05,0.00122084483193935,0.1,False,,0.00012083010742508449,0.014082208059436902,3,False,,0.05,bnscale,lamp,True
10,0.9376906318082788,0.5,2025-05-15 04:10:59.666246,2025-05-15 04:12:10.718799,0 days 00:01:11.052553,0,COMPLETE,0.5,6.721562336898714e-05,0.005155381408499044,0.1,True,150.0,0.007329545123499941,1.1051428970313196e-05,2,False,,0.1,base,fpgm,False
19,0.9357298474945533,0.5,2025-05-15 04:21:20.880875,2025-05-15 04:22:29.939257,0 days 00:01:09.058382,0,COMPLETE,0.5,0.0027697640732184596,0.0009848299405650644,0.1,True,90.0,1.3732817482426971e-05,2.44264505250987e-05,2,True,150.0,0.15,group,lamp,False
57,0.9346405228758169,0.5,2025-05-15 05:01:30.085386,2025-05-15 05:02:39.736870,0 days 00:01:09.651484,1,COMPLETE,0.5,5.513338876972884e-05,0.0014720911712700535,0.1,True,60.0,6.232166115402277e-05,0.0001200042815167813,2,False,,0.1,group,lamp,False
75,0.9296296296296296,0.7,2025-05-15 05:20:25.275778,2025-05-15 05:21:17.915061,0 days 00:00:52.639283,1,COMPLETE,0.7,7.23921915215836e-05,0.0001445180799024973,0.15,True,30.0,0.001800312980090347,4.0451450731527686e-05,3,False,,0.1,bnscale,fpgm,False
66,0.9294117647058823,0.6,2025-05-15 05:10:25.682061,2025-05-15 05:11:32.591460,0 days 00:01:06.909399,1,COMPLETE,0.6,5.428791389129216e-05,0.0011698438539683121,0.0,True,60.0,3.0391191294064872e-05,1.1759933182230332e-05,1,True,60.0,0.0,bnscale,fpgm,False
69,0.9237472766884531,0.5,2025-05-15 05:13:42.263902,2025-05-15 05:14:53.797477,0 days 00:01:11.533575,1,COMPLETE,0.5,6.721562336898714e-05,0.005155381408499044,0.0,True,30.0,2.9480600650260096e-05,2.3951645683144302e-05,2,False,,0.15,base,fpgm,False
18,0.918954248366013,0.7,2025-05-15 04:20:22.664171,2025-05-15 04:21:20.858356,0 days 00:00:58.194185,0,COMPLETE,0.7,3.455367921587724e-05,4.0326680983242655e-05,0.05,False,,0.00012934661546320359,0.06346768441318602,1,False,,0.05,base,fpgm,False
40,0.9178649237472767,0.5,2025-05-15 04:43:24.207569,2025-05-15 04:44:34.655352,0 days 00:01:10.447783,0,COMPLETE,0.5,6.73641524000881e-05,0.007608828490266419,0.15,True,150.0,0.004232508820964099,0.00011959000331146006,2,True,30.0,0.15,bnscale,lamp,True
9,0.9159041394335512,0.7,2025-05-15 04:10:05.561785,2025-05-15 04:10:59.644331,0 days 00:00:54.082546,0,COMPLETE,0.7,3.158963262029156e-05,0.0003175448894749434,0.05,False,,9.062233522569016e-05,0.43322514637987397,2,True,90.0,0.0,bnscale,fpgm,True
96,0.9115468409586057,0.6,2025-05-15 05:41:27.017230,2025-05-15 05:42:33.633856,0 days 00:01:06.616626,1,COMPLETE,0.6,3.5466843955620784e-05,0.0005348452769812683,0.05,True,60.0,0.004565958851850737,0.006885172235781732,1,True,150.0,0.05,group,group,True
