number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
30,0.9625272331154684,0.5,2025-05-15 03:08:00.593755,2025-05-15 03:08:51.445669,0 days 00:00:50.851914,0,COMPLETE,0.5,0.0001940507660654809,0.00013249363495483732,0.1,True,30.0,0.002323743185616296,1.758698094444632e-05,1,True,30.0,0.15,base,lamp,False
67,0.9620915032679739,0.5,2025-05-15 03:35:59.756245,2025-05-15 03:36:43.016835,0 days 00:00:43.260590,1,COMPLETE,0.5,0.00015390597891596277,0.0010352778537337504,0.1,False,,0.008740213009965752,0.8387884095996758,3,False,,0.1,base,lamp,True
55,0.9618736383442266,0.7,2025-05-15 03:26:47.964551,2025-05-15 03:27:30.000751,0 days 00:00:42.036200,1,COMPLETE,0.7,0.001881257186178207,0.0017074526312294308,0.0,True,60.0,0.00026931497861648726,0.0002262709035003487,3,False,,0.05,group,group,True
72,0.9601307189542484,0.5,2025-05-15 03:39:36.907335,2025-05-15 03:40:20.729498,0 days 00:00:43.822163,1,COMPLETE,0.5,0.0007239962462873972,0.0012524079930125525,0.05,True,90.0,1.1385825172794039e-05,2.4103168595355175e-05,2,True,150.0,0.1,base,lamp,False
43,0.9599128540305011,0.6,2025-05-15 03:17:51.345908,2025-05-15 03:18:34.820786,0 days 00:00:43.474878,0,COMPLETE,0.6,0.0023073704016225477,0.00032992945753298504,0.15,False,,0.00011646450774745672,0.00012826377226684985,2,False,,0.0,base,group,True
38,0.9594771241830066,0.5,2025-05-15 03:13:58.242842,2025-05-15 03:14:46.719448,0 days 00:00:48.476606,0,COMPLETE,0.5,0.00025820442032992516,4.822229406058951e-05,0.05,True,120.0,0.00017148502156872896,0.0032230372587234413,1,False,,0.05,group,lamp,False
66,0.9594771241830066,0.6,2025-05-15 03:35:15.705413,2025-05-15 03:35:59.733112,0 days 00:00:44.027699,1,COMPLETE,0.6,0.0023073704016225477,0.00032992945753298504,0.15,True,30.0,0.0002881360621869773,0.005098288754033493,2,False,,0.0,group,lamp,True
57,0.9594771241830066,0.6,2025-05-15 03:28:11.868261,2025-05-15 03:29:00.478455,0 days 00:00:48.610194,1,COMPLETE,0.6,0.0001940507660654809,0.00013249363495483732,0.15,False,,0.002323743185616296,5.21117387745611e-05,1,True,150.0,0.05,base,lamp,False
90,0.9590413943355119,0.5,2025-05-15 03:53:04.997012,2025-05-15 03:53:53.547849,0 days 00:00:48.550837,1,COMPLETE,0.5,0.004799442370412209,0.0008573609476899987,0.1,True,90.0,1.8353224156913926e-05,0.0003116216470820792,3,True,150.0,0.1,base,group,True
65,0.9588235294117647,0.6,2025-05-15 03:34:27.442023,2025-05-15 03:35:15.682878,0 days 00:00:48.240855,1,COMPLETE,0.6,0.0009755701699859818,0.0025099161795249054,0.1,False,,0.0029018113422906995,2.227988963013688e-05,1,True,30.0,0.0,group,lamp,True
37,0.9583877995642701,0.5,2025-05-15 03:13:13.571883,2025-05-15 03:13:58.221006,0 days 00:00:44.649123,0,COMPLETE,0.5,0.0007239962462873972,0.0020094801492127785,0.05,True,90.0,3.0082440056302956e-05,0.024365253912034236,2,False,,0.05,base,group,False
21,0.9581699346405229,0.7,2025-05-15 03:01:24.177657,2025-05-15 03:02:06.440954,0 days 00:00:42.263297,0,COMPLETE,0.7,0.0030974113900471556,0.00023002307721974597,0.1,True,60.0,0.00012637116209062295,0.6944804263032619,3,True,120.0,0.0,bnscale,fpgm,True
13,0.9577342047930283,0.6,2025-05-15 02:55:26.023963,2025-05-15 02:56:10.210953,0 days 00:00:44.186990,0,COMPLETE,0.6,0.002386688762627971,1.2706515781411455e-05,0.05,False,,0.00012829379658699396,0.06105816062019593,2,False,,0.15,bnscale,lamp,False
98,0.9577342047930283,0.6,2025-05-15 03:59:01.627096,2025-05-15 03:59:44.480965,0 days 00:00:42.853869,1,COMPLETE,0.6,0.0007318901983879812,1.0080723497219471e-05,0.1,False,,0.00030545736091170257,0.004464032034162415,3,False,,0.1,bnscale,fpgm,False
