number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
34,0.9742028985507246,0.7,2025-05-16 15:52:49.850423,2025-05-16 15:54:54.184538,0 days 00:02:04.334115,0,COMPLETE,0.7,0.00818295688189747,0.00017673887187182462,0.1,False,,0.0001264263265440126,0.0170225572038565,2,False,,0.05,group,group,False
98,0.9742028985507246,0.7,2025-05-16 18:02:07.252005,2025-05-16 18:04:02.237319,0 days 00:01:54.985314,1,COMPLETE,0.7,0.00818295688189747,0.00017673887187182462,0.1,False,,0.0001264263265440126,0.0170225572038565,2,False,,0.05,group,group,False
52,0.973768115942029,0.7,2025-05-16 16:28:55.828022,2025-05-16 16:30:52.505339,0 days 00:01:56.677317,1,COMPLETE,0.7,0.0038561852364926556,0.0001621724593833026,0.05,True,90.0,0.00028363412019476647,0.6834022022846582,2,True,30.0,0.15,bnscale,group,True
97,0.9737198067632851,0.6,2025-05-16 18:00:13.480829,2025-05-16 18:02:07.230062,0 days 00:01:53.749233,1,COMPLETE,0.6,0.0038561852364926556,0.0001621724593833026,0.05,False,,3.272537749543012e-05,0.6834022022846582,3,True,150.0,0.0,bnscale,group,True
93,0.9736714975845411,0.6,2025-05-16 17:52:12.511576,2025-05-16 17:54:20.009538,0 days 00:02:07.497962,1,COMPLETE,0.6,0.00247451205775694,4.740775579500056e-05,0.0,False,,0.0010775408099112532,0.004756132717260625,1,True,60.0,0.1,base,fpgm,True
56,0.9736231884057971,0.6,2025-05-16 16:36:36.656400,2025-05-16 16:38:33.572649,0 days 00:01:56.916249,1,COMPLETE,0.6,0.0096232645644984,2.621230374563428e-05,0.05,False,,0.0003495748619424495,0.08983205134191459,2,True,120.0,0.1,base,lamp,False
28,0.9735748792270531,0.5,2025-05-16 15:40:41.195383,2025-05-16 15:42:47.817682,0 days 00:02:06.622299,0,COMPLETE,0.5,0.0022283694710723643,0.0008515084533006005,0.0,False,,0.0011443039574396234,0.0003112947863675324,1,True,120.0,0.0,bnscale,fpgm,True
90,0.9734299516908212,0.5,2025-05-16 17:46:19.463981,2025-05-16 17:48:18.263989,0 days 00:01:58.800008,1,COMPLETE,0.5,0.0096232645644984,9.10015760852389e-05,0.05,False,,0.0003495748619424495,0.08983205134191459,2,False,,0.05,bnscale,lamp,False
42,0.9734299516908212,0.6,2025-05-16 16:08:42.032593,2025-05-16 16:10:38.992051,0 days 00:01:56.959458,0,COMPLETE,0.6,8.270178771923865e-05,0.001267334254695,0.15,False,,0.000980554843997629,0.016586223876484323,2,False,,0.05,group,group,True
46,0.9733333333333333,0.5,2025-05-16 16:16:36.594757,2025-05-16 16:18:35.963780,0 days 00:01:59.369023,0,COMPLETE,0.5,0.0096232645644984,2.621230374563428e-05,0.15,False,,4.0686567663241015e-05,0.08983205134191459,2,False,,0.1,bnscale,lamp,True
13,0.9732850241545893,0.7,2025-05-16 15:09:58.426419,2025-05-16 15:11:57.212673,0 days 00:01:58.786254,0,COMPLETE,0.7,0.0038561852364926556,0.0001621724593833026,0.05,True,30.0,0.00028363412019476647,0.6834022022846582,2,True,30.0,0.0,base,group,True
75,0.9732850241545893,0.6,2025-05-16 17:15:14.044694,2025-05-16 17:17:09.359319,0 days 00:01:55.314625,1,COMPLETE,0.6,0.0005385221565047759,2.7275602961548436e-05,0.05,True,120.0,0.0012111103946873378,6.0668578240064835e-05,3,True,90.0,0.0,base,fpgm,False
64,0.9732367149758453,0.6,2025-05-16 16:52:50.718916,2025-05-16 16:55:02.073287,0 days 00:02:11.354371,1,COMPLETE,0.6,0.0002046028358020093,1.0530296965767704e-05,0.1,False,,0.002526471253832985,0.004162582210589989,1,False,,0.1,base,lamp,False
63,0.9731884057971015,0.7,2025-05-16 16:50:40.105421,2025-05-16 16:52:50.697594,0 days 00:02:10.592173,1,COMPLETE,0.7,0.0015171388238066107,0.00018271078655900032,0.05,True,90.0,0.001592875629698346,0.12903244579640413,1,True,60.0,0.0,bnscale,group,True
23,0.9731884057971015,0.5,2025-05-16 15:30:32.266406,2025-05-16 15:32:34.207004,0 days 00:02:01.940598,0,COMPLETE,0.5,0.00020574247229682618,7.188476174553482e-05,0.05,True,90.0,2.0861719652262077e-05,0.0001877827806439195,2,True,150.0,0.1,bnscale,group,True
19,0.9731400966183575,0.5,2025-05-16 15:22:19.565591,2025-05-16 15:24:24.113711,0 days 00:02:04.548120,0,COMPLETE,0.5,5.198245085636046e-05,0.00022117534227073424,0.15,False,,7.966003938127391e-05,0.0013660382883602508,2,False,,0.05,group,group,False
40,0.9731400966183575,0.6,2025-05-16 16:04:36.492961,2025-05-16 16:06:33.639268,0 days 00:01:57.146307,0,COMPLETE,0.6,7.805079616205332e-05,0.0010567544151128374,0.0,True,120.0,1.5562145761574124e-05,0.7496084544567655,2,True,90.0,0.15,group,fpgm,True
26,0.9730917874396136,0.6,2025-05-16 15:36:43.682997,2025-05-16 15:38:38.264498,0 days 00:01:54.581501,0,COMPLETE,0.6,0.0016435129468522541,3.762419026859323e-05,0.0,False,,3.272537749543012e-05,0.07010886581714533,3,True,30.0,0.05,bnscale,group,True
59,0.9729951690821257,0.6,2025-05-16 16:42:35.943721,2025-05-16 16:44:38.554735,0 days 00:02:02.611014,1,COMPLETE,0.6,0.00023396072196721335,3.624678991146519e-05,0.05,True,60.0,0.0003495748619424495,0.00010837149326178577,2,True,120.0,0.0,group,lamp,False
41,0.9729951690821256,0.6,2025-05-16 16:06:33.668634,2025-05-16 16:08:42.007372,0 days 00:02:08.338738,0,COMPLETE,0.6,0.0002046028358020093,1.0530296965767704e-05,0.15,False,,0.00159550539386663,0.004162582210589989,1,False,,0.1,base,lamp,False
55,0.9729468599033816,0.5,2025-05-16 16:34:37.221168,2025-05-16 16:36:36.634520,0 days 00:01:59.413352,1,COMPLETE,0.5,8.248774911999862e-05,2.621230374563428e-05,0.15,True,60.0,4.0686567663241015e-05,0.2119672600932956,2,True,90.0,0.1,base,lamp,True
15,0.9728019323671498,0.5,2025-05-16 15:13:55.218605,2025-05-16 15:16:03.256123,0 days 00:02:08.037518,0,COMPLETE,0.5,5.836200144773574e-05,0.0014486315125762995,0.1,False,,5.061321526954791e-05,0.012095685282611757,1,False,,0.05,group,lamp,True
86,0.9727536231884059,0.6,2025-05-16 17:37:56.831474,2025-05-16 17:40:13.319841,0 days 00:02:16.488367,1,COMPLETE,0.6,0.0007768816596653823,2.7275602961548436e-05,0.15,False,,0.00159550539386663,6.0668578240064835e-05,1,True,30.0,0.0,base,group,True
68,0.9727053140096619,0.5,2025-05-16 17:00:56.809831,2025-05-16 17:02:54.366613,0 days 00:01:57.556782,1,COMPLETE,0.5,7.363760539667501e-05,0.00672247957523937,0.05,True,60.0,0.0014271940603081922,0.06942704612562464,3,True,90.0,0.15,bnscale,lamp,False
79,0.9727053140096619,0.6,2025-05-16 17:23:05.279906,2025-05-16 17:25:13.305536,0 days 00:02:08.025630,1,COMPLETE,0.6,0.0007768816596653823,2.7275602961548436e-05,0.05,True,120.0,0.00682872821452889,6.0668578240064835e-05,1,True,60.0,0.0,group,group,True
62,0.9727053140096619,0.6,2025-05-16 16:48:38.451758,2025-05-16 16:50:40.079528,0 days 00:02:01.627770,1,COMPLETE,0.6,0.00011450959523917975,0.00017673887187182462,0.1,True,30.0,0.000980554843997629,0.0170225572038565,2,False,,0.05,group,group,True
87,0.9726570048309178,0.6,2025-05-16 17:40:13.345689,2025-05-16 17:42:10.253548,0 days 00:01:56.907859,1,COMPLETE,0.6,7.805079616205332e-05,0.0010567544151128374,0.0,False,,1.5562145761574124e-05,0.175230825990687,2,True,120.0,0.0,base,fpgm,True
3,0.9725603864734299,0.6,2025-05-16 14:50:09.962134,2025-05-16 14:52:10.562935,0 days 00:02:00.600801,0,COMPLETE,0.6,4.987434397608351e-05,1.4106806373671109e-05,0.05,True,30.0,0.0003495748619424495,0.00010837149326178577,2,True,120.0,0.05,base,lamp,False
85,0.9725603864734299,0.6,2025-05-16 17:35:53.328329,2025-05-16 17:37:56.809471,0 days 00:02:03.481142,1,COMPLETE,0.6,7.805079616205332e-05,0.0010567544151128374,0.0,True,90.0,3.272537749543012e-05,0.7496084544567655,3,True,30.0,0.0,group,group,True
