number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
47,0.9691787439613527,0.6,2025-05-16 06:52:46.537051,2025-05-16 07:01:40.017266,0 days 00:08:53.480215,0,COMPLETE,0.6,0.00777771050581282,0.027134532360152418,0.05,True,120.0,0.0007963132725715352,4.2903407179489025e-05,2,True,120.0,0.0,bnscale,fpgm,False
56,0.968743961352657,0.5,2025-05-16 08:12:42.349690,2025-05-16 08:21:29.695355,0 days 00:08:47.345665,1,COMPLETE,0.5,0.008887124574062396,0.008110176553307495,0.1,False,,2.6306091437121074e-05,0.8907997705582218,3,False,,0.15,base,group,True
95,0.968743961352657,0.6,2025-05-16 13:58:00.615257,2025-05-16 14:06:41.153497,0 days 00:08:40.538240,1,COMPLETE,0.6,0.002591875926786608,2.7832297358856394e-05,0.05,False,,1.2836075150938316e-05,0.00045147381777444374,3,False,,0.1,base,lamp,True
89,0.9684057971014494,0.5,2025-05-16 13:05:26.623195,2025-05-16 13:14:23.542667,0 days 00:08:56.919472,1,COMPLETE,0.5,0.0023789505490355535,0.025520135661896752,0.0,False,,0.000225313873512311,0.025639282297803417,1,True,120.0,0.0,group,lamp,True
38,0.9683091787439614,0.5,2025-05-16 05:32:49.881049,2025-05-16 05:41:58.273979,0 days 00:09:08.392930,0,COMPLETE,0.5,0.0032991688334352083,0.002947552330971276,0.1,False,,0.0003133779773750644,0.00023819859395407205,1,False,,0.05,base,fpgm,False
59,0.9680193236714976,0.6,2025-05-16 08:39:46.228004,2025-05-16 08:48:53.663125,0 days 00:09:07.435121,1,COMPLETE,0.6,0.00777771050581282,0.027134532360152418,0.1,True,60.0,0.00667161257670579,4.2903407179489025e-05,1,False,,0.15,base,fpgm,True
0,0.9678260869565217,0.5,2025-05-15 23:52:53.178963,2025-05-16 00:02:25.893607,0 days 00:09:32.714644,0,COMPLETE,0.5,0.009575552473412638,3.557238145291386e-05,0.15,True,120.0,1.1838260637892592e-05,1.956971313598458e-05,1,True,150.0,0.05,base,lamp,False
13,0.967536231884058,0.6,2025-05-16 01:49:14.951616,2025-05-16 01:58:02.619049,0 days 00:08:47.667433,0,COMPLETE,0.6,0.006603733344268009,0.008175043269786497,0.05,False,,7.715354302397317e-05,4.142425990796371e-05,3,False,,0.15,base,lamp,False
12,0.96743961352657,0.5,2025-05-16 01:40:26.197260,2025-05-16 01:49:14.929550,0 days 00:08:48.732290,0,COMPLETE,0.5,0.002591875926786608,0.04893553066720191,0.05,False,,0.008287732632688137,0.00010634751461832132,3,False,,0.1,base,lamp,True
41,0.9673913043478262,0.5,2025-05-16 05:59:41.684264,2025-05-16 06:08:30.127370,0 days 00:08:48.443106,0,COMPLETE,0.5,0.008887124574062396,0.008110176553307495,0.1,False,,2.6306091437121074e-05,0.8907997705582218,3,False,,0.15,base,group,True
97,0.9671014492753622,0.6,2025-05-16 14:16:12.475094,2025-05-16 14:25:32.747852,0 days 00:09:20.272758,1,COMPLETE,0.6,0.006603733344268009,0.008175043269786497,0.05,True,60.0,0.006645098586443669,0.0020632238649783935,3,True,60.0,0.15,base,group,True
