number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
4,0.809,0.5,2025-05-15 02:27:13.065830,2025-05-15 02:27:24.252434,0 days 00:00:11.186604,0,COMPLETE,0.5,0.006800985630184196,0.0001678473120823961,0.05,True,60.0,5.816167349254672e-05,2.5398909599887686e-05,3,False,,0.1,base,group,False
10,0.8086666666666668,0.6,2025-05-15 02:28:23.175430,2025-05-15 02:28:33.947345,0 days 00:00:10.771915,0,COMPLETE,0.6,0.008232520505445795,8.003008674760063e-05,0.15,False,,1.1364091202629635e-05,0.035646427497655196,2,False,,0.15,base,lamp,True
49,0.8073333333333333,0.6,2025-05-15 02:36:01.691895,2025-05-15 02:36:11.949495,0 days 00:00:10.257600,0,COMPLETE,0.6,0.0009572364132121229,0.00026198984291537716,0.05,False,,2.6412083042082793e-05,0.04450662756865809,3,True,150.0,0.1,group,fpgm,False
23,0.807,0.5,2025-05-15 02:31:00.943963,2025-05-15 02:31:11.995613,0 days 00:00:11.051650,0,COMPLETE,0.5,0.00045824233378852073,0.0002957732625741579,0.05,False,,1.7892410555220314e-05,0.0013650343062449838,3,True,30.0,0.15,bnscale,lamp,True
80,0.807,0.7,2025-05-15 02:41:45.474663,2025-05-15 02:41:57.398182,0 days 00:00:11.923519,1,COMPLETE,0.7,0.001791336123387385,2.140946015390051e-05,0.15,False,,4.240386594326013e-05,0.06901023944033649,1,False,,0.05,base,fpgm,False
83,0.807,0.5,2025-05-15 02:42:18.979637,2025-05-15 02:42:30.019723,0 days 00:00:11.040086,1,COMPLETE,0.5,0.007333202516543264,0.0002957732625741579,0.05,False,,1.7892410555220314e-05,0.0013650343062449838,3,True,90.0,0.15,bnscale,fpgm,True
46,0.807,0.7,2025-05-15 02:35:27.672439,2025-05-15 02:35:37.736488,0 days 00:00:10.064049,0,COMPLETE,0.7,0.001209127119300444,7.260321941554122e-05,0.0,False,,0.0003762986019110045,0.01464799119207573,2,False,,0.15,bnscale,group,True
26,0.807,0.7,2025-05-15 02:31:37.818803,2025-05-15 02:31:49.836648,0 days 00:00:12.017845,0,COMPLETE,0.7,0.001791336123387385,2.2912318434015904e-05,0.0,False,,4.240386594326013e-05,0.06901023944033649,1,True,150.0,0.05,base,group,True
75,0.8066666666666666,0.5,2025-05-15 02:40:49.623725,2025-05-15 02:41:00.743996,0 days 00:00:11.120271,1,COMPLETE,0.5,0.0009572364132121229,0.0001678473120823961,0.05,True,90.0,2.6412083042082793e-05,0.04450662756865809,3,False,,0.1,base,fpgm,False
34,0.8056666666666666,0.5,2025-05-15 02:33:08.451024,2025-05-15 02:33:22.123875,0 days 00:00:13.672851,0,COMPLETE,0.5,0.0020040549847967484,0.0028544880952327796,0.0,False,,0.004649632803431503,0.2606640642785429,1,False,,0.15,bnscale,lamp,True
37,0.805,0.5,2025-05-15 02:33:45.816433,2025-05-15 02:33:56.936117,0 days 00:00:11.119684,0,COMPLETE,0.5,0.0007261334965174246,3.191916616617488e-05,0.15,True,120.0,0.0001315851640008675,5.251593381547284e-05,3,True,120.0,0.05,group,group,False
53,0.805,0.6,2025-05-15 02:36:44.143109,2025-05-15 02:36:56.734104,0 days 00:00:12.590995,1,COMPLETE,0.6,0.0017363501736008032,2.140946015390051e-05,0.05,False,,2.6412083042082793e-05,0.00024630399090592824,1,True,30.0,0.1,group,fpgm,False
24,0.8039999999999999,0.7,2025-05-15 02:31:12.013552,2025-05-15 02:31:23.963769,0 days 00:00:11.950217,0,COMPLETE,0.7,0.008126739457101557,0.00013531735681988544,0.15,True,30.0,0.0013278287040662214,0.0060364171851622584,1,False,,0.15,group,fpgm,False
84,0.8033333333333333,0.7,2025-05-15 02:42:30.039418,2025-05-15 02:42:41.997637,0 days 00:00:11.958219,1,COMPLETE,0.7,0.001791336123387385,2.2912318434015904e-05,0.0,False,,4.240386594326013e-05,0.06901023944033649,1,True,90.0,0.05,bnscale,group,True
52,0.8026666666666668,0.5,2025-05-15 02:36:33.179809,2025-05-15 02:36:44.121268,0 days 00:00:10.941459,1,COMPLETE,0.5,0.0003729270708866603,0.00023914300774440032,0.05,False,,1.7892410555220314e-05,0.0013650343062449838,3,True,30.0,0.15,bnscale,lamp,False
1,0.8023333333333333,0.5,2025-05-15 02:26:35.584986,2025-05-15 02:26:49.501530,0 days 00:00:13.916544,0,COMPLETE,0.5,0.00020127910852498434,0.00011454707569218241,0.05,False,,0.0006866518455821815,0.00018436770709292724,1,True,60.0,0.0,group,fpgm,False
60,0.8023333333333333,0.6,2025-05-15 02:38:00.666100,2025-05-15 02:38:11.285049,0 days 00:00:10.618949,1,COMPLETE,0.6,0.0003314499171935654,8.003008674760063e-05,0.15,True,60.0,0.009173256678242519,0.035646427497655196,2,False,,0.15,base,lamp,True
65,0.8016666666666667,0.5,2025-05-15 02:38:57.631461,2025-05-15 02:39:09.247736,0 days 00:00:11.616275,1,COMPLETE,0.5,0.008232520505445795,8.003008674760063e-05,0.15,False,,1.1364091202629635e-05,0.0005454307040665669,2,False,,0.0,base,group,True
68,0.801,0.5,2025-05-15 02:39:30.514460,2025-05-15 02:39:41.548900,0 days 00:00:11.034440,1,COMPLETE,0.5,0.0010045798493680165,4.173989421183938e-05,0.15,True,150.0,1.7892410555220314e-05,5.251593381547284e-05,3,True,30.0,0.05,bnscale,group,False
44,0.801,0.7,2025-05-15 02:35:06.988076,2025-05-15 02:35:16.985094,0 days 00:00:09.997018,0,COMPLETE,0.7,0.0002552984561147982,1.290667926234476e-05,0.1,False,,0.00011765293284783208,0.00010029183891993393,2,False,,0.0,base,group,False
8,0.8003333333333335,0.5,2025-05-15 02:28:01.166483,2025-05-15 02:28:12.456211,0 days 00:00:11.289728,0,COMPLETE,0.5,0.0003729270708866603,0.00040005156314659756,0.05,False,,0.00027638115919994817,0.0031584118326772733,3,True,120.0,0.15,bnscale,group,False
98,0.8000000000000002,0.7,2025-05-15 02:45:13.916994,2025-05-15 02:45:23.216676,0 days 00:00:09.299682,1,COMPLETE,0.7,0.006800985630184196,0.0010510291471347755,0.0,True,120.0,0.0009573123352316082,2.5398909599887686e-05,3,True,120.0,0.0,bnscale,lamp,False
51,0.7993333333333333,0.6,2025-05-15 02:36:22.525665,2025-05-15 02:36:33.161112,0 days 00:00:10.635447,1,COMPLETE,0.6,0.00045824233378852073,0.0002957732625741579,0.0,False,,5.850443222646212e-05,0.0013650343062449838,2,True,90.0,0.15,bnscale,lamp,True
85,0.799,0.7,2025-05-15 02:42:42.022619,2025-05-15 02:42:54.194875,0 days 00:00:12.172256,1,COMPLETE,0.7,0.0005770569987972994,1.290667926234476e-05,0.1,False,,0.00032157589856048063,0.00010029183891993393,1,True,30.0,0.0,bnscale,group,False
92,0.7976666666666667,0.7,2025-05-15 02:44:05.758332,2025-05-15 02:44:17.728098,0 days 00:00:11.969766,1,COMPLETE,0.7,0.001791336123387385,2.2912318434015904e-05,0.0,False,,0.0065606592970511605,0.030379423623787694,1,True,90.0,0.05,base,group,True
57,0.7946666666666666,0.6,2025-05-15 02:37:27.432593,2025-05-15 02:37:38.131980,0 days 00:00:10.699387,1,COMPLETE,0.6,0.00014364097513586428,1.8211609957190058e-05,0.05,False,,0.00019590414863374382,0.00026464529689482777,2,True,90.0,0.0,bnscale,fpgm,False
63,0.7936666666666667,0.5,2025-05-15 02:38:33.927707,2025-05-15 02:38:45.010435,0 days 00:00:11.082728,1,COMPLETE,0.5,0.00013304835443645962,2.140946015390051e-05,0.15,False,,0.00038696264188386835,0.03044473706255536,3,False,,0.1,base,fpgm,False
95,0.786,0.6,2025-05-15 02:44:40.499686,2025-05-15 02:44:51.428213,0 days 00:00:10.928527,1,COMPLETE,0.6,0.00014364097513586428,0.00026198984291537716,0.05,False,,0.00019590414863374382,0.04450662756865809,2,True,120.0,0.0,base,fpgm,False
71,0.7716666666666668,0.6,2025-05-15 02:40:05.602609,2025-05-15 02:40:16.405131,0 days 00:00:10.802522,1,COMPLETE,0.6,0.00031910812591554727,0.0004113034730168255,0.0,False,,0.0065606592970511605,0.158800446064159,2,True,30.0,0.05,base,lamp,False
62,0.7686666666666667,0.6,2025-05-15 02:38:21.142143,2025-05-15 02:38:33.904997,0 days 00:00:12.762854,1,COMPLETE,0.6,0.00013304835443645962,0.0008689692460748791,0.15,False,,0.00010430904994622015,0.8220921800058908,1,False,,0.1,base,group,False
70,0.7663333333333333,0.5,2025-05-15 02:39:51.819626,2025-05-15 02:40:05.579571,0 days 00:00:13.759945,1,COMPLETE,0.5,0.00017935647696119245,0.001827816292141173,0.1,False,,0.004649632803431503,0.2606640642785429,1,False,,0.15,bnscale,lamp,True
39,0.7606666666666667,0.5,2025-05-15 02:34:10.631157,2025-05-15 02:34:22.195930,0 days 00:00:11.564773,0,COMPLETE,0.5,0.00031910812591554727,0.0004113034730168255,0.0,False,,0.0065606592970511605,0.030379423623787694,2,True,120.0,0.1,base,lamp,True
25,0.7603333333333334,0.5,2025-05-15 02:31:23.987432,2025-05-15 02:31:37.796292,0 days 00:00:13.808860,0,COMPLETE,0.5,9.227662149302795e-05,2.140946015390051e-05,0.15,False,,0.0020061165331585395,0.00024630399090592824,1,False,,0.05,base,fpgm,False
