number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
65,0.781,0.5,2025-05-15 02:11:24.991323,2025-05-15 02:11:52.956183,0 days 00:00:27.964860,1,COMPLETE,0.5,0.0032172287898433686,0.00016342021258724013,0.1,False,,1.0304883351346973e-05,0.014570122173165188,2,True,150.0,0.15,bnscale,group,False
80,0.7806666666666667,0.6,2025-05-15 02:17:42.703817,2025-05-15 02:18:05.478713,0 days 00:00:22.774896,1,COMPLETE,0.6,0.0039238823159343985,0.0002217068141486139,0.05,False,,2.6591409393424963e-05,0.000417413053213804,2,True,120.0,0.15,base,group,True
70,0.777,0.6,2025-05-15 02:13:26.516973,2025-05-15 02:13:48.676862,0 days 00:00:22.159889,1,COMPLETE,0.6,0.006001721236023737,1.555792379378904e-05,0.05,False,,0.003764004504270965,0.0011422454348778963,2,False,,0.1,bnscale,group,False
97,0.7753333333333333,0.5,2025-05-15 02:25:02.597348,2025-05-15 02:25:37.196562,0 days 00:00:34.599214,1,COMPLETE,0.5,0.007354441743325007,3.7649255096765534e-05,0.15,True,120.0,6.70037649452369e-05,0.00012848139092887082,1,True,60.0,0.15,base,fpgm,False
84,0.7753333333333333,0.5,2025-05-15 02:19:29.051166,2025-05-15 02:20:02.389650,0 days 00:00:33.338484,1,COMPLETE,0.5,0.0005331094897500614,5.794495040790676e-05,0.1,False,,0.0006179388802539392,8.034287770270527e-05,1,True,90.0,0.05,bnscale,fpgm,True
28,0.7746666666666666,0.5,2025-05-15 01:55:35.756206,2025-05-15 01:56:02.824815,0 days 00:00:27.068609,0,COMPLETE,0.5,0.0005331094897500614,5.794495040790676e-05,0.05,True,150.0,0.0006179388802539392,8.034287770270527e-05,2,True,150.0,0.05,bnscale,fpgm,True
54,0.7743333333333333,0.7,2025-05-15 02:06:45.158513,2025-05-15 02:07:12.284469,0 days 00:00:27.125956,1,COMPLETE,0.7,0.007354441743325007,5.794495040790676e-05,0.05,True,30.0,0.0006179388802539392,8.034287770270527e-05,1,True,150.0,0.05,base,fpgm,True
3,0.7733333333333334,0.6,2025-05-15 01:45:35.085461,2025-05-15 01:45:59.076718,0 days 00:00:23.991257,0,COMPLETE,0.6,0.0015134913762472936,0.00035871629667363073,0.1,False,,4.5339243207978266e-05,0.0004883990386208976,2,True,150.0,0.15,base,fpgm,True
49,0.773,0.7,2025-05-15 02:04:38.923911,2025-05-15 02:05:05.155280,0 days 00:00:26.231369,0,COMPLETE,0.7,0.005445611901103583,0.001047118875956932,0.1,False,,0.0016851947443928695,0.00030007068315685546,1,True,60.0,0.15,bnscale,lamp,False
69,0.7723333333333334,0.7,2025-05-15 02:13:08.543057,2025-05-15 02:13:26.496034,0 days 00:00:17.952977,1,COMPLETE,0.7,0.003925676703848734,1.4101216364743758e-05,0.0,True,90.0,1.0860013213359546e-05,1.1841659420643412e-05,3,False,,0.1,group,group,True
88,0.7723333333333334,0.6,2025-05-15 02:21:14.204281,2025-05-15 02:21:37.183472,0 days 00:00:22.979191,1,COMPLETE,0.6,0.0020562024647659636,3.440211314765882e-05,0.15,False,,0.0013556402958788346,0.07753865224655172,3,True,90.0,0.1,base,fpgm,False
72,0.7716666666666666,0.5,2025-05-15 02:14:15.563904,2025-05-15 02:14:47.854326,0 days 00:00:32.290422,1,COMPLETE,0.5,0.002156168181507028,0.00048229003221721654,0.15,True,90.0,0.0010596096435641059,0.017976475922735612,1,True,150.0,0.15,group,group,False
8,0.7703333333333333,0.7,2025-05-15 01:47:35.039925,2025-05-15 01:47:55.421106,0 days 00:00:20.381181,0,COMPLETE,0.7,0.00660056914677384,7.637524491599994e-05,0.05,False,,0.0019501681679780973,0.07331642603569168,2,False,,0.0,bnscale,fpgm,True
38,0.77,0.6,2025-05-15 01:59:59.503703,2025-05-15 02:00:23.149988,0 days 00:00:23.646285,0,COMPLETE,0.6,0.006001721236023737,1.555792379378904e-05,0.0,False,,0.003764004504270965,0.000417413053213804,2,False,,0.15,base,group,True
34,0.7693333333333334,0.5,2025-05-15 01:58:13.916433,2025-05-15 01:58:40.950860,0 days 00:00:27.034427,0,COMPLETE,0.5,0.0009721033970791573,0.0012937374584206232,0.0,True,120.0,0.005792974643926719,0.0009224034423829044,2,True,150.0,0.15,bnscale,group,True
2,0.769,0.7,2025-05-15 01:45:16.655755,2025-05-15 01:45:35.061810,0 days 00:00:18.406055,0,COMPLETE,0.7,0.005592664148583763,1.4101216364743758e-05,0.05,True,30.0,0.008127027946529522,1.1841659420643412e-05,3,False,,0.1,group,group,True
93,0.7683333333333334,0.7,2025-05-15 02:23:12.496846,2025-05-15 02:23:40.061222,0 days 00:00:27.564376,1,COMPLETE,0.7,0.0005850747671296276,0.015192823243924439,0.1,True,30.0,0.0016851947443928695,0.00030007068315685546,1,True,120.0,0.15,group,group,False
48,0.7683333333333334,0.6,2025-05-15 02:04:13.594682,2025-05-15 02:04:38.902315,0 days 00:00:25.307633,0,COMPLETE,0.6,0.00026943390002707817,0.00140085876533382,0.05,True,120.0,0.0003166878666237333,0.03986201598796281,2,False,,0.15,bnscale,group,False
35,0.7676666666666666,0.5,2025-05-15 01:58:41.041262,2025-05-15 01:59:09.162812,0 days 00:00:28.121550,0,COMPLETE,0.5,0.001090815045161427,0.00013065095262331083,0.0,False,,0.0010356508891667905,7.626070240478842e-05,2,False,,0.0,base,group,True
31,0.7673333333333333,0.6,2025-05-15 01:56:59.115884,2025-05-15 01:57:29.192818,0 days 00:00:30.076934,0,COMPLETE,0.6,0.007354441743325007,3.7649255096765534e-05,0.0,True,150.0,6.70037649452369e-05,0.00012848139092887082,1,True,60.0,0.15,base,group,False
7,0.7673333333333333,0.7,2025-05-15 01:47:15.511217,2025-05-15 01:47:35.018250,0 days 00:00:19.507033,0,COMPLETE,0.7,0.0039238823159343985,0.0002217068141486139,0.05,False,,2.6591409393424963e-05,0.005710454237884528,2,True,150.0,0.05,bnscale,group,True
66,0.767,0.5,2025-05-15 02:11:52.978809,2025-05-15 02:12:20.581835,0 days 00:00:27.603026,1,COMPLETE,0.5,0.0005331094897500614,5.794495040790676e-05,0.15,True,120.0,0.0006179388802539392,8.034287770270527e-05,2,True,150.0,0.05,bnscale,fpgm,True
39,0.767,0.6,2025-05-15 02:00:23.171355,2025-05-15 02:00:46.202615,0 days 00:00:23.031260,0,COMPLETE,0.6,0.0020562024647659636,2.0905663306173165e-05,0.15,False,,0.0003908756699939542,0.16095388031347443,3,True,120.0,0.1,bnscale,fpgm,False
58,0.7666666666666666,0.6,2025-05-15 02:08:19.304837,2025-05-15 02:08:49.094825,0 days 00:00:29.789988,1,COMPLETE,0.6,0.007354441743325007,3.7649255096765534e-05,0.0,True,150.0,0.00019951465463698392,0.00032557598025711326,1,True,90.0,0.1,base,group,False
37,0.7663333333333333,0.5,2025-05-15 01:59:33.581614,2025-05-15 01:59:59.478899,0 days 00:00:25.897285,0,COMPLETE,0.5,0.0032172287898433686,0.00016342021258724013,0.1,False,,0.0016717117811197162,0.014570122173165188,3,True,60.0,0.15,group,group,False
42,0.7656666666666667,0.5,2025-05-15 02:01:41.471265,2025-05-15 02:02:08.353774,0 days 00:00:26.882509,0,COMPLETE,0.5,0.00017552639733231276,6.718512041053514e-05,0.15,False,,4.1681530683899544e-05,0.017976475922735612,3,True,90.0,0.15,group,group,False
