number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
14,0.8086198050282197,0.5,2025-05-15 10:50:32.727800,2025-05-15 10:51:23.656267,0 days 00:00:50.928467,0,COMPLETE,0.5,0.0010340905596455492,7.723660344446276e-05,0.15,False,,1.1743921503031636e-05,2.135239044638501e-05,3,True,120.0,0.1,group,fpgm,True
96,0.807479619177926,0.5,2025-05-15 11:54:09.470934,2025-05-15 11:55:02.006071,0 days 00:00:52.535137,1,COMPLETE,0.5,0.0010340905596455492,7.723660344446276e-05,0.15,False,,1.1743921503031636e-05,2.135239044638501e-05,3,True,120.0,0.1,group,fpgm,True
43,0.8064534519126618,0.5,2025-05-15 11:12:53.764231,2025-05-15 11:13:44.724351,0 days 00:00:50.960120,0,COMPLETE,0.5,0.00065820808250437,3.4797589544303945e-05,0.1,True,120.0,9.680979536035176e-05,0.4222327181962764,2,False,,0.15,bnscale,lamp,False
71,0.8056553218174564,0.7,2025-05-15 11:34:38.617999,2025-05-15 11:35:18.624611,0 days 00:00:40.006612,1,COMPLETE,0.7,0.0005847228265862233,0.00012925774609945056,0.05,False,,3.4019895839084555e-05,4.2411173844316076e-05,2,True,90.0,0.05,base,lamp,True
82,0.8054272846473975,0.7,2025-05-15 11:42:42.993298,2025-05-15 11:43:25.552230,0 days 00:00:42.558932,1,COMPLETE,0.7,0.00065820808250437,3.4797589544303945e-05,0.05,True,120.0,9.680979536035176e-05,4.3812052550596876e-05,2,False,,0.15,base,fpgm,False
21,0.8053132660623682,0.5,2025-05-15 10:56:05.672071,2025-05-15 10:56:59.470360,0 days 00:00:53.798289,0,COMPLETE,0.5,0.000416976886638816,0.0011189000147504178,0.15,True,150.0,0.003481654906243076,5.617023926784809e-05,1,True,30.0,0.05,bnscale,group,False
40,0.8051992474773387,0.7,2025-05-15 11:10:50.131453,2025-05-15 11:11:31.055508,0 days 00:00:40.924055,0,COMPLETE,0.7,0.00038544605417681696,5.206198375524835e-05,0.1,False,,3.512662840920999e-05,2.1237711390957935e-05,1,True,120.0,0.1,group,group,True
92,0.8048571917222508,0.5,2025-05-15 11:51:01.242975,2025-05-15 11:51:55.041218,0 days 00:00:53.798243,1,COMPLETE,0.5,0.0009172125428282087,0.0014598395950015607,0.05,True,120.0,0.0002492181032046923,0.017331651793012125,3,False,,0.15,bnscale,fpgm,True
27,0.8047431731372213,0.5,2025-05-15 11:00:48.001218,2025-05-15 11:01:41.618750,0 days 00:00:53.617532,0,COMPLETE,0.5,0.007037943404916645,9.483864360976543e-05,0.05,False,,0.000453976468493462,0.00016751110550681863,1,True,120.0,0.05,group,lamp,True
28,0.8046291545521921,0.5,2025-05-15 11:01:41.642199,2025-05-15 11:02:33.078671,0 days 00:00:51.436472,0,COMPLETE,0.5,0.001117154934499109,0.0031861889629188106,0.0,True,30.0,2.1184956712459152e-05,1.0625041997950342e-05,2,False,,0.15,bnscale,group,False
