number,values_0,values_1,datetime_start,datetime_complete,duration,system_attrs_NSGAIISampler:generation,state,params_prune_rate,params_lr,params_weight_decay,params_warmup,params_scheduler,params_T_0,params_prune_lr,params_prune_weight_decay,params_prune_step,params_prune_scheduler,params_prune_T_0,params_prune_warmup,params_pruner_type,params_imp_type,params_isomorphic
9,0.8041730802120747,0.7,2025-05-15 09:45:23.941285,2025-05-15 09:45:53.814896,0 days 00:00:29.873611,0,COMPLETE,0.7,0.0023606698251929944,0.0015904285389777006,0.05,False,,0.005999676323112373,0.0029019022079733916,3,True,60.0,0.0,bnscale,fpgm,True
63,0.8041160709195599,0.6,2025-05-15 10:17:57.785386,2025-05-15 10:18:32.127239,0 days 00:00:34.341853,1,COMPLETE,0.6,0.004747245814448706,8.487916155192292e-05,0.05,False,,0.0004302863010413108,0.027760696724892023,2,True,150.0,0.0,group,fpgm,False
53,0.802861866484237,0.6,2025-05-15 10:11:52.148201,2025-05-15 10:12:30.099219,0 days 00:00:37.951018,1,COMPLETE,0.6,0.000597374564074624,8.195314260456704e-05,0.05,True,60.0,0.008833055219528808,6.15976938767966e-05,3,True,150.0,0.05,group,group,True
58,0.8028048571917222,0.5,2025-05-15 10:14:52.968735,2025-05-15 10:15:30.640860,0 days 00:00:37.672125,1,COMPLETE,0.5,0.004515220402427028,8.487916155192292e-05,0.15,False,,0.005999676323112373,0.03293231846693946,3,True,120.0,0.0,bnscale,fpgm,False
94,0.8025198107291488,0.7,2025-05-15 10:36:24.378886,2025-05-15 10:36:54.274789,0 days 00:00:29.895903,1,COMPLETE,0.7,0.0023606698251929944,5.3058893751023134e-05,0.0,False,,0.005999676323112373,0.09472511166052487,3,False,,0.0,base,lamp,True
2,0.8022917735590901,0.5,2025-05-15 09:41:09.315697,2025-05-15 09:41:47.264837,0 days 00:00:37.949140,0,COMPLETE,0.5,0.0018366371420311342,0.002277917313259263,0.1,False,,0.0005943968724200675,0.0007022631305978816,2,False,,0.15,bnscale,group,False
6,0.8022347642665754,0.6,2025-05-15 09:43:32.955737,2025-05-15 09:44:05.474748,0 days 00:00:32.519011,0,COMPLETE,0.6,0.0013712432947032293,0.00010571244729643173,0.1,False,,2.8867334706952255e-05,0.7859942360230545,3,True,30.0,0.0,base,group,False
0,0.8021777549740609,0.5,2025-05-15 09:39:58.746997,2025-05-15 09:40:32.458225,0 days 00:00:33.711228,0,COMPLETE,0.5,0.000476279939597152,0.0003435425907608537,0.05,False,,0.00507940861169231,0.03293231846693946,3,False,,0.15,bnscale,group,False
61,0.8020067270965168,0.7,2025-05-15 10:16:48.975463,2025-05-15 10:17:21.409258,0 days 00:00:32.433795,1,COMPLETE,0.7,0.007554732434200209,6.263415281429256e-05,0.1,False,,2.1148082274892507e-05,0.015870672092921662,1,True,120.0,0.05,group,group,True
55,0.801949717804002,0.6,2025-05-15 10:13:08.132233,2025-05-15 10:13:46.360581,0 days 00:00:38.228348,1,COMPLETE,0.6,0.0001825122869442893,3.2781762156591063e-05,0.15,True,30.0,0.0004723866177409941,0.010492556876707164,1,True,150.0,0.1,bnscale,fpgm,False
99,0.8018927085114874,0.7,2025-05-15 10:39:15.226321,2025-05-15 10:39:47.394098,0 days 00:00:32.167777,1,COMPLETE,0.7,0.003878377200870039,3.2781762156591063e-05,0.0,True,150.0,0.0004723866177409941,0.037851253562565565,2,False,,0.0,base,group,False
48,0.8018927085114873,0.5,2025-05-15 10:08:49.083394,2025-05-15 10:09:27.612498,0 days 00:00:38.529104,0,COMPLETE,0.5,0.0006724877107525737,2.3270036213474018e-05,0.05,True,30.0,7.058125806871032e-05,0.016920912856141224,1,False,,0.15,bnscale,lamp,False
82,0.8018927085114873,0.7,2025-05-15 10:29:16.357137,2025-05-15 10:29:53.672164,0 days 00:00:37.315027,1,COMPLETE,0.7,0.0013712432947032293,0.00010571244729643173,0.1,True,150.0,0.0005482058202709505,0.0002497245185865581,1,False,,0.0,group,group,False
77,0.8018356992189727,0.6,2025-05-15 10:26:15.082199,2025-05-15 10:26:53.063239,0 days 00:00:37.981040,1,COMPLETE,0.6,0.0013712432947032293,0.00010571244729643173,0.1,True,60.0,2.8867334706952255e-05,1.0853046605418536e-05,3,True,90.0,0.0,base,group,False
78,0.8017786899264582,0.6,2025-05-15 10:26:53.085599,2025-05-15 10:27:24.613281,0 days 00:00:31.527682,1,COMPLETE,0.6,0.0005866129445990934,1.880299320646397e-05,0.1,False,,0.0024530407569443233,0.07051449161534304,2,True,60.0,0.0,bnscale,group,False
37,0.80143663417137,0.6,2025-05-15 10:02:09.604234,2025-05-15 10:02:47.685630,0 days 00:00:38.081396,0,COMPLETE,0.6,0.000597374564074624,8.195314260456704e-05,0.05,True,120.0,0.008615369819829414,5.925957229598178e-05,3,True,60.0,0.15,base,fpgm,True
76,0.8013226155863405,0.5,2025-05-15 10:25:41.744742,2025-05-15 10:26:15.058234,0 days 00:00:33.313492,1,COMPLETE,0.5,0.0006451133057486887,2.985724470847509e-05,0.1,False,,0.00021305754440414243,0.0011581138564527122,3,True,120.0,0.0,bnscale,lamp,False
93,0.8013226155863405,0.6,2025-05-15 10:35:47.658558,2025-05-15 10:36:24.355994,0 days 00:00:36.697436,1,COMPLETE,0.6,0.0006724877107525737,2.3270036213474018e-05,0.05,True,60.0,0.00018851653882357108,0.0213591248258444,1,False,,0.0,base,fpgm,True
14,0.8008665412462231,0.6,2025-05-15 09:48:22.837068,2025-05-15 09:49:01.621698,0 days 00:00:38.784630,0,COMPLETE,0.6,0.0040510545357542544,6.263415281429256e-05,0.1,False,,2.1148082274892507e-05,0.015870672092921662,2,True,60.0,0.1,group,fpgm,True
26,0.8007525226611937,0.5,2025-05-15 09:55:52.195473,2025-05-15 09:56:31.087555,0 days 00:00:38.892082,0,COMPLETE,0.5,0.000850323488277733,0.001140992201453968,0.05,True,60.0,0.008833055219528808,6.15976938767966e-05,3,True,30.0,0.05,bnscale,fpgm,True
54,0.8006955133686792,0.6,2025-05-15 10:12:30.121073,2025-05-15 10:13:08.106105,0 days 00:00:37.985032,1,COMPLETE,0.6,0.0004470333314269339,0.0004812031462804057,0.05,False,,0.0009645219904158917,0.027760696724892023,3,False,,0.0,group,group,True
50,0.800695513368679,0.5,2025-05-15 10:10:03.695745,2025-05-15 10:10:39.728224,0 days 00:00:36.032479,1,COMPLETE,0.5,0.000476279939597152,0.0003435425907608537,0.05,False,,0.005999676323112373,0.03293231846693946,3,True,120.0,0.15,bnscale,fpgm,False
72,0.8006385040761644,0.5,2025-05-15 10:23:12.660291,2025-05-15 10:23:53.650517,0 days 00:00:40.990226,1,COMPLETE,0.5,0.00045732125190521376,0.0003698927160597311,0.05,True,60.0,7.058125806871032e-05,4.932837751171171e-05,3,False,,0.1,base,lamp,False
64,0.8004674761986204,0.7,2025-05-15 10:18:32.151189,2025-05-15 10:19:04.800879,0 days 00:00:32.649690,1,COMPLETE,0.7,0.0009726254155049364,0.0015904285389777006,0.05,False,,9.415862348229777e-05,0.0029019022079733916,1,True,150.0,0.0,bnscale,fpgm,True
95,0.8004674761986204,0.7,2025-05-15 10:36:54.297749,2025-05-15 10:37:24.792222,0 days 00:00:30.494473,1,COMPLETE,0.7,0.003878377200870039,1.880299320646397e-05,0.15,False,,3.158303282832649e-05,0.037851253562565565,2,True,30.0,0.0,base,group,True
92,0.8004104669061057,0.5,2025-05-15 10:35:10.699830,2025-05-15 10:35:47.636025,0 days 00:00:36.936195,1,COMPLETE,0.5,0.000850323488277733,0.001140992201453968,0.05,True,90.0,3.838001246013189e-05,6.15976938767966e-05,3,False,,0.05,bnscale,group,False
16,0.800353457613591,0.5,2025-05-15 09:49:40.745454,2025-05-15 09:50:18.767060,0 days 00:00:38.021606,0,COMPLETE,0.5,0.006452214100130574,0.0001070470398695744,0.1,True,150.0,0.008786770549542255,0.14600667589489624,3,True,90.0,0.1,group,fpgm,False
42,0.800353457613591,0.6,2025-05-15 10:05:15.591825,2025-05-15 10:05:49.289215,0 days 00:00:33.697390,0,COMPLETE,0.6,0.004747245814448706,0.0005609890750634554,0.05,False,,0.007151780872701474,0.027760696724892023,3,False,,0.0,group,fpgm,False
75,0.8002964483210763,0.6,2025-05-15 10:25:02.352642,2025-05-15 10:25:41.723066,0 days 00:00:39.370424,1,COMPLETE,0.6,0.0001825122869442893,0.0003435425907608537,0.05,False,,0.0004723866177409941,0.012839685426029781,1,True,150.0,0.15,bnscale,group,False
40,0.8002964483210763,0.6,2025-05-15 10:04:03.806854,2025-05-15 10:04:42.568920,0 days 00:00:38.762066,0,COMPLETE,0.6,0.00060872211115098,7.835004016404157e-05,0.05,True,30.0,6.86642571092046e-05,3.7222141753798035e-05,2,False,,0.15,base,lamp,True
7,0.800182429736047,0.5,2025-05-15 09:44:05.496672,2025-05-15 09:44:44.472816,0 days 00:00:38.976144,0,COMPLETE,0.5,0.004515220402427028,8.487916155192292e-05,0.15,True,30.0,0.0004302863010413108,4.652879448904537e-05,1,True,60.0,0.0,bnscale,fpgm,False
59,0.800011401858503,0.5,2025-05-15 10:15:30.663549,2025-05-15 10:16:10.298194,0 days 00:00:39.634645,1,COMPLETE,0.5,0.0018366371420311342,0.002277917313259263,0.1,False,,0.0005943968724200675,0.0007022631305978816,2,False,,0.0,bnscale,lamp,True
18,0.7999543925659882,0.5,2025-05-15 09:50:53.668575,2025-05-15 09:51:29.702965,0 days 00:00:36.034390,0,COMPLETE,0.5,0.00045732125190521376,0.0015542828117616544,0.0,True,120.0,0.00010474602073027447,4.932837751171171e-05,3,False,,0.1,base,lamp,False
51,0.7999543925659882,0.5,2025-05-15 10:10:39.749974,2025-05-15 10:11:13.017362,0 days 00:00:33.267388,1,COMPLETE,0.5,0.0006724877107525737,2.3270036213474018e-05,0.05,True,30.0,7.058125806871032e-05,0.016920912856141224,1,False,,0.15,bnscale,lamp,True
83,0.7998973832734736,0.5,2025-05-15 10:29:53.693588,2025-05-15 10:30:29.741127,0 days 00:00:36.047539,1,COMPLETE,0.5,0.0002960816582212793,2.985724470847509e-05,0.1,False,,2.7634721947475936e-05,0.0011581138564527122,3,False,,0.15,base,lamp,False
74,0.7998403739809588,0.5,2025-05-15 10:24:23.444949,2025-05-15 10:25:02.330144,0 days 00:00:38.885195,1,COMPLETE,0.5,0.00060872211115098,0.0003435425907608537,0.05,True,60.0,0.005999676323112373,0.03293231846693946,3,True,30.0,0.15,bnscale,lamp,False
30,0.7996693461034149,0.6,2025-05-15 09:58:07.793260,2025-05-15 09:58:45.729763,0 days 00:00:37.936503,0,COMPLETE,0.6,0.00010790966893538054,4.324297964422814e-05,0.05,False,,0.00021305754440414243,1.638877347004731e-05,1,True,60.0,0.0,bnscale,fpgm,False
23,0.799270281055812,0.6,2025-05-15 09:53:55.888965,2025-05-15 09:54:34.696236,0 days 00:00:38.807271,0,COMPLETE,0.6,0.0005866129445990934,1.880299320646397e-05,0.1,False,,3.158303282832649e-05,0.07051449161534304,2,True,90.0,0.0,bnscale,group,True
49,0.7989282253007239,0.5,2025-05-15 10:09:27.635229,2025-05-15 10:10:03.674390,0 days 00:00:36.039161,0,COMPLETE,0.5,0.0002960816582212793,2.985724470847509e-05,0.1,False,,2.7634721947475936e-05,0.0011581138564527122,3,True,90.0,0.15,base,lamp,False
91,0.7988712160082093,0.5,2025-05-15 10:34:34.316106,2025-05-15 10:35:10.677008,0 days 00:00:36.360902,1,COMPLETE,0.5,0.00045732125190521376,0.0015542828117616544,0.0,True,150.0,0.00010474602073027447,4.932837751171171e-05,3,False,,0.1,base,lamp,False
11,0.797845048742945,0.7,2025-05-15 09:46:32.748887,2025-05-15 09:47:09.150593,0 days 00:00:36.401706,0,COMPLETE,0.7,0.0002133721362886859,1.4528397646976603e-05,0.1,False,,8.30091897498193e-05,0.00030277948299900373,1,False,,0.05,group,group,False
98,0.797845048742945,0.6,2025-05-15 10:38:36.402551,2025-05-15 10:39:15.203771,0 days 00:00:38.801220,1,COMPLETE,0.6,0.0006724877107525737,7.835004016404157e-05,0.05,True,60.0,6.86642571092046e-05,0.016920912856141224,2,False,,0.15,bnscale,lamp,True
71,0.7977880394504303,0.7,2025-05-15 10:22:40.129165,2025-05-15 10:23:12.638519,0 days 00:00:32.509354,1,COMPLETE,0.7,0.00060872211115098,7.835004016404157e-05,0.05,False,,6.86642571092046e-05,3.7222141753798035e-05,1,False,,0.15,group,lamp,True
81,0.7973319651103129,0.6,2025-05-15 10:28:37.373473,2025-05-15 10:29:16.333396,0 days 00:00:38.959923,1,COMPLETE,0.6,0.0040510545357542544,6.263415281429256e-05,0.1,True,90.0,0.000710669554086731,0.015870672092921662,2,False,,0.0,group,lamp,True
27,0.7967618721851663,0.5,2025-05-15 09:56:31.111086,2025-05-15 09:57:03.081361,0 days 00:00:31.970275,0,COMPLETE,0.5,0.00012394212741843516,0.00037860090859278883,0.0,True,120.0,0.005144980654829881,1.824845802219024e-05,2,False,,0.05,base,group,False
17,0.7964768257225927,0.6,2025-05-15 09:50:18.788606,2025-05-15 09:50:53.645133,0 days 00:00:34.856527,0,COMPLETE,0.6,0.0001825122869442893,3.2781762156591063e-05,0.0,False,,0.0004723866177409941,0.012839685426029781,1,False,,0.15,bnscale,group,False
19,0.7961347699675047,0.6,2025-05-15 09:51:29.725115,2025-05-15 09:52:08.672500,0 days 00:00:38.947385,0,COMPLETE,0.6,0.0004470333314269339,0.0004812031462804057,0.05,False,,1.9997826486310192e-05,0.031245894522581273,2,False,,0.15,bnscale,group,True
87,0.7954506584573285,0.7,2025-05-15 10:32:21.200030,2025-05-15 10:32:51.726807,0 days 00:00:30.526777,1,COMPLETE,0.7,0.0005866129445990934,1.880299320646397e-05,0.1,True,150.0,3.158303282832649e-05,0.009090238782873614,2,True,30.0,0.0,bnscale,group,True
97,0.7912319708112423,0.5,2025-05-15 10:37:58.267641,2025-05-15 10:38:36.380534,0 days 00:00:38.112893,1,COMPLETE,0.5,0.0001295618592815055,0.013042180084537568,0.0,True,90.0,0.005622958287734748,0.020507441265940576,2,False,,0.05,bnscale,lamp,False
85,0.7902628128384926,0.7,2025-05-15 10:31:08.924160,2025-05-15 10:31:43.114540,0 days 00:00:34.190380,1,COMPLETE,0.7,0.003878377200870039,0.0129345658678402,0.0,True,30.0,2.4095973435366014e-05,0.037851253562565565,2,False,,0.0,base,fpgm,False
39,0.7899777663759192,0.5,2025-05-15 10:03:26.068204,2025-05-15 10:04:03.784138,0 days 00:00:37.715934,0,COMPLETE,0.5,0.0001295618592815055,0.013042180084537568,0.0,True,90.0,0.005622958287734748,0.020507441265940576,2,False,,0.05,base,lamp,False
22,0.7898067384983752,0.6,2025-05-15 09:53:16.969508,2025-05-15 09:53:55.868073,0 days 00:00:38.898565,0,COMPLETE,0.6,6.536201751898587e-05,8.223612267323143e-05,0.0,True,60.0,0.0018465712069822224,0.00012261457116788694,2,False,,0.05,group,fpgm,True
1,0.7882104783079642,0.6,2025-05-15 09:40:32.483574,2025-05-15 09:41:09.293555,0 days 00:00:36.809981,0,COMPLETE,0.6,0.00016810616483713985,0.02801564198098072,0.0,False,,0.00018851653882357108,0.0213591248258444,1,False,,0.0,base,fpgm,True
88,0.7869562738726413,0.5,2025-05-15 10:32:51.749008,2025-05-15 10:33:23.655064,0 days 00:00:31.906056,1,COMPLETE,0.5,0.00012394212741843516,0.02801564198098072,0.0,False,,0.005144980654829881,1.824845802219024e-05,2,False,,0.05,base,group,False
56,0.7856450601448036,0.6,2025-05-15 10:13:46.381811,2025-05-15 10:14:18.886309,0 days 00:00:32.504498,1,COMPLETE,0.6,0.00016810616483713985,0.02801564198098072,0.0,False,,0.00018851653882357108,0.027760696724892023,3,False,,0.05,group,fpgm,False
90,0.7813123539136879,0.7,2025-05-15 10:33:59.586642,2025-05-15 10:34:34.294152,0 days 00:00:34.707510,1,COMPLETE,0.7,0.0001825122869442893,0.016795325323929418,0.1,False,,0.003905126719592822,0.012839685426029781,1,False,,0.15,group,fpgm,False
45,0.7797731030157916,0.5,2025-05-15 10:07:04.768523,2025-05-15 10:07:42.944627,0 days 00:00:38.176104,0,COMPLETE,0.5,4.387185835722824e-05,0.00447872917074223,0.15,True,120.0,0.00021215970734957714,7.968398053276954e-05,2,False,,0.1,group,fpgm,False
80,0.7760674990023374,0.6,2025-05-15 10:28:01.403923,2025-05-15 10:28:37.352016,0 days 00:00:35.948093,1,COMPLETE,0.6,0.006452214100130574,0.02801564198098072,0.0,False,,5.0215007954740856e-05,0.14600667589489624,1,True,90.0,0.1,base,fpgm,False
