Dataset,full edge,30% missing,60% missing,90% missing
Cora,83.77%,79.38%,72.98%,59.32%
CiteSeer,72.33%,68.29%,64.29%,59.51%
PubMed,80.43%,79.64%,75.58%,70.57%
Computers,93.54%,92.79%,92.06%,87.47%
Photo,95.86%,95.62%,95.10%,93.18%
WikiCS,80.52%,79.61%,77.21%,72.79%
CS,80.52%,79.61%,77.21%,72.79%
Physic,97.36%,97.04%,96.35%,95.74%
,85.54%,84.00%,81.35%,76.42%
,,-1.54%,-4.19%,-9.12%
,,,,
,89.56%,88.93%,87.59%,84.39%
,,-0.63%,-1.97%,-5.17%
,,,,
,78.84%,75.77%,70.95%,63.13%
,,-3.07%,-7.89%,-15.71%
