,cora,citeseer,pubmed,computers,photo,wiki,cs,physics
apcfi_PRISM(gcn),0.8278,0.7038,0.7934,0.9321,0.9509,0.7916,0.9459,0.9691
apcfi_PRISM(sage),0.7987,0.6714,0.7881,0.9161,0.941,0.7824,0.9479,0.9643
apcfi_classic_gnn(gcn),0.8063,0.6696,0.7776,0.7135,0.9038,0.7747,0.8995,0.9547
apcfi_classic_gnn(sage),0.7894,0.6614,0.7445,0.9157,0.9469,0.7911,0.9431,0.964
apcfi_truned_gnn(mpp)(gcn),0.8171,0.6787,0.7861,0.9359,0.9499,0.7932,0.9478,0.9697
apcfi_truned_gnn(mpp)(sage),0.8009,0.6571,0.7594,0.9273,0.9441,0.791,0.9467,0.964
fp_PRISM(gcn),0.8277,0.6951,0.7972,0.9312,0.9518,0.7995,0.9442,0.9693
fp_PRISM(sage),0.8013,0.6727,0.7462,0.917,0.9412,0.7863,0.9483,0.9662
fp_classic_gnn(gcn),0.8058,0.6718,0.7847,0.7115,0.9026,0.7819,0.8873,0.9551
fp_classic_gnn(sage),0.7853,0.667,0.7326,0.9156,0.9473,0.79,0.9416,0.9635
fp_truned_gnn(mpp)(gcn),0.8186,0.6784,0.7928,0.9338,0.95,0.7966,0.9462,0.9701
fp_truned_gnn(mpp)(sage),0.8025,0.6598,0.7587,0.9302,0.9448,0.7906,0.9459,0.9653
zero_PRISM(gcn),0.6698,0.5614,0.6813,0.7707,0.7592,0.6316,0.7418,0.8324
zero_PRISM(sage),0.6162,0.5705,0.6529,0.7539,0.7467,0.621,0.7439,0.8307
zero_classic_gnn(gcn),0.8024,0.6575,0.7816,0.64,0.8974,0.7806,0.8685,0.9546
zero_classic_gnn(sage),0.7451,0.6393,0.7061,0.9087,0.943,0.7776,0.9393,0.9621
zero_truned_gnn(mpp)(gcn),0.8173,0.6549,0.7817,0.9345,0.9503,0.7936,0.9422,0.9694
zero_truned_gnn(mpp)(sage),0.7938,0.6445,0.7479,0.9277,0.939,0.7869,0.9387,0.9647
