,cora,citeseer,pubmed,computers,photo,wiki,cs,physics
apcfi_PRISM(gcn),0.6094,0.5222,0.7235,0.8647,0.7955,0.7163,0.852,0.9333
apcfi_PRISM(sage),0.5956,0.5208,0.6431,0.8336,0.8646,0.7074,0.8793,0.9305
apcfi_classic_gnn(gcn),0.6938,0.4729,0.709,0.6059,0.6356,0.667,0.736,0.9184
apcfi_classic_gnn(sage),0.6657,0.507,0.7356,0.8496,0.898,0.7309,0.8784,0.8659
apcfi_truned_gnn(mpp)(gcn),0.7046,0.5062,0.7177,0.8797,0.7792,0.7413,0.8757,0.9368
apcfi_truned_gnn(mpp)(sage),0.6596,0.5057,0.695,0.8532,0.8735,0.7335,0.8871,0.8931
fp_PRISM(gcn),0.514,0.5073,0.6496,0.7998,0.6405,0.7089,0.7534,0.9301
fp_PRISM(sage),0.5363,0.499,0.6838,0.7306,0.7595,0.7026,0.8577,0.9282
fp_classic_gnn(gcn),0.6855,0.4472,0.7097,0.3864,0.5977,0.6312,0.2583,0.8335
fp_classic_gnn(sage),0.7124,0.5077,0.7497,0.7973,0.8605,0.7071,0.8379,0.8466
fp_truned_gnn(mpp)(gcn),0.7084,0.468,0.7313,0.8488,0.6565,0.7546,0.7124,0.9274
fp_truned_gnn(mpp)(sage),0.5172,0.4839,0.7452,0.8346,0.8093,0.725,0.8379,0.9088
zero_PRISM(gcn),0.1983,0.2278,0.3971,0.3858,0.2557,0.1989,0.2275,0.5039
zero_PRISM(sage),0.2286,0.2279,0.3878,0.3853,0.2556,0.2078,0.2291,0.5041
zero_classic_gnn(gcn),0.2329,0.167,0.4404,0.3854,0.2827,0.3932,0.2274,0.5041
zero_classic_gnn(sage),0.3414,0.2398,0.4128,0.4775,0.4549,0.5271,0.3322,0.5041
zero_truned_gnn(mpp)(gcn),0.4294,0.2321,0.4259,0.561,0.8246,0.7118,0.2526,0.546
zero_truned_gnn(mpp)(sage),0.3306,0.2318,0.3916,0.4151,0.257,0.5179,0.3475,0.5416
