,cora,citeseer,pubmed,,,,computers,photo,wikics,cs,physics,,,
GCN w Zero,23.29%,16.70%,44.04%,28.01%,,9.666666667,38.54%,28.27%,39.32%,22.74%,50.41%,35.86%,,9.8
GCN w FP,68.55%,44.72%,70.97%,61.41%,33.40%,5.666666667,38.64%,59.77%,63.12%,25.83%,83.35%,54.14%,18.29%,8.4
GCN w APCFI,69.38%,47.29%,70.90%,62.52%,34.51%,5.333333333,60.59%,63.56%,66.70%,73.60%,91.84%,71.26%,35.40%,6.4
MPP-GCN(tuned) w APCFI,70.46%,50.62%,71.77%,64.28%,36.27%,3.666666667,87.97%,77.92%,74.13%,87.57%,93.68%,84.25%,48.40%,2.6
PRISM-GCN,60.94%,52.22%,72.35%,61.84%,33.83%,3.666666667,86.47%,79.55%,71.63%,85.20%,93.33%,83.24%,47.38%,3.6
GraphSAGE w Zero,34.14%,23.98%,41.28%,33.13%,,9.333333333,47.75%,45.49%,52.71%,33.22%,50.41%,45.92%,,8.6
GraphSAGE w FP,71.24%,50.77%,74.97%,65.66%,32.53%,1.666666667,79.73%,86.05%,70.71%,83.79%,84.66%,80.99%,35.07%,5.8
GraphSAGE w APCFI,66.57%,50.70%,73.56%,63.61%,30.48%,3.666666667,84.96%,89.80%,73.09%,87.84%,86.59%,84.46%,38.54%,3.4
MPP-SAGE(tuned) w APCFI,65.96%,50.57%,69.50%,62.01%,28.88%,6.333333333,85.32%,87.35%,73.35%,88.71%,89.31%,84.81%,38.89%,2.6
PRISM-SAGE,59.56%,52.08%,64.31%,58.65%,25.52%,6,83.36%,86.46%,70.74%,87.93%,93.05%,84.31%,38.39%,3.6
,,,,,,,,,,,,,,
,10,10,9,10,,,10,10,10,10,9,10,,
,4,8,5,7,,,9,8,8,9,8,8,,
,3,7,6,4,,,7,7,7,7,4,7,,
,2,5,4,2,,,1,6,1,4,1,4,,
,7,1,3,6,,,2,5,4,5,2,5,,
,9,9,10,9,,,8,9,9,8,9,9,,
,1,3,1,1,,,6,4,6,6,7,6,,
,5,4,2,3,,,4,1,3,3,6,2,,
,6,6,7,5,,,3,2,2,1,5,1,,
,8,2,8,8,,,5,3,5,2,3,3,,
