,cora,citeseer,pubmed,computers,photo,wiki,cs,physics
apcfi_PRISM(gcn),0.8467,0.7253,0.7991,0.9302,0.9558,0.8079,0.9573,0.9615
apcfi_PRISM(sage),0.8271,0.7046,0.7655,0.9172,0.9533,0.7993,0.9591,0.9657
apcfi_classic_gnn(gcn),0.8381,0.7096,0.7824,0.7109,0.9068,0.7913,0.9083,0.9578
apcfi_classic_gnn(sage),0.8132,0.6916,0.7585,0.9167,0.9495,0.8007,0.9514,0.9634
apcfi_truned_gnn(mpp)(gcn),0.842,0.7054,0.7906,0.934,0.9529,0.8028,0.9522,0.97
apcfi_truned_gnn(mpp)(sage),0.8112,0.6753,0.7662,0.9291,0.9503,0.8018,0.9555,0.9651
fp_PRISM(gcn),0.8335,0.7085,0.81,0.9289,0.9552,0.803,0.9555,0.9688
fp_PRISM(sage),0.8192,0.6917,0.7294,0.9108,0.9509,0.7928,0.958,0.9649
fp_classic_gnn(gcn),0.8243,0.6796,0.792,0.713,0.9064,0.79,0.8888,0.9574
fp_classic_gnn(sage),0.8206,0.6702,0.7597,0.9131,0.9495,0.7907,0.949,0.9633
fp_truned_gnn(mpp)(gcn),0.8305,0.6921,0.8008,0.9332,0.9534,0.8002,0.9532,0.9698
fp_truned_gnn(mpp)(sage),0.812,0.6638,0.7754,0.9276,0.9518,0.7977,0.9535,0.9651
zero_PRISM(gcn),0.831,0.7182,0.8021,0.9257,0.9507,0.7971,0.9516,0.9666
zero_PRISM(sage),0.7898,0.6896,0.7798,0.8866,0.9486,0.7824,0.953,0.9573
zero_classic_gnn(gcn),0.8229,0.6877,0.7912,0.6434,0.8964,0.791,0.8749,0.956
zero_classic_gnn(sage),0.755,0.639,0.7305,0.9049,0.9441,0.7783,0.9489,0.9604
zero_truned_gnn(mpp)(gcn),0.8336,0.6965,0.7949,0.9321,0.9474,0.7973,0.9538,0.9694
zero_truned_gnn(mpp)(sage),0.7997,0.6491,0.7687,0.923,0.9457,0.7928,0.9539,0.9636
