,Cora,CiteSeer,Pubmed,,,,,,,,,,
GCN w Zero,23.29%,16.70%,44.04%,23.29%,,9.75,,GCN w Zero,10,10,9,10,10
GCN w FP,68.55%,44.72%,70.97%,68.55%,45.26%,8,,GCN w FP,8,8,8,8,8
TunedGCN w FP,74.46%,51.61%,72.68%,74.46%,51.17%,5.25,,GCN w APCFI,5,5,6,5,6
MPP-GCN(tuned) w APCFI,75.22%,51.20%,75.22%,75.22%,51.93%,2.75,,MPP-GCN(tuned) w APCFI,1,6,3,1,2
iPaD-GCN,75.21%,53.96%,72.10%,75.21%,51.92%,3.25,,iPaD-GCN,2,2,7,2,4
SAGE w Zero,34.14%,23.98%,39.92%,34.14%,,9.25,,SAGE w Zero,9,9,10,9,9
GraphSAGE w FP,71.24%,50.77%,74.97%,71.24%,37.10%,6.25,,GraphSAGE w FP,7,7,4,7,7
TunedSAGE w FP,74.10%,53.30%,73.26%,74.10%,39.96%,5.25,,GraphSAGE w APCFI,6,4,5,6,6
MPP-SAGE(tuned) w APCFI,74.90%,54.72%,76.47%,74.90%,40.76%,2,,MPP-SAGE(tuned) w APCFI,3,1,1,3,1
iPaD-SAGE,74.52%,53.94%,76.19%,74.52%,40.38%,3.25,,iPaD-SAGE,4,3,2,4,4
