,computers,photo,wiki,cs,physics,,,,,,,,,,Avg,RANK
GCN w Zero,38.50%,28.09%,51.03%,22.74%,50.41%,38.15%,,9.75,GCN w Zero,10,10,9,10,9,10,10
GCN w FP,38.51%,65.25%,71.36%,23.13%,79.25%,55.50%,17.35%,8.75,GCN w FP,9,9,8,9,8,9,9
MPP-GCN(tuned) w FP,88.81%,71.48%,74.51%,84.00%,94.60%,82.68%,44.53%,5,GCN w APCFI,1,8,4,7,2,7,6
MPP-GCN(tuned) w APCFI,88.19%,86.47%,76.64%,91.09%,94.52%,87.38%,49.23%,2,MPP-GCN(tuned) w APCFI,2,3,1,2,4,1,1
iPaD-GCN,86.72%,86.25%,74.49%,90.00%,94.87%,86.47%,48.31%,4.5,iPaD-GCN,4,4,5,5,1,2,5
SAGE w Zero,55.26%,72.07%,42.94%,60.72%,50.41%,56.28%,,8.25,SAGE w Zero,8,7,10,8,9,8,8
GraphSAGE w FP,79.74%,86.48%,71.47%,89.77%,86.67%,82.83%,26.55%,5.5,GraphSAGE w FP,7,2,7,6,7,6,7
MPP-SAGE(tuned) w FP,87.82%,86.05%,74.72%,90.23%,87.08%,85.18%,28.90%,4,GraphSAGE w APCFI,3,6,3,4,6,5,4
MPP-SAGE(tuned) w APCFI,86.69%,86.20%,75.12%,90.80%,92.69%,86.30%,30.02%,3.75,MPP-SAGE(tuned) w APCFI,5,5,2,3,5,4,3
iPaD-SAGE,84.57%,87.73%,73.63%,91.69%,94.59%,86.44%,30.16%,3.5,iPaD-SAGE,6,1,6,1,3,3,2
