number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
66,0.759,8.445085577,48:36.8,49:02.8,0 days 00:00:26.000042,,,0.7,0.15,3,0.99,layer,FALSE,TRUE,0.1,0.35,0,FALSE,,,,,,,,,TRUE,0.3,1,COMPLETE
31,0.752333333,9.361041315,31:44.5,32:13.2,0 days 00:00:28.756601,,,0.3,0,2,0.9,layer,TRUE,FALSE,0.1,,2,FALSE,,,,,,,,,TRUE,0.3,0,COMPLETE
35,0.752,10.62167046,33:36.9,34:09.5,0 days 00:00:32.585994,lamp,FALSE,,0.2,4,0.9,,,FALSE,0.2,,4,TRUE,2,FALSE,,1,TRUE,0.7,4,group,FALSE,,0,COMPLETE
87,0.749333333,10.80590636,59:10.8,59:43.9,0 days 00:00:33.172591,lamp,TRUE,,0.2,4,0.995,,,FALSE,0.1,,3,TRUE,4,TRUE,0.35,1,TRUE,0.8,4,group,FALSE,,1,COMPLETE
43,0.747,8.806127819,37:39.4,38:06.5,0 days 00:00:27.094065,,,0.7,0.25,2,0.995,batch,FALSE,TRUE,0.3,0.1,3,FALSE,,,,,,,,,TRUE,0.5,0,COMPLETE
70,0.746666667,11.01372384,50:35.2,51:09.1,0 days 00:00:33.800075,lamp,TRUE,,0.2,3,0.995,,,TRUE,0.15,0.4,5,TRUE,2,TRUE,0.1,4,TRUE,0.65,1,bnscale,TRUE,0.2,1,COMPLETE
52,0.746,10.99810518,41:51.0,42:24.7,0 days 00:00:33.752476,lamp,FALSE,0.55,0.6,3,0.9,batch,TRUE,FALSE,0.3,,0,TRUE,4,FALSE,,5,FALSE,0.55,4,group,FALSE,,1,COMPLETE
0,0.745333333,8.786579951,16:01.0,16:28.0,0 days 00:00:27.000653,,,0.4,0.9,3,0.99,layer,FALSE,FALSE,0.25,,1,FALSE,,,,,,,,,TRUE,0.5,0,COMPLETE
19,0.744666667,9.330177531,25:31.9,26:00.5,0 days 00:00:28.649551,,,0.5,0.55,3,0.9,batch,TRUE,FALSE,0.3,,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
63,0.744666667,9.739236924,47:12.8,47:42.8,0 days 00:00:29.958446,lamp,FALSE,0.7,0.45,2,0.995,layer,FALSE,FALSE,0.2,,2,TRUE,4,TRUE,0.1,4,FALSE,0.5,5,base,FALSE,,1,COMPLETE
97,0.744666667,10.074878,04:23.8,04:54.8,0 days 00:00:30.981332,lamp,TRUE,0.45,0.15,3,0.995,,FALSE,TRUE,0.2,0,2,TRUE,2,TRUE,0.2,2,FALSE,0.55,4,bnscale,FALSE,,1,COMPLETE
14,0.744333333,8.88554875,22:57.5,23:24.8,0 days 00:00:27.333991,,,0.45,0.65,2,0.99,layer,FALSE,TRUE,0.05,0.5,1,FALSE,,,,,,,,,FALSE,,0,COMPLETE
62,0.744,10.33104747,46:41.1,47:12.8,0 days 00:00:31.684320,group,FALSE,,0.5,4,0.9,,,TRUE,0.15,0.1,4,TRUE,4,TRUE,0.15,5,TRUE,0.6,1,base,TRUE,0.1,1,COMPLETE
20,0.743333333,8.885170984,26:00.5,26:27.9,0 days 00:00:27.338412,,,0.55,0.8,3,0.99,layer,FALSE,FALSE,0.3,,1,FALSE,,,,,,,,,TRUE,0.5,0,COMPLETE
24,0.743333333,10.65792961,28:03.3,28:36.0,0 days 00:00:32.708872,group,FALSE,,0.9,3,0.9,,,TRUE,0.2,0.5,1,TRUE,5,TRUE,0.15,5,TRUE,0.65,5,base,FALSE,,0,COMPLETE
64,0.743,8.307503311,47:42.8,48:08.3,0 days 00:00:25.573433,,,0.3,0.05,2,0.99,,FALSE,FALSE,0.2,,2,FALSE,,,,,,,,,TRUE,0,1,COMPLETE
2,0.742666667,9.393253242,17:01.2,17:30.0,0 days 00:00:28.833705,,,0.75,0.35,3,0.99,batch,TRUE,TRUE,0.1,0.4,0,FALSE,,,,,,,,,TRUE,0.4,0,COMPLETE
56,0.742666667,8.893109806,43:49.2,44:16.6,0 days 00:00:27.361386,,,0.75,0.1,2,0.99,layer,FALSE,TRUE,0.1,0.3,2,FALSE,,,,,,,,,TRUE,0.4,1,COMPLETE
93,0.742,10.86029655,02:13.6,02:46.9,0 days 00:00:33.301905,fpgm,TRUE,,0.15,4,0.99,,,TRUE,0.1,0,3,TRUE,3,TRUE,0.05,3,TRUE,0.65,1,bnscale,FALSE,,1,COMPLETE
17,0.741666667,10.75039992,24:30.1,25:03.1,0 days 00:00:32.973868,fpgm,FALSE,,0.15,4,0.99,,,FALSE,0.1,,0,TRUE,2,TRUE,0.5,1,TRUE,0.75,2,group,FALSE,,0,COMPLETE
55,0.741666667,10.01530071,43:18.4,43:49.2,0 days 00:00:30.801336,lamp,TRUE,0.1,0.75,4,0.99,layer,FALSE,FALSE,0.1,,0,TRUE,2,FALSE,,5,FALSE,0.6,2,base,FALSE,,1,COMPLETE
69,0.741666667,10.94170768,50:01.6,50:35.2,0 days 00:00:33.588675,fpgm,FALSE,0.4,0.7,3,0.9,layer,TRUE,TRUE,0.15,0,2,TRUE,3,FALSE,,1,FALSE,0.85,1,group,TRUE,0.15,1,COMPLETE
34,0.741333333,8.677328062,33:10.2,33:36.9,0 days 00:00:26.709511,,,0.8,0.5,4,0.9,,FALSE,TRUE,0.15,0,4,FALSE,,,,,,,,,TRUE,0,0,COMPLETE
38,0.741333333,8.967345644,35:08.2,35:35.8,0 days 00:00:27.590309,,,0.15,0.05,2,0.99,,FALSE,FALSE,0.2,,2,FALSE,,,,,,,,,TRUE,0.05,0,COMPLETE
48,0.741333333,10.20055205,39:59.0,40:30.2,0 days 00:00:31.275925,,,0.1,0.05,2,0.9,batch,FALSE,FALSE,0.3,,1,FALSE,,,,,,,,,TRUE,0.4,0,COMPLETE
1,0.741,10.7951378,16:28.1,17:01.2,0 days 00:00:33.109149,fpgm,TRUE,,0.85,4,0.9,,,TRUE,0.05,0.5,4,TRUE,5,FALSE,,3,TRUE,0.55,3,bnscale,TRUE,0,0,COMPLETE
23,0.74,10.91466174,27:29.8,28:03.3,0 days 00:00:33.468363,group,TRUE,,0.05,3,0.9,,,TRUE,0.3,0.45,1,TRUE,2,TRUE,0.5,1,TRUE,0.65,5,bnscale,TRUE,0.1,0,COMPLETE
82,0.739666667,10.80442831,56:37.6,57:10.8,0 days 00:00:33.163117,group,TRUE,0.45,0.25,2,0.9,,TRUE,FALSE,0.1,,4,TRUE,2,FALSE,,5,FALSE,0.65,1,group,FALSE,,1,COMPLETE
8,0.739333333,10.65872749,19:57.1,20:29.8,0 days 00:00:32.678963,group,TRUE,,0.55,5,0.9,,,FALSE,0.2,,3,TRUE,5,FALSE,,3,TRUE,0.7,2,group,FALSE,,0,COMPLETE
99,0.738666667,8.8011385,05:28.0,05:55.1,0 days 00:00:27.066567,,,0.1,0.5,4,0.9,,FALSE,FALSE,0.1,,4,FALSE,,,,,,,,,FALSE,,1,COMPLETE
44,0.738333333,9.466476617,38:06.6,38:35.7,0 days 00:00:29.121609,fpgm,TRUE,0.75,0.6,2,0.9,batch,FALSE,FALSE,0,,2,TRUE,4,TRUE,0.3,1,FALSE,0.9,2,bnscale,FALSE,,0,COMPLETE
15,0.738,10.53118663,23:24.9,23:57.2,0 days 00:00:32.367920,group,FALSE,0.7,0.6,2,0.9,layer,TRUE,FALSE,0.15,,3,TRUE,3,FALSE,,4,FALSE,0.85,4,bnscale,TRUE,0.2,0,COMPLETE
65,0.738,9.209304166,48:08.4,48:36.8,0 days 00:00:28.406065,group,FALSE,0.75,0.45,4,0.995,,FALSE,TRUE,0,0.3,5,TRUE,4,TRUE,0.3,2,FALSE,0.85,5,bnscale,TRUE,0.25,1,COMPLETE
32,0.737666667,9.18843858,32:13.2,32:41.5,0 days 00:00:28.257478,,,0.6,0.5,2,0.995,,TRUE,TRUE,0.1,0.1,4,FALSE,,,,,,,,,TRUE,0.1,0,COMPLETE
3,0.737333333,8.808965104,17:30.0,17:57.1,0 days 00:00:27.077103,,,0.75,0.05,4,0.9,layer,FALSE,FALSE,0.25,,1,FALSE,,,,,,,,,FALSE,,0,COMPLETE
11,0.737333333,10.75061649,21:29.6,22:02.6,0 days 00:00:32.983229,lamp,TRUE,,0.05,2,0.99,,,FALSE,0.05,,4,TRUE,5,FALSE,,4,TRUE,0.8,3,base,TRUE,0.4,0,COMPLETE
