number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
41,0.727666667,10.19935683,28:58.4,29:29.7,0 days 00:00:31.306659,,,0.3,0.65,3,0.99,batch,FALSE,TRUE,0.2,0.1,0,FALSE,,,,,,,,,TRUE,0.45,0,COMPLETE
58,0.724666667,10.54116964,38:51.2,39:23.5,0 days 00:00:32.287461,,,0.6,0.35,4,0.995,batch,TRUE,TRUE,0.1,0.15,0,FALSE,,,,,,,,,TRUE,0.45,1,COMPLETE
46,0.713333333,12.62393523,31:53.1,32:31.8,0 days 00:00:38.624352,lamp,FALSE,0.7,0.15,2,0.99,batch,TRUE,TRUE,0.1,0.3,1,TRUE,4,FALSE,,5,FALSE,0.6,5,base,FALSE,,0,COMPLETE
69,0.707,10.11318428,45:00.3,45:31.3,0 days 00:00:31.020948,,,0.8,0.3,5,0.99,layer,FALSE,TRUE,0.2,0.2,1,FALSE,,,,,,,,,TRUE,0.05,1,COMPLETE
90,0.706666667,10.54531313,57:42.8,58:15.1,0 days 00:00:32.308045,,,0.8,0.2,2,0.995,batch,FALSE,FALSE,0.1,,3,FALSE,,,,,,,,,TRUE,0,1,COMPLETE
28,0.706333333,10.7102414,21:56.3,22:29.1,0 days 00:00:32.814494,,,0.25,0.15,4,0.9,batch,TRUE,TRUE,0.25,0.2,0,FALSE,,,,,,,,,TRUE,0.1,0,COMPLETE
14,0.704333333,10.46823734,13:54.0,14:26.1,0 days 00:00:32.097715,,,0.75,0.2,5,0.995,,TRUE,FALSE,0.1,,5,FALSE,,,,,,,,,TRUE,0.2,0,COMPLETE
61,0.703666667,10.40926231,40:29.5,41:01.4,0 days 00:00:31.898838,,,0.15,0.15,4,0.9,layer,TRUE,TRUE,0.2,0.25,0,FALSE,,,,,,,,,FALSE,,1,COMPLETE
79,0.703666667,10.87135672,50:44.1,51:17.5,0 days 00:00:33.321735,,,0.65,0.85,4,0.9,layer,FALSE,TRUE,0.25,0.4,1,FALSE,,,,,,,,,FALSE,,1,COMPLETE
16,0.702666667,11.52303946,15:05.4,15:40.8,0 days 00:00:35.362234,fpgm,FALSE,0.8,0,5,0.995,,TRUE,TRUE,0,0.25,3,TRUE,4,FALSE,,1,FALSE,0.7,4,bnscale,TRUE,0.3,0,COMPLETE
47,0.702333333,13.42755915,32:31.8,33:12.8,0 days 00:00:41.013633,lamp,FALSE,,0.6,5,0.99,,,TRUE,0.2,0,2,TRUE,4,FALSE,,0,TRUE,0.6,5,group,TRUE,0,0,COMPLETE
