number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
48,0.912516661,65.2273506,30:15.1,33:31.5,0 days 00:03:16.391075,,,0.65,0.45,3,0.99,layer,TRUE,TRUE,0.1,0,4,FALSE,,,,,,,,,TRUE,0.1,0,COMPLETE
64,0.910093299,65.17422954,06:19.4,09:35.6,0 days 00:03:16.222632,,,0.65,0,3,0.99,batch,TRUE,TRUE,0.1,0.35,4,FALSE,,,,,,,,,TRUE,0.3,1,COMPLETE
74,0.905852417,65.36962603,32:24.6,35:41.4,0 days 00:03:16.788817,,,0.65,0.65,2,0.995,layer,TRUE,FALSE,0.05,,5,FALSE,,,,,,,,,FALSE,,1,COMPLETE
19,0.905367745,64.71583895,24:14.0,27:28.8,0 days 00:03:14.871050,,,0.75,0,3,0.9,layer,FALSE,FALSE,0.25,,4,FALSE,,,,,,,,,FALSE,,0,COMPLETE
6,0.896764813,68.60898429,55:08.0,58:34.5,0 days 00:03:26.526675,,,0.5,0,4,0.99,layer,TRUE,TRUE,0.15,0.05,4,FALSE,,,,,,,,,TRUE,0.15,0,COMPLETE
11,0.895553132,34.5432826,07:36.7,09:21.1,0 days 00:01:44.426825,fpgm,TRUE,0.45,0.6,4,0.9,layer,TRUE,FALSE,0.05,,3,TRUE,3,TRUE,0.4,4,FALSE,0.65,4,bnscale,TRUE,0.05,0,COMPLETE
92,0.886829032,64.57993193,10:36.2,13:50.6,0 days 00:03:14.449364,,,0.4,0.25,4,0.995,batch,FALSE,FALSE,0.3,,4,FALSE,,,,,,,,,TRUE,0.4,1,COMPLETE
51,0.885496183,35.05251399,38:27.2,40:13.1,0 days 00:01:45.959985,lamp,FALSE,0.2,0.35,4,0.99,layer,FALSE,FALSE,0.25,,3,TRUE,2,TRUE,0.15,3,FALSE,0.6,2,base,TRUE,0.35,1,COMPLETE
94,0.881255301,41.82170386,15:03.0,17:09.3,0 days 00:02:06.274529,fpgm,FALSE,,0,4,0.995,,,FALSE,0.15,,3,TRUE,3,FALSE,,4,TRUE,0.5,2,base,TRUE,0,1,COMPLETE
46,0.880770629,64.79921082,25:21.1,28:36.2,0 days 00:03:15.097347,,,0.55,0.35,2,0.99,layer,FALSE,FALSE,0.25,,4,FALSE,,,,,,,,,TRUE,0.05,0,COMPLETE
98,0.877014419,19.64897155,51:12.8,52:12.5,0 days 00:00:59.748660,fpgm,TRUE,0.5,0.55,3,0.9,layer,FALSE,TRUE,0.25,0,3,TRUE,3,TRUE,0.4,1,FALSE,0.9,1,base,TRUE,0.05,1,COMPLETE
65,0.875560402,64.56387362,09:35.6,12:50.1,0 days 00:03:14.423843,,,0.35,0.65,2,0.99,,FALSE,FALSE,0.3,,5,FALSE,,,,,,,,,TRUE,0.15,1,COMPLETE
60,0.875439234,22.27065973,58:47.3,59:54.9,0 days 00:01:07.572313,fpgm,FALSE,0.15,0.05,2,0.9,layer,TRUE,FALSE,0.1,,5,TRUE,2,TRUE,0,2,FALSE,0.85,4,base,FALSE,,1,COMPLETE
29,0.875318066,64.28169879,43:30.5,46:44.1,0 days 00:03:13.549977,,,0.5,0.7,2,0.995,,FALSE,FALSE,0.15,,5,FALSE,,,,,,,,,TRUE,0.15,0,COMPLETE
3,0.87192536,22.88477203,48:44.0,49:53.5,0 days 00:01:09.475340,lamp,FALSE,0.2,0.55,3,0.9,layer,TRUE,TRUE,0.25,0,3,TRUE,5,TRUE,0.5,3,FALSE,0.85,2,base,TRUE,0,0,COMPLETE
61,0.870834848,36.1054563,59:54.9,01:44.0,0 days 00:01:49.072888,group,TRUE,,0.9,3,0.99,,,FALSE,0.3,,4,TRUE,2,TRUE,0.1,3,TRUE,0.6,2,base,FALSE,,1,COMPLETE
80,0.870834848,65.50963983,42:20.5,45:37.7,0 days 00:03:17.249901,,,0.5,0.9,2,0.995,layer,TRUE,TRUE,0.15,0.1,5,FALSE,,,,,,,,,TRUE,0.3,1,COMPLETE
13,0.864170605,38.13476406,11:32.8,13:30.1,0 days 00:01:57.277078,fpgm,TRUE,,0,3,0.995,,,FALSE,0,,3,TRUE,3,TRUE,0.35,5,TRUE,0.6,2,group,FALSE,,0,COMPLETE
47,0.864170605,32.68858477,28:36.2,30:15.1,0 days 00:01:38.845012,lamp,FALSE,0.55,0.75,4,0.995,batch,TRUE,TRUE,0.25,0.2,4,TRUE,2,FALSE,,3,FALSE,0.65,1,base,TRUE,0.3,0,COMPLETE
50,0.856537017,64.83683409,35:12.0,38:27.2,0 days 00:03:15.209349,,,0.4,0.8,3,0.99,layer,FALSE,FALSE,0.25,,3,FALSE,,,,,,,,,FALSE,,1,COMPLETE
69,0.851690294,40.59256462,22:36.3,24:38.9,0 days 00:02:02.574845,group,TRUE,,0.75,4,0.995,,,FALSE,0.15,,5,TRUE,3,FALSE,,1,TRUE,0.55,4,base,TRUE,0.5,1,COMPLETE
52,0.847449412,64.54954244,40:13.2,43:27.6,0 days 00:03:14.396722,,,0.3,0.7,4,0.995,batch,FALSE,FALSE,0.15,,2,FALSE,,,,,,,,,TRUE,0.2,1,COMPLETE
90,0.844420211,40.46407357,06:43.1,08:45.2,0 days 00:02:02.189295,fpgm,TRUE,0.3,0,3,0.995,layer,FALSE,FALSE,0.15,,3,TRUE,2,FALSE,,2,FALSE,0.5,5,bnscale,FALSE,,1,COMPLETE
22,0.836059615,32.68658641,32:07.7,33:46.5,0 days 00:01:38.827485,fpgm,FALSE,0.75,0.45,2,0.995,layer,TRUE,TRUE,0,0,3,TRUE,3,FALSE,,5,FALSE,0.65,5,bnscale,FALSE,,0,COMPLETE
97,0.832666909,36.5006085,49:22.5,51:12.8,0 days 00:01:50.268595,lamp,TRUE,,0.7,5,0.995,,,FALSE,0.15,,5,TRUE,3,FALSE,,4,TRUE,0.6,2,bnscale,TRUE,0.3,1,COMPLETE
78,0.814249364,33.75369846,39:21.4,41:03.5,0 days 00:01:42.036601,lamp,TRUE,,0.6,4,0.9,,,FALSE,0.2,,2,TRUE,5,FALSE,,2,TRUE,0.65,5,base,TRUE,0.05,1,COMPLETE
99,0.809160305,32.51061557,52:12.6,53:50.9,0 days 00:01:38.316380,fpgm,FALSE,0.65,0,4,0.9,layer,FALSE,FALSE,0.15,,2,TRUE,3,FALSE,,4,FALSE,0.65,1,base,FALSE,,1,COMPLETE
54,0.808190961,22.87198055,46:43.3,47:52.6,0 days 00:01:09.367410,lamp,FALSE,,0.45,2,0.995,,,TRUE,0,0.5,3,TRUE,4,FALSE,,4,TRUE,0.85,3,bnscale,FALSE,,1,COMPLETE
1,0.788804071,68.8889035,43:56.6,47:24.0,0 days 00:03:27.367705,,,0.75,0.8,5,0.99,batch,TRUE,FALSE,0.05,,3,FALSE,,,,,,,,,FALSE,,0,COMPLETE
84,0.780443475,26.24119986,55:23.4,56:42.9,0 days 00:01:19.458833,lamp,FALSE,,0.45,5,0.9,,,TRUE,0.3,0.45,4,TRUE,4,FALSE,,2,TRUE,0.8,1,bnscale,TRUE,0.3,1,COMPLETE
67,0.750514964,65.0303034,16:04.7,19:20.5,0 days 00:03:15.789883,,,0.25,0,5,0.9,batch,TRUE,FALSE,0.25,,3,FALSE,,,,,,,,,FALSE,,1,COMPLETE
53,0.75015146,64.98493155,43:27.6,46:43.3,0 days 00:03:15.665853,,,0.65,0.8,2,0.99,batch,TRUE,FALSE,0.05,,5,FALSE,,,,,,,,,TRUE,0.45,1,COMPLETE
35,0.74518357,64.88229982,59:35.4,02:50.8,0 days 00:03:15.340521,,,0.75,0.2,5,0.9,batch,TRUE,TRUE,0.25,0.35,3,FALSE,,,,,,,,,FALSE,,0,COMPLETE
8,0.706773295,21.74896068,01:56.7,03:02.7,0 days 00:01:06.017122,group,FALSE,0.15,0.65,2,0.99,batch,FALSE,FALSE,0.3,,5,TRUE,4,FALSE,,2,FALSE,0.85,5,bnscale,TRUE,0.35,0,COMPLETE
37,0.698533866,33.34134193,04:33.1,06:13.9,0 days 00:01:40.774198,lamp,TRUE,,0.4,5,0.995,,,TRUE,0,0.2,1,TRUE,4,TRUE,0.5,4,TRUE,0.65,3,base,TRUE,0,0,COMPLETE
30,0.683024355,30.07412078,46:44.1,48:15.1,0 days 00:01:31.015832,fpgm,FALSE,0.8,0.4,2,0.995,layer,TRUE,TRUE,0.2,0.15,2,TRUE,3,FALSE,,1,FALSE,0.7,3,group,TRUE,0.45,0,COMPLETE
68,0.681570338,65.00631033,19:20.5,22:36.3,0 days 00:03:15.767884,,,0.7,0.2,3,0.9,batch,TRUE,TRUE,0.25,0,1,FALSE,,,,,,,,,FALSE,,1,COMPLETE
45,0.678541137,39.80117999,23:20.9,25:21.1,0 days 00:02:00.227999,group,FALSE,0.35,0.1,5,0.9,batch,FALSE,TRUE,0.1,0.15,3,TRUE,5,TRUE,0.5,2,FALSE,0.5,3,base,FALSE,,0,COMPLETE
23,0.675148431,40.480637,33:46.5,35:48.8,0 days 00:02:02.220742,group,TRUE,0.4,0.75,3,0.995,batch,FALSE,FALSE,0.25,,1,TRUE,3,FALSE,,1,FALSE,0.5,2,group,TRUE,0.2,0,COMPLETE
25,0.67018054,21.55468325,36:47.4,37:52.8,0 days 00:01:05.415573,lamp,TRUE,0.5,0.55,3,0.9,batch,FALSE,TRUE,0.15,0.3,1,TRUE,3,TRUE,0,0,FALSE,0.85,3,bnscale,FALSE,,0,COMPLETE
40,0.667878347,21.6669634,12:39.5,13:45.3,0 days 00:01:05.744249,lamp,FALSE,0.4,0.6,4,0.99,batch,FALSE,FALSE,0.25,,1,TRUE,3,TRUE,0.2,2,FALSE,0.85,2,bnscale,TRUE,0.15,0,COMPLETE
87,0.658911911,32.0773222,00:16.1,01:53.1,0 days 00:01:37.032504,group,TRUE,0.55,0.65,2,0.9,layer,FALSE,TRUE,0.1,0,2,TRUE,5,FALSE,,2,FALSE,0.65,4,base,TRUE,0.1,1,COMPLETE
26,0.65770023,64.29265047,37:52.8,41:06.4,0 days 00:03:13.576241,,,0.6,0.7,2,0.99,batch,FALSE,FALSE,0.15,,3,FALSE,,,,,,,,,TRUE,0.45,0,COMPLETE
0,0.651157155,20.66469609,42:53.8,43:56.6,0 days 00:01:02.766470,group,TRUE,0.5,0,5,0.99,batch,FALSE,FALSE,0,,2,TRUE,3,TRUE,0,1,FALSE,0.9,1,base,TRUE,0.5,0,COMPLETE
85,0.615654913,36.78248068,56:42.9,58:34.1,0 days 00:01:51.186264,group,TRUE,0.5,0.55,2,0.99,,FALSE,TRUE,0,0.5,3,TRUE,2,FALSE,,4,FALSE,0.55,5,bnscale,TRUE,0.05,1,COMPLETE
12,0.615654913,43.61756747,09:21.2,11:32.8,0 days 00:02:11.653629,lamp,TRUE,,0.9,2,0.995,,,TRUE,0.15,0.25,1,TRUE,5,FALSE,,2,TRUE,0.5,4,bnscale,TRUE,0.4,0,COMPLETE
58,0.611656367,64.80416606,54:32.1,57:47.2,0 days 00:03:15.136177,,,0.35,0,2,0.9,batch,TRUE,FALSE,0.15,,4,FALSE,,,,,,,,,FALSE,,1,COMPLETE
93,0.607536653,23.84193385,13:50.6,15:03.0,0 days 00:01:12.320130,fpgm,FALSE,0.35,0.6,2,0.995,batch,FALSE,FALSE,0,,3,TRUE,4,FALSE,,4,FALSE,0.8,3,group,TRUE,0.1,1,COMPLETE
62,0.605961469,64.91089365,01:44.0,04:59.4,0 days 00:03:15.406409,,,0.25,0.1,2,0.99,batch,TRUE,FALSE,0.1,,4,FALSE,,,,,,,,,FALSE,,1,COMPLETE
83,0.59590452,64.94139741,52:05.8,55:23.4,0 days 00:03:17.588913,,,0.45,0.35,2,0.99,,TRUE,FALSE,0.25,,3,FALSE,,,,,,,,,TRUE,0.05,1,COMPLETE
88,0.581606688,31.505859,01:53.1,03:28.4,0 days 00:01:35.277721,group,FALSE,,0,2,0.99,,,TRUE,0.15,0.5,3,TRUE,2,TRUE,0.3,1,TRUE,0.7,1,bnscale,FALSE,,1,COMPLETE
14,0.571670908,20.89569443,13:30.1,14:33.6,0 days 00:01:03.414043,lamp,FALSE,,0,2,0.995,,,FALSE,0.15,,3,TRUE,3,FALSE,,2,TRUE,0.9,4,group,FALSE,,0,COMPLETE
55,0.564885496,63.97698545,47:52.7,51:05.3,0 days 00:03:12.624104,,,0.55,0.05,2,0.995,batch,FALSE,TRUE,0,0.35,1,FALSE,,,,,,,,,FALSE,,1,COMPLETE
86,0.530716103,33.72536588,58:34.1,00:16.1,0 days 00:01:41.942063,lamp,TRUE,,0.6,6,0.99,,,TRUE,0.25,0.4,1,TRUE,5,FALSE,,0,TRUE,0.65,3,bnscale,TRUE,0.05,1,COMPLETE
15,0.514843087,68.06488821,14:33.6,17:58.5,0 days 00:03:24.917451,,,0.45,0.65,6,0.99,batch,TRUE,FALSE,0.25,,5,FALSE,,,,,,,,,FALSE,,0,COMPLETE
44,0.475099964,64.64875571,20:06.2,23:20.8,0 days 00:03:14.631913,,,0.15,0.15,6,0.9,batch,TRUE,FALSE,0,,4,FALSE,,,,,,,,,TRUE,0.35,0,COMPLETE
24,0.468678056,19.2745733,35:48.8,36:47.4,0 days 00:00:58.583257,lamp,TRUE,0.25,0.3,4,0.995,,TRUE,FALSE,0.15,,5,TRUE,5,TRUE,0.1,4,FALSE,0.9,2,group,TRUE,0.1,0,COMPLETE
5,0.465285351,68.24561974,51:42.6,55:08.0,0 days 00:03:25.445098,,,0.1,0.1,5,0.9,layer,TRUE,FALSE,0.15,,2,FALSE,,,,,,,,,TRUE,0.5,0,COMPLETE
43,0.457288259,22.50001346,18:57.9,20:06.2,0 days 00:01:08.259156,fpgm,FALSE,,0.55,4,0.99,,,FALSE,0,,0,TRUE,5,TRUE,0.45,0,TRUE,0.85,4,group,TRUE,0.5,0,COMPLETE
82,0.447352478,64.17077132,48:52.6,52:05.8,0 days 00:03:13.218360,,,0.1,0.7,6,0.99,batch,FALSE,FALSE,0.15,,4,FALSE,,,,,,,,,TRUE,0.3,1,COMPLETE
76,0.414152429,23.9874526,36:47.0,37:59.8,0 days 00:01:12.775722,lamp,TRUE,0.65,0,6,0.9,batch,FALSE,FALSE,0.2,,3,TRUE,4,TRUE,0.35,4,FALSE,0.8,2,bnscale,TRUE,0.5,1,COMPLETE
70,0.412940749,29.54939891,24:38.9,26:08.4,0 days 00:01:29.451120,fpgm,FALSE,0.7,0.7,5,0.9,layer,FALSE,FALSE,0.3,,2,TRUE,4,TRUE,0.25,0,FALSE,0.7,5,base,TRUE,0.15,1,COMPLETE
77,0.411365564,26.92798504,37:59.8,39:21.4,0 days 00:01:21.583700,fpgm,TRUE,0.2,0.75,5,0.99,,TRUE,FALSE,0.25,,3,TRUE,5,FALSE,,0,FALSE,0.75,2,bnscale,FALSE,,1,COMPLETE
4,0.409669211,36.08195924,49:53.5,51:42.5,0 days 00:01:49.035677,group,TRUE,0.65,0.7,3,0.9,batch,FALSE,FALSE,0.05,,0,TRUE,4,FALSE,,5,FALSE,0.6,2,bnscale,FALSE,,0,COMPLETE
79,0.393675027,25.38968489,41:03.5,42:20.4,0 days 00:01:16.935716,fpgm,TRUE,,0.1,6,0.995,,,TRUE,0.15,0.05,5,TRUE,2,TRUE,0.3,3,TRUE,0.8,1,group,TRUE,0.35,1,COMPLETE
27,0.39100933,23.73992285,41:06.4,42:18.5,0 days 00:01:12.031999,lamp,TRUE,0.55,0.15,6,0.9,,FALSE,TRUE,0.3,0.25,4,TRUE,4,TRUE,0.4,1,FALSE,0.8,2,bnscale,TRUE,0.4,0,COMPLETE
18,0.388707137,37.250303,22:21.4,24:14.0,0 days 00:01:52.548804,lamp,FALSE,0.1,0.55,5,0.99,,FALSE,FALSE,0.25,,3,TRUE,4,TRUE,0.45,3,FALSE,0.55,2,bnscale,FALSE,,0,COMPLETE
63,0.388464801,26.39534507,04:59.4,06:19.4,0 days 00:01:19.956796,lamp,TRUE,0.75,0.75,4,0.99,batch,FALSE,FALSE,0.25,,0,TRUE,5,TRUE,0.2,0,FALSE,0.75,1,base,TRUE,0.2,1,COMPLETE
66,0.385435599,64.640507,12:50.1,16:04.7,0 days 00:03:14.606983,,,0.55,0.1,6,0.99,,TRUE,TRUE,0.05,0.15,3,FALSE,,,,,,,,,FALSE,,1,COMPLETE
7,0.385314431,67.13293601,58:34.6,01:56.7,0 days 00:03:22.138162,,,0.55,0.55,3,0.995,,FALSE,TRUE,0,0,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
17,0.385314431,19.20510961,21:23.0,22:21.4,0 days 00:00:58.367500,group,FALSE,0.55,0.25,4,0.9,,FALSE,FALSE,0.3,,2,TRUE,3,TRUE,0.45,5,FALSE,0.9,2,group,TRUE,0.4,0,COMPLETE
33,0.385314431,64.47388404,54:41.5,57:55.6,0 days 00:03:14.075540,,,0.45,0.75,2,0.9,,TRUE,FALSE,0,,2,FALSE,,,,,,,,,FALSE,,0,COMPLETE
36,0.385314431,33.82709399,02:50.8,04:33.1,0 days 00:01:42.255611,fpgm,TRUE,,0.45,2,0.9,,,FALSE,0.25,,0,TRUE,3,TRUE,0.2,0,TRUE,0.65,3,base,TRUE,0.45,0,COMPLETE
49,0.385314431,33.22308267,33:31.5,35:11.9,0 days 00:01:40.426839,fpgm,FALSE,,0,2,0.995,,,FALSE,0,,1,TRUE,3,TRUE,0.25,5,TRUE,0.65,5,bnscale,FALSE,,0,COMPLETE
59,0.385314431,19.74853239,57:47.3,58:47.3,0 days 00:01:00.028407,fpgm,FALSE,0.8,0.55,2,0.9,layer,TRUE,FALSE,0.25,,0,TRUE,5,TRUE,0.35,2,FALSE,0.9,2,bnscale,TRUE,0.05,1,COMPLETE
71,0.385314431,35.73177795,26:08.4,27:56.3,0 days 00:01:47.951464,lamp,TRUE,,0.7,2,0.9,,,FALSE,0.05,,0,TRUE,3,FALSE,,0,TRUE,0.6,4,base,TRUE,0.2,1,COMPLETE
73,0.385314431,64.72212583,29:09.7,32:24.6,0 days 00:03:14.840294,,,0.8,0.35,2,0.9,,TRUE,FALSE,0.05,,0,FALSE,,,,,,,,,FALSE,,1,COMPLETE
81,0.385193263,64.70996936,45:37.7,48:52.6,0 days 00:03:14.838801,,,0.1,0.8,5,0.99,,TRUE,FALSE,0.05,,3,FALSE,,,,,,,,,FALSE,,1,COMPLETE
89,0.385193263,64.62738949,03:28.4,06:43.0,0 days 00:03:14.588379,,,0.25,0.85,5,0.99,,TRUE,FALSE,0.1,,5,FALSE,,,,,,,,,TRUE,0.05,1,COMPLETE
16,0.385072095,67.92521741,17:58.5,21:23.0,0 days 00:03:24.475617,,,0.5,0.1,6,0.9,layer,FALSE,TRUE,0.05,0.35,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
31,0.385072095,64.37921125,48:15.1,51:29.0,0 days 00:03:13.862323,,,0.7,0.3,5,0.99,layer,FALSE,FALSE,0.25,,0,FALSE,,,,,,,,,FALSE,,0,COMPLETE
