number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
17,0.847333333,11.47346483,43:09.1,43:44.1,0 days 00:00:35.031380,group,TRUE,,0.6,3,0.995,,,FALSE,0.15,,1,TRUE,2,FALSE,,5,TRUE,0.55,1,group,TRUE,0.1,0,COMPLETE
2,0.843666667,10.94274714,34:52.2,35:25.6,0 days 00:00:33.495210,lamp,FALSE,0.5,0.1,2,0.995,layer,TRUE,TRUE,0.2,0.35,5,TRUE,5,TRUE,0.2,3,FALSE,0.6,1,base,TRUE,0.2,0,COMPLETE
43,0.843666667,11.88301544,56:45.1,57:21.4,0 days 00:00:36.311863,lamp,TRUE,,0.5,4,0.995,,,TRUE,0.05,0,2,TRUE,3,FALSE,,3,TRUE,0.5,1,bnscale,TRUE,0.25,0,COMPLETE
81,0.842666667,9.043643191,16:36.4,17:04.1,0 days 00:00:27.692173,,,0.2,0.15,4,0.995,layer,FALSE,TRUE,0.25,0.1,5,FALSE,,,,,,,,,TRUE,0.25,1,COMPLETE
57,0.840666667,9.027241217,03:49.7,04:17.3,0 days 00:00:27.636613,,,0.35,0.6,4,0.995,layer,TRUE,FALSE,0.15,,0,FALSE,,,,,,,,,TRUE,0.15,1,COMPLETE
23,0.840333333,12.47079758,46:29.9,47:08.0,0 days 00:00:38.044350,group,TRUE,,0,4,0.995,,,FALSE,0,,0,TRUE,4,TRUE,0.35,0,TRUE,0.65,4,group,TRUE,0.05,0,COMPLETE
29,0.839666667,11.78621494,49:41.3,50:17.3,0 days 00:00:36.001425,fpgm,FALSE,,0.55,4,0.99,,,TRUE,0.15,0.15,4,TRUE,5,FALSE,,2,TRUE,0.5,1,group,TRUE,0.25,0,COMPLETE
55,0.839333333,8.883744766,02:55.2,03:22.4,0 days 00:00:27.208570,,,0.3,0.4,3,0.995,layer,FALSE,TRUE,0.3,0.25,2,FALSE,,,,,,,,,TRUE,0.25,1,COMPLETE
14,0.839,10.77689562,41:32.6,42:05.6,0 days 00:00:32.955621,fpgm,FALSE,0.25,0.55,5,0.9,batch,FALSE,TRUE,0.25,0.05,2,TRUE,3,FALSE,,4,FALSE,0.55,1,base,FALSE,,0,COMPLETE
34,0.838666667,8.854366786,52:19.8,52:46.9,0 days 00:00:27.125994,,,0.1,0.25,2,0.99,,FALSE,TRUE,0.25,0,3,FALSE,,,,,,,,,TRUE,0.3,0,COMPLETE
45,0.838,9.213958922,57:48.8,58:19.1,0 days 00:00:30.328928,,,0.75,0.7,4,0.99,layer,TRUE,TRUE,0.15,0.25,4,FALSE,,,,,,,,,TRUE,0.2,0,COMPLETE
76,0.837666667,9.8698782,13:46.9,14:17.1,0 days 00:00:30.171061,,,0.4,0.6,4,0.995,layer,TRUE,TRUE,0,0.3,0,FALSE,,,,,,,,,TRUE,0,1,COMPLETE
50,0.837333333,11.87885092,00:24.3,01:00.5,0 days 00:00:36.266128,group,TRUE,,0.9,4,0.9,,,TRUE,0.05,0.25,2,TRUE,4,TRUE,0.35,4,TRUE,0.7,5,group,TRUE,0.4,1,COMPLETE
73,0.837333333,12.02719284,12:02.8,12:39.5,0 days 00:00:36.710161,group,TRUE,,0.9,4,0.9,,,TRUE,0.05,0.5,2,TRUE,2,FALSE,,4,TRUE,0.55,5,bnscale,TRUE,0.2,1,COMPLETE
5,0.837,10.94310689,36:39.3,37:12.7,0 days 00:00:33.459415,group,TRUE,0.2,0.7,4,0.99,layer,TRUE,TRUE,0.3,0.2,1,TRUE,3,FALSE,,2,FALSE,0.65,1,group,FALSE,,0,COMPLETE
68,0.837,11.13752172,09:34.6,10:08.7,0 days 00:00:34.053985,fpgm,FALSE,0.6,0.9,3,0.9,layer,TRUE,TRUE,0.05,0.05,3,TRUE,3,FALSE,,0,FALSE,0.5,1,group,TRUE,0.15,1,COMPLETE
59,0.836666667,11.66845819,04:50.3,05:25.9,0 days 00:00:35.628585,lamp,TRUE,,0.15,4,0.9,,,FALSE,0.3,,2,TRUE,5,TRUE,0.5,2,TRUE,0.55,3,base,FALSE,,1,COMPLETE
