number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
24,0.834333333,12.38317503,37:56.6,38:34.3,0 days 00:00:37.753866,fpgm,FALSE,,0.15,4,0.995,,,TRUE,0.1,0.35,1,TRUE,3,TRUE,0.25,4,TRUE,0.55,4,bnscale,TRUE,0.25,0,COMPLETE
1,0.832,8.353811743,26:53.5,27:19.2,0 days 00:00:25.604463,,,0.35,0.55,3,0.99,layer,FALSE,TRUE,0.1,0.25,1,FALSE,,,,,,,,,TRUE,0.15,0,COMPLETE
47,0.83,12.22363355,49:54.1,50:31.3,0 days 00:00:37.278338,group,FALSE,,0.15,3,0.995,,,FALSE,0.1,,1,TRUE,4,FALSE,,1,TRUE,0.5,5,group,TRUE,0.25,0,COMPLETE
80,0.827,9.433527612,06:32.1,07:01.0,0 days 00:00:28.897798,,,0.35,0.75,2,0.995,layer,TRUE,TRUE,0.3,0.4,2,FALSE,,,,,,,,,FALSE,,1,COMPLETE
14,0.825666667,8.649893806,33:03.5,33:30.0,0 days 00:00:26.494654,,,0.6,0.25,5,0.995,layer,FALSE,FALSE,0.3,,1,FALSE,,,,,,,,,FALSE,,0,COMPLETE
4,0.823333333,8.78799397,28:22.1,28:49.0,0 days 00:00:26.913474,,,0.3,0.7,3,0.995,batch,TRUE,FALSE,0.25,,1,FALSE,,,,,,,,,TRUE,0.15,0,COMPLETE
86,0.823,8.731640288,09:22.8,09:49.6,0 days 00:00:26.772408,,,0.4,0.05,4,0.995,layer,TRUE,TRUE,0.2,0.35,2,FALSE,,,,,,,,,TRUE,0.5,1,COMPLETE
77,0.821,8.742816296,05:10.7,05:37.4,0 days 00:00:26.794781,,,0.25,0.7,5,0.9,layer,TRUE,TRUE,0.05,0,3,FALSE,,,,,,,,,TRUE,0.3,1,COMPLETE
81,0.821,8.874617356,07:01.0,07:28.2,0 days 00:00:27.212985,,,0.65,0.55,5,0.9,layer,FALSE,TRUE,0.15,0.35,3,FALSE,,,,,,,,,TRUE,0.5,1,COMPLETE
52,0.821,8.602253352,52:29.3,52:55.7,0 days 00:00:26.385396,,,0.2,0.6,2,0.99,layer,FALSE,FALSE,0.1,,1,FALSE,,,,,,,,,TRUE,0.15,1,COMPLETE
36,0.820666667,8.506776499,44:19.0,44:45.0,0 days 00:00:26.056623,,,0.1,0.6,2,0.99,layer,FALSE,FALSE,0.3,,1,FALSE,,,,,,,,,FALSE,,0,COMPLETE
9,0.819333333,12.07634868,30:34.0,31:10.9,0 days 00:00:36.838527,lamp,TRUE,,0.2,4,0.995,,,FALSE,0.15,,5,TRUE,4,TRUE,0.3,5,TRUE,0.55,1,group,FALSE,,0,COMPLETE
87,0.818333333,8.742356394,09:49.6,10:16.4,0 days 00:00:26.798963,,,0.55,0.25,3,0.9,layer,TRUE,FALSE,0.3,,2,FALSE,,,,,,,,,FALSE,,1,COMPLETE
10,0.817333333,10.64015968,31:10.9,31:43.4,0 days 00:00:32.565505,group,TRUE,0.5,0.65,3,0.99,batch,FALSE,TRUE,0.3,0.05,2,TRUE,4,TRUE,0.25,4,FALSE,0.65,2,group,TRUE,0.4,0,COMPLETE
25,0.817333333,12.34252843,38:34.4,39:12.0,0 days 00:00:37.641561,group,TRUE,,0.25,2,0.99,,,FALSE,0.25,,4,TRUE,4,FALSE,,4,TRUE,0.5,3,base,TRUE,0,0,COMPLETE
45,0.817,10.4534058,48:54.8,49:26.8,0 days 00:00:31.976293,fpgm,FALSE,0.7,0.55,3,0.99,,FALSE,TRUE,0.3,0.25,3,TRUE,4,FALSE,,5,FALSE,0.5,5,bnscale,FALSE,,0,COMPLETE
83,0.816666667,8.987344787,07:55.2,08:22.7,0 days 00:00:27.531870,,,0.65,0.6,3,0.995,batch,FALSE,FALSE,0.3,,4,FALSE,,,,,,,,,FALSE,,1,COMPLETE
6,0.816,8.709747347,29:14.4,29:41.1,0 days 00:00:26.686147,,,0.75,0.6,3,0.995,layer,TRUE,FALSE,0.25,,4,FALSE,,,,,,,,,FALSE,,0,COMPLETE
0,0.815333333,8.463169838,26:27.6,26:53.5,0 days 00:00:25.945559,,,0.45,0.45,3,0.995,layer,FALSE,FALSE,0.2,,3,FALSE,,,,,,,,,TRUE,0.45,0,COMPLETE
18,0.815,9.142644438,34:49.6,35:17.6,0 days 00:00:28.019772,,,0.3,0.25,5,0.995,batch,TRUE,TRUE,0.15,0.5,3,FALSE,,,,,,,,,TRUE,0.4,0,COMPLETE
99,0.813666667,10.5105193,15:28.6,16:00.8,0 days 00:00:32.173910,group,TRUE,0.6,0.55,3,0.99,layer,FALSE,TRUE,0.1,0.45,3,TRUE,5,FALSE,,1,FALSE,0.7,2,bnscale,TRUE,0.45,1,COMPLETE
33,0.813333333,8.949405474,42:46.3,43:13.7,0 days 00:00:27.446285,,,0.15,0.1,5,0.9,batch,TRUE,TRUE,0.25,0.15,5,FALSE,,,,,,,,,TRUE,0.4,0,COMPLETE
48,0.813,8.819350941,50:31.4,50:58.4,0 days 00:00:27.005673,,,0.3,0.3,4,0.9,batch,TRUE,TRUE,0.15,0.05,5,FALSE,,,,,,,,,FALSE,,0,COMPLETE
