number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
101,0.9583878,36.7158404,54:34.5,56:25.2,0 days 00:01:50.783466,,,0.6,0.45,2,0.9,layer,FALSE,TRUE,0.3,0.4,5,FALSE,,,,,,,,,FALSE,,1,COMPLETE
71,0.95664488,43.27131714,58:28.1,00:41.0,0 days 00:02:12.959064,,,0.15,0.6,3,0.9,layer,TRUE,TRUE,0.3,0,4,FALSE,,,,,,,,,FALSE,,1,COMPLETE
11,0.954030501,39.99763584,38:30.4,40:31.0,0 days 00:02:00.584911,,,0.25,0.25,4,0.995,layer,TRUE,TRUE,0.3,0.3,4,FALSE,,,,,,,,,FALSE,,0,COMPLETE
43,0.953159041,29.19047362,58:21.9,59:50.1,0 days 00:01:28.245175,lamp,TRUE,,0.2,3,0.9,,,FALSE,0.2,,5,TRUE,3,FALSE,,4,TRUE,0.7,5,group,FALSE,,0,COMPLETE
36,0.952941176,37.90890833,43:47.4,45:41.7,0 days 00:01:54.306981,,,0.5,0.8,2,0.99,batch,FALSE,TRUE,0.25,0.4,4,FALSE,,,,,,,,,TRUE,0,0,COMPLETE
17,0.952723312,27.44710298,56:15.9,57:38.9,0 days 00:01:22.997853,fpgm,FALSE,0.2,0.2,2,0.9,layer,TRUE,TRUE,0.25,0.05,5,TRUE,4,FALSE,,2,FALSE,0.55,4,group,FALSE,,0,COMPLETE
40,0.951198257,40.57013766,52:12.2,54:17.4,0 days 00:02:05.205892,,,0.55,0.1,3,0.995,layer,TRUE,TRUE,0.1,0.05,5,FALSE,,,,,,,,,TRUE,0.05,0,COMPLETE
70,0.949891068,43.24026179,56:17.8,58:28.1,0 days 00:02:10.303539,,,0.7,0.45,3,0.9,batch,FALSE,TRUE,0.1,0.4,3,FALSE,,,,,,,,,FALSE,,1,COMPLETE
103,0.948801743,37.69399644,58:16.2,00:12.4,0 days 00:01:56.159321,,,0.55,0.5,2,0.99,layer,FALSE,TRUE,0,0.5,4,FALSE,,,,,,,,,FALSE,,1,COMPLETE
10,0.948583878,38.51623108,36:34.2,38:30.3,0 days 00:01:56.119941,,,0.75,0.55,4,0.995,layer,FALSE,TRUE,0.05,0.3,3,FALSE,,,,,,,,,FALSE,,0,COMPLETE
96,0.947930283,21.55224385,46:27.2,47:32.5,0 days 00:01:05.330215,lamp,TRUE,,0.45,2,0.9,,,TRUE,0.3,0.25,5,TRUE,3,FALSE,,3,TRUE,0.85,3,base,TRUE,0.45,1,COMPLETE
52,0.947494553,43.38830678,24:04.7,26:15.4,0 days 00:02:10.770161,,,0.7,0.45,2,0.9,batch,TRUE,TRUE,0.3,0.1,5,FALSE,,,,,,,,,FALSE,,0,COMPLETE
61,0.947494553,39.0011318,40:06.4,42:04.0,0 days 00:01:57.583233,,,0.35,0.55,3,0.9,layer,TRUE,TRUE,0.15,0,3,FALSE,,,,,,,,,FALSE,,1,COMPLETE
16,0.947276688,38.6972685,54:19.2,56:15.9,0 days 00:01:56.726203,,,0.15,0.55,3,0.9,layer,FALSE,TRUE,0.25,0.35,3,FALSE,,,,,,,,,TRUE,0.35,0,COMPLETE
81,0.947058824,30.82474308,21:45.9,23:19.0,0 days 00:01:33.135192,fpgm,FALSE,,0.45,3,0.9,,,TRUE,0.25,0.4,3,TRUE,5,TRUE,0,4,TRUE,0.5,2,group,FALSE,,1,COMPLETE
55,0.946187364,24.05682566,30:08.3,31:21.1,0 days 00:01:12.836154,fpgm,FALSE,,0.4,3,0.995,,,TRUE,0.25,0.45,3,TRUE,3,FALSE,,4,TRUE,0.85,4,base,FALSE,,0,COMPLETE
98,0.945751634,36.9355236,49:22.9,51:14.3,0 days 00:01:51.398308,,,0.25,0.75,4,0.99,batch,TRUE,FALSE,0.2,,5,FALSE,,,,,,,,,TRUE,0.05,1,COMPLETE
25,0.945315904,49.99924903,20:11.3,22:41.9,0 days 00:02:30.598680,,,0.3,0.2,3,0.995,batch,FALSE,TRUE,0.2,0.35,4,FALSE,,,,,,,,,TRUE,0.25,0,COMPLETE
30,0.945098039,52.15756515,31:43.6,34:20.8,0 days 00:02:37.142570,,,0.25,0.2,2,0.9,,TRUE,TRUE,0.25,0.1,5,FALSE,,,,,,,,,TRUE,0.2,0,COMPLETE
102,0.944008715,36.77679182,56:25.3,58:16.2,0 days 00:01:50.932153,,,0.8,0.2,4,0.995,batch,TRUE,TRUE,0.2,0.15,3,FALSE,,,,,,,,,TRUE,0.15,1,COMPLETE
21,0.94379085,22.73063539,02:54.0,04:02.9,0 days 00:01:08.861182,fpgm,FALSE,,0.45,3,0.9,,,TRUE,0.1,0.15,3,TRUE,5,TRUE,0.4,4,TRUE,0.85,3,bnscale,FALSE,,0,COMPLETE
77,0.943137255,38.50607638,14:14.4,16:10.6,0 days 00:01:56.200541,,,0.5,0.1,2,0.9,,FALSE,TRUE,0,0.1,5,FALSE,,,,,,,,,TRUE,0.1,1,COMPLETE
0,0.942701525,29.73568625,27:26.1,28:54.9,0 days 00:01:28.731169,group,TRUE,,0,3,0.995,,,TRUE,0.1,0.45,4,TRUE,3,TRUE,0.35,2,TRUE,0.6,2,bnscale,TRUE,0.05,0,COMPLETE
106,0.942265795,37.5651061,03:58.2,05:51.5,0 days 00:01:53.305384,,,0.8,0.45,2,0.9,layer,TRUE,TRUE,0.25,0,4,FALSE,,,,,,,,,TRUE,0.45,1,COMPLETE
