number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
36,0.95795207,17.46302254,15:29.7,16:22.7,0 days 00:00:52.976773,,,0.25,0.7,3,0.99,layer,TRUE,FALSE,0.2,,4,FALSE,,,,,,,,,TRUE,0.05,0,COMPLETE
59,0.957298475,18.07231068,39:22.2,40:17.0,0 days 00:00:54.808742,,,0.7,0.2,3,0.99,layer,TRUE,FALSE,0.2,,4,FALSE,,,,,,,,,TRUE,0.3,1,COMPLETE
93,0.952287582,17.43240638,12:16.1,13:09.0,0 days 00:00:52.921715,,,0.55,0.7,3,0.99,batch,FALSE,TRUE,0.3,0.25,4,FALSE,,,,,,,,,TRUE,0.05,1,COMPLETE
6,0.951198257,18.25245571,30:51.4,31:46.8,0 days 00:00:55.441263,,,0.1,0.4,3,0.99,layer,FALSE,TRUE,0.3,0.45,4,FALSE,,,,,,,,,FALSE,,0,COMPLETE
70,0.949673203,25.50921603,50:15.8,51:33.0,0 days 00:01:17.193655,lamp,TRUE,,0.15,3,0.9,,,TRUE,0.3,0.3,5,TRUE,5,FALSE,,1,TRUE,0.5,4,group,TRUE,0.5,1,COMPLETE
96,0.949237473,17.15686591,14:54.0,15:46.1,0 days 00:00:52.076793,,,0.25,0.7,2,0.99,layer,FALSE,FALSE,0,,4,FALSE,,,,,,,,,TRUE,0.35,1,COMPLETE
56,0.947930283,17.83561036,36:31.9,37:26.0,0 days 00:00:54.119793,,,0.55,0.9,3,0.995,batch,FALSE,TRUE,0,0.4,5,FALSE,,,,,,,,,TRUE,0.05,1,COMPLETE
35,0.947712418,17.59216401,14:36.3,15:29.7,0 days 00:00:53.390346,,,0.25,0.15,3,0.99,layer,TRUE,TRUE,0.25,0.45,3,FALSE,,,,,,,,,FALSE,,0,COMPLETE
64,0.947494553,17.93839072,44:14.0,45:08.5,0 days 00:00:54.421427,,,0.25,0.7,3,0.995,batch,FALSE,FALSE,0.2,,4,FALSE,,,,,,,,,TRUE,0.5,1,COMPLETE
21,0.945533769,26.34821378,00:20.6,01:40.4,0 days 00:01:19.787842,fpgm,FALSE,,0.45,2,0.99,,,FALSE,0.2,,4,TRUE,4,TRUE,0.2,2,TRUE,0.5,5,base,TRUE,0.45,0,COMPLETE
