number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
90,0.824,11.22337531,52:43.7,53:18.0,0 days 00:00:34.316701,,,0.7,0.35,3,0.995,layer,TRUE,FALSE,0.25,,2,FALSE,,,,,,,,,FALSE,,1,COMPLETE
97,0.818333333,11.2299961,56:31.8,57:06.1,0 days 00:00:34.331289,,,0.35,0.7,3,0.995,layer,TRUE,TRUE,0.15,0.05,3,FALSE,,,,,,,,,TRUE,0.5,1,COMPLETE
59,0.815666667,10.27278618,35:48.4,36:19.8,0 days 00:00:31.479362,,,0.5,0.6,2,0.995,batch,FALSE,TRUE,0.25,0.1,3,FALSE,,,,,,,,,TRUE,0.45,1,COMPLETE
91,0.815333333,10.08223083,53:18.1,53:49.0,0 days 00:00:30.981566,lamp,FALSE,0.7,0.8,2,0.99,layer,FALSE,TRUE,0,0.35,3,TRUE,5,FALSE,,1,FALSE,0.75,3,base,TRUE,0.15,1,COMPLETE
29,0.812666667,10.7347991,19:27.7,20:00.6,0 days 00:00:32.846764,,,0.2,0.7,3,0.99,layer,FALSE,FALSE,0.05,,2,FALSE,,,,,,,,,TRUE,0.5,0,COMPLETE
46,0.810666667,10.03813072,28:44.7,29:15.6,0 days 00:00:30.832937,fpgm,TRUE,0.4,0.35,2,0.99,layer,FALSE,FALSE,0,,3,TRUE,5,FALSE,,3,FALSE,0.8,2,base,TRUE,0.4,0,COMPLETE
10,0.81,12.45885992,08:51.6,09:29.7,0 days 00:00:38.148974,fpgm,TRUE,0.8,0.5,3,0.9,layer,TRUE,FALSE,0.25,,1,TRUE,3,TRUE,0.4,1,FALSE,0.55,5,bnscale,TRUE,0.5,0,COMPLETE
88,0.809666667,10.75678289,51:39.0,52:11.9,0 days 00:00:32.898576,,,0.2,0.8,3,0.99,batch,TRUE,FALSE,0.05,,3,FALSE,,,,,,,,,TRUE,0.3,1,COMPLETE
64,0.808666667,10.80224284,38:29.8,39:02.9,0 days 00:00:33.028109,,,0.35,0.35,2,0.9,batch,TRUE,FALSE,0.05,,4,FALSE,,,,,,,,,FALSE,,1,COMPLETE
27,0.808,10.41031574,18:21.0,18:52.9,0 days 00:00:31.950844,fpgm,FALSE,0.45,0.8,2,0.9,batch,FALSE,FALSE,0.25,,5,TRUE,4,TRUE,0.15,2,FALSE,0.55,3,base,TRUE,0.05,0,COMPLETE
80,0.807666667,11.3563986,47:13.6,47:48.3,0 days 00:00:34.699681,,,0.8,0.8,2,0.99,layer,TRUE,TRUE,0.15,0.5,2,FALSE,,,,,,,,,FALSE,,1,COMPLETE
84,0.807333333,10.69319009,49:26.4,49:59.2,0 days 00:00:32.714528,,,0.2,0.8,2,0.995,,TRUE,FALSE,0.3,,4,FALSE,,,,,,,,,FALSE,,1,COMPLETE
99,0.805666667,10.56400869,57:38.6,58:11.0,0 days 00:00:32.411199,fpgm,TRUE,0.25,0.6,3,0.9,layer,FALSE,FALSE,0.2,,3,TRUE,5,TRUE,0,0,FALSE,0.65,1,base,TRUE,0.45,1,COMPLETE
34,0.804333333,10.90897354,22:09.8,22:43.2,0 days 00:00:33.403074,fpgm,FALSE,,0.4,3,0.99,,,FALSE,0.15,,3,TRUE,4,TRUE,0.2,4,TRUE,0.6,2,bnscale,FALSE,,0,COMPLETE
0,0.803,10.64768099,03:07.9,03:40.6,0 days 00:00:32.675228,fpgm,TRUE,0.75,0.4,4,0.9,batch,TRUE,FALSE,0.3,,2,TRUE,5,TRUE,0.45,2,FALSE,0.75,4,group,FALSE,,0,COMPLETE
71,0.801666667,11.02850641,42:16.8,42:50.6,0 days 00:00:33.811755,group,FALSE,,0.7,3,0.99,,,FALSE,0.2,,2,TRUE,3,FALSE,,5,TRUE,0.5,5,base,FALSE,,1,COMPLETE
7,0.799666667,11.14483185,07:09.7,07:43.8,0 days 00:00:34.146395,lamp,TRUE,,0.25,2,0.9,,,TRUE,0.25,0.4,5,TRUE,5,FALSE,,0,TRUE,0.65,4,bnscale,FALSE,,0,COMPLETE
15,0.799,10.85015962,11:49.1,12:22.3,0 days 00:00:33.200861,,,0.3,0.5,3,0.995,batch,FALSE,TRUE,0.15,0.2,3,FALSE,,,,,,,,,TRUE,0.1,0,COMPLETE
67,0.795666667,10.17205873,40:10.0,40:41.2,0 days 00:00:31.247989,group,TRUE,0.1,0.35,2,0.99,batch,FALSE,FALSE,0.1,,5,TRUE,5,TRUE,0.05,1,FALSE,0.65,1,bnscale,FALSE,,1,COMPLETE
