number,values_0,values_1,datetime_start,datetime_complete,duration,params_imp_type,params_isomorphic,params_kd_dropout,params_kd_lamb,params_kd_lr_power,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay_power,params_mpp,params_mpp_lr_power,params_mpp_scheduler,params_mpp_warnup,params_mpp_weight_decay_power,params_prune_mlp,params_prune_rate,params_prune_step,params_prune_type,params_scheduler,params_warnup,system_attrs_NSGAIISampler:generation,state
7,0.809666667,19.04490037,04:29.0,05:26.8,0 days 00:00:57.775774,,,0.15,0.9,2,0.99,batch,TRUE,TRUE,0.2,0.05,4,FALSE,,,,,,,,,TRUE,0.1,0,COMPLETE
40,0.797,16.19834443,34:00.6,34:50.0,0 days 00:00:49.339646,group,TRUE,0.15,0.25,3,0.9,layer,TRUE,FALSE,0.25,,2,TRUE,4,TRUE,0.25,0,FALSE,0.6,4,group,TRUE,0,0,COMPLETE
13,0.796333333,18.98394553,09:42.1,10:39.7,0 days 00:00:57.602443,,,0.4,0.3,3,0.99,layer,FALSE,TRUE,0.1,0.2,2,FALSE,,,,,,,,,TRUE,0.45,0,COMPLETE
50,0.796,16.51582747,42:24.2,43:14.0,0 days 00:00:49.799733,lamp,FALSE,,0.25,2,0.9,,,TRUE,0.25,0.3,2,TRUE,5,FALSE,,3,TRUE,0.7,4,group,TRUE,0.2,1,COMPLETE
12,0.793333333,13.47596877,09:00.9,09:42.1,0 days 00:00:41.168245,lamp,TRUE,0.2,0.15,2,0.9,batch,FALSE,FALSE,0.15,,3,TRUE,4,TRUE,0.2,5,FALSE,0.75,3,base,TRUE,0.1,0,COMPLETE
86,0.792333333,15.11959806,15:16.2,16:03.8,0 days 00:00:47.665744,fpgm,TRUE,0.35,0.05,2,0.99,,FALSE,TRUE,0.3,0.4,3,TRUE,2,FALSE,,4,FALSE,0.7,1,group,FALSE,,1,COMPLETE
97,0.791333333,17.15794546,24:41.4,25:32.5,0 days 00:00:51.079712,lamp,TRUE,,0.65,4,0.99,,,TRUE,0.25,0.05,2,TRUE,5,FALSE,,1,TRUE,0.65,5,base,TRUE,0.4,1,COMPLETE
26,0.791,19.06502525,21:19.4,22:17.2,0 days 00:00:57.823465,,,0.3,0.25,4,0.995,layer,FALSE,FALSE,0.05,,2,FALSE,,,,,,,,,FALSE,,0,COMPLETE
16,0.790333333,14.73672774,12:35.6,13:20.6,0 days 00:00:44.945223,group,TRUE,0.15,0.35,3,0.99,layer,FALSE,TRUE,0.25,0.1,2,TRUE,4,FALSE,,2,FALSE,0.8,1,base,TRUE,0.35,0,COMPLETE
70,0.789,19.42131221,00:53.9,01:51.8,0 days 00:00:57.836642,,,0.6,0.15,3,0.995,batch,TRUE,FALSE,0.1,,5,FALSE,,,,,,,,,TRUE,0.4,1,COMPLETE
81,0.788333333,15.62759891,10:47.2,11:33.7,0 days 00:00:46.538339,group,FALSE,0.15,0.3,3,0.9,layer,FALSE,FALSE,0.25,,2,TRUE,2,TRUE,0.35,2,FALSE,0.65,1,base,TRUE,0.2,1,COMPLETE
21,0.788,18.03787882,17:04.3,17:59.2,0 days 00:00:54.919898,lamp,TRUE,,0.5,3,0.99,,,FALSE,0.05,,2,TRUE,2,TRUE,0,2,TRUE,0.6,4,bnscale,TRUE,0.5,0,COMPLETE
55,0.787333333,18.99754317,46:48.5,47:45.1,0 days 00:00:56.677169,,,0.35,0.15,2,0.99,batch,FALSE,TRUE,0.1,0.35,5,FALSE,,,,,,,,,FALSE,,1,COMPLETE
77,0.787,19.28741256,07:10.7,08:08.1,0 days 00:00:57.422288,,,0.25,0.15,3,0.995,layer,FALSE,FALSE,0.2,,1,FALSE,,,,,,,,,FALSE,,1,COMPLETE
