number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
39,0.751666667,30:23.9,31:34.0,0 days 00:01:10.087073,,0.8,0.000227449,0.9,,,TRUE,0.3,0.2,0.013978136,TRUE,0.6,COMPLETE
22,0.750666667,10:45.0,11:54.1,0 days 00:01:09.147410,,0.6,0.000250364,0.8,,,FALSE,0.3,,0.017321454,TRUE,0.6,COMPLETE
24,0.748666667,13:03.1,14:12.5,0 days 00:01:09.337285,,0.6,0.000410794,0.8,,,FALSE,0.2,,0.011733609,TRUE,0.6,COMPLETE
34,0.748333333,24:27.7,25:36.8,0 days 00:01:09.148914,,0.8,0.000384,0.8,,,TRUE,0.25,0.45,0.004415588,TRUE,0.6,COMPLETE
2,0.747,47:02.4,48:12.8,0 days 00:01:10.350982,,0.4,9.48E-05,0.99,,,FALSE,0,,0.003494937,TRUE,0.6,COMPLETE
31,0.747,21:02.1,22:09.6,0 days 00:01:07.426572,,0.6,7.80E-05,0.8,,,FALSE,0.2,,0.008584315,TRUE,0.6,COMPLETE
37,0.747,28:08.5,29:17.4,0 days 00:01:08.942228,,0.3,0.000535051,0.8,,,TRUE,0.3,0.35,0.001342186,TRUE,0.6,COMPLETE
32,0.747,22:09.6,23:19.2,0 days 00:01:09.617694,,0.6,8.11E-05,0.8,,,FALSE,0.15,,0.008854544,TRUE,0.6,COMPLETE
11,0.746666667,58:03.4,59:11.8,0 days 00:01:08.428901,,0.6,0.001957344,0.8,,,FALSE,0.3,,0.041995096,TRUE,0.6,COMPLETE
13,0.746666667,00:22.5,01:31.3,0 days 00:01:08.770226,,0.6,0.000140773,0.8,,,FALSE,0.2,,0.008496598,TRUE,0.6,COMPLETE
41,0.746666667,32:54.2,34:04.0,0 days 00:01:09.739443,,0.7,0.000334284,0.9,,,TRUE,0.3,0.05,0.028818601,TRUE,0.6,COMPLETE
15,0.746333333,02:39.5,03:48.9,0 days 00:01:09.405624,,0.4,5.19E-05,0.99,,,FALSE,0.2,,0.005902575,TRUE,0.6,COMPLETE
44,0.746333333,36:16.0,37:26.6,0 days 00:01:10.538684,,0.7,0.000896095,0.995,,,TRUE,0.25,0.35,0.005036902,TRUE,0.6,COMPLETE
45,0.746333333,37:26.6,38:35.2,0 days 00:01:08.552858,,0.8,0.000111357,0.9,,,TRUE,0.3,0.45,0.029200122,TRUE,0.6,COMPLETE
25,0.746,14:12.5,15:22.2,0 days 00:01:09.689346,,0.8,0.000454908,0.8,,,FALSE,0.25,,0.002763041,TRUE,0.6,COMPLETE
