number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
575,0.732,29:31.9,31:42.3,0 days 00:02:10.453266,,0.2,0.004527547,0.9,,,FALSE,0.15,,0.007071121,TRUE,0.5,COMPLETE
547,0.728,33:46.8,35:59.2,0 days 00:02:12.420220,,0.4,0.000332829,0.9,,,FALSE,0.2,,0.181031733,TRUE,0.5,COMPLETE
555,0.725333333,49:34.2,51:29.9,0 days 00:01:55.694378,,0.7,3.11E-05,0.9,,,FALSE,0.25,,0.120405264,TRUE,0.5,COMPLETE
544,0.721666667,27:31.9,29:43.1,0 days 00:02:11.158735,,0.5,0.000379937,0.9,,,FALSE,0.2,,0.154787229,TRUE,0.5,COMPLETE
540,0.720666667,18:54.7,20:59.7,0 days 00:02:04.937336,,0.2,0.001458439,0.9,,,FALSE,0.25,,0.008911528,TRUE,0.5,COMPLETE
562,0.720333333,02:18.3,04:16.7,0 days 00:01:58.372402,,0.5,1.86E-05,0.9,,,FALSE,0.2,,0.016704563,TRUE,0.5,COMPLETE
541,0.72,20:59.7,23:10.5,0 days 00:02:10.783165,,0.2,0.002040896,0.9,,,FALSE,0.2,,0.03532541,TRUE,0.5,COMPLETE
563,0.719,04:16.7,06:19.5,0 days 00:02:02.753606,,0.4,1.02E-05,0.9,,,FALSE,0.25,,0.00678922,TRUE,0.5,COMPLETE
535,0.718333333,09:38.3,11:31.3,0 days 00:01:52.972394,,0.3,0.001231306,0.995,,,FALSE,0.15,,0.005697786,TRUE,0.5,COMPLETE
574,0.715666667,27:22.2,29:31.8,0 days 00:02:09.607638,,0.5,0.000544658,0.9,,,FALSE,0.2,,0.085438155,TRUE,0.5,COMPLETE
564,0.714666667,06:19.5,08:29.7,0 days 00:02:10.174387,,0.5,1.94E-05,0.9,,,FALSE,0.15,,0.014218122,TRUE,0.5,COMPLETE
16,0.714333333,49:09.8,50:40.1,0 days 00:01:30.297014,,0.1,0.002379156,0.995,,,FALSE,0.3,,0.011409498,TRUE,0.6,COMPLETE
546,0.714,31:34.4,33:46.8,0 days 00:02:12.373538,,0.6,0.000144047,0.9,,,FALSE,0.25,,0.636016057,TRUE,0.5,COMPLETE
532,0.713333333,03:54.6,05:51.8,0 days 00:01:57.159197,,0.2,0.001301785,0.8,,,FALSE,0.25,,0.009498947,TRUE,0.5,COMPLETE
542,0.713333333,23:10.5,25:20.8,0 days 00:02:10.286958,,0.2,0.001085233,0.9,,,FALSE,0.2,,0.030166591,TRUE,0.5,COMPLETE
559,0.712,56:30.2,58:26.9,0 days 00:01:56.783969,,0.8,0.00025965,0.99,,,FALSE,0.3,,0.076696152,TRUE,0.5,COMPLETE
561,0.710333333,00:23.3,02:18.3,0 days 00:01:54.976668,,0.1,0.00180219,0.9,,,FALSE,0.2,,0.052765742,TRUE,0.5,COMPLETE
552,0.709,44:07.9,46:01.3,0 days 00:01:53.424060,,0.2,0.000390728,0.9,,,FALSE,0.25,,0.022354171,TRUE,0.5,COMPLETE
573,0.708333333,25:11.4,27:22.2,0 days 00:02:10.791658,,0.4,0.002689524,0.9,,,FALSE,0.25,,0.030896368,TRUE,0.5,COMPLETE
560,0.707333333,58:27.0,00:23.3,0 days 00:01:56.281819,,0.7,0.000866256,0.9,,,FALSE,0.2,,0.02255674,TRUE,0.5,COMPLETE
550,0.707,40:17.6,42:12.7,0 days 00:01:55.177196,,0.3,0.000783655,0.9,,,FALSE,0.2,,0.043084901,TRUE,0.5,COMPLETE
549,0.706,38:09.4,40:17.5,0 days 00:02:08.103317,,0.5,0.000448086,0.9,,,FALSE,0.25,,0.894268181,TRUE,0.5,COMPLETE
568,0.705666667,14:31.2,16:39.5,0 days 00:02:08.339648,,0.7,0.000182583,0.9,,,FALSE,0.25,,0.019392052,TRUE,0.5,COMPLETE
578,0.705666667,35:43.9,37:54.3,0 days 00:02:10.455875,,0.1,0.00681388,0.9,,,FALSE,0.15,,0.003510787,TRUE,0.5,COMPLETE
533,0.699333333,05:51.8,07:45.5,0 days 00:01:53.724461,,0.3,0.001817911,0.995,,,FALSE,0.2,,0.011078208,TRUE,0.5,COMPLETE
572,0.698666667,23:00.2,25:11.4,0 days 00:02:11.114676,,0.2,0.00154241,0.9,,,FALSE,0.2,,0.00979437,TRUE,0.5,COMPLETE
558,0.697,54:42.1,56:30.1,0 days 00:01:47.971096,,0.6,9.51E-05,0.9,,,FALSE,0.25,,0.128673345,TRUE,0.6,COMPLETE
26,0.696333333,55:35.1,57:06.6,0 days 00:01:31.568820,,0.1,0.000106107,0.8,,,FALSE,0.3,,0.000163877,TRUE,0.6,COMPLETE
23,0.696,53:48.6,55:19.6,0 days 00:01:31.053224,,0.7,0.000323555,0.8,,,FALSE,0.2,,0.002357466,TRUE,0.6,COMPLETE
543,0.695666667,25:20.9,27:31.9,0 days 00:02:11.018597,,0.3,0.005468432,0.9,,,FALSE,0.15,,0.001066029,TRUE,0.5,COMPLETE
569,0.694666667,16:39.6,18:40.1,0 days 00:02:00.493670,,0.4,0.000340636,0.8,,,FALSE,0.15,,0.000213726,TRUE,0.6,COMPLETE
553,0.694333333,46:01.4,47:52.8,0 days 00:01:51.450255,,0.4,6.70E-05,0.9,,,TRUE,0.2,0.15,0.362503642,TRUE,0.5,COMPLETE
536,0.692666667,11:31.3,13:23.1,0 days 00:01:51.843344,,0.4,0.000715042,0.995,,,FALSE,0.1,,0.080561888,TRUE,0.7,COMPLETE
551,0.69,42:12.8,44:07.8,0 days 00:01:55.060006,,0.5,0.002086228,0.9,,,FALSE,0.2,,0.139637193,TRUE,0.5,COMPLETE
566,0.687666667,10:19.6,12:21.5,0 days 00:02:01.844906,,0.5,3.72E-05,0.99,,,FALSE,0.3,,0.255872479,TRUE,0.6,COMPLETE
15,0.686666667,47:40.9,49:09.7,0 days 00:01:28.868352,,0.6,5.08E-05,0.995,,,TRUE,0,0.5,0.000495806,TRUE,0.6,COMPLETE
539,0.683333333,16:55.4,18:54.7,0 days 00:01:59.223618,,0.5,0.000580365,0.995,,,FALSE,0.1,,0.003342263,TRUE,0.7,COMPLETE
576,0.683333333,31:42.4,33:53.2,0 days 00:02:10.832103,,0.9,0.004395247,0.8,,,FALSE,0.1,,0.001427852,TRUE,0.5,COMPLETE
554,0.682333333,47:52.9,49:34.2,0 days 00:01:41.338301,0.3,0.6,0.000175892,0.9,layer,TRUE,FALSE,0.15,,0.050317226,FALSE,0.5,COMPLETE
530,0.679,00:28.1,02:10.6,0 days 00:01:42.479992,,0.1,0.001128307,0.8,,,FALSE,0.3,,2.35E-05,TRUE,0.7,COMPLETE
545,0.679,29:43.1,31:34.3,0 days 00:01:51.230069,0.45,0.5,0.000233751,0.9,layer,FALSE,TRUE,0.2,0.2,0.196521089,FALSE,0.5,COMPLETE
529,0.676333333,59:04.3,00:28.0,0 days 00:01:23.716975,0.75,0.1,0.007122742,0.9,batch,FALSE,FALSE,0.1,,0.014390822,FALSE,0.5,COMPLETE
570,0.674666667,18:40.1,20:51.5,0 days 00:02:11.404583,,0.1,0.00475002,0.9,,,FALSE,0.2,,0.03571656,TRUE,0.5,COMPLETE
32,0.671333333,59:10.9,00:43.1,0 days 00:01:32.188447,,0.4,0.000245468,0.8,,,FALSE,0.3,,0.000596883,TRUE,0.6,COMPLETE
537,0.67,13:23.2,15:04.7,0 days 00:01:41.508768,0.45,0.3,0.002985627,0.995,batch,TRUE,TRUE,0.15,0,0.004736454,FALSE,0.5,COMPLETE
531,0.656333333,02:10.6,03:54.5,0 days 00:01:43.945246,,0.2,0.000117162,0.9,,,FALSE,0.25,,6.54E-05,TRUE,0.7,COMPLETE
565,0.656333333,08:29.8,10:19.6,0 days 00:01:49.841046,0.8,0.6,7.06E-05,0.9,batch,FALSE,FALSE,0.25,,0.002176178,FALSE,0.5,COMPLETE
19,0.656,50:56.4,52:16.0,0 days 00:01:19.576627,0.15,0.4,5.13E-05,0.99,,TRUE,FALSE,0.25,,0.00021206,FALSE,0.6,COMPLETE
577,0.650666667,33:53.3,35:43.8,0 days 00:01:50.566119,0.1,0.8,1.07E-05,0.99,batch,TRUE,FALSE,0.1,,0.008377582,FALSE,0.5,COMPLETE
20,0.65,52:16.0,53:32.1,0 days 00:01:16.061264,0.65,0.7,0.000533871,0.99,layer,FALSE,TRUE,0.15,0.25,0.001412012,FALSE,0.6,COMPLETE
538,0.635666667,15:04.7,16:55.4,0 days 00:01:50.659766,,0.9,0.003310537,0.995,,,FALSE,0,,0.066544591,TRUE,0.5,COMPLETE
29,0.622,57:22.4,58:55.1,0 days 00:01:32.692220,,0.8,0.00344615,0.99,,,FALSE,0.2,,0.281012808,TRUE,0.6,COMPLETE
12,0.601,46:04.9,47:24.4,0 days 00:01:19.474312,0.25,0.6,2.94E-05,0.995,,TRUE,TRUE,0.3,0.05,0.028222844,FALSE,0.6,COMPLETE
556,0.386,51:30.0,53:15.9,0 days 00:01:45.954566,,0.7,2.60E-05,0.99,,,TRUE,0.3,0.35,0.122144748,TRUE,0.6,COMPLETE
534,0.376,07:45.6,09:38.2,0 days 00:01:52.677836,,0.2,0.007676113,0.8,,,FALSE,0.25,,0.595451233,TRUE,0.5,COMPLETE
571,0.349333333,20:51.6,23:00.2,0 days 00:02:08.625938,,0.3,1.70E-05,0.9,,,FALSE,0.2,,0.111477872,TRUE,0.5,COMPLETE
567,0.273,12:21.5,14:31.2,0 days 00:02:09.641613,,0.6,3.72E-05,0.9,,,TRUE,0.2,0.1,0.522775707,TRUE,0.5,COMPLETE
557,0.254333333,53:16.0,54:42.1,0 days 00:01:26.132280,0.6,0.8,2.66E-05,0.9,,FALSE,FALSE,0.25,,0.339382458,FALSE,0.6,COMPLETE
7,0.219,44:01.8,45:32.9,0 days 00:01:31.103751,,0.3,1.42E-05,0.995,,,TRUE,0.05,0.4,0.08379533,TRUE,0.6,COMPLETE
548,0.182,35:59.3,38:09.4,0 days 00:02:10.103997,,0.4,1.42E-05,0.9,,,TRUE,0.05,0.4,0.182458089,TRUE,0.5,COMPLETE
0,,43:04.5,43:12.2,0 days 00:00:07.770235,0.65,0.4,2.02E-05,0.99,layer,TRUE,TRUE,0.3,0.35,0.022431879,FALSE,0.5,FAIL
1,,43:12.3,43:20.3,0 days 00:00:08.047536,0.2,0.1,1.06E-05,0.995,batch,FALSE,TRUE,0.05,0.3,0.485392595,FALSE,0.7,FAIL
2,,43:20.4,43:28.6,0 days 00:00:08.233840,0.6,0.3,0.001673661,0.99,batch,FALSE,TRUE,0.3,0,0.836831192,FALSE,0.5,FAIL
3,,43:28.7,43:37.0,0 days 00:00:08.253709,,0.8,0.007588128,0.995,,,FALSE,0.05,,0.110464741,TRUE,0.7,FAIL
4,,43:37.0,43:45.2,0 days 00:00:08.150009,,0.5,0.003125753,0.99,,,FALSE,0.25,,0.002428559,TRUE,0.7,FAIL
5,,43:45.3,43:53.4,0 days 00:00:08.096026,0.25,0.1,0.00553115,0.995,layer,TRUE,FALSE,0.3,,0.000336545,FALSE,0.5,FAIL
6,,43:53.4,44:01.7,0 days 00:00:08.290660,0.7,0.9,4.51E-05,0.995,layer,FALSE,TRUE,0.1,0.05,0.146844983,FALSE,0.5,FAIL
8,,45:33.0,45:40.5,0 days 00:00:07.516011,,0.8,2.83E-05,0.9,,,FALSE,0.25,,1.31E-05,TRUE,0.7,FAIL
9,,45:40.5,45:48.7,0 days 00:00:08.118765,0.1,0.9,1.15E-05,0.8,layer,FALSE,TRUE,0,0.1,0.011191435,FALSE,0.7,FAIL
10,,45:48.7,45:56.7,0 days 00:00:07.979648,,0.5,0.0022068,0.8,,,FALSE,0.25,,0.001182036,TRUE,0.5,FAIL
11,,45:56.8,46:04.8,0 days 00:00:08.033121,,0.2,0.000296285,0.8,,,FALSE,0.2,,0.199481548,TRUE,0.7,FAIL
13,,47:24.4,47:32.6,0 days 00:00:08.144050,,0.2,5.32E-05,0.99,,,FALSE,0.3,,0.007612257,TRUE,0.7,FAIL
14,,47:32.7,47:40.8,0 days 00:00:08.122876,0.75,0.7,1.05E-05,0.99,batch,FALSE,TRUE,0.15,0.2,2.32E-05,FALSE,0.7,FAIL
17,,50:40.1,50:48.2,0 days 00:00:08.122835,,0.6,2.28E-05,0.9,,,FALSE,0.25,,0.006675781,TRUE,0.5,FAIL
18,,50:48.3,50:56.3,0 days 00:00:07.997083,0.45,0.5,0.000148762,0.8,layer,TRUE,TRUE,0,0.5,0.000905797,FALSE,0.7,FAIL
21,,53:32.1,53:40.4,0 days 00:00:08.252123,0.35,0.7,0.000121041,0.99,batch,TRUE,TRUE,0.1,0.4,0.00045626,FALSE,0.5,FAIL
22,,53:40.4,53:48.5,0 days 00:00:08.055686,,0.7,2.10E-05,0.995,,,FALSE,0.3,,0.00152576,TRUE,0.7,FAIL
24,,55:19.7,55:26.8,0 days 00:00:07.120685,,0.4,0.000167022,0.99,,,FALSE,0.05,,3.46E-05,TRUE,0.7,FAIL
25,,55:26.9,55:35.0,0 days 00:00:08.054400,,0.8,0.000147997,0.9,,,TRUE,0.15,0.2,0.123023011,TRUE,0.7,FAIL
27,,57:06.7,57:14.0,0 days 00:00:07.369762,0.4,0.9,0.007576508,0.99,,TRUE,TRUE,0.3,0.35,3.00E-05,FALSE,0.7,FAIL
28,,57:14.1,57:22.3,0 days 00:00:08.174581,,0.1,5.04E-05,0.9,,,FALSE,0.25,,0.166997282,TRUE,0.5,FAIL
30,,58:55.1,59:02.6,0 days 00:00:07.451843,0.5,0.9,0.000841558,0.9,batch,TRUE,TRUE,0.3,0,6.61E-05,FALSE,0.5,FAIL
31,,59:02.7,59:10.8,0 days 00:00:08.098958,0.5,0.6,0.007088945,0.8,batch,FALSE,FALSE,0.3,,0.363538738,FALSE,0.7,FAIL
33,,00:43.1,00:50.6,0 days 00:00:07.480146,0.8,0.1,0.009435088,0.9,batch,FALSE,FALSE,0.1,,2.17E-05,FALSE,0.5,FAIL
34,,00:50.7,00:58.8,0 days 00:00:08.087915,0.8,0.1,0.009677806,0.9,batch,FALSE,FALSE,0.1,,0.018238849,FALSE,0.7,FAIL
35,,00:58.9,01:07.0,0 days 00:00:08.122150,0.8,0.1,0.008681797,0.9,batch,FALSE,FALSE,0.1,,2.65E-05,FALSE,0.5,FAIL
36,,01:07.1,01:15.3,0 days 00:00:08.183640,0.8,0.1,0.00790453,0.9,batch,FALSE,FALSE,0.1,,0.012098832,FALSE,0.7,FAIL
37,,01:15.4,01:23.5,0 days 00:00:08.141770,0.75,0.1,0.008274415,0.9,batch,FALSE,FALSE,0.05,,2.37E-05,FALSE,0.5,FAIL
38,,01:23.6,01:31.9,0 days 00:00:08.263167,0.8,0.1,0.009075762,0.9,batch,FALSE,FALSE,0.1,,1.14E-05,FALSE,0.5,FAIL
39,,01:32.0,01:40.1,0 days 00:00:08.062011,0.8,0.1,0.007204795,0.9,batch,FALSE,FALSE,0.1,,2.48E-05,FALSE,0.7,FAIL
40,,01:40.2,01:48.4,0 days 00:00:08.206190,0.8,0.1,0.0092149,0.9,batch,FALSE,FALSE,0.1,,1.14E-05,FALSE,0.5,FAIL
41,,01:48.5,01:56.5,0 days 00:00:08.020878,0.8,0.1,0.009272167,0.9,batch,FALSE,FALSE,0.1,,1.45E-05,FALSE,0.7,FAIL
42,,01:56.6,02:04.8,0 days 00:00:08.205060,0.8,0.1,0.00970732,0.9,batch,FALSE,FALSE,0.05,,0.014784533,FALSE,0.7,FAIL
43,,02:04.9,02:13.1,0 days 00:00:08.172289,0.8,0.1,0.008427971,0.9,batch,FALSE,FALSE,0.1,,2.26E-05,FALSE,0.7,FAIL
44,,02:13.2,02:21.3,0 days 00:00:08.125931,0.75,0.1,0.00809473,0.9,batch,FALSE,FALSE,0.1,,2.21E-05,FALSE,0.7,FAIL
45,,02:21.4,02:29.5,0 days 00:00:08.045298,0.8,0.1,0.00368023,0.9,batch,FALSE,FALSE,0.1,,1.47E-05,FALSE,0.7,FAIL
46,,02:29.8,02:38.1,0 days 00:00:08.292172,0.8,0.1,0.009473727,0.9,batch,FALSE,FALSE,0.1,,2.29E-05,FALSE,0.5,FAIL
47,,02:38.2,02:46.6,0 days 00:00:08.406153,0.8,0.1,0.006481105,0.9,batch,FALSE,FALSE,0.1,,2.37E-05,FALSE,0.5,FAIL
48,,02:46.7,02:55.0,0 days 00:00:08.211161,0.8,0.1,0.006251793,0.9,batch,FALSE,FALSE,0.1,,1.47E-05,FALSE,0.7,FAIL
49,,02:55.1,03:03.1,0 days 00:00:08.067500,0.8,0.1,0.009692381,0.9,batch,FALSE,FALSE,0.1,,1.33E-05,FALSE,0.7,FAIL
50,,03:03.3,03:11.6,0 days 00:00:08.357678,0.8,0.1,0.009344923,0.9,batch,FALSE,FALSE,0.1,,0.015056776,FALSE,0.5,FAIL
51,,03:11.8,03:20.2,0 days 00:00:08.484722,0.7,0.1,0.009937731,0.9,batch,FALSE,FALSE,0.1,,2.34E-05,FALSE,0.5,FAIL
52,,03:20.4,03:29.0,0 days 00:00:08.636321,0.8,0.1,0.009659993,0.9,batch,FALSE,FALSE,0.1,,0.013665675,FALSE,0.5,FAIL
53,,03:29.1,03:37.7,0 days 00:00:08.567872,0.8,0.1,0.007194825,0.9,batch,FALSE,FALSE,0.05,,1.86E-05,FALSE,0.5,FAIL
54,,03:37.8,03:46.3,0 days 00:00:08.491068,0.8,0.1,0.006622806,0.995,batch,FALSE,FALSE,0.1,,2.78E-05,FALSE,0.7,FAIL
55,,03:46.4,03:54.7,0 days 00:00:08.239025,0.8,0.1,0.00779324,0.9,batch,FALSE,FALSE,0.1,,0.027506037,FALSE,0.5,FAIL
56,,03:54.8,04:03.5,0 days 00:00:08.725850,0.8,0.1,0.007746944,0.9,batch,FALSE,FALSE,0.1,,1.60E-05,FALSE,0.7,FAIL
57,,04:03.7,04:11.5,0 days 00:00:07.853653,0.8,0.1,0.009126377,0.9,batch,FALSE,FALSE,0.1,,1.20E-05,FALSE,0.5,FAIL
58,,04:11.7,04:19.8,0 days 00:00:08.116387,0.75,0.1,0.009608543,0.9,batch,FALSE,FALSE,0.1,,1.95E-05,FALSE,0.7,FAIL
59,,04:20.2,04:27.9,0 days 00:00:07.752517,0.8,0.1,0.009191954,0.9,batch,FALSE,FALSE,0.1,,1.13E-05,FALSE,0.7,FAIL
60,,04:28.1,04:36.4,0 days 00:00:08.260760,0.8,0.1,0.006739789,0.9,batch,FALSE,FALSE,0.1,,1.92E-05,FALSE,0.5,FAIL
61,,04:36.6,04:44.7,0 days 00:00:08.193332,0.75,0.1,0.00945662,0.9,batch,FALSE,FALSE,0.1,,2.15E-05,FALSE,0.5,FAIL
62,,04:44.9,04:53.0,0 days 00:00:08.061610,0.8,0.1,0.008431248,0.9,batch,FALSE,FALSE,0.1,,1.25E-05,FALSE,0.7,FAIL
63,,04:53.1,05:01.3,0 days 00:00:08.203742,0.7,0.1,0.009364881,0.9,batch,FALSE,FALSE,0.1,,3.12E-05,FALSE,0.7,FAIL
64,,05:01.5,05:09.8,0 days 00:00:08.279621,0.8,0.1,0.008927608,0.9,batch,FALSE,FALSE,0.1,,0.012552106,FALSE,0.5,FAIL
65,,05:10.0,05:18.1,0 days 00:00:08.158599,0.8,0.1,0.00769012,0.9,batch,FALSE,FALSE,0.1,,1.33E-05,FALSE,0.5,FAIL
66,,05:18.3,05:26.4,0 days 00:00:08.096897,0.8,0.1,0.009366596,0.9,batch,FALSE,FALSE,0.1,,2.96E-05,FALSE,0.7,FAIL
67,,05:26.6,05:34.8,0 days 00:00:08.253830,0.8,0.1,0.005109887,0.9,batch,FALSE,FALSE,0.1,,2.53E-05,FALSE,0.5,FAIL
68,,05:34.9,05:43.2,0 days 00:00:08.295408,0.8,0.1,0.009150254,0.9,batch,FALSE,FALSE,0.05,,0.015110333,FALSE,0.5,FAIL
69,,05:43.4,05:51.5,0 days 00:00:08.095687,0.8,0.1,0.009823506,0.9,batch,FALSE,FALSE,0.1,,0.012602955,FALSE,0.7,FAIL
70,,05:51.6,05:59.8,0 days 00:00:08.204554,0.8,0.1,0.008347255,0.9,batch,FALSE,FALSE,0.1,,2.79E-05,FALSE,0.7,FAIL
71,,06:00.2,06:07.9,0 days 00:00:07.697874,0.8,0.1,0.006523045,0.9,batch,FALSE,FALSE,0.1,,2.14E-05,FALSE,0.7,FAIL
72,,06:08.0,06:16.2,0 days 00:00:08.116583,0.8,0.1,0.009312528,0.9,batch,FALSE,FALSE,0.1,,3.27E-05,FALSE,0.7,FAIL
