number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
32,0.921725433,18:15.3,22:17.2,0 days 00:04:01.908513,,0.5,0.000281168,0.8,,,FALSE,0.2,,3.56E-05,TRUE,0.7,COMPLETE
27,0.920998425,58:18.5,02:21.1,0 days 00:04:02.648569,,0.5,0.000295848,0.995,,,FALSE,0.3,,3.87E-05,TRUE,0.7,COMPLETE
44,0.920756089,06:15.7,10:18.1,0 days 00:04:02.396285,,0.3,0.000916283,0.8,,,FALSE,0.15,,1.78E-05,TRUE,0.7,COMPLETE
45,0.920634921,10:18.1,14:20.5,0 days 00:04:02.353789,,0.1,0.000849901,0.8,,,FALSE,0.25,,2.09E-05,TRUE,0.7,COMPLETE
47,0.92002908,18:22.7,22:46.0,0 days 00:04:23.211957,,0.1,0.000640363,0.8,,,FALSE,0.25,,8.62E-05,TRUE,0.5,COMPLETE
25,0.919665576,50:24.3,54:28.8,0 days 00:04:04.520759,,0.3,0.002096771,0.9,,,FALSE,0.3,,3.65E-05,TRUE,0.7,COMPLETE
18,0.919180904,25:08.7,28:40.1,0 days 00:03:31.467643,0.1,0.4,0.001598266,0.9,layer,FALSE,FALSE,0.2,,3.29E-05,FALSE,0.7,COMPLETE
12,0.919059736,00:58.0,05:01.1,0 days 00:04:03.112969,,0.3,0.009285243,0.8,,,FALSE,0.15,,1.16E-05,TRUE,0.7,COMPLETE
14,0.918453896,09:01.9,13:01.6,0 days 00:03:59.641299,,0.3,0.002857341,0.9,,,FALSE,0.1,,1.73E-05,TRUE,0.7,COMPLETE
42,0.918090391,58:13.5,02:13.8,0 days 00:04:00.368369,,0.3,0.000346948,0.8,,,FALSE,0.15,,1.02E-05,TRUE,0.7,COMPLETE
48,0.917242215,22:46.0,27:10.9,0 days 00:04:24.868682,,0.1,0.000644566,0.8,,,FALSE,0.25,,9.10E-05,TRUE,0.5,COMPLETE
41,0.91627287,54:10.2,58:13.4,0 days 00:04:03.215446,,0.5,0.001818055,0.8,,,FALSE,0.2,,2.45E-05,TRUE,0.7,COMPLETE
23,0.915909366,42:51.6,46:22.7,0 days 00:03:31.063194,0.25,0.5,0.005799718,0.9,layer,FALSE,FALSE,0.05,,1.18E-05,FALSE,0.7,COMPLETE
35,0.915909366,30:19.5,34:22.6,0 days 00:04:03.124710,,0.7,0.000279448,0.99,,,FALSE,0.25,,0.000134537,TRUE,0.7,COMPLETE
24,0.914940022,46:22.7,50:24.2,0 days 00:04:01.505554,,0.4,0.000547427,0.9,,,FALSE,0.15,,0.000228665,TRUE,0.7,COMPLETE
33,0.914213013,22:17.2,26:18.3,0 days 00:04:01.009629,,0.5,0.000116118,0.995,,,FALSE,0.25,,4.72E-05,TRUE,0.7,COMPLETE
22,0.913970677,39:16.0,42:51.6,0 days 00:03:35.554290,0.55,0.2,0.001837122,0.9,layer,TRUE,FALSE,0.2,,2.76E-05,FALSE,0.7,COMPLETE
46,0.913364837,14:20.5,18:22.7,0 days 00:04:02.192218,,0.1,0.000953091,0.8,,,TRUE,0.25,0.25,1.88E-05,TRUE,0.7,COMPLETE
49,0.912637829,27:10.9,31:34.8,0 days 00:04:23.907240,,0.1,0.000207369,0.8,,,FALSE,0.25,,0.000535088,TRUE,0.5,COMPLETE
31,0.911668484,14:13.6,18:15.3,0 days 00:04:01.640031,,0.3,0.001582901,0.995,,,FALSE,0.3,,0.00010893,TRUE,0.7,COMPLETE
36,0.911668484,34:22.6,38:25.0,0 days 00:04:02.320947,,0.5,0.000677302,0.995,,,TRUE,0.3,0.2,0.00027142,TRUE,0.7,COMPLETE
11,0.910820308,56:44.6,00:57.9,0 days 00:04:13.331886,,0.3,0.008495508,0.8,,,FALSE,0.15,,1.36E-05,TRUE,0.6,COMPLETE
10,0.909850963,52:31.6,56:44.5,0 days 00:04:12.893284,,0.3,0.009892369,0.8,,,FALSE,0.15,,1.32E-05,TRUE,0.6,COMPLETE
29,0.907185266,05:49.0,10:00.6,0 days 00:04:11.574899,,0.6,8.83E-05,0.995,,,FALSE,0.3,,0.000362351,TRUE,0.6,COMPLETE
9,0.906821762,48:19.9,52:31.6,0 days 00:04:11.667497,,0.1,0.00113719,0.8,,,TRUE,0.05,0.1,6.69E-05,TRUE,0.6,COMPLETE
21,0.905246577,35:43.8,39:16.0,0 days 00:03:32.185474,0.3,0.2,0.004761998,0.9,layer,FALSE,FALSE,0.1,,3.19E-05,FALSE,0.7,COMPLETE
19,0.905125409,28:40.2,32:11.3,0 days 00:03:31.145308,0.1,0.4,0.000429777,0.9,layer,FALSE,FALSE,0.2,,0.000228425,FALSE,0.7,COMPLETE
16,0.904519569,17:05.1,21:07.5,0 days 00:04:02.373878,,0.2,0.003439584,0.9,,,FALSE,0.1,,6.99E-05,TRUE,0.7,COMPLETE
0,0.902217375,12:08.4,16:12.7,0 days 00:04:04.358007,,0.6,0.001115037,0.8,,,FALSE,0,,0.000195563,TRUE,0.6,COMPLETE
43,0.896522477,02:13.9,06:15.6,0 days 00:04:01.775235,,0.4,0.007306298,0.8,,,FALSE,0.2,,7.49E-05,TRUE,0.7,COMPLETE
20,0.890827578,32:11.3,35:43.8,0 days 00:03:32.434527,0.1,0.9,0.001296343,0.8,layer,FALSE,FALSE,0.2,,5.43E-05,FALSE,0.7,COMPLETE
3,0.889373561,25:01.8,29:04.3,0 days 00:04:02.474876,,0.7,6.24E-05,0.99,,,FALSE,0.25,,0.001212407,TRUE,0.7,COMPLETE
17,0.880407125,21:07.5,25:08.6,0 days 00:04:01.080577,,0.4,0.000185334,0.9,,,FALSE,0.3,,0.002779806,TRUE,0.7,COMPLETE
37,0.877620259,38:25.0,42:26.3,0 days 00:04:01.351266,,0.4,2.01E-05,0.9,,,FALSE,0.25,,2.69E-05,TRUE,0.7,COMPLETE
26,0.877256755,54:28.9,58:18.4,0 days 00:03:49.595771,0.5,0.2,0.000782197,0.99,batch,TRUE,FALSE,0.3,,0.00013705,FALSE,0.6,COMPLETE
15,0.876287411,13:01.6,17:05.1,0 days 00:04:03.454637,,0.4,0.002389011,0.9,,,FALSE,0.1,,0.000511072,TRUE,0.7,COMPLETE
30,0.873500545,10:00.6,14:13.6,0 days 00:04:12.963276,,0.4,0.00032132,0.995,,,FALSE,0.25,,0.001547876,TRUE,0.6,COMPLETE
2,0.863322428,20:35.5,25:01.8,0 days 00:04:26.214677,,0.1,1.22E-05,0.99,,,TRUE,0.25,0.3,0.000105064,TRUE,0.5,COMPLETE
39,0.85568884,46:18.7,50:21.7,0 days 00:04:02.924801,,0.6,6.32E-05,0.99,,,FALSE,0.25,,0.005344714,TRUE,0.7,COMPLETE
13,0.80201139,05:01.1,09:01.9,0 days 00:04:00.798815,,0.3,0.003695066,0.8,,,FALSE,0.15,,0.000771826,TRUE,0.7,COMPLETE
38,0.791954441,42:26.4,46:18.7,0 days 00:03:52.318980,0.2,0.7,0.00042424,0.8,layer,FALSE,TRUE,0.2,0,0.020268431,FALSE,0.5,COMPLETE
5,0.786744214,32:49.1,36:21.9,0 days 00:03:32.789311,0.8,0.7,0.005956928,0.995,batch,FALSE,TRUE,0.2,0.5,0.014092748,FALSE,0.7,COMPLETE
8,0.715982067,43:53.7,48:19.9,0 days 00:04:26.245445,,0.5,0.00052658,0.8,,,FALSE,0.25,,0.012131154,TRUE,0.5,COMPLETE
28,0.70956016,02:21.2,05:49.0,0 days 00:03:27.781626,0.65,0.5,0.000228247,0.995,,FALSE,FALSE,0.3,,3.84E-05,FALSE,0.7,COMPLETE
34,0.674663759,26:18.3,30:19.4,0 days 00:04:01.142392,,0.6,3.10E-05,0.9,,,FALSE,0.2,,0.198092999,TRUE,0.7,COMPLETE
40,0.655276869,50:21.7,54:10.2,0 days 00:03:48.457680,0.35,0.8,0.000133222,0.995,layer,TRUE,TRUE,0.3,0.4,0.127307417,FALSE,0.6,COMPLETE
1,0.654428693,16:12.8,20:35.5,0 days 00:04:22.722041,,0.6,0.002464164,0.995,,,TRUE,0.1,0.15,0.047047215,TRUE,0.5,COMPLETE
