number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
42,0.915182358,01:43.3,05:18.8,0 days 00:03:35.522929,0.35,0.2,0.002250544,0.8,batch,FALSE,TRUE,0.15,0.25,1.52E-05,FALSE,0.5,COMPLETE
49,0.914213013,39:12.3,45:54.5,0 days 00:06:42.193224,0.4,0.5,0.005036804,0.8,batch,TRUE,TRUE,0.2,0.1,1.04E-05,FALSE,0.5,COMPLETE
47,0.913849509,26:13.3,32:59.6,0 days 00:06:46.364951,0.4,0.4,0.001981004,0.8,batch,FALSE,TRUE,0.15,0.15,1.64E-05,FALSE,0.5,COMPLETE
48,0.912637829,32:59.7,39:12.3,0 days 00:06:12.576855,0.4,0.4,0.005530745,0.8,batch,FALSE,TRUE,0.15,0.15,1.37E-05,FALSE,0.5,COMPLETE
51,0.911547316,53:17.9,59:35.6,0 days 00:06:17.639508,0.4,0.7,0.003404419,0.8,batch,TRUE,TRUE,0.2,0.15,3.54E-05,FALSE,0.5,COMPLETE
60,0.911547316,59:09.2,04:39.9,0 days 00:05:30.713508,0.3,0.5,0.002014728,0.8,batch,TRUE,TRUE,0.15,0.2,1.42E-05,FALSE,0.5,COMPLETE
40,0.91069914,54:29.5,58:06.9,0 days 00:03:37.351414,0.4,0.4,0.003609697,0.8,batch,FALSE,TRUE,0.15,0.3,2.02E-05,FALSE,0.5,COMPLETE
14,0.910577972,25:19.9,28:44.2,0 days 00:03:24.302675,0.6,0.2,0.000291676,0.995,layer,FALSE,FALSE,0.1,,7.41E-05,FALSE,0.6,COMPLETE
55,0.910214467,19:38.9,26:05.5,0 days 00:06:26.576894,0.25,0.6,0.006368052,0.8,batch,TRUE,TRUE,0.2,0.1,3.48E-05,FALSE,0.5,COMPLETE
43,0.910214467,05:18.8,08:54.4,0 days 00:03:35.547454,0.35,0.3,0.002345836,0.8,batch,FALSE,TRUE,0.15,0.25,1.75E-05,FALSE,0.5,COMPLETE
13,0.908518115,21:55.4,25:19.9,0 days 00:03:24.473276,0.6,0.2,0.001072759,0.995,layer,FALSE,FALSE,0.05,,0.000100133,FALSE,0.7,COMPLETE
38,0.908518115,46:41.1,50:04.1,0 days 00:03:23.067894,0.5,0.2,0.001121654,0.8,batch,FALSE,TRUE,0.1,0.35,4.73E-05,FALSE,0.7,COMPLETE
17,0.90815461,33:44.0,37:08.0,0 days 00:03:24.004363,0.6,0.2,0.000489902,0.9,batch,FALSE,FALSE,0.15,,9.25E-05,FALSE,0.7,COMPLETE
33,0.90815461,28:52.3,32:15.1,0 days 00:03:22.807038,0.65,0.1,0.000343766,0.9,batch,FALSE,FALSE,0.05,,5.13E-05,FALSE,0.7,COMPLETE
54,0.908033442,12:32.4,19:38.9,0 days 00:07:06.524163,0.4,0.5,0.004768649,0.8,batch,TRUE,TRUE,0.2,0.2,1.44E-05,FALSE,0.5,COMPLETE
59,0.907912274,50:27.0,59:09.1,0 days 00:08:42.158336,0.25,0.4,0.003993061,0.8,batch,TRUE,TRUE,0.2,0.3,4.07E-05,FALSE,0.5,COMPLETE
57,0.907791106,33:47.4,41:15.1,0 days 00:07:27.731543,0.4,0.4,0.002760611,0.8,batch,TRUE,TRUE,0.25,0.15,1.00E-05,FALSE,0.5,COMPLETE
24,0.907669938,57:28.7,00:50.6,0 days 00:03:21.983174,0.7,0.3,0.000384639,0.9,batch,FALSE,FALSE,0.05,,8.63E-05,FALSE,0.7,COMPLETE
50,0.907669938,45:54.5,53:17.9,0 days 00:07:23.356045,,0.5,0.00554144,0.8,,,TRUE,0.25,0.1,1.07E-05,TRUE,0.5,COMPLETE
56,0.907669938,26:05.6,33:47.4,0 days 00:07:41.787622,0.3,0.8,0.001668303,0.8,batch,TRUE,TRUE,0.15,0.2,2.06E-05,FALSE,0.5,COMPLETE
58,0.907427602,41:15.2,50:26.9,0 days 00:09:11.734901,0.35,0.6,0.007657013,0.8,batch,TRUE,TRUE,0.15,0.05,2.28E-05,FALSE,0.5,COMPLETE
7,0.906458258,59:30.2,02:59.8,0 days 00:03:29.629736,0.8,0.3,0.002814356,0.995,layer,FALSE,FALSE,0,,2.03E-05,FALSE,0.5,COMPLETE
36,0.905973585,39:01.8,42:24.9,0 days 00:03:23.104676,0.65,0.2,8.22E-05,0.8,layer,FALSE,FALSE,0.15,,0.000227959,FALSE,0.6,COMPLETE
44,0.905973585,08:54.4,12:35.0,0 days 00:03:40.611147,0.35,0.5,0.009483326,0.8,batch,TRUE,TRUE,0.2,0.25,1.61E-05,FALSE,0.5,COMPLETE
27,0.905731249,07:35.8,10:59.6,0 days 00:03:23.769033,0.45,0.4,0.001931261,0.995,layer,FALSE,TRUE,0.05,0.5,0.000144545,FALSE,0.6,COMPLETE
52,0.904277233,59:35.6,05:57.6,0 days 00:06:21.934874,0.4,0.7,0.009910991,0.8,batch,TRUE,TRUE,0.2,0.15,1.88E-05,FALSE,0.5,COMPLETE
53,0.903913728,05:57.6,12:32.3,0 days 00:06:34.737340,0.4,0.7,0.003277598,0.8,batch,TRUE,TRUE,0.3,0.1,3.01E-05,FALSE,0.5,COMPLETE
