number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
15,0.849,45:18.0,46:44.4,0 days 00:01:26.424181,,0.7,0.000375272,0.995,,,FALSE,0.25,,0.005208643,TRUE,0.6,COMPLETE
23,0.849,56:35.4,58:00.5,0 days 00:01:25.108429,,0.9,0.000601139,0.99,,,FALSE,0.3,,0.001752326,TRUE,0.6,COMPLETE
49,0.848666667,34:01.6,35:25.2,0 days 00:01:23.601556,,0.7,0.000465118,0.99,,,TRUE,0.2,0.3,0.005641083,TRUE,0.6,COMPLETE
31,0.847666667,07:32.8,09:03.9,0 days 00:01:31.104296,,0.9,0.00058483,0.99,,,FALSE,0.3,,0.00314132,TRUE,0.6,COMPLETE
19,0.846,50:53.4,52:19.6,0 days 00:01:26.167335,,0.9,0.000314695,0.99,,,FALSE,0.3,,0.004751031,TRUE,0.6,COMPLETE
33,0.846,10:35.3,12:06.0,0 days 00:01:30.698873,,0.9,0.001100232,0.99,,,FALSE,0.25,,0.00078297,TRUE,0.6,COMPLETE
48,0.845666667,32:30.2,34:01.5,0 days 00:01:31.270806,,0.5,0.001899462,0.995,,,FALSE,0.3,,0.00010318,TRUE,0.6,COMPLETE
42,0.845333333,23:31.5,25:02.6,0 days 00:01:31.078035,,0.8,0.00089214,0.99,,,FALSE,0.25,,0.000866958,TRUE,0.6,COMPLETE
24,0.844666667,58:00.6,59:25.9,0 days 00:01:25.360562,,0.9,0.000570742,0.99,,,FALSE,0.3,,0.002667576,TRUE,0.6,COMPLETE
35,0.844666667,13:34.9,15:06.2,0 days 00:01:31.343733,,0.8,9.25E-05,0.9,,,TRUE,0.25,0.35,0.000495172,TRUE,0.6,COMPLETE
32,0.844333333,09:03.9,10:35.3,0 days 00:01:31.346015,,0.8,0.000562756,0.99,,,FALSE,0.3,,0.009389063,TRUE,0.6,COMPLETE
22,0.844,55:10.3,56:35.4,0 days 00:01:25.068012,,0.7,0.001662643,0.99,,,FALSE,0.25,,0.002315994,TRUE,0.6,COMPLETE
6,0.843666667,32:53.9,34:20.3,0 days 00:01:26.392201,,0.5,2.67E-05,0.99,,,FALSE,0.2,,0.016615765,TRUE,0.5,COMPLETE
21,0.843666667,53:45.3,55:10.3,0 days 00:01:24.951683,,0.7,0.001571175,0.99,,,FALSE,0.25,,0.006200373,TRUE,0.6,COMPLETE
41,0.843666667,21:59.5,23:31.5,0 days 00:01:31.985173,,0.9,0.000986299,0.99,,,FALSE,0.25,,0.000692855,TRUE,0.6,COMPLETE
46,0.843666667,29:28.5,31:00.0,0 days 00:01:31.545088,,0.8,0.00082172,0.99,,,FALSE,0.15,,0.010819617,TRUE,0.6,COMPLETE
18,0.843333333,49:37.9,50:53.4,0 days 00:01:15.475897,0.8,0.7,2.54E-05,0.995,layer,FALSE,FALSE,0.1,,0.10336466,FALSE,0.5,COMPLETE
16,0.842,46:44.5,48:11.5,0 days 00:01:26.995303,,0.1,0.000372233,0.99,,,FALSE,0.1,,0.004155163,TRUE,0.6,COMPLETE
34,0.842,12:06.0,13:34.9,0 days 00:01:28.817697,,0.7,0.000649401,0.99,,,FALSE,0.3,,0.003248698,TRUE,0.6,COMPLETE
37,0.842,16:25.5,17:48.6,0 days 00:01:23.036305,,0.9,0.002228671,0.99,,,FALSE,0.3,,0.013137212,TRUE,0.6,COMPLETE
39,0.842,19:07.8,20:40.5,0 days 00:01:32.687940,,0.6,0.000505035,0.99,,,FALSE,0.2,,0.002077962,TRUE,0.6,COMPLETE
3,0.841666667,28:59.5,30:26.0,0 days 00:01:26.423982,,0.7,0.003491275,0.995,,,FALSE,0.25,,0.020379304,TRUE,0.6,COMPLETE
47,0.841333333,31:00.1,32:30.2,0 days 00:01:30.144439,,0.9,0.0012672,0.99,,,FALSE,0.2,,0.030309887,TRUE,0.6,COMPLETE
50,0.841333333,35:25.2,36:49.1,0 days 00:01:23.902013,,0.4,0.000106207,0.9,,,TRUE,0.2,0.3,0.006402249,TRUE,0.5,COMPLETE
28,0.841,03:25.1,04:51.4,0 days 00:01:26.323575,,0.9,0.000246058,0.9,,,FALSE,0.25,,0.054461872,TRUE,0.6,COMPLETE
43,0.840666667,25:02.6,26:33.8,0 days 00:01:31.138660,,0.9,0.001100229,0.99,,,FALSE,0.3,,0.000267853,TRUE,0.6,COMPLETE
12,0.838666667,41:01.4,42:27.4,0 days 00:01:26.046135,,0.6,0.000735425,0.995,,,FALSE,0.3,,0.22610564,TRUE,0.5,COMPLETE
