number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
1,0.834,38:58.0,40:20.1,0 days 00:01:22.101559,0.75,0.7,2.37E-05,0.8,layer,FALSE,FALSE,0.3,,0.161268117,FALSE,0.5,COMPLETE
12,0.831333333,53:38.1,54:59.2,0 days 00:01:21.137978,,0.3,4.45E-05,0.9,,,TRUE,0.25,0.1,0.010611198,TRUE,0.6,COMPLETE
17,0.830666667,00:54.8,02:02.0,0 days 00:01:07.205078,0.8,0.4,2.29E-05,0.99,batch,FALSE,FALSE,0.3,,0.062558325,FALSE,0.7,COMPLETE
22,0.830333333,06:59.8,08:06.4,0 days 00:01:06.603346,0.7,0.4,4.55E-05,0.99,batch,FALSE,FALSE,0.3,,0.346084031,FALSE,0.7,COMPLETE
14,0.83,56:33.6,57:56.1,0 days 00:01:22.503281,,0.6,5.98E-05,0.8,,,TRUE,0.25,0.25,0.019040673,TRUE,0.6,COMPLETE
9,0.828333333,49:05.7,50:28.6,0 days 00:01:22.894478,,0.2,0.007578781,0.9,,,TRUE,0.3,0.15,0.001258784,TRUE,0.6,COMPLETE
32,0.826666667,19:33.7,20:47.4,0 days 00:01:13.692369,0.7,0.4,3.64E-05,0.99,batch,FALSE,FALSE,0.3,,0.17046303,FALSE,0.7,COMPLETE
31,0.825666667,18:22.2,19:33.7,0 days 00:01:11.448060,0.7,0.4,5.06E-05,0.99,batch,FALSE,FALSE,0.3,,0.545492856,FALSE,0.7,COMPLETE
41,0.825,31:16.6,32:44.3,0 days 00:01:27.635684,,0.6,6.20E-05,0.8,,,TRUE,0.25,0.35,0.019167503,TRUE,0.6,COMPLETE
40,0.824333333,29:32.4,31:16.6,0 days 00:01:44.165958,,0.9,0.001381289,0.9,,,FALSE,0.25,,0.002239106,TRUE,0.5,COMPLETE
25,0.823,10:19.8,11:27.0,0 days 00:01:07.187683,0.65,0.2,2.40E-05,0.99,layer,FALSE,FALSE,0.25,,0.005417673,FALSE,0.6,COMPLETE
47,0.821333333,40:16.3,41:44.3,0 days 00:01:27.939326,,0.7,0.000174767,0.9,,,TRUE,0.3,0.1,3.40E-05,TRUE,0.6,COMPLETE
11,0.820333333,52:02.9,53:38.0,0 days 00:01:35.195970,,0.1,0.000128345,0.9,,,TRUE,0.3,0,0.000282513,TRUE,0.5,COMPLETE
34,0.820333333,22:00.5,23:13.1,0 days 00:01:12.603944,0.75,0.5,0.000588727,0.99,batch,FALSE,FALSE,0.3,,0.475177436,FALSE,0.7,COMPLETE
36,0.819666667,24:24.6,25:37.6,0 days 00:01:12.993058,0.6,0.8,0.000172724,0.995,batch,FALSE,FALSE,0.25,,0.062273688,FALSE,0.7,COMPLETE
33,0.818,20:47.5,22:00.4,0 days 00:01:12.968682,0.6,0.5,2.75E-05,0.99,batch,FALSE,FALSE,0.25,,0.037331702,FALSE,0.7,COMPLETE
23,0.817666667,08:06.4,09:12.8,0 days 00:01:06.423432,0.75,0.2,1.99E-05,0.99,batch,FALSE,FALSE,0.25,,0.056365692,FALSE,0.7,COMPLETE
8,0.816666667,47:54.0,49:05.7,0 days 00:01:11.685344,0.8,0.8,0.001391692,0.8,layer,TRUE,FALSE,0.05,,9.55E-05,FALSE,0.6,COMPLETE
29,0.815333333,15:53.4,17:09.1,0 days 00:01:15.749248,0.35,0.3,1.63E-05,0.8,layer,FALSE,TRUE,0.3,0.1,0.010068267,FALSE,0.7,COMPLETE
16,0.814666667,59:18.1,00:54.7,0 days 00:01:36.598428,,0.7,0.000164748,0.995,,,TRUE,0.25,0.25,0.00955204,TRUE,0.5,COMPLETE
21,0.814666667,05:49.9,06:59.7,0 days 00:01:09.802799,0.8,0.4,1.84E-05,0.99,batch,FALSE,FALSE,0.3,,0.067237707,FALSE,0.7,COMPLETE
27,0.814333333,12:53.7,14:21.4,0 days 00:01:27.729152,0.7,0.4,0.000246287,0.995,batch,FALSE,FALSE,0.25,,0.018794381,FALSE,0.5,COMPLETE
