number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
2,0.96392221,19:04.8,24:37.3,0 days 00:05:32.520006,,0.4,0.000410602,0.995,,,FALSE,0.15,,0.00017643,TRUE,0.6,COMPLETE
17,0.96392221,42:56.6,49:02.8,0 days 00:06:06.174257,,0.4,0.00070545,0.9,,,FALSE,0,,0.000360596,TRUE,0.5,COMPLETE
41,0.963740458,59:50.8,05:52.7,0 days 00:06:01.953940,,0.3,0.000214583,0.9,,,FALSE,0.2,,6.80E-05,TRUE,0.5,COMPLETE
31,0.962922574,03:58.5,09:46.7,0 days 00:05:48.204879,,0.3,0.000617751,0.9,,,FALSE,0.1,,3.47E-05,TRUE,0.5,COMPLETE
32,0.962831698,09:46.8,15:35.8,0 days 00:05:49.082184,,0.3,0.000564607,0.9,,,FALSE,0.15,,2.75E-05,TRUE,0.5,COMPLETE
35,0.962831698,27:47.2,33:52.6,0 days 00:06:05.384156,,0.3,0.000256577,0.9,,,FALSE,0.2,,6.11E-05,TRUE,0.5,COMPLETE
48,0.962831698,39:54.8,45:13.6,0 days 00:05:18.731740,,0.3,0.00013163,0.99,,,FALSE,0.15,,0.000197144,TRUE,0.6,COMPLETE
14,0.962740822,25:17.6,31:13.4,0 days 00:05:55.755042,,0.3,0.000948686,0.9,,,FALSE,0.1,,0.00023503,TRUE,0.5,COMPLETE
43,0.962559069,11:45.2,17:44.3,0 days 00:05:59.140074,,0.3,0.001228837,0.9,,,FALSE,0.2,,6.96E-05,TRUE,0.5,COMPLETE
24,0.962468193,23:21.8,29:14.1,0 days 00:05:52.341938,,0.3,0.000709415,0.9,,,FALSE,0.1,,4.13E-05,TRUE,0.5,COMPLETE
37,0.962468193,38:52.7,44:39.0,0 days 00:05:46.266515,,0.4,0.000170625,0.9,,,FALSE,0.25,,0.000137955,TRUE,0.5,COMPLETE
