number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
45,0.964103962,54:14.0,04:06.1,0 days 00:09:52.083130,,0.3,0.000918473,0.99,,,FALSE,0.2,,2.78E-05,TRUE,0.5,COMPLETE
37,0.964013086,37:14.6,47:09.9,0 days 00:09:55.315098,,0.3,0.000656003,0.99,,,FALSE,0.2,,7.21E-05,TRUE,0.5,COMPLETE
39,0.963558706,55:20.8,05:20.7,0 days 00:09:59.826556,,0.2,0.00053798,0.99,,,FALSE,0.15,,1.01E-05,TRUE,0.5,COMPLETE
8,0.963376954,01:25.8,11:20.3,0 days 00:09:54.501925,,0.4,5.39E-05,0.9,,,FALSE,0.3,,0.003119425,TRUE,0.5,COMPLETE
9,0.962922574,11:20.3,20:46.2,0 days 00:09:25.863496,,0.5,0.006368203,0.9,,,TRUE,0.1,0.2,0.00018335,TRUE,0.6,COMPLETE
41,0.962922574,14:34.2,24:27.0,0 days 00:09:52.795386,,0.2,0.00015214,0.99,,,FALSE,0.15,,1.29E-05,TRUE,0.5,COMPLETE
43,0.962922574,34:22.3,44:18.2,0 days 00:09:55.875794,,0.2,0.000436086,0.99,,,FALSE,0.2,,2.54E-05,TRUE,0.5,COMPLETE
42,0.962740822,24:27.0,34:22.3,0 days 00:09:55.265945,,0.2,0.000145669,0.99,,,FALSE,0.15,,1.12E-05,TRUE,0.5,COMPLETE
47,0.962468193,13:55.8,23:48.7,0 days 00:09:52.911054,,0.3,0.000884209,0.99,,,TRUE,0.2,0,6.96E-05,TRUE,0.5,COMPLETE
15,0.961650309,07:53.4,17:19.1,0 days 00:09:25.745983,,0.5,4.12E-05,0.9,,,FALSE,0.1,,0.000304015,TRUE,0.6,COMPLETE
35,0.961468557,18:24.7,28:12.8,0 days 00:09:48.130269,,0.6,0.001643935,0.9,,,FALSE,0,,4.10E-05,TRUE,0.5,COMPLETE
24,0.961286805,33:22.7,43:17.9,0 days 00:09:55.221846,,0.7,2.42E-05,0.9,,,FALSE,0.05,,0.000407673,TRUE,0.5,COMPLETE
20,0.961195929,55:54.7,05:17.7,0 days 00:09:23.010351,,0.7,2.64E-05,0.9,,,FALSE,0.2,,4.50E-05,TRUE,0.6,COMPLETE
49,0.961195929,33:42.7,42:15.8,0 days 00:08:33.133294,0.8,0.3,0.00056027,0.99,layer,FALSE,FALSE,0.2,,2.27E-05,FALSE,0.5,COMPLETE
12,0.960923301,39:36.9,49:02.6,0 days 00:09:25.771493,,0.3,4.30E-05,0.9,,,TRUE,0.3,0.05,0.000651425,TRUE,0.6,COMPLETE
31,0.960923301,40:19.4,50:13.6,0 days 00:09:54.145465,,0.7,2.26E-05,0.9,,,FALSE,0.05,,0.000460617,TRUE,0.5,COMPLETE
33,0.960832425,00:00.7,09:55.7,0 days 00:09:54.995076,,0.7,1.63E-05,0.9,,,FALSE,0.05,,0.000748116,TRUE,0.5,COMPLETE
22,0.960650672,14:40.1,23:58.1,0 days 00:09:17.986368,,0.4,1.03E-05,0.9,,,FALSE,0,,0.000365758,TRUE,0.6,COMPLETE
25,0.960559796,43:18.0,52:43.2,0 days 00:09:25.225688,,0.2,7.47E-05,0.9,,,FALSE,0.1,,6.09E-05,TRUE,0.6,COMPLETE
11,0.959923664,30:10.8,39:36.8,0 days 00:09:25.981930,,0.5,2.03E-05,0.9,,,TRUE,0.05,0.5,0.00163112,TRUE,0.6,COMPLETE
13,0.959741912,49:02.7,58:27.9,0 days 00:09:25.214006,,0.6,0.008998103,0.9,,,FALSE,0.05,,1.79E-05,TRUE,0.7,COMPLETE
26,0.959741912,52:43.3,02:07.4,0 days 00:09:24.120456,,0.6,0.000359769,0.995,,,TRUE,0.2,0.3,0.000220504,TRUE,0.7,COMPLETE
32,0.959741912,50:13.6,00:00.7,0 days 00:09:47.044783,,0.8,2.80E-05,0.9,,,FALSE,0,,0.000266724,TRUE,0.5,COMPLETE
38,0.959741912,47:09.9,55:20.8,0 days 00:08:10.875884,0.65,0.3,0.000660687,0.99,batch,FALSE,TRUE,0.25,0.4,1.44E-05,FALSE,0.7,COMPLETE
21,0.959287532,05:17.7,14:40.1,0 days 00:09:22.396122,,0.5,4.97E-05,0.9,,,FALSE,0.1,,0.000235033,TRUE,0.6,COMPLETE
3,0.959014904,17:27.2,25:51.8,0 days 00:08:24.621026,0.4,0.4,0.000111135,0.995,layer,FALSE,TRUE,0,0.3,9.46E-05,FALSE,0.5,COMPLETE
2,0.958833152,08:02.6,17:27.1,0 days 00:09:24.475588,,0.1,0.001826539,0.99,,,FALSE,0.25,,0.000137333,TRUE,0.7,COMPLETE
34,0.958833152,09:55.7,18:24.7,0 days 00:08:28.934002,0.15,0.8,6.47E-05,0.995,batch,FALSE,FALSE,0.1,,0.000126705,FALSE,0.5,COMPLETE
30,0.958742276,30:53.6,40:19.4,0 days 00:09:25.844706,,0.8,0.000197724,0.9,,,FALSE,0.3,,0.003444464,TRUE,0.6,COMPLETE
44,0.958742276,44:18.3,54:14.0,0 days 00:09:55.727593,,0.1,0.002452886,0.99,,,FALSE,0.15,,1.06E-05,TRUE,0.5,COMPLETE
14,0.958287895,58:27.9,07:53.4,0 days 00:09:25.424654,,0.3,0.003364567,0.9,,,TRUE,0.25,0.4,0.005342211,TRUE,0.6,COMPLETE
17,0.957651763,27:14.0,36:38.5,0 days 00:09:24.542681,,0.6,6.80E-05,0.8,,,TRUE,0.1,0.15,0.00255404,TRUE,0.7,COMPLETE
7,0.956924755,52:16.2,01:25.8,0 days 00:09:09.556844,0.4,0.7,0.001031543,0.99,batch,TRUE,FALSE,0.05,,2.25E-05,FALSE,0.5,COMPLETE
23,0.956743003,23:58.2,33:22.7,0 days 00:09:24.516107,,0.5,0.000125185,0.9,,,FALSE,0.1,,0.001393943,TRUE,0.7,COMPLETE
27,0.95656125,02:07.4,11:31.9,0 days 00:09:24.521008,,0.5,4.06E-05,0.8,,,FALSE,0.1,,0.005132394,TRUE,0.6,COMPLETE
36,0.955288986,28:12.9,37:14.5,0 days 00:09:01.638028,0.3,0.6,0.001420269,0.9,batch,TRUE,FALSE,0,,3.41E-05,FALSE,0.5,COMPLETE
28,0.954289349,11:32.0,21:26.7,0 days 00:09:54.688134,,0.4,0.003503393,0.99,,,TRUE,0.05,0.4,0.000970611,TRUE,0.5,COMPLETE
4,0.951653944,25:51.8,34:23.6,0 days 00:08:31.753404,0.5,0.6,0.000128063,0.9,layer,FALSE,FALSE,0.15,,0.01541178,FALSE,0.5,COMPLETE
40,0.948655035,05:20.7,14:34.2,0 days 00:09:13.460835,0.1,0.1,0.00063046,0.99,,TRUE,TRUE,0.15,0.5,8.52E-05,FALSE,0.5,COMPLETE
16,0.935932388,17:19.2,27:13.9,0 days 00:09:54.755288,,0.2,0.000407456,0.9,,,FALSE,0.2,,0.060845987,TRUE,0.5,COMPLETE
10,0.933478735,20:46.2,30:10.8,0 days 00:09:24.572694,,0.3,1.21E-05,0.9,,,FALSE,0.3,,0.31350656,TRUE,0.6,COMPLETE
6,0.932479099,43:10.4,52:16.2,0 days 00:09:05.800332,0.65,0.1,0.000245473,0.99,,TRUE,TRUE,0.15,0.2,9.81E-05,FALSE,0.5,COMPLETE
29,0.922755362,21:26.7,30:53.5,0 days 00:09:26.826534,,0.9,0.005542522,0.8,,,TRUE,0.15,0.15,0.053292375,TRUE,0.6,COMPLETE
19,0.913940385,46:31.6,55:54.6,0 days 00:09:22.990524,,0.5,0.000226714,0.9,,,TRUE,0.1,0.1,0.403077842,TRUE,0.6,COMPLETE
0,0.895765176,50:46.0,59:37.7,0 days 00:08:51.750891,0.2,0.8,0.007954819,0.8,layer,TRUE,TRUE,0.15,0,0.049019195,FALSE,0.6,COMPLETE
46,0.869683751,04:06.1,13:55.8,0 days 00:09:49.604397,,0.3,0.00118095,0.99,,,FALSE,0.25,,0.108139857,TRUE,0.5,COMPLETE
1,0.856961105,59:37.7,08:02.6,0 days 00:08:24.864061,0.5,0.9,0.000952491,0.995,,FALSE,FALSE,0.2,,0.000812973,FALSE,0.5,COMPLETE
18,0.848146129,36:38.6,46:31.6,0 days 00:09:53.036900,,0.4,0.003800871,0.995,,,FALSE,0.25,,0.024261264,TRUE,0.5,COMPLETE
48,0.406125045,23:48.7,33:42.6,0 days 00:09:53.882002,,0.4,0.002238076,0.99,,,FALSE,0.3,,0.925302892,TRUE,0.5,COMPLETE
5,0.310977826,34:23.6,43:10.3,0 days 00:08:46.703539,0.75,0.4,0.000679544,0.8,,TRUE,TRUE,0.15,0.25,0.009547219,FALSE,0.7,COMPLETE
