number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
185,0.956862745,31:52.4,39:17.8,0 days 00:07:25.417433,,0.8,0.001380855,0.995,,,FALSE,0.3,,3.40E-05,TRUE,0.7,COMPLETE
176,0.95664488,25:46.1,34:03.9,0 days 00:08:17.757949,,0.8,0.002929705,0.995,,,FALSE,0.25,,1.01E-05,TRUE,0.7,COMPLETE
181,0.95664488,01:39.0,08:48.4,0 days 00:07:09.414415,,0.9,0.000902142,0.995,,,FALSE,0.3,,3.66E-05,TRUE,0.7,COMPLETE
200,0.956427015,12:05.6,19:47.5,0 days 00:07:41.937388,,0.7,0.003074317,0.995,,,FALSE,0.3,,3.49E-05,TRUE,0.7,COMPLETE
180,0.95620915,54:16.6,01:39.0,0 days 00:07:22.341245,,0.9,0.000502902,0.995,,,FALSE,0.25,,5.10E-05,TRUE,0.7,COMPLETE
190,0.95620915,55:37.1,03:43.4,0 days 00:08:06.265468,,0.4,0.001793408,0.995,,,FALSE,0.3,,2.08E-05,TRUE,0.7,COMPLETE
201,0.955555556,19:47.6,28:06.7,0 days 00:08:19.161893,,0.7,0.00375838,0.995,,,FALSE,0.3,,3.33E-05,TRUE,0.7,COMPLETE
182,0.955337691,08:48.5,16:18.3,0 days 00:07:29.836940,,0.9,0.001063112,0.995,,,FALSE,0.3,,6.01E-05,TRUE,0.7,COMPLETE
178,0.955119826,39:11.2,46:54.4,0 days 00:07:43.192597,,0.8,0.00093332,0.995,,,FALSE,0.25,,4.24E-05,TRUE,0.7,COMPLETE
161,0.954901961,43:41.0,50:44.1,0 days 00:07:03.096890,,0.9,0.000371117,0.8,,,FALSE,0.2,,1.08E-05,TRUE,0.7,COMPLETE
192,0.954901961,11:33.3,18:59.2,0 days 00:07:25.965203,,0.4,0.000535662,0.995,,,FALSE,0.3,,2.28E-05,TRUE,0.7,COMPLETE
196,0.954901961,42:15.7,50:14.4,0 days 00:07:58.708188,,0.5,0.001233641,0.995,,,FALSE,0.25,,7.25E-05,TRUE,0.5,COMPLETE
5,0.954466231,20:11.3,27:06.1,0 days 00:06:54.791503,,0.7,0.000247323,0.8,,,FALSE,0.05,,0.000297863,TRUE,0.6,COMPLETE
175,0.954466231,18:31.0,25:46.1,0 days 00:07:15.018083,,0.8,0.002792176,0.9,,,FALSE,0.2,,1.00E-05,TRUE,0.7,COMPLETE
195,0.954248366,34:28.3,42:15.6,0 days 00:07:47.284438,,0.5,0.000689318,0.99,,,FALSE,0.3,,0.000166222,TRUE,0.7,COMPLETE
191,0.954030501,03:43.5,11:33.2,0 days 00:07:49.768819,,0.4,0.001963896,0.995,,,FALSE,0.3,,1.72E-05,TRUE,0.7,COMPLETE
179,0.953812636,46:54.5,54:16.6,0 days 00:07:22.110938,,0.8,0.000892251,0.995,,,FALSE,0.25,,2.24E-05,TRUE,0.7,COMPLETE
159,0.952941176,29:27.1,36:37.2,0 days 00:07:10.080994,,0.7,0.000127633,0.9,,,TRUE,0.2,0.05,0.001591551,TRUE,0.7,COMPLETE
183,0.952723312,16:18.4,24:11.1,0 days 00:07:52.780519,,0.9,0.004770705,0.995,,,FALSE,0.3,,7.81E-05,TRUE,0.7,COMPLETE
160,0.952505447,36:37.2,43:41.0,0 days 00:07:03.752765,,0.7,8.18E-05,0.9,,,TRUE,0.2,0,0.005473599,TRUE,0.7,COMPLETE
169,0.952287582,35:42.7,43:48.7,0 days 00:08:06.031746,,0.7,0.000116666,0.9,,,TRUE,0.2,0,0.001537236,TRUE,0.7,COMPLETE
173,0.952287582,05:42.9,13:05.4,0 days 00:07:22.553342,,0.3,0.000910786,0.8,,,FALSE,0.1,,4.89E-05,TRUE,0.7,COMPLETE
