number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
42,0.955337691,38:49.4,42:30.6,0 days 00:03:41.155219,0.35,0.4,0.000180394,0.8,layer,TRUE,FALSE,0.2,,0.000627959,FALSE,0.6,COMPLETE
35,0.954684096,12:52.4,16:35.1,0 days 00:03:42.645088,0.1,0.3,0.000168759,0.8,layer,TRUE,FALSE,0.2,,0.00037334,FALSE,0.6,COMPLETE
44,0.953594771,46:15.6,49:59.0,0 days 00:03:43.415649,0.3,0.4,5.21E-05,0.8,layer,TRUE,FALSE,0.15,,0.000637437,FALSE,0.6,COMPLETE
40,0.953159041,31:30.8,35:10.0,0 days 00:03:39.284441,0.35,0.3,6.47E-05,0.8,layer,TRUE,FALSE,0.2,,0.000598471,FALSE,0.6,COMPLETE
45,0.952505447,49:59.1,53:37.4,0 days 00:03:38.300315,0.35,0.4,4.69E-05,0.8,layer,TRUE,FALSE,0.15,,0.000264734,FALSE,0.6,COMPLETE
28,0.952069717,46:47.4,50:31.1,0 days 00:03:43.717476,0.1,0.3,0.00021982,0.8,layer,TRUE,FALSE,0.2,,0.00050087,FALSE,0.6,COMPLETE
36,0.952069717,16:35.1,20:18.9,0 days 00:03:43.773168,0.1,0.4,0.000151201,0.8,layer,TRUE,FALSE,0.2,,0.000628161,FALSE,0.6,COMPLETE
37,0.951851852,20:18.9,24:03.3,0 days 00:03:44.362122,0.1,0.4,0.000157318,0.8,layer,TRUE,FALSE,0.2,,0.000477668,FALSE,0.7,COMPLETE
48,0.951851852,00:57.0,04:37.8,0 days 00:03:40.744853,0.3,0.5,9.28E-05,0.8,layer,FALSE,FALSE,0.15,,0.000168285,FALSE,0.6,COMPLETE
27,0.951198257,43:03.0,46:47.3,0 days 00:03:44.298190,0.1,0.4,0.000256614,0.99,layer,TRUE,FALSE,0.2,,0.000648083,FALSE,0.5,COMPLETE
30,0.950544662,54:14.5,57:58.4,0 days 00:03:43.897546,0.25,0.2,3.13E-05,0.8,layer,TRUE,FALSE,0.2,,0.00012012,FALSE,0.6,COMPLETE
32,0.950544662,01:41.6,05:24.7,0 days 00:03:43.170758,0.2,0.2,3.02E-05,0.8,layer,TRUE,FALSE,0.25,,4.14E-05,FALSE,0.6,COMPLETE
41,0.950108932,35:10.1,38:49.4,0 days 00:03:39.274253,0.45,0.3,6.50E-05,0.995,layer,TRUE,FALSE,0.25,,0.001488563,FALSE,0.6,COMPLETE
31,0.949237473,57:58.5,01:41.5,0 days 00:03:43.015554,0.2,0.2,2.79E-05,0.8,layer,TRUE,FALSE,0.25,,3.32E-05,FALSE,0.6,COMPLETE
33,0.949019608,05:24.8,09:09.5,0 days 00:03:44.783695,0.25,0.2,3.78E-05,0.8,layer,TRUE,FALSE,0.2,,6.73E-05,FALSE,0.6,COMPLETE
49,0.949019608,04:37.8,08:22.1,0 days 00:03:44.320196,0.55,0.8,4.30E-05,0.995,layer,TRUE,FALSE,0.1,,0.001304498,FALSE,0.6,COMPLETE
43,0.948148148,42:30.6,46:15.6,0 days 00:03:44.969668,0.35,0.3,0.000208243,0.8,layer,TRUE,FALSE,0.2,,0.001545869,FALSE,0.6,COMPLETE
34,0.947712418,09:09.6,12:52.4,0 days 00:03:42.793838,0.2,0.3,1.97E-05,0.8,layer,TRUE,FALSE,0.25,,0.000111424,FALSE,0.6,COMPLETE
16,0.947494553,18:19.2,26:24.8,0 days 00:08:05.549319,,0.3,0.000342645,0.99,,,TRUE,0.2,0.1,0.000226099,TRUE,0.5,COMPLETE
22,0.943137255,02:31.2,10:26.7,0 days 00:07:55.491548,,0.3,0.000274741,0.99,,,TRUE,0.15,0.15,0.000420132,TRUE,0.5,COMPLETE
18,0.94291939,35:11.3,43:05.9,0 days 00:07:54.622348,,0.5,0.000416075,0.99,,,TRUE,0.15,0.2,0.000893498,TRUE,0.5,COMPLETE
38,0.942701525,24:03.3,27:49.3,0 days 00:03:45.952381,0.1,0.6,0.000138025,0.8,layer,TRUE,FALSE,0.2,,0.002300956,FALSE,0.7,COMPLETE
17,0.94248366,26:24.8,35:11.3,0 days 00:08:46.480153,,0.3,0.000349517,0.99,,,TRUE,0.15,0.15,0.000301597,TRUE,0.5,COMPLETE
26,0.94204793,35:11.6,43:03.0,0 days 00:07:51.424530,,0.5,0.000731177,0.99,,,TRUE,0.05,0.2,0.000186281,TRUE,0.5,COMPLETE
24,0.940740741,19:27.5,27:36.9,0 days 00:08:09.431686,,0.6,0.000224716,0.99,,,TRUE,0.1,0.2,4.62E-05,TRUE,0.6,COMPLETE
19,0.939651416,43:06.0,48:02.6,0 days 00:04:56.624856,0.1,0.5,0.000750482,0.99,layer,TRUE,TRUE,0.15,0.25,0.004579897,FALSE,0.6,COMPLETE
15,0.939215686,10:21.9,18:19.2,0 days 00:07:57.233134,,0.3,0.000154765,0.99,,,TRUE,0.2,0.1,0.000162264,TRUE,0.5,COMPLETE
23,0.937908497,10:26.7,19:27.5,0 days 00:09:00.758848,,0.2,0.000199421,0.99,,,TRUE,0.2,0.1,0.000434018,TRUE,0.5,COMPLETE
20,0.937472767,48:02.6,54:59.4,0 days 00:06:56.729007,,0.5,0.002801401,0.99,,,TRUE,0.15,0.4,0.000950482,TRUE,0.5,COMPLETE
50,0.935294118,08:22.2,12:08.1,0 days 00:03:45.958377,0.45,0.5,6.75E-05,0.8,layer,TRUE,FALSE,0.05,,0.008347932,FALSE,0.6,COMPLETE
46,0.931154684,53:37.4,57:19.7,0 days 00:03:42.276136,0.35,0.6,1.81E-05,0.9,batch,TRUE,FALSE,0.1,,0.000286964,FALSE,0.6,COMPLETE
