number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
31,0.975024155,08:07.2,19:12.7,0 days 00:11:05.501383,0.7,0.8,0.000555055,0.9,layer,TRUE,FALSE,0.15,,0.000323275,FALSE,0.7,COMPLETE
37,0.97468599,19:05.4,29:21.4,0 days 00:10:16.040172,0.65,0.6,0.000224314,0.99,batch,FALSE,FALSE,0.2,,0.000319841,FALSE,0.7,COMPLETE
30,0.974492754,57:08.6,08:07.1,0 days 00:10:58.524040,0.7,0.8,0.000519376,0.9,layer,TRUE,FALSE,0.15,,0.000313235,FALSE,0.7,COMPLETE
21,0.974347826,47:29.3,54:05.1,0 days 00:06:35.810930,0.55,0.4,8.57E-05,0.9,layer,TRUE,FALSE,0.1,,0.001451474,FALSE,0.7,COMPLETE
22,0.974299517,54:05.2,00:42.0,0 days 00:06:36.793998,0.55,0.4,0.000166888,0.9,layer,TRUE,FALSE,0.1,,0.00062883,FALSE,0.6,COMPLETE
42,0.974202899,11:26.9,21:02.7,0 days 00:09:35.771899,0.75,0.6,0.00022228,0.995,batch,FALSE,FALSE,0.15,,0.001121733,FALSE,0.7,COMPLETE
13,0.974154589,57:51.2,04:28.3,0 days 00:06:37.113314,0.55,0.3,0.000121179,0.9,layer,TRUE,FALSE,0.1,,0.000846529,FALSE,0.6,COMPLETE
45,0.974154589,40:27.5,49:53.1,0 days 00:09:25.610974,0.5,0.7,0.00012395,0.995,layer,TRUE,FALSE,0.15,,0.000568746,FALSE,0.7,COMPLETE
15,0.974057971,11:05.5,17:41.6,0 days 00:06:36.109548,0.6,0.3,9.26E-05,0.9,layer,TRUE,FALSE,0.1,,0.003425758,FALSE,0.6,COMPLETE
27,0.974009662,26:06.1,32:52.1,0 days 00:06:45.948155,0.7,0.5,4.77E-05,0.995,layer,TRUE,FALSE,0.1,,0.000377599,FALSE,0.6,COMPLETE
