number,value,datetime_start,datetime_complete,duration,params_kd_dropout,params_kd_lamb,params_kd_lr,params_kd_momentum,params_kd_norm,params_kd_residual,params_kd_scheduler,params_kd_smoothing,params_kd_warnup,params_kd_weight_decay,params_prune_mlp,params_prune_rate,state
36,0.973816425,20:15.7,32:26.1,0 days 00:12:10.383196,0.55,0.7,0.000834074,0.995,layer,FALSE,FALSE,0.2,,0.000168875,FALSE,0.6,COMPLETE
29,0.973574879,51:24.1,03:32.6,0 days 00:12:08.473535,0.55,0.7,5.02E-05,0.995,layer,FALSE,FALSE,0.25,,0.00018915,FALSE,0.6,COMPLETE
39,0.973478261,58:00.7,10:06.4,0 days 00:12:05.708029,0.55,0.7,2.78E-05,0.995,layer,FALSE,FALSE,0.2,,0.000133583,FALSE,0.6,COMPLETE
45,0.973478261,13:42.9,25:42.4,0 days 00:11:59.463679,0.5,0.6,7.35E-05,0.995,layer,FALSE,FALSE,0.2,,0.000299471,FALSE,0.6,COMPLETE
27,0.973429952,27:04.7,39:13.9,0 days 00:12:09.236698,0.5,0.6,1.11E-05,0.995,layer,FALSE,FALSE,0.25,,0.000185974,FALSE,0.6,COMPLETE
24,0.973381643,50:38.1,02:46.5,0 days 00:12:08.331422,0.5,0.6,0.000136402,0.995,layer,FALSE,FALSE,0.2,,0.000291192,FALSE,0.6,COMPLETE
17,0.973333333,22:14.6,36:53.9,0 days 00:14:39.313543,0.6,0.4,0.000590574,0.9,batch,FALSE,FALSE,0.05,,0.000187854,FALSE,0.5,COMPLETE
37,0.973285024,32:26.1,44:35.9,0 days 00:12:09.801914,0.5,0.7,0.002807178,0.995,layer,FALSE,FALSE,0.2,,0.000203167,FALSE,0.6,COMPLETE
46,0.973188406,25:42.4,38:07.7,0 days 00:12:25.293644,0.55,0.7,3.61E-05,0.995,layer,FALSE,FALSE,0.2,,0.001561298,FALSE,0.6,COMPLETE
34,0.972995169,54:36.1,08:10.1,0 days 00:13:34.002743,0.4,0.6,1.90E-05,0.995,layer,TRUE,FALSE,0.3,,6.23E-05,FALSE,0.6,COMPLETE
35,0.972995169,08:10.1,20:15.7,0 days 00:12:05.541498,0.6,0.4,0.000473553,0.995,layer,FALSE,FALSE,0.25,,0.000197205,FALSE,0.6,COMPLETE
28,0.972898551,39:14.0,51:24.1,0 days 00:12:10.093672,0.25,0.6,1.02E-05,0.995,layer,FALSE,FALSE,0.2,,4.72E-05,FALSE,0.6,COMPLETE
47,0.972898551,38:07.7,56:40.8,0 days 00:18:33.064592,0.45,0.6,6.15E-05,0.995,layer,FALSE,FALSE,0.2,,0.000486128,FALSE,0.6,COMPLETE
